App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:07:25 AM","17 sec","Trepn_2018.10.20_050724.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
7,3,1,255,6,1985282,923282,7,320000,8,0,52,1512000,54,1512000,56,1512000,2,0,54,100,56,100,58,100,2,0,
60,3,58,255,60,2660285,1598285,61,320000,61,0,152,1512000,154,1512000,156,1512000,58,1512000,154,50,156,72,158,83,60,12,
160,3,158,255,160,2612403,1550403,161,320000,162,0,253,1512000,255,1512000,257,1512000,159,1512000,254,90,256,28,258,50,160,100,
261,3,258,255,261,2359313,1297313,262,320000,262,0,353,1512000,355,1512000,357,1512000,259,1512000,355,100,356,60,359,61,260,100,
362,3,359,255,361,2721848,1659848,362,320000,363,0,454,1512000,456,1512000,458,1512000,360,1512000,455,70,457,60,460,40,361,100,
462,3,460,255,462,2372993,1310993,463,320000,463,0,554,1512000,556,1512000,558,1512000,460,1512000,556,66,557,33,559,41,462,100,
563,3,559,255,563,2167785,1105785,563,320000,564,0,654,1512000,656,1512000,658,1026000,561,1512000,656,81,658,54,660,37,563,100,
662,3,661,255,662,1584395,522395,662,320000,663,0,755,1512000,757,1512000,758,1512000,661,0,757,44,758,20,760,76,662,0,
761,3,760,255,761,1483756,421756,762,320000,762,0,856,1512000,858,1026000,861,1512000,761,0,857,75,860,70,864,75,761,0,
867,3,864,255,866,1807263,745263,868,320000,869,0,956,1512000,958,1512000,959,1512000,865,0,957,100,959,90,961,100,866,0,
963,3,961,255,963,3193828,2131828,967,320000,970,0,1056,1512000,1058,1512000,1059,1512000,961,1512000,1058,90,1059,100,1061,83,963,100,
1063,3,1061,255,1063,2940737,1878737,1063,320000,1064,0,1157,1512000,1158,1512000,1160,1512000,1061,1512000,1158,44,1159,60,1161,41,1063,80,
