App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:33:34 AM","17 sec","Trepn_2018.10.20_053333.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
12,3,6,255,11,1791569,554234,12,320000,17,0,52,1512000,54,1512000,3,0,8,0,54,100,2,85,5,0,10,0,
60,3,58,255,60,2229347,992012,61,320000,70,0,153,1512000,155,1512000,56,1512000,58,1512000,155,77,56,100,58,43,60,6,
164,3,160,255,164,2872334,1634999,165,320000,165,0,253,1512000,256,1512000,157,1512000,162,1512000,256,63,157,66,159,100,164,100,
262,3,260,255,262,2578202,1340867,263,320000,264,0,354,1512000,356,1512000,258,1512000,261,1512000,355,55,258,37,260,100,262,100,
361,3,359,255,361,2229347,992012,362,320000,363,0,454,1512000,456,1512000,358,1512000,360,1512000,456,72,357,54,359,100,361,40,
463,3,460,255,463,2236188,998853,464,320000,464,0,555,1512000,557,1512000,458,1512000,461,1512000,556,50,458,33,460,100,463,45,
562,3,560,255,562,2058340,821005,563,320000,563,0,655,1512000,657,1512000,558,1512000,561,1512000,657,54,558,41,560,100,562,33,
664,3,662,255,664,1901013,663678,665,320000,665,0,756,1512000,758,1512000,660,1512000,662,1512000,758,81,659,22,662,88,664,37,
771,3,765,255,770,2515614,1278279,771,320000,772,0,857,1512000,859,1512000,761,1134000,765,1512000,858,90,761,72,764,75,770,91,
866,3,863,255,865,3002300,1764965,866,320000,867,0,958,1512000,967,1026000,861,1512000,864,1512000,967,70,860,100,863,72,865,100,
974,3,971,255,974,1665491,428156,975,320000,975,0,1058,1512000,1060,1026000,969,1134000,972,1512000,1060,40,969,33,971,40,974,54,
1067,3,1064,255,1067,1234530,0,1067,320000,1068,0,1158,1026000,1160,1026000,1062,1026000,1065,1512000,1160,10,1062,33,1064,30,1066,30,
1167,3,1164,255,1167,708333,0,1168,320000,1168,0,1260,384000,1268,384000,1162,1026000,1165,1512000,1266,12,1162,20,1164,20,1167,0,
1280,3,1276,255,1279,558339,0,1281,320000,1283,0,1359,1512000,1361,1026000,1274,0,1278,0,1361,70,1272,25,1275,0,1279,0,
1368,3,1367,255,1368,1165287,0,1369,320000,1370,0,1460,1512000,1463,1026000,1366,0,1367,0,1462,30,1363,44,1366,0,1368,0,
1468,3,1466,255,1468,880743,0,1468,320000,1469,0,1560,1512000,1562,1026000,1465,0,1466,0,1562,40,1465,41,1466,0,1467,0,
1569,3,1564,255,1567,879903,0,1570,200000,1571,0,1661,702000,1665,384000,1564,0,1565,0,1664,33,1563,22,1564,0,1565,0,
1679,3,1674,255,1679,628226,0,1680,128000,1682,0,1762,918000,1764,1512000,1671,0,1676,0,1763,55,1669,40,1672,0,1678,0,
1767,3,1766,255,1767,1104967,0,1767,128000,1769,17,1862,1026000,1864,1512000,1765,0,1766,0,1864,9,1765,60,1765,0,1766,0,
1868,3,1866,255,1868,785380,0,1868,128000,1869,17,1963,1026000,1965,1512000,1865,0,1867,0,1964,25,1865,18,1866,0,1867,0,
1968,3,1967,255,1968,994176,0,1968,128000,1969,17,2063,1026000,2065,1512000,1966,0,1967,0,2065,27,1966,40,1967,0,1968,0,
2070,3,2068,255,2069,864659,0,2070,128000,2071,17,2164,1026000,2167,1026000,2067,0,2069,0,2167,22,2067,20,2068,0,2069,0,
2172,3,2171,255,2172,840828,0,2173,128000,2174,17,2265,918000,2268,1026000,2170,0,2172,0,2268,40,2169,36,2170,0,2172,0,
2274,3,2272,255,2274,883150,0,2275,128000,2276,17,2366,486000,2370,1026000,2271,0,2273,0,2368,36,2270,36,2271,0,2274,0,
2378,3,2375,255,2376,792969,0,2378,128000,2379,17,2466,918000,2470,1026000,2374,0,2376,0,2469,37,2372,33,2375,0,2376,0,
2479,3,2476,255,2478,939561,0,2483,128000,2484,17,2567,1026000,2570,1026000,2473,0,2477,0,2570,33,2473,54,2475,0,2478,0,
2575,3,2574,255,2575,913715,0,2576,128000,2577,17,2668,810000,2672,918000,2573,0,2574,0,2671,33,2572,45,2573,0,2575,0,
2683,3,2677,255,2682,804727,0,2685,128000,2689,17,2768,1026000,2772,1026000,2674,0,2677,0,2771,54,2674,30,2676,0,2678,0,
2777,3,2776,255,2777,972025,0,2777,128000,2778,19,2869,702000,2873,594000,2774,0,2776,0,2872,33,2773,40,2774,0,2776,0,
2888,3,2880,255,2888,772753,0,2889,128000,2891,19,2970,1026000,2973,1026000,2877,0,2881,0,2973,45,2876,40,2878,0,2886,0,
2978,3,2977,255,2978,998759,0,2979,128000,2980,19,3071,1026000,3074,594000,2975,0,2977,0,3074,41,2975,53,2976,0,2978,0,
3088,3,3081,255,3087,848511,0,3089,128000,3090,19,3171,1026000,3175,1026000,3077,0,3083,0,3174,50,3076,36,3079,0,3086,0,
3180,3,3178,255,3179,958671,0,3180,128000,3181,19,3272,702000,3275,1026000,3177,0,3179,0,3274,20,3176,37,3178,0,3179,0,
3286,3,3284,255,3285,802648,0,3287,128000,3289,19,3372,918000,3376,1026000,3282,0,3284,0,3375,55,3281,33,3283,0,3285,0,
3382,3,3380,255,3382,955821,0,3383,128000,3384,19,3473,384000,3489,1026000,3378,0,3381,0,3487,27,3378,40,3379,0,3382,0,
3504,3,3497,255,3504,705215,0,3505,128000,3506,19,3523,1512000,3525,1026000,3494,0,3502,0,3524,100,3493,11,3496,0,3503,0,
3528,3,3527,255,3528,1325641,88306,3529,128000,3529,19,3623,1512000,3626,1026000,3526,0,3527,0,3625,22,3526,0,3527,0,3528,0,
