App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:26:57 AM","17 sec","Trepn_2018.10.20_032656.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
6,3,2,255,6,1839451,605405,7,320000,7,0,60,1512000,62,1512000,64,1026000,3,0,62,100,63,100,2,0,4,0,
69,3,66,255,69,2313559,1079513,70,320000,70,0,161,1512000,163,1512000,165,1512000,66,1512000,163,80,165,88,65,40,68,40,
170,3,167,255,170,2701327,1467281,171,320000,172,0,261,1512000,263,1512000,265,1512000,168,1512000,262,66,264,100,167,50,170,100,
268,3,266,255,268,2687647,1453601,269,320000,269,0,361,1512000,363,1512000,365,1512000,267,1512000,363,62,365,60,266,50,268,100,
371,3,368,255,371,2290910,1056864,372,320000,372,0,462,1512000,464,1512000,465,1512000,369,1512000,463,33,465,50,367,36,371,100,
470,3,467,255,470,2037819,803773,470,320000,471,0,562,1512000,564,1512000,566,1512000,468,1512000,563,55,565,66,467,88,470,50,
569,3,567,255,569,2345632,1111586,570,320000,570,0,663,1134000,665,1026000,667,1512000,568,1512000,665,12,667,11,567,100,569,45,
672,3,670,255,672,1301507,67461,673,320000,673,0,763,1026000,766,1026000,770,1512000,670,1026000,766,63,769,77,669,100,672,0,
778,3,775,255,778,1446742,212696,779,320000,780,0,864,1026000,866,1512000,868,1512000,776,0,866,90,868,90,774,60,777,0,
874,3,871,255,873,2406853,1172807,875,320000,876,0,914,1512000,917,1512000,920,1512000,871,1512000,917,75,919,100,870,87,873,50,
934,3,929,255,934,2872334,1638288,934,320000,936,0,1014,1512000,1016,1512000,1018,1512000,930,1512000,1016,60,1018,53,928,83,933,85,
1022,3,1020,255,1022,2208826,974780,1023,320000,1024,0,1115,1512000,1117,1512000,1118,1512000,1020,1512000,1116,50,1118,63,1020,58,1022,75,
1122,3,1120,255,1122,2201986,967940,1123,200000,1123,0,1215,1026000,1218,1512000,1220,1026000,1120,1512000,1217,28,1219,70,1120,66,1122,66,
1224,3,1221,255,1223,1281157,47111,1224,128000,1225,0,1316,1026000,1318,1512000,1320,1026000,1222,1134000,1318,22,1320,22,1221,22,1223,22,
1324,3,1322,255,1324,906196,0,1324,200000,1325,0,1418,1026000,1426,1512000,1428,0,1322,1026000,1426,61,1428,36,1322,30,1324,11,
1431,3,1429,255,1431,994671,0,1432,200000,1432,0,1517,1026000,1518,1512000,1520,0,1430,0,1518,60,1520,50,1429,0,1430,0,
1521,3,1521,255,1521,1086791,0,1522,200000,1522,0,1621,1026000,1625,1026000,1629,0,1521,0,1624,10,1627,30,1520,0,1521,0,
1634,3,1631,255,1633,671890,0,1634,200000,1636,0,1718,1512000,1720,1512000,1722,1026000,1632,0,1720,100,1722,90,1630,0,1633,0,
1726,3,1724,255,1725,2026210,792164,1726,200000,1727,18,1818,1512000,1820,1026000,1822,1512000,1725,0,1820,25,1821,40,1724,55,1725,0,
1825,3,1824,255,1825,1668701,434655,1825,200000,1826,18,1919,1512000,1921,1026000,1922,1512000,1824,0,1920,45,1922,60,1823,90,1824,0,
1925,3,1924,255,1925,1338011,103965,1925,128000,1926,18,2023,810000,2031,1026000,2040,0,1924,0,2027,30,2039,20,1923,11,1924,0,
2054,3,2046,255,2053,784237,0,2057,128000,2061,18,2119,1512000,2122,1512000,2123,0,2047,0,2121,60,2123,62,2043,0,2053,0,
2125,3,2124,255,2124,1470049,236003,2125,128000,2126,18,2220,1026000,2224,1026000,2227,0,2124,0,2223,22,2226,41,2123,0,2124,0,
2230,3,2228,255,2230,865128,0,2230,128000,2231,18,2321,1026000,2324,1026000,2327,0,2229,0,2324,54,2326,44,2227,0,2229,0,
2329,3,2328,255,2329,992680,0,2330,128000,2331,18,2422,1026000,2427,1026000,2430,0,2328,0,2425,42,2429,60,2327,0,2329,0,
2434,3,2431,255,2433,1007257,0,2435,128000,2436,18,2522,1512000,2524,1512000,2526,1512000,2432,0,2524,80,2525,100,2431,0,2433,0,
2529,3,2528,255,2529,2003591,769545,2529,128000,2530,18,2623,1026000,2625,1512000,2626,1512000,2528,0,2624,20,2626,90,2527,20,2528,0,
2629,3,2628,255,2629,1809707,575661,2630,128000,2630,18,2723,1026000,2726,1512000,2727,1512000,2628,0,2725,22,2727,30,2628,71,2629,0,
2730,3,2729,255,2729,1447620,213574,2730,128000,2730,18,2824,1026000,2826,1512000,2828,1026000,2729,0,2826,20,2827,20,2728,77,2729,0,
2830,3,2829,255,2830,881670,0,2830,128000,2831,15,2924,1026000,2927,1512000,2928,1026000,2829,0,2926,38,2928,33,2829,10,2830,0,
2930,3,2929,255,2930,1072621,0,2931,128000,2931,15,3025,1026000,3029,594000,3031,1026000,2930,0,3028,0,3031,10,2929,25,2930,0,
3035,3,3033,255,3035,673352,0,3035,128000,3036,15,3126,1026000,3129,1026000,3132,1026000,3034,0,3129,25,3131,12,3033,11,3034,0,
3136,3,3134,255,3135,832314,0,3136,128000,3137,15,3248,384000,3256,0,3272,0,3135,0,3252,54,3269,0,3133,22,3135,0,
3287,3,3274,255,3286,664327,0,3287,128000,3291,15,3329,1512000,3333,0,3334,0,3275,0,3333,71,3334,0,3272,0,3286,0,
3337,3,3335,255,3337,1102958,0,3337,128000,3339,15,3430,1512000,3432,1026000,3434,0,3336,0,3432,37,3434,22,3335,0,3336,0,
3436,3,3435,255,3436,950564,0,3436,128000,3437,15,3530,1512000,3532,1026000,3534,0,3435,0,3532,12,3534,27,3434,0,3435,0,
3536,3,3535,255,3536,797778,0,3536,128000,3537,15,3631,1026000,3634,1026000,3636,0,3535,0,3634,36,3636,22,3535,0,3536,0,
3639,3,3637,255,3638,828670,0,3639,128000,3640,15,3732,384000,3736,1026000,3741,0,3638,0,3735,44,3737,22,3637,0,3638,0,
3744,3,3743,255,3744,735793,0,3745,128000,3749,15,3832,1512000,3834,1026000,3836,0,3743,0,3834,40,3835,25,3742,0,3744,0,
3837,3,3836,255,3837,982018,0,3838,128000,3838,15,3932,1512000,3935,1026000,3937,0,3837,0,3934,33,3937,20,3836,0,3837,0,
3943,3,3939,255,3943,915914,0,3944,128000,3944,15,4034,594000,4039,1026000,4042,0,3941,0,4037,22,4041,22,3938,0,3943,0,
4046,3,4043,255,4046,732600,0,4047,128000,4048,15,4134,918000,4146,1026000,4152,0,4044,0,4142,60,4151,63,4043,0,4045,0,
4162,3,4159,255,4162,1030639,0,4163,128000,4164,15,4235,1026000,4238,1026000,4242,0,4160,0,4237,44,4241,40,4154,0,4161,0,
4246,3,4243,255,4245,923423,0,4246,128000,4248,15,4335,1026000,4343,1026000,4346,0,4244,0,4338,50,4345,50,4243,0,4244,0,
4348,3,4347,255,4348,981733,0,4349,128000,4350,15,4436,1026000,4442,1026000,4445,0,4347,0,4441,30,4444,33,4346,0,4348,0,
4450,3,4448,255,4450,846892,0,4451,128000,4451,15,4536,1026000,4544,1026000,4547,0,4448,0,4543,25,4546,37,4447,0,4449,0,
4549,3,4548,255,4549,843247,0,4549,128000,4550,15,4637,384000,4644,384000,4649,0,4548,0,4643,25,4648,20,4547,0,4548,0,
4655,3,4652,255,4654,656489,0,4657,128000,4660,15,4738,1026000,4741,1026000,4743,0,4653,0,4741,66,4743,42,4651,0,4654,0,
4750,3,4747,255,4750,1010888,0,4751,128000,4752,17,4838,1026000,4841,1026000,4843,0,4748,0,4840,40,4843,22,4744,0,4750,0,
4846,3,4845,255,4846,855405,0,4847,128000,4848,17,4942,594000,4948,1026000,4950,0,4845,0,4947,25,4950,41,4844,0,4846,0,
4952,3,4951,255,4952,818791,0,4953,128000,4954,17,5039,1026000,5042,1026000,5045,0,4952,0,5041,27,5044,22,4951,0,4952,0,
5048,3,5046,255,5047,808029,0,5048,128000,5050,17,5140,1026000,5145,918000,5150,0,5047,0,5144,50,5149,60,5045,0,5047,0,
5153,3,5151,255,5153,995420,0,5154,128000,5155,17,5240,1026000,5243,1026000,5245,0,5152,0,5242,41,5244,36,5151,0,5153,0,
5248,3,5246,255,5248,910071,0,5249,128000,5250,17,5341,702000,5345,702000,5348,0,5247,0,5344,33,5347,40,5246,0,5248,0,
5354,3,5352,255,5354,778274,0,5355,128000,5356,17,5441,1026000,5446,1026000,5449,0,5353,0,5444,22,5448,11,5351,0,5353,0,
5452,3,5450,255,5452,749719,0,5452,128000,5453,17,5542,1026000,5545,1026000,5547,0,5451,0,5544,45,5547,54,5450,0,5451,0,
5550,3,5548,255,5549,990246,0,5551,128000,5553,17,5642,1026000,5645,1026000,5648,0,5549,0,5645,25,5647,40,5548,0,5549,0,
5650,3,5649,255,5650,866338,0,5651,128000,5652,17,5743,918000,5746,1026000,5748,0,5649,0,5745,45,5748,14,5648,0,5650,0,
5751,3,5749,255,5750,818287,0,5752,128000,5756,17,5844,918000,5847,1026000,5849,0,5750,0,5846,30,5849,25,5749,0,5750,0,
5852,3,5851,255,5852,812438,0,5853,128000,5854,17,5944,384000,5947,1026000,5950,0,5851,0,5947,62,5949,50,5850,0,5852,0,
5958,3,5953,255,5958,865670,0,5959,128000,5960,17,6045,1512000,6046,1512000,6048,0,5953,0,6046,80,6048,80,5952,0,5957,0,
6049,3,6049,255,6049,1723902,489856,6050,128000,6050,17,6145,1512000,6147,1512000,6148,0,6049,0,6146,40,6148,44,6048,0,6049,0,
6150,3,6149,255,6150,1204040,0,6150,128000,6151,17,6246,1134000,6248,1026000,6250,0,6149,0,6248,20,6249,22,6149,0,6150,0,
6252,3,6251,255,6252,795089,0,6252,128000,6253,17,6346,1026000,6350,1026000,6352,0,6251,0,6349,63,6351,54,6250,0,6251,0,
6361,3,6353,255,6354,1055845,0,6361,128000,6365,17,6447,1512000,6450,1512000,6452,0,6353,0,6449,50,6451,50,6353,0,6354,0,
6455,3,6453,255,6455,1313484,79438,6456,128000,6457,17,6548,1512000,6550,1512000,6554,0,6454,0,6550,90,6553,90,6453,0,6454,0,
6557,3,6555,255,6557,1860707,626661,6558,128000,6559,17,6648,1512000,6650,1512000,6651,0,6555,0,6650,90,6651,44,6554,0,6556,0,
6653,3,6652,255,6653,1546054,312008,6654,128000,6655,17,6749,1512000,6751,1512000,6752,0,6652,0,6750,100,6752,54,6652,0,6653,0,
6753,3,6753,255,6753,1682860,448814,6754,128000,6755,17,6849,1512000,6851,1134000,6854,0,6753,0,6851,100,6853,33,6752,0,6753,0,
6862,3,6858,255,6862,1454490,220444,6865,128000,6866,16,6950,1512000,6952,1512000,6953,0,6859,0,6951,100,6953,55,6856,0,6860,0,
6955,3,6954,255,6955,1683621,449575,6955,128000,6956,16,7050,1512000,7053,1134000,7056,0,6954,0,7052,80,7055,61,6953,0,6954,0,
7061,3,7057,255,7060,1431247,197201,7061,128000,7067,16,7151,1512000,7153,1134000,7155,1026000,7058,0,7152,100,7154,66,7056,0,7059,0,
7158,3,7157,255,7158,1589417,355371,7158,128000,7159,16,7251,1512000,7254,1026000,7256,1512000,7157,0,7253,30,7256,22,7156,0,7158,0,
7260,3,7259,255,7260,1592790,358744,7260,128000,7261,16,7352,1512000,7355,1026000,7357,1512000,7259,0,7355,22,7356,30,7258,100,7259,0,
7360,3,7360,255,7360,1567222,333176,7361,128000,7361,16,7452,1026000,7455,1026000,7457,1512000,7360,0,7454,44,7456,54,7359,100,7360,0,
7460,3,7459,255,7460,1664552,430506,7461,128000,7461,16,7553,1026000,7556,1026000,7559,1512000,7459,0,7555,38,7558,30,7458,100,7460,0,
7562,3,7561,255,7562,1555221,321175,7563,128000,7564,16,7653,1026000,7656,1026000,7658,1512000,7561,0,7655,44,7657,33,7560,100,7562,0,
7660,3,7659,255,7660,1588020,353974,7661,128000,7662,16,7754,1026000,7757,1026000,7760,1512000,7660,0,7757,27,7759,33,7659,100,7660,0,
7764,3,7762,255,7764,1526066,292020,7765,128000,7766,15,7855,1026000,7857,1026000,7859,1512000,7763,0,7856,16,7858,50,7761,100,7764,0,
7862,3,7861,255,7862,1541854,307808,7863,128000,7864,15,7956,1026000,7960,1026000,7962,1512000,7862,0,7959,22,7961,40,7861,100,7862,0,
7966,3,7964,255,7965,1527276,293230,7966,128000,7967,15,8056,1026000,8059,1026000,8061,1512000,7965,0,8058,33,8060,45,7964,100,7965,0,
8064,3,8063,255,8064,1585586,351540,8065,128000,8066,15,8156,1026000,8159,1026000,8161,1512000,8063,0,8158,66,8160,50,8062,100,8064,0,
8164,3,8163,255,8164,1450460,216414,8165,128000,8166,15,8256,1512000,8258,1026000,8260,1512000,8163,0,8258,63,8260,44,8162,60,8164,0,
8263,3,8262,255,8262,1482199,248153,8264,128000,8265,15,8357,1512000,8359,1026000,8360,1512000,8262,0,8358,11,8360,40,8261,40,8262,0,
8363,3,8362,255,8363,838315,0,8363,128000,8364,15,8458,1026000,8461,1026000,8464,0,8362,0,8461,0,8463,11,8361,0,8362,0,
8469,3,8467,255,8469,657385,0,8470,320000,8471,0,8558,1512000,8561,1026000,8563,0,8468,0,8560,81,8563,80,8466,0,8468,0,
8566,3,8564,255,8566,1371727,137681,8568,320000,8569,0,8658,1512000,8660,1512000,8662,0,8565,0,8660,54,8662,100,8564,0,8565,0,
8664,3,8663,255,8664,1579520,345474,8665,320000,8666,0,8762,1512000,8764,1512000,8767,0,8663,0,8764,72,8766,81,8663,0,8664,0,
8768,3,8767,255,8768,1572680,338634,8769,320000,8769,0,8859,1512000,8861,1512000,8863,0,8768,0,8861,12,8862,11,8767,0,8768,0,
8865,3,8864,255,8865,683442,0,8865,320000,8866,0,8959,1512000,8962,1512000,8963,0,8864,0,8961,11,8963,0,8863,0,8864,0,
8965,3,8964,255,8965,601359,0,8965,320000,8966,0,9060,1026000,9063,1026000,9066,0,8964,0,9063,10,9066,10,8963,0,8964,0,
9070,3,9068,255,9070,599003,0,9071,320000,9072,0,9161,1026000,9164,1026000,9167,0,9069,0,9164,33,9166,40,9067,0,9069,0,
9169,3,9168,255,9169,792153,0,9170,320000,9171,0,9262,1026000,9269,384000,9277,0,9168,0,9268,9,9275,20,9167,0,9169,0,
9285,3,9281,255,9285,576333,0,9287,320000,9288,0,9362,918000,9365,1026000,9368,0,9282,0,9365,50,9367,63,9279,0,9284,0,
9370,3,9369,255,9370,908832,0,9371,320000,9372,0,9463,918000,9466,1026000,9469,0,9370,0,9465,12,9468,36,9369,0,9370,0,
9471,3,9470,255,9471,694062,0,9472,320000,9473,0,9564,1026000,9568,486000,9573,0,9470,0,9568,11,9572,30,9469,0,9471,0,
9576,3,9575,255,9576,602245,0,9577,320000,9578,0,9669,1026000,9692,0,9707,0,9575,0,9685,11,9700,0,9574,0,9576,0,
9724,3,9719,255,9724,566203,0,9726,320000,9727,0,9765,1512000,9766,0,9767,0,9721,0,9766,90,9767,0,9709,0,9721,0,
9768,3,9768,255,9768,1141741,0,9769,320000,9769,0,9865,1512000,9867,0,9867,0,9768,0,9866,30,9867,0,9767,0,9768,0,
9869,3,9868,255,9869,731324,0,9869,320000,9870,0,9969,1026000,9972,0,9973,0,9868,0,9971,33,9972,0,9868,0,9869,0,
9976,3,9974,255,9976,646379,0,9977,320000,9978,0,10072,384000,10096,0,10109,0,9974,0,10087,33,10102,0,9973,0,9976,0,
10124,3,10117,255,10124,554856,0,10127,320000,10127,0,10170,1512000,10172,0,10173,0,10120,0,10172,77,10173,0,10111,0,10122,0,
10176,3,10174,255,10175,1052818,0,10176,320000,10177,0,10270,1512000,10272,0,10273,0,10175,0,10272,30,10273,0,10174,0,10175,0,
10274,3,10273,255,10274,731324,0,10275,320000,10275,0,10370,1512000,10373,0,10373,0,10274,0,10372,40,10373,0,10273,0,10274,0,
10375,3,10374,255,10375,799727,0,10375,320000,10376,0,10471,1512000,10473,0,10476,0,10374,0,10473,20,10475,0,10374,0,10375,0,
10481,3,10478,255,10481,662921,0,10483,320000,10496,0,10573,1026000,10576,0,10577,0,10479,0,10576,75,10577,0,10476,0,10481,0,
10580,3,10578,255,10579,799442,0,10580,320000,10581,0,10675,384000,10699,0,10709,0,10579,0,10682,25,10705,0,10578,0,10579,0,
10725,3,10720,255,10723,547888,0,10725,320000,10726,0,10774,1512000,10776,0,10777,0,10722,0,10776,77,10776,0,10715,0,10722,0,
10778,3,10777,255,10778,1052818,0,10779,320000,10779,0,10875,1512000,10879,0,10881,0,10778,0,10878,18,10879,0,10777,0,10778,0,
10888,3,10884,255,10888,649241,0,10889,320000,10891,0,10975,1134000,10978,0,10979,0,10886,0,10977,50,10978,0,10883,0,10886,0,
10981,3,10980,255,10981,739761,0,10982,320000,10983,0,11077,384000,11086,0,11091,0,10980,0,11082,14,11088,0,10979,0,10981,0,
11121,3,11101,255,11121,538308,0,11123,320000,11125,0,11176,1512000,11179,0,11179,0,11114,0,11178,81,11179,0,11099,0,11120,0,
11181,3,11180,255,11181,1080179,0,11181,320000,11182,0,11277,1512000,11279,0,11279,0,11180,0,11278,12,11279,0,11180,0,11181,0,
11281,3,11280,255,11280,608199,0,11281,320000,11281,0,11377,1134000,11379,0,11380,0,11280,0,11379,30,11380,0,11279,0,11280,0,
11382,3,11381,255,11382,654303,0,11382,320000,11383,0,11479,384000,11491,0,11511,0,11381,0,11485,0,11506,0,11380,0,11381,0,
11523,3,11519,255,11521,526116,0,11523,320000,11526,0,11578,1512000,11580,0,11581,0,11520,0,11580,66,11581,0,11518,0,11521,0,
11582,3,11582,255,11582,977575,0,11583,320000,11583,0,11679,1512000,11682,0,11684,0,11582,0,11681,0,11683,0,11581,0,11582,0,
11691,3,11686,255,11689,526116,0,11691,320000,11693,0,11779,1512000,11781,0,11782,0,11688,0,11781,63,11782,0,11686,0,11689,0,
11783,3,11782,255,11783,957054,0,11784,320000,11784,0,11879,1512000,11882,0,11882,0,11783,0,11881,22,11882,0,11782,0,11783,0,
11884,3,11883,255,11883,676602,0,11884,320000,11885,0,11980,918000,11984,0,11985,0,11883,0,11984,41,11985,0,11882,0,11883,0,
