Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.131,20.131,screen bright,18.167704094
0,20.131,20.131,wifi running,0.2713135394
0,20.131,20.131,phone_scanning,10.5331471562
0.0,23.381366,23.381366,core 0 cpu_idle start,0.349025340965
23.381366,25.605823,2.224457,core 0 cpu_idle,0.0332055818676
25.605823,25.605884,6.09999988228e-05,core 0 cpu_frequency,5.45045664482e-05
25.605884,25.655749,0.0498650000009,core 0 cpu_idle,0.000744359787513
25.655749,25.65581,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.65581,25.805804,0.149993999999,core 0 cpu_idle,0.00223903543499
25.805804,25.805835,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.805835,25.855762,0.049927,core 0 cpu_idle,0.0007452852925
25.855762,25.85686,0.00109799999336,core 0 cpu_frequency,0.000811558696094
25.85686,26.007587,0.150727,core 0 cpu_idle,0.0022499772925
26.007587,26.111713,0.104126000006,core 0 cpu_frequency,0.106450144389
26.111713,26.405719,0.294005999996,core 0 cpu_idle,0.00438877456495
26.405719,26.407489,0.00177000000258,core 0 cpu_frequency,0.00158152597731
26.407489,26.505756,0.0982670000012,core 0 cpu_idle,0.00146688064252
26.505756,26.508014,0.00225800000044,core 0 cpu_frequency,0.00166894312132
26.508014,26.705798,0.197783999996,core 0 cpu_idle,0.00295242065995
26.705798,26.7112,0.0054020000025,core 0 cpu_frequency,0.00399275055085
26.7112,26.905841,0.194640999995,core 0 cpu_idle,0.00290550352742
26.905841,26.905872,3.10000032187e-05,core 0 cpu_frequency,3.16919387905e-05
26.905872,27.005725,0.0998529999997,core 0 cpu_idle,0.0014905556575
27.005725,27.005756,3.10000032187e-05,core 0 cpu_frequency,2.76990453759e-05
27.005756,27.055926,0.050169999995,core 0 cpu_idle,0.000748912674925
27.055926,27.055987,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
27.055987,27.15581,0.0998230000041,core 0 cpu_idle,0.00149010783256
27.15581,27.254108,0.0982979999972,core 0 cpu_frequency,0.100492060506
27.254108,27.605823,0.351715000004,core 0 cpu_idle,0.00525022566256
27.605823,27.605884,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
27.605884,27.655627,0.0497429999959,core 0 cpu_idle,0.000742538632439
27.655627,27.655658,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
27.655658,27.705646,0.0499879999988,core 0 cpu_idle,0.000746195869983
27.705646,27.705676,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
27.705676,27.755633,0.0499569999956,core 0 cpu_idle,0.000745733117435
27.755633,27.755664,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
27.755664,27.805682,0.0500180000017,core 0 cpu_idle,0.000746643695026
27.805682,27.850116,0.0444339999958,core 0 cpu_frequency,0.0328422580299
27.850116,27.855853,0.0057369999995,core 0 cpu_idle,8.56390674925e-05
27.855853,27.855884,3.10000032187e-05,core 0 cpu_frequency,3.16919387905e-05
27.855884,28.005756,0.149872000002,core 0 cpu_idle,0.00223721428003
28.005756,28.01369,0.00793399999384,core 0 cpu_frequency,0.00708916783949
28.01369,28.055774,0.0420840000006,core 0 cpu_idle,0.000628208910009
28.055774,28.102801,0.0470270000005,core 0 cpu_frequency,0.048076666154
28.102801,28.205737,0.102936000003,core 0 cpu_idle,0.00153657714004
28.205737,28.205768,3.09999959427e-05,core 0 cpu_frequency,2.76990388747e-05
28.205768,28.305774,0.100006000001,core 0 cpu_idle,0.00149283956501
28.305774,28.305835,6.10000060988e-05,core 0 cpu_frequency,4.50865990077e-05
28.305835,28.35567,0.049834999998,core 0 cpu_idle,0.00074391196247
28.35567,28.358661,0.0029910000012,core 0 cpu_frequency,0.00221072138039
28.358661,28.455646,0.0969849999965,core 0 cpu_idle,0.00144774358745
28.455646,28.455676,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
28.455676,28.505633,0.0499569999956,core 0 cpu_idle,0.000745733117435
28.505633,28.506183,0.000550000004296,core 0 cpu_frequency,0.000406518478175
28.506183,28.60564,0.0994569999966,core 0 cpu_idle,0.00148464436745
28.60564,28.60567,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
28.60567,28.705798,0.100127999998,core 0 cpu_idle,0.00149466071997
28.705798,28.725757,0.0199589999975,core 0 cpu_frequency,0.0108364296841
28.725757,28.755817,0.0300600000046,core 0 cpu_idle,0.000448720650069
28.755817,28.756,0.000182999996468,core 0 cpu_frequency,0.000103883882495
28.756,28.805743,0.0497430000032,core 0 cpu_idle,0.000742538632548
28.805743,28.805804,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
28.805804,29.005633,0.199828999997,core 0 cpu_idle,0.00298294739746
29.005633,29.005664,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
29.005664,29.055865,0.0502009999982,core 0 cpu_idle,0.000749375427473
29.055865,29.055896,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
29.055896,29.10564,0.0497439999963,core 0 cpu_idle,0.000742553559944
29.10564,29.105701,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
29.105701,29.155627,0.0499259999997,core 0 cpu_idle,0.000745270364995
29.155627,29.155658,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
29.155658,29.205646,0.0499879999988,core 0 cpu_idle,0.000746195869983
29.205646,29.205737,9.10000017029e-05,core 0 cpu_frequency,6.72603307587e-05
29.205737,29.310596,0.104858999999,core 0 cpu_idle,0.00156528272249
29.310596,29.318896,0.00830000000133,core 0 cpu_frequency,0.00848526015136
29.318896,29.405719,0.0868229999978,core 0 cpu_idle,0.00129605033247
29.405719,29.405749,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
29.405749,29.605945,0.200195999998,core 0 cpu_idle,0.00298842578997
29.605945,29.605975,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
29.605975,29.705646,0.0996709999963,core 0 cpu_idle,0.00148783885244
29.705646,29.705676,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
29.705676,29.755633,0.0499569999956,core 0 cpu_idle,0.000745733117435
29.755633,29.755664,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
29.755664,29.805621,0.0499570000029,core 0 cpu_idle,0.000745733117543
29.805621,29.805652,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
