App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:34:58 AM","17 sec","Trepn_2018.10.20_033457.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
58,3,57,255,58,1908751,709270,60,320000,61,0,48,1512000,50,1512000,52,1026000,58,0,50,100,52,100,55,4,58,0,
158,3,155,255,157,2660057,1460576,158,320000,159,0,149,1512000,151,1512000,153,1512000,156,1026000,151,80,153,100,155,100,157,60,
261,3,258,255,261,2432983,1233502,262,320000,263,0,250,1512000,252,1512000,255,1512000,258,1026000,252,50,254,100,257,100,260,54,
359,3,357,255,359,2598943,1399462,360,320000,360,0,350,1512000,352,1512000,355,1512000,357,1026000,352,70,354,100,356,100,359,62,
458,3,456,255,458,1937286,737805,459,320000,459,0,450,1512000,452,1512000,454,1512000,457,1026000,452,44,454,100,456,33,458,55,
558,3,556,255,558,2174625,975144,559,320000,559,0,551,1512000,553,1512000,555,1512000,557,1512000,552,50,554,100,556,50,558,41,
659,3,657,255,659,1891083,691602,659,320000,660,0,651,1512000,653,1512000,655,1026000,657,1026000,653,50,655,100,657,33,659,60,
760,3,758,255,760,1304001,104520,761,320000,763,0,752,1512000,754,1512000,756,1026000,758,1026000,754,12,756,90,758,22,760,0,
865,3,858,255,865,2109802,910321,866,320000,867,0,852,1512000,854,1512000,856,1026000,859,1026000,854,88,856,70,858,72,864,66,
960,3,958,255,960,2614866,1415385,961,400000,961,0,953,1512000,955,1512000,957,1512000,959,1026000,954,100,956,77,958,90,960,72,
1061,3,1060,255,1061,2810772,1611291,1062,400000,1062,0,1053,1512000,1056,1512000,1058,1512000,1060,1512000,1056,90,1058,81,1059,88,1061,75,
1162,3,1160,255,1162,1784728,585247,1163,400000,1163,0,1154,1512000,1156,1512000,1157,1512000,1160,1512000,1155,54,1157,40,1159,60,1162,30,
1261,3,1260,255,1261,2173948,974467,1262,400000,1262,0,1255,1512000,1257,1512000,1258,1512000,1260,1026000,1256,80,1258,70,1259,60,1261,58,
1366,3,1363,255,1365,1155251,0,1366,400000,1368,0,1355,1512000,1357,1512000,1361,1512000,1363,1026000,1357,11,1360,27,1362,30,1365,45,
1464,3,1462,255,1464,1851550,652069,1465,400000,1465,0,1456,1512000,1458,1026000,1460,1026000,1462,1026000,1457,100,1459,66,1461,60,1464,50,
1567,3,1564,255,1566,1147734,0,1567,400000,1568,0,1556,1512000,1559,1026000,1561,1026000,1564,1026000,1558,36,1560,36,1563,22,1566,45,
1665,3,1663,255,1665,1529722,330241,1666,400000,1667,0,1657,1026000,1659,1026000,1661,1026000,1664,1512000,1659,70,1660,33,1663,41,1665,70,
1771,3,1766,255,1771,1331639,132158,1772,400000,1773,0,1757,1512000,1759,1026000,1763,1026000,1768,0,1759,81,1762,33,1765,36,1771,0,
1872,3,1870,255,1872,2037982,838501,1873,320000,1874,16,1859,1512000,1863,1512000,1866,1026000,1870,0,1861,80,1865,100,1869,77,1871,0,
1971,3,1966,255,1970,3120555,1921074,1972,320000,1973,16,1959,1512000,1961,1512000,1964,1512000,1967,1512000,1961,100,1963,81,1966,88,1968,53,
2069,3,2066,255,2069,3209479,2009998,2069,320000,2070,16,2060,1512000,2062,1512000,2064,1512000,2067,1512000,2061,90,2063,100,2066,90,2068,55,
2168,3,2166,255,2168,2894826,1695345,2169,400000,2169,16,2160,1512000,2162,1512000,2164,1512000,2167,1512000,2162,55,2164,100,2165,44,2168,90,
2277,3,2274,255,2277,2817157,1617676,2278,400000,2279,16,2261,1512000,2263,1512000,2270,1512000,2274,1512000,2263,55,2269,90,2272,44,2276,63,
2374,3,2371,255,2374,3480665,2281184,2374,400000,2375,16,2362,1512000,2365,1512000,2366,1512000,2371,1512000,2364,72,2366,87,2370,90,2373,100,
