App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:09:32 AM","17 sec","Trepn_2018.10.20_020931.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
62,3,60,255,62,2578202,1412156,62,320000,63,0,49,1512000,51,1512000,58,1512000,61,0,51,100,52,100,59,100,61,0,
158,3,155,255,157,2516639,1350593,159,320000,160,0,149,1512000,152,1512000,153,1512000,156,1512000,151,90,153,100,155,55,157,46,
257,3,255,255,257,2598723,1432677,257,320000,258,0,250,1512000,252,1512000,253,1512000,255,1512000,251,90,253,50,255,63,257,100,
358,3,356,255,358,2318271,1152225,359,320000,359,0,350,1512000,352,1512000,354,1512000,356,1512000,352,72,354,60,356,30,358,100,
408,3,406,255,408,2208826,1042780,408,320000,409,0,401,1512000,403,1512000,404,1512000,406,1512000,402,25,404,71,406,50,408,100,
509,3,506,255,508,1983097,817051,509,320000,510,0,501,1512000,503,1512000,505,1512000,507,1512000,502,66,504,14,506,33,508,100,
609,3,607,255,609,2113062,947016,609,320000,610,0,601,1512000,603,1512000,605,1512000,607,1512000,603,44,605,44,606,44,609,100,
709,3,707,255,709,1593200,427154,709,320000,710,0,702,1512000,704,1512000,705,1512000,707,1512000,703,22,705,11,707,33,709,90,
825,3,821,255,825,835885,0,826,320000,827,0,804,1026000,807,1026000,811,1026000,824,0,806,30,810,22,820,33,825,0,
917,3,909,255,916,2851813,1685767,922,320000,923,0,904,1512000,906,1512000,907,1512000,910,1512000,905,90,907,90,909,70,916,90,
1014,3,1010,255,1013,2626084,1460038,1014,400000,1015,0,1004,1512000,1006,1512000,1008,1512000,1011,1512000,1006,72,1008,70,1010,75,1013,90,
1112,3,1109,255,1112,3057022,1890976,1113,400000,1114,0,1104,1512000,1106,1512000,1108,1512000,1110,1512000,1106,100,1107,80,1109,90,1112,100,
1212,3,1210,255,1212,1906280,740234,1213,400000,1213,0,1205,1512000,1207,1512000,1209,1512000,1211,1026000,1207,50,1208,60,1210,63,1212,54,
1314,3,1312,255,1314,785093,0,1315,400000,1315,0,1306,1512000,1308,1512000,1310,1512000,1312,1026000,1307,22,1309,0,1311,10,1314,11,
1417,3,1414,255,1417,599003,0,1418,400000,1419,0,1406,1026000,1409,1026000,1412,1026000,1415,1026000,1408,0,1411,10,1413,10,1417,0,
1517,3,1515,255,1516,810375,0,1517,400000,1519,0,1507,1026000,1511,1026000,1514,0,1516,0,1510,37,1513,41,1514,0,1516,0,
1622,3,1619,255,1622,817664,0,1623,400000,1624,0,1609,1026000,1614,1026000,1618,0,1620,0,1613,30,1617,50,1619,0,1621,0,
1716,3,1715,255,1716,2509799,1343753,1717,320000,1718,0,1710,1512000,1712,1512000,1714,1512000,1716,0,1712,90,1713,100,1715,100,1716,0,
1817,3,1815,255,1816,1479044,312998,1817,200000,1817,17,1810,1512000,1812,1512000,1814,1512000,1815,1026000,1812,44,1813,30,1815,44,1816,40,
1918,3,1916,255,1918,1405785,239739,1918,200000,1919,17,1911,1512000,1913,1512000,1914,1512000,1916,1026000,1912,27,1914,22,1915,33,1917,33,
2027,3,2023,255,2027,1442555,276509,2029,128000,2030,17,2012,1026000,2016,1026000,2018,1026000,2024,0,2015,57,2018,70,2020,70,2026,0,
2122,3,2120,255,2121,1555691,389645,2122,128000,2123,17,2114,1026000,2116,1026000,2118,1512000,2120,0,2115,42,2117,62,2119,80,2121,0,
2222,3,2221,255,2222,1587689,421643,2222,128000,2223,17,2213,1026000,2215,1134000,2218,1512000,2221,0,2215,72,2217,70,2220,58,2221,0,
2326,3,2321,255,2326,2092252,926206,2329,128000,2330,17,2313,1512000,2316,1134000,2318,1512000,2321,0,2315,77,2318,75,2320,90,2322,0,
2426,3,2423,255,2426,2729242,1563196,2426,128000,2427,17,2413,1512000,2416,1134000,2418,1512000,2423,1512000,2416,70,2418,80,2420,100,2426,87,
2523,3,2521,255,2523,2775437,1609391,2524,128000,2524,17,2514,1512000,2517,1134000,2519,1512000,2521,1512000,2516,90,2518,70,2520,90,2523,90,
2621,3,2619,255,2621,1480935,314889,2622,128000,2622,17,2614,1512000,2616,1134000,2618,1512000,2620,1512000,2616,40,2617,60,2619,27,2621,20,
2721,3,2720,255,2721,1431897,265851,2722,128000,2722,17,2715,1512000,2717,1026000,2718,1512000,2720,1512000,2716,12,2718,40,2719,40,2721,44,
2829,3,2827,255,2829,767941,0,2830,320000,2831,0,2815,1026000,2818,1026000,2821,1026000,2828,0,2818,20,2820,18,2826,0,2829,0,
2931,3,2926,255,2930,788509,0,2932,320000,2934,0,2916,1026000,2921,1026000,2924,0,2929,0,2919,36,2923,36,2925,0,2930,0,
3029,3,3023,255,3029,1383165,217119,3030,320000,3032,0,3016,1512000,3019,1026000,3022,0,3025,0,3018,88,3021,70,3023,0,3026,0,
3124,3,3123,255,3124,1483756,317710,3125,320000,3126,0,3117,1512000,3119,1512000,3122,0,3123,0,3118,40,3121,100,3122,0,3124,0,
3224,3,3223,255,3223,1675284,509238,3224,320000,3225,0,3217,1512000,3219,1512000,3222,0,3223,0,3219,88,3221,80,3222,0,3223,0,
3323,3,3322,255,3323,697123,0,3324,320000,3324,0,3318,1512000,3320,1512000,3322,0,3323,0,3319,25,3321,0,3322,0,3323,0,
3427,3,3426,255,3427,750891,0,3428,320000,3428,0,3418,1026000,3420,1512000,3425,0,3426,0,3420,11,3424,27,3425,0,3427,0,
3542,3,3538,255,3542,559210,0,3543,320000,3544,0,3520,384000,3528,384000,3535,0,3539,0,3527,20,3534,18,3537,0,3540,0,
3629,3,3628,255,3629,780299,0,3630,320000,3631,0,3620,918000,3624,918000,3627,0,3628,0,3623,50,3626,33,3627,0,3629,0,
3736,3,3732,255,3736,570947,0,3737,320000,3739,0,3721,1026000,3726,384000,3730,0,3734,0,3725,8,3729,18,3731,0,3735,0,
3826,3,3825,255,3826,994280,0,3827,320000,3828,0,3821,1026000,3823,1512000,3825,0,3826,0,3823,44,3824,45,3825,0,3826,0,
3929,3,3928,255,3929,569848,0,3929,320000,3930,0,3921,1026000,3924,1512000,3927,0,3928,0,3924,12,3927,0,3928,0,3929,0,
4031,3,4029,255,4030,701044,0,4031,320000,4032,0,4022,1026000,4025,1026000,4028,0,4030,0,4024,36,4027,12,4028,0,4030,0,
4143,3,4140,255,4142,634964,0,4144,320000,4145,0,4123,384000,4130,1026000,4136,0,4141,0,4129,12,4134,27,4138,0,4142,0,
4229,3,4227,255,4228,1226147,60101,4229,320000,4230,0,4223,918000,4225,1512000,4227,0,4228,0,4225,70,4226,71,4227,0,4228,0,
4331,3,4329,255,4330,584425,0,4331,320000,4332,0,4324,1026000,4326,1512000,4328,0,4330,0,4326,16,4328,0,4329,0,4330,0,
4434,3,4432,255,4433,737488,0,4434,320000,4435,0,4424,1026000,4428,1026000,4431,0,4433,0,4427,28,4430,30,4431,0,4433,0,
4546,3,4544,255,4546,559210,0,4547,320000,4549,0,4526,384000,4532,384000,4539,0,4545,0,4531,27,4537,11,4543,0,4546,0,
4635,3,4633,255,4634,761924,0,4635,320000,4636,0,4626,918000,4629,918000,4632,0,4634,0,4629,44,4631,33,4633,0,4634,0,
4735,3,4734,255,4735,635446,0,4736,320000,4737,0,4727,1026000,4730,1026000,4733,0,4734,0,4729,12,4732,18,4733,0,4735,0,
4836,3,4835,255,4836,745082,0,4837,320000,4838,0,4827,918000,4831,1026000,4834,0,4835,0,4830,12,4833,50,4834,0,4836,0,
4948,3,4945,255,4948,549630,0,4949,320000,4951,0,4928,384000,4935,384000,4941,0,4946,0,4934,27,4939,0,4944,0,4947,0,
5035,3,5034,255,5035,954583,0,5035,320000,5036,0,5028,1026000,5031,1512000,5033,0,5034,0,5030,50,5033,36,5033,0,5035,0,
5139,3,5137,255,5139,579419,0,5140,320000,5141,0,5129,1026000,5133,486000,5136,0,5138,0,5132,11,5135,11,5137,0,5139,0,
5238,3,5237,255,5238,830831,0,5239,320000,5240,0,5229,1026000,5234,918000,5236,0,5238,0,5233,50,5235,40,5237,0,5238,0,
5340,3,5339,255,5340,631802,0,5341,320000,5342,0,5331,1026000,5334,1026000,5337,0,5339,0,5334,11,5337,18,5338,0,5340,0,
