App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 01:36:19 AM","17 sec","Trepn_2018.10.20_013618.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
53,3,50,255,52,1894173,718310,54,320000,55,0,43,1512000,46,1512000,49,0,51,0,45,100,48,100,49,0,52,0,
152,3,150,255,152,1894173,718310,153,320000,154,0,144,1512000,146,1512000,149,0,150,0,146,100,148,100,149,0,151,0,
251,3,249,255,251,2632924,1457061,252,320000,252,0,244,1512000,246,1512000,248,1512000,250,1512000,246,100,247,100,249,58,251,50,
354,3,351,255,354,2831293,1655430,354,320000,355,0,344,1512000,346,1512000,349,1512000,351,1512000,346,100,348,100,350,60,353,77,
453,3,450,255,453,2345632,1169769,453,320000,454,0,445,1512000,447,1512000,449,1512000,451,1512000,446,100,448,37,450,63,452,66,
554,3,552,255,554,2099382,923519,554,320000,555,0,545,1512000,548,1512000,549,1512000,552,1512000,547,100,549,36,551,44,553,50,
653,3,651,255,653,2304590,1128727,654,320000,654,0,646,1512000,648,1512000,649,1512000,652,1512000,647,100,649,50,651,60,653,50,
753,3,752,255,753,1250232,74369,754,320000,755,0,746,1512000,749,1026000,750,1512000,753,0,748,100,750,11,752,0,753,0,
854,3,853,255,854,1531638,355775,854,320000,855,0,847,1512000,849,1512000,851,1512000,853,0,849,27,850,100,852,20,853,0,
979,3,972,255,979,1287516,111653,980,320000,980,0,948,1026000,951,1512000,955,0,973,0,951,40,954,90,965,0,978,0,
1068,3,1067,255,1068,2152922,977059,1069,320000,1070,0,1048,1512000,1062,1512000,1065,1026000,1068,0,1056,100,1064,100,1067,71,1068,0,
1165,3,1158,255,1165,2824452,1648589,1166,400000,1167,0,1149,1512000,1153,1512000,1155,1512000,1160,1512000,1152,100,1155,100,1157,100,1162,36,
1260,3,1258,255,1260,3132265,1956402,1260,400000,1261,0,1251,1512000,1253,1512000,1256,1512000,1258,1512000,1253,100,1255,100,1257,81,1259,100,
1359,3,1357,255,1359,2762890,1587027,1360,320000,1361,0,1351,1512000,1353,1512000,1355,1512000,1358,1512000,1353,69,1355,100,1357,81,1359,77,
1459,3,1457,255,1459,1048668,0,1459,320000,1460,0,1452,1512000,1454,1512000,1455,1512000,1457,1026000,1453,25,1455,33,1457,12,1459,12,
1563,3,1560,255,1563,730199,0,1564,320000,1564,0,1553,1026000,1556,1026000,1558,1026000,1561,1026000,1555,18,1557,10,1560,18,1563,10,
1663,3,1661,255,1663,806731,0,1663,320000,1664,0,1653,1026000,1657,1026000,1660,0,1662,0,1656,33,1659,44,1660,0,1662,0,
1778,3,1776,255,1777,605555,0,1778,320000,1779,0,1756,1026000,1766,384000,1772,0,1776,0,1763,12,1771,41,1774,0,1777,0,
1864,3,1862,255,1864,925032,0,1864,320000,1866,0,1855,1026000,1858,918000,1861,0,1863,0,1858,54,1860,66,1862,0,1863,0,
1975,3,1971,255,1975,653253,0,1977,200000,1978,0,1958,1026000,1964,384000,1969,0,1972,0,1963,27,1967,33,1970,0,1974,0,
2123,3,2105,255,2122,1281010,105147,2123,200000,2124,0,2060,1026000,2080,1512000,2104,0,2105,0,2073,72,2103,72,2104,0,2122,0,
2169,3,2166,255,2169,1961508,785645,2170,128000,2170,0,2160,1512000,2162,1512000,2164,1026000,2167,1026000,2162,88,2164,100,2166,1,2169,40,
2270,3,2267,255,2269,1682508,506645,2270,128000,2271,0,2260,1512000,2263,1512000,2265,1026000,2268,1026000,2262,54,2264,41,2266,58,2269,81,
2370,3,2367,255,2370,1358160,182297,2370,128000,2371,0,2361,1512000,2363,1512000,2365,1026000,2368,1512000,2362,22,2365,33,2367,50,2369,40,
2470,3,2467,255,2470,1510889,335026,2471,128000,2471,14,2461,1512000,2463,1512000,2465,1026000,2468,1512000,2463,37,2465,50,2467,60,2470,25,
2573,3,2570,255,2573,1053861,0,2574,128000,2575,14,2562,1026000,2565,1026000,2567,1026000,2571,702000,2564,40,2567,33,2569,30,2572,33,
2672,3,2670,255,2671,869967,0,2672,128000,2673,14,2663,1026000,2666,1026000,2668,1026000,2671,0,2665,46,2667,11,2669,14,2671,0,
2783,3,2781,255,2783,682633,0,2784,128000,2785,14,2764,384000,2770,384000,2777,384000,2782,0,2769,25,2774,22,2780,35,2782,0,
2874,3,2872,255,2873,924692,0,2874,128000,2875,14,2865,1026000,2869,918000,2871,0,2873,0,2868,44,2870,50,2872,0,2873,0,
2990,3,2988,255,2990,724193,0,2992,128000,2993,14,2967,1026000,2972,1026000,2977,0,2989,0,2971,20,2975,11,2978,0,2989,0,
3074,3,3073,255,3074,1004809,0,3075,128000,3076,14,3067,1026000,3070,1026000,3072,0,3073,0,3069,58,3071,50,3072,0,3074,0,
3178,3,3175,255,3177,775214,0,3179,128000,3190,14,3167,1026000,3171,1026000,3173,0,3175,0,3170,20,3173,25,3174,0,3176,0,
3278,3,3276,255,3278,1015462,0,3279,128000,3280,14,3268,918000,3271,918000,3274,0,3277,0,3270,60,3274,72,3275,0,3277,0,
3378,3,3376,255,3378,855297,0,3384,128000,3385,18,3368,918000,3372,1026000,3375,0,3377,0,3371,44,3374,30,3375,0,3377,0,
3479,3,3477,255,3478,790634,0,3480,128000,3481,18,3469,1026000,3473,384000,3475,0,3478,0,3472,33,3475,40,3476,0,3478,0,
3586,3,3584,255,3586,881357,0,3587,128000,3588,18,3570,1026000,3573,918000,3575,0,3585,0,3572,33,3575,41,3583,0,3585,0,
3679,3,3677,255,3679,852588,0,3680,128000,3681,18,3670,1026000,3674,384000,3676,0,3678,0,3673,50,3676,40,3677,0,3679,0,
3785,3,3783,255,3785,919118,0,3786,128000,3787,18,3771,1026000,3774,918000,3777,0,3784,0,3773,40,3776,45,3778,0,3785,0,
3905,3,3890,255,3901,794988,0,3907,128000,3915,18,3872,1026000,3880,384000,3886,0,3896,0,3878,33,3883,45,3889,0,3900,0,
3978,3,3976,255,3978,1483729,307866,3979,128000,3981,18,3972,1512000,3973,1512000,3975,0,3977,0,3973,62,3975,62,3976,0,3977,0,
4084,3,4081,255,4083,1025430,0,4084,128000,4085,18,4072,1512000,4074,1512000,4079,0,4082,0,4074,30,4079,27,4080,0,4083,0,
4187,3,4185,255,4187,963525,0,4187,128000,4188,18,4173,1026000,4180,1026000,4184,0,4186,0,4175,40,4183,50,4184,0,4186,0,
4284,3,4283,255,4284,692288,0,4285,128000,4287,18,4274,384000,4279,594000,4282,0,4283,0,4278,45,4281,11,4282,0,4284,0,
4389,3,4387,255,4389,970874,0,4389,128000,4390,18,4376,918000,4381,1026000,4385,0,4388,0,4380,50,4385,50,4387,0,4388,0,
4485,3,4484,255,4485,963525,0,4486,128000,4487,19,4476,1026000,4480,1026000,4482,0,4484,0,4479,50,4481,40,4483,0,4485,0,
4591,3,4589,255,4591,912947,0,4594,128000,4596,19,4579,1026000,4585,918000,4588,0,4590,0,4584,40,4588,41,4589,0,4591,0,
4689,3,4688,255,4689,947738,0,4690,128000,4691,19,4680,1026000,4683,1026000,4687,0,4688,0,4682,44,4686,40,4687,0,4689,0,
4820,3,4816,255,4819,715640,0,4821,128000,4823,19,4784,384000,4794,384000,4811,0,4817,0,4792,40,4809,45,4813,0,4819,0,
4890,3,4889,255,4890,1154634,0,4890,128000,4891,19,4883,1512000,4886,1512000,4888,0,4889,0,4885,42,4888,33,4888,0,4889,0,
4990,3,4989,255,4990,1099912,0,4990,128000,4991,19,4983,1512000,4986,1512000,4988,0,4989,0,4985,45,4987,22,4988,0,4989,0,
5095,3,5092,255,5094,834763,0,5096,128000,5096,19,5084,1026000,5088,1026000,5091,0,5093,0,5088,33,5091,20,5092,0,5094,0,
5195,3,5194,255,5195,911295,0,5196,128000,5197,19,5185,1026000,5189,1026000,5193,0,5194,0,5188,44,5192,30,5193,0,5195,0,
5308,3,5301,255,5307,737848,0,5310,128000,5314,19,5287,384000,5293,594000,5299,0,5301,0,5292,50,5297,33,5300,0,5303,0,
5393,3,5392,255,5393,1129401,0,5394,128000,5394,19,5386,1512000,5389,1026000,5391,0,5392,0,5388,50,5390,40,5391,0,5393,0,
5496,3,5494,255,5495,726117,0,5497,128000,5498,19,5487,702000,5490,1026000,5492,0,5494,0,5489,20,5492,12,5493,0,5495,0,
5597,3,5596,255,5597,925872,0,5598,128000,5599,19,5587,1026000,5591,1026000,5594,0,5596,0,5590,45,5593,33,5595,0,5597,0,
5697,3,5696,255,5697,702164,0,5698,128000,5700,19,5688,1026000,5692,486000,5694,0,5696,0,5691,12,5694,14,5695,0,5697,0,
5797,3,5795,255,5796,973249,0,5797,128000,5798,19,5788,1026000,5792,1026000,5794,0,5796,0,5791,37,5794,54,5795,0,5796,0,
5917,3,5912,255,5917,810191,0,5917,128000,5918,19,5890,384000,5897,1026000,5907,0,5916,0,5895,22,5901,41,5909,0,5916,0,
5999,3,5998,255,5999,1038847,0,6000,128000,6000,19,5990,1026000,5994,1026000,5997,0,5998,0,5993,54,5996,55,5997,0,5999,0,
