App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:42:41 AM","17 sec","Trepn_2018.10.20_024239.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
0,3,53,255,54,1894173,691619,0,320000,1,0,49,1512000,51,1512000,52,0,53,0,50,100,52,100,53,0,54,0,
54,3,155,255,157,2263549,1060995,56,320000,56,0,149,1512000,151,1512000,153,1512000,155,1512000,151,81,153,100,154,35,157,38,
157,3,260,255,264,2619244,1416690,158,320000,160,0,250,1512000,252,1512000,255,1512000,261,1512000,252,62,254,100,259,100,264,44,
264,3,357,255,359,2509799,1307245,265,320000,266,0,350,1512000,352,1512000,355,1512000,357,1512000,352,60,354,80,356,100,359,50,
359,3,456,255,458,2017298,814744,360,320000,361,0,450,1512000,453,1512000,455,1512000,457,1512000,452,44,454,20,456,100,458,54,
459,3,557,255,559,2427716,1225162,459,320000,460,0,551,1512000,553,1512000,555,1512000,557,1512000,553,66,555,62,556,100,559,50,
559,3,657,255,659,1866812,664258,559,320000,560,0,651,1512000,653,1512000,655,1512000,657,1512000,653,44,654,22,656,100,659,30,
659,3,758,255,760,1901013,698459,659,320000,660,0,752,1512000,754,1512000,756,1512000,758,1512000,754,45,755,60,757,80,760,16,
760,3,858,255,860,2317083,1114529,761,320000,762,0,852,1512000,854,1134000,856,1512000,858,1134000,854,90,855,81,857,80,859,66,
860,3,959,255,961,2476715,1274161,860,320000,861,0,953,1512000,956,1512000,958,1512000,960,1026000,955,90,957,90,959,70,961,66,
961,3,1059,255,1061,2420875,1218321,962,320000,962,0,1053,1512000,1055,1512000,1057,1512000,1059,1512000,1055,60,1057,90,1058,57,1061,70,
1061,3,1160,255,1162,998095,0,1061,320000,1062,0,1154,1512000,1156,1512000,1158,1512000,1160,1512000,1156,11,1158,20,1159,18,1162,20,
1162,3,1263,255,1267,1247697,45143,1162,320000,1164,0,1255,1026000,1258,1026000,1260,1026000,1264,0,1257,60,1260,72,1262,66,1267,0,
1268,3,1360,255,1361,1414790,212236,1269,320000,1271,0,1355,1026000,1357,1512000,1359,1512000,1361,0,1357,28,1358,60,1360,55,1361,0,
1361,3,1461,255,1462,1098058,0,1362,320000,1362,0,1456,1026000,1458,1512000,1459,1026000,1461,0,1457,55,1459,33,1461,40,1462,0,
1462,3,1562,255,1564,733844,0,1462,320000,1463,0,1556,1026000,1559,1512000,1560,1026000,1563,0,1558,30,1560,0,1562,27,1563,0,
1564,3,1665,255,1667,1365221,162667,1564,200000,1566,0,1657,1026000,1660,1512000,1662,1026000,1666,0,1659,58,1662,63,1664,54,1666,0,
1667,3,1769,255,1770,1700175,497621,1668,200000,1668,0,1758,1026000,1761,1512000,1766,1512000,1769,0,1760,50,1766,45,1768,100,1770,0,
1770,3,1877,255,1883,1942563,740009,1770,128000,1771,17,1858,1026000,1860,1512000,1863,1512000,1878,0,1860,60,1862,72,1871,88,1882,0,
1883,3,1967,255,1970,1948058,745504,1884,128000,1885,17,1958,1026000,1961,1512000,1963,1512000,1968,1026000,1960,50,1963,100,1966,64,1970,4,
