App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:40:41 AM","17 sec","Trepn_2018.10.20_024039.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
12,3,8,255,12,1898429,797354,13,320000,16,0,56,1512000,58,1512000,3,1026000,10,0,58,100,60,100,5,80,11,0,
65,3,62,255,64,2578202,1477127,66,320000,67,0,157,1512000,159,1512000,60,1512000,63,0,158,63,160,44,62,100,64,0,
164,3,162,255,164,2530320,1429245,165,320000,166,0,257,1512000,259,1512000,161,1512000,163,1512000,259,77,260,100,162,100,164,86,
264,3,262,255,264,2790251,1689176,265,320000,266,0,358,1512000,360,1512000,261,1512000,263,1512000,360,25,362,80,262,54,264,100,
367,3,364,255,367,2099382,998307,367,320000,368,0,458,1512000,460,1512000,362,1512000,365,1512000,460,44,462,60,364,25,366,100,
466,3,464,255,466,2147264,1046189,466,320000,467,0,559,1512000,561,1512000,462,1512000,464,1512000,560,70,562,66,463,33,465,100,
566,3,564,255,566,1825770,724695,566,320000,567,0,659,1512000,661,1512000,563,1512000,565,0,661,36,663,100,564,54,565,0,
666,3,665,255,666,1641082,540007,667,320000,667,0,760,1512000,761,1512000,663,1512000,665,0,761,33,763,90,664,27,666,0,
766,3,765,255,766,1367471,266396,766,320000,767,0,860,1026000,862,1512000,763,1512000,765,0,862,70,864,85,765,0,766,0,
867,3,866,255,867,1635971,534896,868,320000,869,0,961,1512000,964,1512000,864,1026000,866,0,963,100,966,81,865,75,867,0,
978,3,970,255,978,2694145,1593070,979,320000,980,0,1062,1512000,1065,1512000,967,1026000,973,1512000,1064,90,1066,90,969,90,975,88,
1070,3,1068,255,1070,2968098,1867023,1071,320000,1071,0,1163,1512000,1164,1512000,1066,1512000,1068,1512000,1164,33,1166,66,1068,77,1070,100,
1170,3,1168,255,1170,1882564,781489,1171,320000,1172,0,1263,1512000,1265,1512000,1166,1512000,1168,1026000,1265,54,1267,50,1168,70,1170,55,
1271,3,1269,255,1271,1693335,592260,1272,320000,1272,0,1364,1512000,1366,1512000,1267,1512000,1269,1026000,1365,45,1367,44,1268,40,1271,50,
1372,3,1370,255,1372,1511117,410042,1373,320000,1373,0,1464,1026000,1467,1026000,1368,1512000,1371,0,1467,88,1469,75,1369,55,1372,0,
1475,3,1473,255,1475,1935256,834181,1476,320000,1477,0,1565,1512000,1567,1026000,1470,1512000,1473,1026000,1567,80,1569,50,1472,84,1475,66,
1575,3,1572,255,1574,1743345,642270,1575,320000,1576,0,1665,1512000,1668,1026000,1569,1512000,1573,1026000,1667,33,1669,44,1571,50,1574,40,
1674,3,1672,255,1674,1103611,2536,1675,320000,1675,0,1765,1512000,1768,1026000,1670,1512000,1672,1026000,1767,80,1769,44,1671,12,1674,30,
1779,3,1777,255,1778,1233690,132615,1779,320000,1780,0,1866,1512000,1868,1512000,1770,0,1778,0,1868,70,1870,60,1777,0,1778,0,
1873,3,1872,255,1873,1586360,485285,1873,320000,1874,17,1966,1512000,1968,1512000,1870,1512000,1872,0,1968,11,1970,27,1871,25,1873,0,
1974,3,1973,255,1974,1886434,785359,1975,320000,1976,17,2067,1026000,2070,1026000,1970,1512000,1973,0,2069,40,2072,41,1973,100,1974,0,
2078,3,2075,255,2077,1237667,136592,2079,200000,2080,17,2120,1026000,2126,1026000,2074,0,2076,0,2123,100,2128,80,2075,0,2077,0,
2132,3,2130,255,2131,1380601,279526,2133,200000,2133,17,2218,1512000,2220,1512000,2129,0,2131,0,2220,90,2221,71,2129,0,2131,0,
2225,3,2223,255,2224,1825904,724829,2225,128000,2226,17,2318,1512000,2322,1512000,2222,0,2224,0,2322,100,2323,37,2223,0,2224,0,
2326,3,2324,255,2325,1566575,465500,2326,128000,2327,17,2419,1512000,2422,1512000,2324,0,2324,0,2421,100,2424,40,2324,0,2325,0,
2428,3,2426,255,2428,1587096,486021,2430,128000,2433,17,2519,1512000,2523,1512000,2424,0,2427,0,2521,100,2525,50,2425,0,2427,0,
2528,3,2527,255,2528,1655499,554424,2529,128000,2529,17,2620,1512000,2625,1512000,2526,0,2527,0,2624,100,2626,41,2526,0,2528,0,
