App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:52:45 AM","17 sec","Trepn_2018.10.20_025244.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
6,3,4,255,6,1956404,646483,6,320000,7,0,59,1512000,61,1512000,63,1512000,5,0,61,100,62,100,64,100,5,0,
70,3,65,255,70,2578202,1268281,70,320000,71,0,160,1512000,162,1512000,163,1512000,65,0,161,100,163,100,165,100,69,0,
167,3,165,255,167,2790251,1480330,167,320000,168,0,260,1512000,262,1512000,264,1512000,165,1512000,262,60,263,100,266,88,167,31,
269,3,266,255,269,2632924,1323003,270,320000,270,0,361,1512000,363,1512000,365,1512000,267,1512000,362,45,364,100,366,50,269,60,
369,3,367,255,369,2160944,851023,369,320000,370,0,461,1512000,463,1512000,465,1512000,367,1512000,462,55,464,100,466,77,369,44,
468,3,466,255,468,2284070,974149,469,320000,469,0,562,1512000,563,1512000,565,1512000,467,1512000,563,12,564,100,566,40,468,25,
568,3,567,255,568,1565839,255918,569,320000,570,0,662,1512000,664,1512000,676,1512000,567,0,663,37,671,100,678,45,568,0,
680,3,679,255,680,1771048,461127,681,320000,682,0,763,1512000,765,1512000,778,1512000,679,0,765,83,776,70,782,88,680,0,
790,3,783,255,790,2174625,864704,791,320000,791,0,813,1512000,815,1512000,818,1512000,784,0,815,83,817,100,824,100,785,0,
828,3,827,255,828,2461917,1151996,828,400000,829,0,915,1512000,917,1512000,918,1512000,827,0,916,100,918,80,920,90,828,0,
928,3,920,255,927,2851813,1541892,928,400000,929,0,1015,1512000,1017,1512000,1019,1512000,925,1512000,1017,72,1019,20,1021,45,927,70,
1023,3,1021,255,1023,1543411,233490,1024,400000,1024,0,1116,1512000,1117,1512000,1119,1512000,1021,1026000,1117,37,1118,30,1120,50,1023,22,
1123,3,1121,255,1123,1475848,165927,1123,320000,1124,0,1217,1026000,1220,1026000,1223,0,1121,1026000,1219,30,1222,33,1223,0,1123,41,
1226,3,1224,255,1226,755710,0,1227,320000,1232,0,1317,1026000,1320,1026000,1322,0,1225,0,1319,54,1321,50,1322,0,1225,0,
1324,3,1323,255,1324,905128,0,1325,320000,1326,0,1418,384000,1423,1026000,1426,0,1323,0,1422,27,1426,11,1427,0,1324,0,
1430,3,1428,255,1430,589718,0,1431,320000,1433,0,1518,918000,1521,1026000,1524,0,1429,0,1521,60,1523,72,1525,0,1430,0,
1527,3,1525,255,1526,972256,0,1527,320000,1528,0,1619,1026000,1622,1026000,1657,1026000,1526,0,1621,77,1627,80,1659,30,1526,0,
1663,3,1659,255,1663,1258630,0,1663,200000,1666,0,1719,1512000,1721,1512000,1723,1512000,1660,1026000,1721,100,1723,77,1725,100,1662,14,
1727,3,1725,255,1727,2723356,1413435,1728,128000,1731,0,1819,1512000,1821,1512000,1822,1512000,1726,1026000,1821,71,1822,36,1823,40,1727,83,
1825,3,1824,255,1825,1839451,529530,1826,128000,1826,0,1920,1512000,1922,1512000,1924,1512000,1824,1512000,1921,81,1923,33,1925,37,1825,45,
1929,3,1926,255,1929,1969416,659495,1930,128000,1930,0,2020,1512000,2022,1026000,2024,1512000,1927,1512000,2022,100,2024,80,2026,88,1929,60,
2028,3,2026,255,2028,2787667,1477746,2029,128000,2029,0,2120,1512000,2122,1026000,2124,1512000,2027,1512000,2122,40,2123,20,2125,10,2028,100,
2127,3,2125,255,2127,1625046,315125,2128,128000,2128,15,2221,1134000,2223,1026000,2225,1026000,2126,1512000,2223,11,2225,22,2227,20,2127,100,
2230,3,2227,255,2229,1501391,191470,2230,128000,2231,15,2322,1026000,2325,1026000,2327,1026000,2228,1512000,2324,45,2327,40,2329,45,2229,100,
2332,3,2330,255,2332,1091063,0,2333,128000,2334,15,2422,1026000,2425,1512000,2427,1134000,2331,0,2424,33,2427,100,2429,45,2332,0,
2431,3,2430,255,2431,1613871,303950,2431,128000,2432,15,2524,1026000,2527,1512000,2529,1026000,2430,0,2526,33,2528,100,2531,45,2431,0,
2541,3,2534,255,2539,1585586,275665,2542,128000,2550,15,2624,1512000,2626,1512000,2628,1026000,2535,0,2626,100,2628,100,2629,60,2539,0,
2631,3,2630,255,2631,2204016,894095,2631,128000,2632,15,2725,1512000,2728,1512000,2730,1026000,2630,0,2727,40,2729,90,2734,58,2631,0,
2737,3,2734,255,2736,1717907,407986,2738,128000,2739,15,2825,1512000,2827,1512000,2829,1026000,2735,0,2826,77,2828,100,2832,81,2736,0,
2836,3,2833,255,2836,2738847,1428926,2836,128000,2837,15,2926,1512000,2928,1512000,2930,1026000,2833,1512000,2927,81,2929,81,2931,80,2836,90,
2934,3,2932,255,2934,2701001,1391080,2934,128000,2935,15,3026,1512000,3028,1512000,3030,1512000,2932,1512000,3028,55,3029,40,3031,100,2934,100,
3034,3,3032,255,3034,2635182,1325261,3035,128000,3035,15,3127,1512000,3128,1512000,3130,1512000,3032,1512000,3128,87,3130,90,3132,60,3034,100,
3134,3,3132,255,3134,2922475,1612554,3135,128000,3135,20,3227,1512000,3230,1512000,3232,1512000,3132,1512000,3229,53,3231,63,3233,58,3134,100,
3237,3,3234,255,3237,2521930,1212009,3238,400000,3239,20,3328,1512000,3331,1512000,3336,1512000,3235,1512000,3330,100,3334,100,3337,80,3237,100,
3342,3,3338,255,3342,3670370,2360449,3343,400000,3343,20,3430,1512000,3432,1512000,3434,1512000,3338,1512000,3432,62,3433,100,3435,83,3341,76,
3438,3,3435,255,3438,3513043,2203122,3438,400000,3439,20,3530,1512000,3532,1512000,3535,1512000,3436,1512000,3532,77,3534,90,3539,91,3437,88,
3546,3,3543,255,3546,3554085,2244164,3546,400000,3547,20,3631,1512000,3634,1512000,3636,1512000,3544,1512000,3633,76,3635,80,3637,63,3545,81,
3641,3,3638,255,3640,3417279,2107358,3641,400000,3642,20,3732,1512000,3734,1512000,3735,1512000,3638,1512000,3733,25,3735,70,3737,66,3640,100,
3739,3,3737,255,3739,2938459,1628538,3740,400000,3741,20,3832,1512000,3835,1512000,3838,1512000,3737,1512000,3835,44,3837,75,3839,100,3739,88,
3843,3,3840,255,3843,3109466,1799545,3844,400000,3844,20,3937,1512000,3957,1512000,3970,1512000,3840,1512000,3942,55,3966,100,3985,100,3842,55,
3993,3,3987,255,3993,2979501,1669580,3993,400000,3994,20,4033,1512000,4035,1512000,4036,1512000,3987,0,4034,100,4036,87,4038,85,3992,0,
4040,3,4038,255,4040,3186895,1876974,4041,400000,4041,20,4133,1512000,4135,1512000,4137,1512000,4039,1026000,4135,10,4137,100,4139,20,4040,25,
4141,3,4139,255,4141,2197352,887431,4142,400000,4143,36,4234,1026000,4237,1512000,4239,1026000,4140,1026000,4236,14,4238,100,4241,30,4141,20,
4244,3,4241,255,4244,2756227,1446306,4244,400000,4245,36,4335,1026000,4340,1512000,4354,0,4242,1026000,4338,30,4348,100,4357,0,4243,30,
4367,3,4358,255,4365,2595876,1285955,4370,400000,4377,36,4435,1512000,4438,1512000,4440,0,4359,0,4437,90,4440,100,4440,0,4365,0,
4442,3,4441,255,4442,3102171,1792250,4442,400000,4443,36,4535,1512000,4538,1512000,4540,0,4441,0,4537,60,4539,90,4540,0,4441,0,
4545,3,4541,255,4542,2828560,1518639,4546,400000,4547,36,4636,1512000,4638,1512000,4640,1026000,4541,0,4638,70,4639,100,4641,30,4542,0,
4644,3,4642,255,4644,3450912,2140991,4644,400000,4645,36,4736,1512000,4738,1512000,4740,1026000,4642,1512000,4738,11,4740,33,4741,12,4643,55,
4744,3,4742,255,4744,2831250,1521329,4744,400000,4745,36,4837,1026000,4840,1026000,4842,1026000,4742,1512000,4839,10,4841,11,4843,10,4744,100,
4847,3,4844,255,4846,2599520,1289599,4847,400000,4848,36,4938,1026000,4940,1512000,4942,0,4844,1512000,4940,37,4942,50,4943,0,4846,100,
4945,3,4943,255,4945,2279372,969451,4945,400000,4946,36,5039,1512000,5041,1512000,5043,0,4944,0,5040,72,5042,55,5043,0,4944,0,
5045,3,5044,255,5045,2671233,1361312,5046,200000,5047,36,5139,1512000,5142,1512000,5143,0,5044,0,5141,66,5143,72,5144,0,5045,0,
5145,3,5144,255,5145,1890432,580511,5145,128000,5146,1,5240,1026000,5243,1512000,5245,0,5144,0,5242,11,5244,10,5245,0,5144,0,
5246,3,5245,255,5246,640684,0,5247,320000,5248,0,5341,1026000,5343,1512000,5345,0,5246,0,5343,18,5345,0,5346,0,5246,0,
5348,3,5347,255,5348,591714,0,5348,320000,5349,0,5441,486000,5444,1026000,5447,0,5347,0,5444,44,5446,45,5448,0,5347,0,
5451,3,5448,255,5451,742973,0,5452,320000,5454,0,5542,384000,5545,1026000,5548,0,5449,0,5544,12,5547,22,5548,0,5451,0,
5550,3,5549,255,5550,616742,0,5551,320000,5552,0,5642,1512000,5644,1512000,5647,0,5549,0,5643,70,5646,63,5652,0,5550,0,
5653,3,5652,255,5653,1435874,125953,5657,320000,5658,0,5742,1512000,5744,1512000,5746,0,5653,0,5744,44,5746,50,5747,0,5653,0,
5753,3,5747,255,5752,1169103,0,5753,320000,5754,0,5843,1134000,5845,1512000,5847,0,5751,0,5844,50,5846,44,5848,0,5752,0,
5851,3,5848,255,5850,1040734,0,5852,200000,5853,0,5943,1026000,5945,1512000,5947,0,5849,0,5945,40,5946,60,5947,0,5849,0,
5952,3,5950,255,5952,1082307,0,5953,200000,5956,0,6044,1512000,6046,1512000,6048,0,5950,0,6045,70,6047,81,6048,0,5952,0,
