Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.461,20.461,screen bright,18.465520514
0,20.461,20.461,wifi running,0.2757610814
0,20.461,20.461,phone_scanning,10.7058131222
0.0,23.281878,23.281878,core 0 cpu_idle start,0.347540233845
23.281878,23.406939,0.125060999999,core 0 cpu_idle,0.00186684807748
23.406939,23.411914,0.00497499999619,core 0 cpu_frequency,0.00367714438469
23.411914,23.607074,0.195160000003,core 0 cpu_idle,0.00291325090004
23.607074,23.720751,0.113677000001,core 0 cpu_frequency,0.11621432748
23.720751,24.007006,0.286254999999,core 0 cpu_idle,0.00427307151249
24.007006,24.007037,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
24.007037,24.056872,0.049834999998,core 0 cpu_idle,0.00074391196247
24.056872,24.056903,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
24.056903,24.106951,0.0500480000046,core 0 cpu_idle,0.000747091520069
24.106951,24.108844,0.00189300000056,core 0 cpu_frequency,0.000980140503292
24.108844,24.157092,0.0482479999991,core 0 cpu_idle,0.000720222019987
24.157092,24.157153,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.157153,24.206866,0.0497130000003,core 0 cpu_idle,0.000742090807505
24.206866,24.206927,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.206927,24.308642,0.101714999997,core 0 cpu_idle,0.00151835066246
24.308642,24.313678,0.00503600000229,core 0 cpu_frequency,0.00514840604034
24.313678,24.608752,0.295074000001,core 0 cpu_idle,0.00440471713502
24.608752,24.60979,0.00103800000215,core 0 cpu_frequency,0.000767211232592
24.60979,24.657031,0.0472410000002,core 0 cpu_idle,0.000705190027503
24.657031,24.710314,0.0532829999938,core 0 cpu_frequency,0.0275883921898
24.710314,24.714404,0.00409000000218,core 0 cpu_frequency,0.00418129084723
24.714404,26.40816,1.693756,core 0 cpu_idle,0.02528354269
26.40816,26.408648,0.000487999997858,core 0 cpu_frequency,0.000436036538086
26.408648,26.606951,0.198303000005,core 0 cpu_idle,0.00296016803257
26.606951,26.606982,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.606982,26.656848,0.0498660000012,core 0 cpu_idle,0.000744374715018
26.656848,26.656878,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
26.656878,26.708544,0.0516659999994,core 0 cpu_idle,0.000771244214991
26.708544,26.708575,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.708575,26.806842,0.0982670000012,core 0 cpu_idle,0.00146688064252
26.806842,26.806872,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
26.806872,26.85686,0.0499879999988,core 0 cpu_idle,0.000746195869983
26.85686,26.85689,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
26.85689,26.906848,0.049957999996,core 0 cpu_idle,0.00074574804494
26.906848,26.908496,0.00164799999766,core 0 cpu_frequency,0.00121807717427
26.908496,27.206835,0.298339000001,core 0 cpu_idle,0.00445345542251
27.206835,27.206897,6.19999991613e-05,core 0 cpu_frequency,4.58257183801e-05
27.206897,27.256823,0.049926000007,core 0 cpu_idle,0.000745270365104
27.256823,27.256884,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
27.256884,27.407122,0.150237999995,core 0 cpu_idle,0.00224267774492
