App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:27:33 AM","17 sec","Trepn_2018.10.20_052732.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
50,3,49,255,50,1901013,629175,51,320000,52,0,8,1512000,45,1512000,47,1512000,49,0,40,100,46,92,48,9,50,0,
118,3,115,255,118,2578202,1306364,118,320000,119,0,109,1512000,111,1512000,113,1512000,115,0,111,100,113,100,115,100,116,0,
217,3,214,255,217,2566649,1294811,217,320000,218,0,209,1512000,211,1512000,213,1512000,215,1026000,211,77,212,100,214,100,216,40,
317,3,315,255,317,2783411,1511573,317,320000,318,0,310,1512000,312,1512000,313,1512000,315,1512000,311,70,313,100,314,60,317,100,
418,3,416,255,418,2147264,875426,419,320000,419,0,410,1512000,412,1512000,414,1512000,416,1512000,412,45,414,100,415,30,417,62,
517,3,515,255,517,2027477,755639,518,320000,518,0,510,1512000,512,1512000,514,1134000,516,1512000,512,70,514,100,515,36,517,27,
619,3,617,255,619,2142020,870182,620,320000,620,0,611,1512000,613,1512000,615,1134000,618,1512000,613,55,615,100,617,50,619,50,
724,3,720,255,723,1337754,65916,725,320000,726,0,711,1512000,714,1512000,716,1026000,721,1512000,713,0,716,90,719,20,723,18,
826,3,822,255,826,1738755,466917,827,320000,829,0,813,1134000,815,1512000,818,1026000,823,1026000,814,63,817,66,821,63,826,72,
921,3,919,255,921,2790251,1518413,922,400000,923,0,913,1512000,915,1512000,917,1512000,919,1512000,915,90,916,88,918,83,921,70,
1021,3,1019,255,1021,3057022,1785184,1022,400000,1022,0,1014,1512000,1016,1512000,1017,1512000,1019,1512000,1015,90,1017,90,1019,90,1021,100,
1122,3,1120,255,1122,2427716,1155878,1123,320000,1123,0,1114,1512000,1116,1512000,1118,1512000,1120,1512000,1116,75,1117,66,1119,77,1122,60,
1225,3,1222,255,1225,763887,0,1225,320000,1226,0,1215,1134000,1218,1512000,1220,1026000,1222,1134000,1217,30,1219,0,1221,16,1224,12,
1322,3,1320,255,1322,863866,0,1322,320000,1323,0,1315,1026000,1317,1512000,1319,1026000,1321,0,1317,20,1318,27,1320,22,1321,0,
1453,3,1440,255,1452,792153,0,1456,320000,1458,0,1416,1026000,1424,1026000,1430,0,1445,0,1423,33,1428,40,1431,0,1449,0,
1521,3,1520,255,1521,1292228,20390,1521,320000,1522,0,1516,1512000,1518,1512000,1519,0,1520,0,1518,62,1519,50,1520,0,1521,0,
1653,3,1635,255,1651,1445064,173226,1654,320000,1655,0,1619,1134000,1622,1512000,1629,0,1649,1134000,1621,70,1627,75,1634,0,1651,25,
1725,3,1723,255,1725,1901013,629175,1725,200000,1726,0,1718,1512000,1720,1512000,1722,1512000,1723,1512000,1720,54,1721,55,1723,50,1725,42,
1829,3,1826,255,1829,1324350,52512,1830,200000,1830,0,1819,1026000,1821,1512000,1824,1026000,1827,1026000,1821,25,1823,81,1825,12,1829,30,
1928,3,1925,255,1927,1070135,0,1928,128000,1929,0,1919,1026000,1922,1512000,1923,1026000,1926,1026000,1921,33,1923,14,1925,50,1927,40,
