App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:55:02 AM","17 sec","Trepn_2018.10.20_035501.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
63,3,61,255,63,2345632,817706,64,320000,65,0,55,1512000,57,1512000,59,1512000,61,1512000,57,100,59,100,60,66,63,0,
163,3,161,255,163,2742369,1214443,163,320000,164,0,156,1512000,157,1512000,159,1512000,162,1512000,157,100,159,62,161,62,163,100,
264,3,262,255,264,2304590,776664,264,320000,265,0,256,1512000,258,1512000,260,1512000,262,1512000,257,100,259,54,261,40,263,66,
364,3,362,255,364,2113062,585136,365,320000,365,0,356,1512000,358,1512000,360,1512000,363,1512000,358,100,360,54,362,33,364,45,
415,3,412,255,415,2229347,701421,415,320000,416,0,407,1512000,409,1512000,410,1512000,412,1512000,408,100,410,50,412,66,414,33,
516,3,513,255,515,1915447,387521,516,320000,517,0,507,1512000,509,1512000,511,1512000,513,1134000,508,100,510,50,512,25,515,45,
615,3,613,255,615,1682010,154084,615,320000,616,0,607,1512000,609,1512000,611,1512000,613,1026000,609,100,611,20,612,33,615,30,
766,3,765,255,766,1507488,0,767,320000,768,0,758,1512000,760,1134000,762,1134000,766,0,760,86,762,57,764,35,766,0,
868,3,866,255,868,2187017,659091,869,320000,869,0,859,1512000,862,1134000,864,1512000,866,1026000,861,88,863,72,866,80,868,56,
966,3,965,255,966,2441396,913470,967,320000,967,0,960,1512000,962,1512000,963,1512000,965,1512000,961,90,963,60,964,50,966,80,
1068,3,1066,255,1068,1743687,215761,1069,320000,1069,0,1061,1512000,1063,1512000,1065,1512000,1067,1512000,1062,63,1064,40,1066,30,1068,45,
1173,3,1170,255,1172,916061,0,1173,320000,1174,0,1161,1026000,1165,1026000,1167,1026000,1170,1026000,1164,33,1167,33,1169,30,1172,11,
1273,3,1270,255,1272,636255,0,1273,320000,1274,0,1262,810000,1265,384000,1268,594000,1271,0,1264,36,1267,22,1270,0,1272,0,
1376,3,1374,255,1376,835885,0,1376,320000,1377,0,1363,1026000,1371,1026000,1373,0,1375,0,1370,45,1373,40,1374,0,1375,0,
1484,3,1479,255,1483,586543,0,1485,320000,1487,0,1464,384000,1469,486000,1475,0,1481,0,1468,28,1474,30,1476,0,1482,0,
1527,3,1525,255,1527,1011639,0,1528,320000,1529,0,1517,1026000,1521,918000,1524,0,1526,0,1520,66,1523,80,1525,0,1527,0,
