App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:56:47 AM","17 sec","Trepn_2018.10.20_025646.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
67,3,65,255,67,1894173,673278,68,320000,69,0,49,1512000,51,1512000,61,0,66,0,51,100,60,100,62,0,67,0,
160,3,156,255,160,1901013,680118,161,320000,161,0,149,1512000,152,1512000,154,1512000,157,1512000,151,77,154,70,156,12,159,42,
261,3,258,255,261,2687647,1466752,262,320000,264,0,250,1512000,252,1512000,256,1512000,259,1512000,252,66,256,50,258,100,260,100,
308,3,306,255,308,2557681,1336786,308,320000,309,0,300,1512000,302,1512000,304,1512000,306,1512000,302,60,303,57,305,100,307,80,
409,3,406,255,409,2085701,864806,409,320000,410,0,400,1512000,403,1512000,404,1512000,407,1512000,402,55,404,40,406,100,408,33,
510,3,507,255,510,2154104,933209,511,320000,512,0,501,1512000,503,1512000,505,1512000,508,1512000,502,45,504,33,507,100,510,60,
609,3,607,255,609,2270389,1049494,609,320000,610,0,601,1512000,603,1512000,605,1512000,607,1512000,603,55,604,50,606,100,608,50,
711,3,708,255,711,1777797,556902,712,320000,713,0,702,1512000,704,1512000,706,1512000,709,1134000,704,53,706,80,707,25,710,40,
816,3,812,255,816,2263367,1042472,817,400000,818,0,802,1512000,805,1512000,807,1512000,813,1134000,804,66,806,66,811,72,815,80,
910,3,908,255,910,2762890,1541995,911,400000,912,0,902,1512000,904,1512000,906,1512000,908,1512000,904,83,905,72,907,72,910,100,
1014,3,1009,255,1014,1661603,440708,1015,400000,1015,0,1003,1512000,1006,1512000,1008,1512000,1010,1512000,1005,40,1007,30,1009,36,1014,60,
1112,3,1109,255,1111,887160,0,1112,400000,1113,0,1104,1026000,1106,1026000,1107,1026000,1110,1134000,1105,33,1107,30,1109,22,1111,12,
