App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 01:42:22 AM","17 sec","Trepn_2018.10.20_014221.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
39,3,38,255,39,1880493,710343,40,320000,41,0,6,1512000,34,1512000,36,1512000,38,0,34,100,35,63,37,35,39,0,
115,3,112,255,115,2995459,1825309,115,320000,116,0,106,1512000,109,1512000,111,1512000,113,1512000,108,100,110,100,112,100,114,61,
216,3,213,255,215,2824452,1654302,216,320000,217,0,206,1512000,209,1512000,211,1512000,213,1512000,208,66,210,70,212,100,215,100,
316,3,313,255,316,2502959,1332809,316,320000,317,0,307,1512000,309,1512000,311,1512000,314,1512000,309,54,310,58,313,77,315,100,
415,3,413,255,415,2188305,1018155,416,320000,417,0,407,1512000,409,1512000,411,1512000,413,1512000,409,50,411,30,413,63,415,100,
518,3,516,255,518,2372993,1202843,519,320000,519,0,510,1512000,512,1512000,514,1512000,516,1512000,512,44,514,63,515,63,518,100,
618,3,616,255,618,1798409,628259,618,320000,619,0,611,1512000,613,1512000,614,1512000,616,1512000,612,36,614,20,616,30,618,100,
721,3,718,255,721,1178185,8035,722,320000,722,0,711,1026000,714,1026000,716,1026000,719,1512000,713,0,715,10,718,0,721,90,
825,3,822,255,825,1792116,621966,826,320000,827,0,812,1026000,815,1026000,819,1026000,823,1512000,815,77,818,70,822,69,825,70,
922,3,919,255,922,3043341,1873191,923,400000,923,0,914,1512000,916,1512000,918,1512000,920,1512000,916,90,917,90,919,88,922,100,
1021,3,1019,255,1021,2475598,1305448,1022,400000,1022,0,1014,1512000,1016,1512000,1018,1512000,1020,1512000,1016,90,1017,66,1019,63,1021,66,
1124,3,1122,255,1124,1711613,541463,1124,400000,1125,0,1115,1512000,1117,1512000,1119,1512000,1122,1026000,1117,62,1119,70,1121,20,1124,40,
1230,3,1225,255,1230,675534,0,1231,400000,1232,0,1216,1026000,1219,1026000,1221,1026000,1229,0,1218,20,1220,10,1224,11,1229,0,
1348,3,1346,255,1347,1054606,0,1348,400000,1350,0,1317,918000,1321,1026000,1333,1026000,1347,0,1321,50,1332,37,1343,66,1347,0,
1428,3,1425,255,1428,1335429,165279,1428,400000,1429,0,1417,1134000,1419,1026000,1421,1026000,1426,1026000,1419,70,1421,54,1423,63,1428,23,
1529,3,1526,255,1529,1312855,142705,1530,400000,1531,0,1517,1026000,1519,1026000,1522,1026000,1527,1512000,1519,40,1521,22,1526,30,1529,66,
1626,3,1623,255,1626,2639764,1469614,1627,400000,1629,0,1617,1512000,1619,1512000,1621,1512000,1624,1512000,1619,100,1621,66,1623,81,1625,62,
1725,3,1723,255,1725,1771048,600898,1725,400000,1726,0,1718,1512000,1720,1512000,1722,1512000,1723,1512000,1720,100,1721,33,1723,38,1725,11,
1829,3,1827,255,1829,1501692,331542,1829,320000,1830,16,1820,1512000,1823,1026000,1825,1026000,1827,1026000,1822,100,1824,27,1826,33,1829,20,
1929,3,1927,255,1929,1478772,308622,1930,320000,1930,16,1919,1512000,1924,1026000,1926,0,1928,0,1920,66,1925,30,1927,0,1928,0,
2026,3,2025,255,2026,1166923,0,2027,200000,2028,16,2020,1512000,2023,1026000,2025,0,2026,0,2022,30,2024,12,2025,0,2026,0,
2125,3,2124,255,2125,804049,0,2125,128000,2126,16,2120,1512000,2122,1026000,2123,0,2124,0,2121,0,2123,25,2124,0,2125,0,
2232,3,2230,255,2231,780084,0,2232,128000,2237,16,2221,1026000,2225,1026000,2229,0,2230,0,2225,27,2228,16,2229,0,2231,0,
2328,3,2327,255,2328,958657,0,2329,128000,2330,16,2321,1026000,2324,1026000,2326,0,2327,0,2323,55,2326,37,2327,0,2328,0,
2449,3,2446,255,2448,758834,0,2450,128000,2452,16,2425,384000,2431,1026000,2443,0,2447,0,2430,30,2442,30,2445,0,2448,0,
2531,3,2526,255,2528,1059190,0,2531,128000,2532,16,2522,1512000,2524,1026000,2526,0,2527,0,2524,44,2525,37,2526,0,2527,0,
2631,3,2628,255,2630,1489623,319473,2631,128000,2632,16,2623,1512000,2625,1026000,2627,0,2629,0,2625,100,2627,50,2628,0,2630,0,
2731,3,2729,255,2731,1368968,198818,2732,128000,2732,16,2723,1512000,2725,1512000,2728,0,2729,0,2725,54,2727,55,2728,0,2730,0,
2830,3,2828,255,2830,1690461,520311,2831,128000,2831,16,2824,1512000,2826,1512000,2827,0,2829,0,2825,90,2827,66,2828,0,2829,0,
2932,3,2930,255,2931,1560496,390346,2932,128000,2933,16,2924,1512000,2927,1512000,2929,0,2930,0,2926,100,2928,37,2929,0,2931,0,
3032,3,3031,255,3032,1683621,513471,3033,128000,3033,16,3026,1512000,3027,1512000,3029,0,3031,0,3027,100,3029,55,3030,0,3031,0,
3142,3,3139,255,3140,1478413,308263,3142,128000,3144,16,3127,1512000,3131,1512000,3136,0,3139,0,3129,100,3134,25,3137,0,3140,0,
3234,3,3232,255,3234,1577370,407220,3235,128000,3235,16,3226,1512000,3229,1134000,3231,0,3233,0,3228,77,3230,100,3232,0,3233,0,
3350,3,3341,255,3350,1500556,330406,3351,128000,3352,16,3329,1512000,3337,1026000,3340,0,3342,0,3336,100,3339,53,3341,0,3350,0,
3437,3,3435,255,3437,2174492,1004342,3437,128000,3438,16,3430,1512000,3432,1512000,3433,1026000,3435,1026000,3431,100,3433,90,3434,36,3436,33,
3541,3,3539,255,3541,2832790,1662640,3542,128000,3542,16,3530,1512000,3532,1512000,3537,1512000,3540,1512000,3532,80,3537,71,3539,100,3541,72,
