Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.67,20.67,screen bright,18.65413758
0,20.67,20.67,wifi running,0.278577858
0,20.67,20.67,phone_scanning,10.815168234
0.0,23.505007,23.505007,core 0 cpu_idle start,0.350870991992
23.505007,23.639132,0.134124999997,core 0 cpu_idle,0.00200215093745
23.639132,23.639162,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
23.639162,23.839266,0.200103999996,core 0 cpu_idle,0.00298705245994
23.839266,23.842806,0.00354000000516,core 0 cpu_frequency,0.00361901457527
23.842806,24.039156,0.196349999998,core 0 cpu_idle,0.00293101462498
24.039156,24.039187,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
24.039187,24.13904,0.099853000007,core 0 cpu_idle,0.0014905556576
24.13904,24.139101,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.139101,24.289126,0.150024999995,core 0 cpu_idle,0.00223949818743
24.289126,24.305056,0.0159300000014,core 0 cpu_frequency,0.00629137827055
24.305056,24.39023,0.0851739999998,core 0 cpu_idle,0.001271434885
24.39023,24.390902,0.000672000001941,core 0 cpu_frequency,0.000381475249102
24.390902,24.489229,0.0983269999997,core 0 cpu_idle,0.0014677762925
24.489229,24.490145,0.000915999997233,core 0 cpu_frequency,0.000677038039955
24.490145,24.539187,0.0490419999987,core 0 cpu_idle,0.000732074454981
24.539187,24.539248,6.10000060988e-05,core 0 cpu_frequency,2.40912814086e-05
24.539248,24.589266,0.0500179999945,core 0 cpu_idle,0.000746643694917
24.589266,24.59894,0.00967400000081,core 0 cpu_frequency,0.00549165409146
24.59894,24.639162,0.0402220000033,core 0 cpu_idle,0.000600413905049
24.639162,24.639223,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.639223,24.789065,0.149841999999,core 0 cpu_idle,0.00223676645498
24.789065,24.794527,0.00546200000099,core 0 cpu_frequency,0.00403709801973
24.794527,24.839205,0.0446779999984,core 0 cpu_idle,0.000666930844976
24.839205,24.83948,0.00027499999851,core 0 cpu_frequency,0.00012737422431
24.83948,24.889376,0.0498960000041,core 0 cpu_idle,0.000744822540061
24.889376,24.892397,0.00302099999681,core 0 cpu_frequency,0.00171493559969
24.892397,24.992403,0.100006000001,core 0 cpu_idle,0.00149283956501
24.992403,25.000094,0.00769099999889,core 0 cpu_frequency,0.00786266696436
25.000094,25.241762,0.241668000002,core 0 cpu_idle,0.00360749907004
25.241762,25.241793,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.241793,25.289126,0.047332999995,core 0 cpu_idle,0.000706563357425
25.289126,25.299532,0.0104060000012,core 0 cpu_frequency,0.00769132954792
25.299532,25.399233,0.0997009999992,core 0 cpu_idle,0.00148828667749
25.399233,25.409823,0.0105900000053,core 0 cpu_frequency,0.0108263741004
25.409823,25.639223,0.229399999997,core 0 cpu_idle,0.00342436849995
25.639223,25.639376,0.000153000000864,core 0 cpu_frequency,0.000136708178272
25.639376,25.689333,0.0499569999956,core 0 cpu_idle,0.000745733117435
25.689333,25.690829,0.00149600000441,core 0 cpu_frequency,0.00152939147251
25.690829,25.839327,0.148498000002,core 0 cpu_idle,0.00221670389503
25.839327,25.840365,0.00103799999488,core 0 cpu_frequency,0.000927471160424
25.840365,25.939364,0.0989990000016,core 0 cpu_idle,0.00147780757252
25.939364,25.973269,0.0339050000039,core 0 cpu_frequency,0.0250600161754
25.973269,26.13904,0.165771,core 0 cpu_idle,0.0024745466025
26.13904,26.139101,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.139101,26.189059,0.049957999996,core 0 cpu_idle,0.00074574804494
26.189059,26.189242,0.000183000003744,core 0 cpu_frequency,0.000135259786268
26.189242,26.289248,0.100006000001,core 0 cpu_idle,0.00149283956501
26.289248,26.295504,0.00625600000058,core 0 cpu_frequency,0.00639563704859
26.295504,26.439242,0.143737999999,core 0 cpu_idle,0.00214564899498
26.439242,26.439425,0.000182999996468,core 0 cpu_frequency,0.00013525978089
26.439425,26.589083,0.149658000002,core 0 cpu_idle,0.00223401979503
26.589083,26.589114,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.589114,26.739046,0.149932,core 0 cpu_idle,0.00223810993
26.739046,26.739077,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
26.739077,26.789065,0.0499879999988,core 0 cpu_idle,0.000746195869983
26.789065,26.789095,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
26.789095,26.88904,0.0999450000018,core 0 cpu_idle,0.00149192898753
26.88904,26.889101,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.889101,27.040285,0.151183999995,core 0 cpu_idle,0.00225679915992
27.040285,27.045229,0.00494400000025,core 0 cpu_frequency,0.00505435255226
27.045229,28.244967,1.199738,core 0 cpu_idle,0.017909088995
28.244967,28.244997,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
28.244997,28.289248,0.0442509999993,core 0 cpu_idle,0.00066055680249
28.289248,28.289339,9.0999994427e-05,core 0 cpu_frequency,3.5939446799e-05
28.289339,28.339297,0.0499580000032,core 0 cpu_idle,0.000745748045048
28.339297,28.33951,0.000212999999349,core 0 cpu_frequency,0.00012091402913
28.33951,28.398012,0.0585019999999,core 0 cpu_idle,0.000873288604998
28.398012,28.399508,0.00149599999713,core 0 cpu_frequency,0.00152939146507
28.399508,28.839236,0.439728000005,core 0 cpu_idle,0.00656403972007
28.839236,28.839541,0.00030500000139,core 0 cpu_frequency,0.000272522838742
28.839541,28.93915,0.0996089999971,core 0 cpu_idle,0.00148691334746
28.93915,28.98926,0.0501099999965,core 0 cpu_frequency,0.0370375286924
28.98926,29.021609,0.032349000001,core 0 cpu_frequency,0.0330710458555
29.021609,29.239413,0.217804,core 0 cpu_idle,0.00325126921
29.239413,29.24399,0.0045769999997,core 0 cpu_frequency,0.00338297283628
29.24399,29.289767,0.0457769999994,core 0 cpu_idle,0.00068333616749
29.289767,29.289828,6.10000060988e-05,core 0 cpu_frequency,4.50865990077e-05
29.289828,29.38904,0.099212000001,core 0 cpu_idle,0.00148098713001
29.38904,29.389071,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
29.389071,29.43915,0.0500790000006,core 0 cpu_idle,0.000747554272508
29.43915,29.439211,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
29.439211,29.589236,0.150025000003,core 0 cpu_idle,0.00223949818754
29.589236,29.627383,0.0381469999993,core 0 cpu_frequency,0.0389984601128
29.627383,29.839144,0.211760999999,core 0 cpu_idle,0.00316106232748
29.839144,29.839297,0.000153000000864,core 0 cpu_frequency,0.000113086049139
29.839297,29.939059,0.099761999998,core 0 cpu_idle,0.00148919725497
29.939059,29.93912,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
29.93912,29.989138,0.0500180000017,core 0 cpu_idle,0.000746643695026
29.989138,29.989229,9.10000017029e-05,core 0 cpu_frequency,6.72603307587e-05
29.989229,30.139071,0.149841999999,core 0 cpu_idle,0.00223676645498
30.139071,30.139101,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
30.139101,30.189059,0.049957999996,core 0 cpu_idle,0.00074574804494
30.189059,30.18912,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
30.18912,30.23926,0.0501399999994,core 0 cpu_idle,0.000748464849991
30.23926,30.239321,6.10000060988e-05,core 0 cpu_frequency,6.23615567349e-05
30.239321,30.43915,0.199828999997,core 0 cpu_idle,0.00298294739746
30.43915,30.483523,0.044372999997,core 0 cpu_frequency,0.0396480520248
30.483523,30.489229,0.00570600000356,core 0 cpu_idle,8.51763150531e-05
30.489229,30.491152,0.00192299999617,core 0 cpu_frequency,0.00196592231758
30.491152,31.639223,1.148071,core 0 cpu_idle,0.0171378298525
31.639223,31.654452,0.0152289999969,core 0 cpu_frequency,0.0112561270082
31.654452,31.689333,0.0348809999996,core 0 cpu_idle,0.000520686127494
31.689333,31.706454,0.0171210000044,core 0 cpu_frequency,0.017503149285
31.706454,32.039156,0.332702,core 0 cpu_idle,0.004966409105
32.039156,32.044466,0.00531000000046,core 0 cpu_frequency,0.00392475109534
32.044466,32.139254,0.0947880000022,core 0 cpu_idle,0.00141494787003
32.139254,32.140322,0.00106799999776,core 0 cpu_frequency,0.000541136374864
32.140322,32.18912,0.0487979999962,core 0 cpu_idle,0.000728432144943
32.18912,32.189211,9.10000017029e-05,core 0 cpu_frequency,3.59394496726e-05
32.189211,32.239596,0.0503850000023,core 0 cpu_idle,0.000752122087534
32.239596,32.241152,0.00155599999562,core 0 cpu_frequency,0.000883296851512
32.241152,32.339266,0.0981140000004,core 0 cpu_idle,0.00146459673501
32.339266,32.339785,0.000519000001077,core 0 cpu_frequency,0.000383605616296
32.339785,32.389132,0.0493470000001,core 0 cpu_idle,0.000736627342502
32.389132,32.389193,6.09999988228e-05,core 0 cpu_frequency,2.40912785351e-05
32.389193,32.491396,0.102203000002,core 0 cpu_idle,0.00152563528253
32.491396,32.491946,0.000550000004296,core 0 cpu_frequency,0.000312219327439
32.491946,32.541842,0.0498959999968,core 0 cpu_idle,0.000744822539952
32.541842,32.585024,0.0431820000013,core 0 cpu_frequency,0.0441458438323
32.585024,32.839236,0.254212,core 0 cpu_idle,0.00379474963
32.839236,32.839297,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
32.839297,33.039095,0.199798000001,core 0 cpu_idle,0.00298248464502
33.039095,33.052737,0.0136419999981,core 0 cpu_frequency,0.0100831364276
33.052737,33.091372,0.0386349999972,core 0 cpu_idle,0.000576723962458
33.091372,33.091585,0.000213000006624,core 0 cpu_frequency,0.000157433523396
33.091585,33.189242,0.0976569999984,core 0 cpu_idle,0.00145777486748
33.189242,33.250094,0.0608519999951,core 0 cpu_frequency,0.062210247061
33.250094,33.639132,0.389038000001,core 0 cpu_idle,0.00580736474502
33.639132,33.65613,0.0169979999991,core 0 cpu_frequency,0.0151880104642
33.65613,33.739229,0.0830990000031,core 0 cpu_idle,0.00124046032255
33.739229,33.73926,3.09999959427e-05,core 0 cpu_frequency,3.16919313521e-05
33.73926,34.239138,0.499878000002,core 0 cpu_idle,0.00746192884504
34.239138,34.239199,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
34.239199,34.289095,0.0498960000041,core 0 cpu_idle,0.000744822540061
34.289095,34.289126,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
34.289126,34.339052,0.0499259999997,core 0 cpu_idle,0.000745270364995
34.339052,34.339175,0.00012300000526,core 0 cpu_frequency,9.09123173879e-05
34.339175,34.439059,0.0998839999957,core 0 cpu_idle,0.00149101840994
34.439059,34.439089,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
34.439089,34.489046,0.0499569999956,core 0 cpu_idle,0.000745733117435
34.489046,34.489077,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
34.489077,34.539065,0.0499879999988,core 0 cpu_idle,0.000746195869983
34.539065,34.539095,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
34.539095,34.589052,0.0499569999956,core 0 cpu_idle,0.000745733117435
34.589052,34.589083,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
34.589083,34.641726,0.0526430000027,core 0 cpu_idle,0.000785828382541
34.641726,34.641939,0.000212999999349,core 0 cpu_frequency,0.000157433518018
34.641939,34.791872,0.149933000001,core 0 cpu_idle,0.00223812485751
34.791872,34.811709,0.0198369999998,core 0 cpu_frequency,0.0202797717583
34.811709,35.43915,0.627440999997,core 0 cpu_idle,0.00936612552745
35.43915,35.439181,3.10000032187e-05,core 0 cpu_frequency,2.76990453759e-05
35.439181,35.539187,0.100005999993,core 0 cpu_idle,0.0014928395649
35.539187,35.539248,6.10000060988e-05,core 0 cpu_frequency,4.50865990077e-05
35.539248,35.589083,0.049834999998,core 0 cpu_idle,0.00074391196247
35.589083,35.589114,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
35.589114,35.689944,0.100830000003,core 0 cpu_idle,0.00150513982505
35.689944,35.690249,0.00030500000139,core 0 cpu_frequency,0.000311807753921
35.690249,36.239138,0.548888999998,core 0 cpu_idle,0.00819354054747
36.239138,36.239199,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
36.239199,36.339144,0.0999450000018,core 0 cpu_idle,0.00149192898753
36.339144,36.339266,0.000121999997646,core 0 cpu_frequency,4.81825570702e-05
36.339266,36.392672,0.0534060000064,core 0 cpu_idle,0.000797218065095
36.392672,36.393587,0.000914999996894,core 0 cpu_frequency,0.000935423254325
36.393587,36.641756,0.248168999999,core 0 cpu_idle,0.00370454274748
36.641756,36.659701,0.0179449999996,core 0 cpu_frequency,0.0132635891522
36.659701,36.739046,0.0793449999983,core 0 cpu_idle,0.00118442248747
36.739046,36.739077,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
36.739077,36.789309,0.0502320000014,core 0 cpu_idle,0.000749838180021
36.789309,36.7894,9.10000017029e-05,core 0 cpu_frequency,9.30311672409e-05
36.7894,37.239138,0.449737999996,core 0 cpu_idle,0.00671346399494
37.239138,37.239168,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
37.239168,37.289065,0.0498969999971,core 0 cpu_idle,0.000744837467457
37.289065,37.289126,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
37.289126,37.339052,0.0499259999997,core 0 cpu_idle,0.000745270364995
37.339052,37.364931,0.0258790000007,core 0 cpu_frequency,0.019127802936
37.364931,37.389437,0.0245060000016,core 0 cpu_idle,0.000365813315023
37.389437,37.389468,3.10000032187e-05,core 0 cpu_frequency,3.16919387905e-05
37.389468,38.039248,0.64978,core 0 cpu_idle,0.00969959095
38.039248,38.039309,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
38.039309,38.189242,0.149933000001,core 0 cpu_idle,0.00223812485751
38.189242,38.244173,0.0549309999988,core 0 cpu_frequency,0.0561570873842
0.0,23.504885,23.504885,core 1 cpu_idle start,0.350869170837
23.504885,23.639925,0.135040000001,core 1 cpu_idle,0.00201580960002
23.639925,23.639956,3.10000032187e-05,core 1 cpu_frequency,2.2912861879e-05
23.639956,23.739291,0.099334999999,core 1 cpu_idle,0.00148282321248
23.739291,23.741793,0.00250200000301,core 1 cpu_frequency,0.00255784589407
23.741793,24.039339,0.297545999994,core 1 cpu_idle,0.00444161791492
24.039339,24.03937,3.10000032187e-05,core 1 cpu_frequency,2.2912861879e-05
24.03937,24.089052,0.0496819999971,core 1 cpu_idle,0.000741628054957
24.089052,24.089114,6.19999991613e-05,core 1 cpu_frequency,4.58257183801e-05
24.089114,24.13904,0.049926000007,core 1 cpu_idle,0.000745270365104
24.13904,24.139101,6.09999988228e-05,core 1 cpu_frequency,4.50865936299e-05
24.139101,24.189242,0.0501409999997,core 1 cpu_idle,0.000748479777496
24.189242,24.189272,2.99999956042e-05,core 1 cpu_frequency,2.21737317509e-05
24.189272,24.239077,0.0498050000024,core 1 cpu_idle,0.000743464137536
24.239077,24.239107,3.00000028801e-05,core 1 cpu_frequency,2.21737371288e-05
24.239107,24.289767,0.0506599999935,core 1 cpu_idle,0.000756227149903
24.289767,24.29294,0.00317300000461,core 1 cpu_frequency,0.00234524204191
24.29294,24.34006,0.0471199999956,core 1 cpu_idle,0.000703383799935
24.34006,24.340182,0.000122000004922,core 1 cpu_frequency,4.81825599437e-05
24.340182,24.390108,0.0499259999997,core 1 cpu_idle,0.000745270364995
24.390108,24.397921,0.00781299999653,core 1 cpu_frequency,0.00443521742753
24.397921,24.439272,0.0413509999998,core 1 cpu_idle,0.000617267052498
24.439272,24.439394,0.000122000004922,core 1 cpu_frequency,9.01731926377e-05
24.439394,24.99219,0.552795999996,core 1 cpu_idle,0.00825186228994
24.99219,24.992312,0.000121999997646,core 1 cpu_frequency,0.000124723098593
24.992312,25.039187,0.046875,core 1 cpu_idle,0.0006997265625
25.039187,25.039217,3.00000028801e-05,core 1 cpu_frequency,2.68055275734e-05
25.039217,25.089358,0.0501409999997,core 1 cpu_idle,0.000748479777496
25.089358,25.139223,0.0498650000009,core 1 cpu_frequency,0.0368564431931
25.139223,25.181093,0.0418700000009,core 1 cpu_frequency,0.0428045593359
25.181093,25.239138,0.0580449999979,core 1 cpu_idle,0.000866466737469
25.239138,25.239168,3.00000028801e-05,core 1 cpu_frequency,2.21737371288e-05
25.239168,25.289126,0.049957999996,core 1 cpu_idle,0.00074574804494
25.289126,25.291811,0.00268499999947,core 1 cpu_frequency,0.00106041121479
25.291811,25.339266,0.0474549999999,core 1 cpu_idle,0.000708384512499
25.339266,25.339327,6.10000060988e-05,core 1 cpu_frequency,3.46279649621e-05
25.339327,25.399355,0.0600279999999,core 1 cpu_idle,0.000896067969998
25.399355,25.439272,0.0399169999946,core 1 cpu_frequency,0.0295036326625
25.439272,25.460726,0.0214540000015,core 1 cpu_frequency,0.0219328640086
25.460726,25.639132,0.178405999999,core 1 cpu_idle,0.00266315556499
25.639132,25.639895,0.000763000003644,core 1 cpu_frequency,0.000563951996194
25.639895,25.739229,0.0993339999986,core 1 cpu_idle,0.00148280828498
25.739229,25.787997,0.0487680000006,core 1 cpu_frequency,0.0498565261446
25.787997,26.43915,0.651152999999,core 1 cpu_idle,0.00972008640748
26.43915,26.439364,0.000213999999687,core 1 cpu_frequency,0.00019121274472
26.439364,26.539187,0.0998229999968,core 1 cpu_idle,0.00149010783245
26.539187,26.539248,6.10000060988e-05,core 1 cpu_frequency,4.50865990077e-05
26.539248,26.589083,0.049834999998,core 1 cpu_idle,0.00074391196247
26.589083,26.589114,3.09999959427e-05,core 1 cpu_frequency,2.29128565011e-05
26.589114,26.639223,0.0501090000034,core 1 cpu_idle,0.000748002097551
26.639223,26.639315,9.20000020415e-05,core 1 cpu_frequency,9.4053488087e-05
26.639315,26.839327,0.200012000001,core 1 cpu_idle,0.00298567913002
26.839327,26.839388,6.09999988228e-05,core 1 cpu_frequency,4.50865936299e-05
26.839388,26.88904,0.0496520000015,core 1 cpu_idle,0.000741180230023
26.88904,26.889223,0.000182999996468,core 1 cpu_frequency,0.00013525978089
