App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:35:39 AM","17 sec","Trepn_2018.10.20_023538.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
88,3,87,255,88,2229347,883634,89,320000,90,0,44,1512000,83,1512000,85,1512000,87,0,79,100,84,100,86,49,88,0,
154,3,152,255,154,2803931,1458218,155,320000,156,0,145,1512000,147,1512000,150,1512000,152,1512000,147,100,150,100,151,85,154,48,
258,3,255,255,257,2646605,1300892,259,320000,259,0,248,1512000,250,1512000,253,1512000,255,1512000,250,66,252,100,254,44,257,100,
356,3,354,255,356,2626084,1280371,356,320000,357,0,349,1512000,351,1512000,352,1512000,354,1512000,350,57,352,100,353,50,355,100,
456,3,455,255,456,2078861,733148,457,320000,457,0,449,1512000,451,1512000,453,1512000,455,1512000,451,36,452,100,454,55,456,36,
557,3,555,255,557,2441396,1095683,558,320000,559,0,550,1512000,552,1512000,554,1512000,556,1512000,552,50,553,100,555,53,557,77,
657,3,655,255,657,1622633,276920,658,320000,658,0,650,1512000,652,1512000,654,1026000,656,1026000,652,77,654,54,655,25,657,30,
759,3,757,255,759,1633843,288130,760,320000,761,0,751,1512000,753,1512000,755,1026000,757,1026000,753,62,754,44,756,55,759,50,
861,3,858,255,861,2851813,1506100,862,320000,862,0,854,1512000,856,1512000,857,1512000,859,1512000,855,80,857,77,858,83,861,100,
961,3,960,255,961,2277229,931516,962,320000,962,0,954,1512000,956,1512000,958,1512000,960,1512000,956,81,957,55,959,54,961,66,
1062,3,1060,255,1062,1641082,295369,1062,320000,1063,0,1054,1512000,1057,1512000,1058,1512000,1060,1512000,1056,25,1058,45,1059,30,1062,63,
1163,3,1161,255,1163,872329,0,1163,320000,1164,0,1155,1026000,1157,1026000,1159,1026000,1161,1512000,1157,30,1158,45,1160,20,1162,0,
1272,3,1270,255,1271,740710,0,1272,320000,1274,0,1256,810000,1260,1026000,1265,0,1271,0,1259,33,1264,36,1266,0,1271,0,
