Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.361,20.361,screen bright,18.375273114
0,20.361,20.361,wifi running,0.2744133414
0,20.361,20.361,phone_scanning,10.6534901022
0.0,23.678181,23.678181,core 0 cpu_idle start,0.353456046877
23.678181,23.749683,0.0715019999989,core 0 cpu_idle,0.00106734610498
23.749683,23.749958,0.000275000005786,core 0 cpu_frequency,0.000203259241776
23.749958,23.849171,0.0992129999941,core 0 cpu_idle,0.00148100205741
23.849171,23.849781,0.00061000000278,core 0 cpu_frequency,0.000450865947055
23.849781,23.905964,0.0561830000006,core 0 cpu_idle,0.000838671732509
23.905964,24.072895,0.166931,core 0 cpu_frequency,0.170656983385
24.072895,24.449177,0.376281999997,core 0 cpu_idle,0.00561694955496
24.449177,24.449757,0.0005799999999,core 0 cpu_frequency,0.000428692209926
24.449757,24.604694,0.154936999999,core 0 cpu_idle,0.00231282206749
24.604694,24.605793,0.00109900000098,core 0 cpu_frequency,0.0011235302305
24.605793,24.851887,0.246094000002,core 0 cpu_idle,0.00367356818503
24.851887,24.851917,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.851917,24.904713,0.0527959999963,core 0 cpu_idle,0.000788112289945
24.904713,24.9063,0.00158699999884,core 0 cpu_frequency,0.000735065072461
24.9063,24.949513,0.0432130000045,core 0 cpu_idle,0.000645062057567
24.949513,24.950062,0.000548999996681,core 0 cpu_frequency,0.000311651651616
24.950062,25.002064,0.052002000004,core 0 cpu_idle,0.00077625985506
25.002064,25.005146,0.00308199999563,core 0 cpu_frequency,0.00315079177653
25.005146,25.44939,0.444243999998,core 0 cpu_idle,0.00663145230998
25.44939,25.450001,0.000611000003119,core 0 cpu_frequency,0.000451605071805
25.450001,25.549122,0.0991209999993,core 0 cpu_idle,0.00147962872749
25.549122,25.549915,0.000792999999248,core 0 cpu_frequency,0.000586125727944
25.549915,25.59914,0.0492250000025,core 0 cpu_idle,0.000734806187537
25.59914,25.599598,0.000457999994978,core 0 cpu_frequency,0.000338519017288
25.599598,25.699635,0.100037000004,core 0 cpu_idle,0.00149330231756
25.699635,25.710773,0.0111380000017,core 0 cpu_frequency,0.0113866057307
25.710773,25.850086,0.139313,core 0 cpu_idle,0.0020795948075
25.850086,25.850117,3.09999959427e-05,core 0 cpu_frequency,2.76990388747e-05
25.850117,25.899677,0.0495599999995,core 0 cpu_idle,0.000739806899992
25.899677,25.899708,3.10000032187e-05,core 0 cpu_frequency,3.16919387905e-05
25.899708,26.049641,0.149933000001,core 0 cpu_idle,0.00223812485751
26.049641,26.099751,0.0501099999965,core 0 cpu_frequency,0.0447741619219
26.099751,26.119862,0.0201110000053,core 0 cpu_frequency,0.0205598875809
26.119862,26.249256,0.129393999996,core 0 cpu_idle,0.00193152893494
26.249256,26.249989,0.000733000000764,core 0 cpu_frequency,0.000541778259065
26.249989,26.349659,0.0996700000032,core 0 cpu_idle,0.00148782392505
26.349659,26.34969,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.34969,26.39922,0.0495300000039,core 0 cpu_idle,0.000739359075058
26.39922,26.399647,0.000426999999036,core 0 cpu_frequency,0.000315606160787
26.399647,26.45232,0.0526729999983,core 0 cpu_idle,0.000786276207475
26.45232,26.452869,0.000548999996681,core 0 cpu_frequency,0.000405779348047
26.452869,26.499317,0.046448000001,core 0 cpu_idle,0.000693352520014
26.499317,26.499836,0.000519000001077,core 0 cpu_frequency,0.000383605616296
26.499836,26.549244,0.0494079999989,core 0 cpu_idle,0.000737537919984
26.549244,26.549732,0.000488000005134,core 0 cpu_frequency,0.000360692759795
26.549732,26.609119,0.0593869999939,core 0 cpu_idle,0.000886499442409
26.609119,26.60976,0.000641000005999,core 0 cpu_frequency,0.000473778808934
26.60976,26.749256,0.139495999996,core 0 cpu_idle,0.00208232653994
26.749256,26.749775,0.000519000001077,core 0 cpu_frequency,0.000383605616296
26.749775,26.799702,0.049927,core 0 cpu_idle,0.0007452852925
26.799702,26.801075,0.00137299999915,core 0 cpu_frequency,0.00101481793787
26.801075,26.949268,0.148193000001,core 0 cpu_idle,0.00221215100751
26.949268,26.949787,0.000519000001077,core 0 cpu_frequency,0.000383605616296
26.949787,26.999836,0.0500489999977,core 0 cpu_idle,0.000747106447465
26.999836,26.999958,0.000122000004922,core 0 cpu_frequency,9.01731926377e-05
26.999958,27.099384,0.0994259999934,core 0 cpu_idle,0.0014841816149
27.099384,27.100147,0.000763000003644,core 0 cpu_frequency,0.000563951996194
27.100147,27.19936,0.0992130000013,core 0 cpu_idle,0.00148100205752
27.19936,27.199879,0.000519000001077,core 0 cpu_frequency,0.000383605616296
27.199879,27.249744,0.0498649999936,core 0 cpu_idle,0.000744359787404
27.249744,27.249836,9.20000020415e-05,core 0 cpu_frequency,3.63343888063e-05
27.249836,27.299549,0.0497130000003,core 0 cpu_idle,0.000742090807505
27.299549,27.305958,0.00640900000144,core 0 cpu_frequency,0.00363820664432
27.305958,27.399952,0.0939940000026,core 0 cpu_idle,0.00140309543504
27.399952,27.400013,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
27.400013,27.449726,0.0497130000003,core 0 cpu_idle,0.000742090807505
27.449726,27.450031,0.00030500000139,core 0 cpu_frequency,0.000120456395549
27.450031,27.500446,0.0504149999979,core 0 cpu_idle,0.000752569912468
27.500446,27.500568,0.000121999997646,core 0 cpu_frequency,6.92559216635e-05
27.500568,27.599812,0.0992439999973,core 0 cpu_idle,0.00148146480996
27.599812,27.600941,0.00112900000386,core 0 cpu_frequency,0.000834471563351
27.600941,27.649677,0.048735999997,core 0 cpu_idle,0.000727506639955
27.649677,27.649769,9.20000020415e-05,core 0 cpu_frequency,3.63343888063e-05
27.649769,27.69939,0.0496209999983,core 0 cpu_idle,0.000740717477475
27.69939,27.708485,0.00909500000125,core 0 cpu_frequency,0.00516297229321
27.708485,27.799274,0.0907890000017,core 0 cpu_idle,0.00135525279753
