App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:01:49 AM","17 sec","Trepn_2018.10.20_030147.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
42,3,39,255,42,1839451,681701,43,320000,46,0,9,1512000,34,1512000,36,0,41,0,34,92,35,100,38,0,42,0,
118,3,115,255,118,2360650,1202900,119,320000,120,0,109,1512000,112,1512000,113,1026000,115,1026000,111,100,113,100,115,83,118,45,
218,3,216,255,218,3111744,1953994,218,320000,219,0,210,1512000,212,1512000,214,1512000,216,1512000,212,88,213,100,215,90,218,100,
318,3,315,255,317,2756049,1598299,318,320000,320,0,310,1512000,312,1512000,314,1512000,316,1512000,312,100,313,100,315,60,317,66,
418,3,416,255,418,2653445,1495695,419,320000,419,0,411,1512000,413,1512000,414,1512000,416,1512000,412,100,414,100,415,61,417,50,
520,3,517,255,520,2496118,1338368,521,320000,522,0,511,1512000,513,1512000,515,1512000,518,1512000,513,81,515,100,517,62,519,45,
619,3,617,255,619,2030979,873229,620,320000,620,0,612,1512000,614,1512000,615,1512000,618,1512000,613,45,615,100,617,50,619,25,
719,3,717,255,719,2290910,1133160,720,320000,720,0,712,1512000,714,1512000,716,1512000,718,1512000,714,37,715,90,717,77,719,54,
822,3,819,255,822,1641721,483971,822,320000,823,0,813,1512000,815,1512000,817,1134000,820,1026000,815,83,816,36,819,45,821,30,
927,3,922,255,927,2216727,1058977,928,320000,929,0,913,1512000,916,1512000,918,1512000,923,1026000,915,57,918,77,921,70,926,81,
1021,3,1019,255,1021,2858654,1700904,1022,320000,1022,0,1014,1512000,1016,1512000,1017,1512000,1020,1512000,1015,90,1017,100,1019,71,1021,80,
1123,3,1120,255,1123,1901013,743263,1123,320000,1124,0,1114,1512000,1116,1512000,1118,1512000,1121,1512000,1116,62,1118,58,1120,41,1123,40,
1223,3,1221,255,1223,1257350,99600,1224,320000,1224,0,1214,1512000,1217,1512000,1219,1026000,1221,1026000,1217,36,1218,40,1220,36,1223,22,
1324,3,1321,255,1323,885675,0,1324,320000,1325,0,1315,1512000,1317,1512000,1319,1026000,1322,1026000,1317,10,1319,9,1321,45,1323,18,
1427,3,1425,255,1427,726555,0,1428,320000,1429,0,1416,1026000,1420,1026000,1423,0,1426,0,1419,22,1422,33,1424,0,1426,0,
1534,3,1532,255,1534,814019,0,1535,320000,1536,0,1517,1026000,1523,1026000,1526,0,1533,0,1522,33,1525,46,1527,0,1533,0,
1623,3,1621,255,1623,1397237,239487,1624,320000,1624,0,1617,1512000,1618,1026000,1620,0,1622,0,1618,81,1619,87,1621,0,1622,0,
1724,3,1722,255,1724,1283814,126064,1724,128000,1725,0,1717,1512000,1719,1512000,1720,1026000,1722,1026000,1718,37,1720,45,1722,41,1724,13,
1831,3,1827,255,1831,693756,0,1832,128000,1833,0,1818,1026000,1821,1026000,1824,1026000,1828,1026000,1820,12,1824,23,1826,0,1830,11,
1930,3,1927,255,1929,755710,0,1930,128000,1931,20,1918,1026000,1921,1026000,1924,1026000,1927,1026000,1921,30,1923,12,1926,11,1929,10,
2062,3,2036,255,2062,1013656,0,2063,128000,2064,20,2019,918000,2030,1026000,2034,0,2037,0,2028,60,2033,50,2035,0,2061,0,
2129,3,2128,255,2129,1810540,652790,2130,128000,2131,20,2120,1512000,2121,1512000,2127,0,2128,0,2121,70,2122,100,2127,0,2129,0,
2250,3,2232,255,2236,1790020,632270,2251,128000,2261,20,2221,1512000,2223,1512000,2230,0,2233,0,2223,77,2229,90,2230,0,2236,0,
2342,3,2327,255,2341,2610854,1453104,2343,128000,2344,20,2321,1512000,2323,1512000,2325,1512000,2328,1512000,2323,100,2325,100,2327,70,2341,17,
2429,3,2427,255,2429,2857105,1699355,2429,200000,2430,20,2421,1512000,2423,1512000,2425,1512000,2427,1512000,2423,75,2425,80,2426,80,2428,88,
2532,3,2529,255,2531,1696766,539016,2532,200000,2532,20,2522,1512000,2524,1512000,2525,1512000,2530,1512000,2523,11,2525,25,2526,90,2531,11,
2632,3,2630,255,2632,1493849,336099,2633,200000,2633,20,2622,1026000,2625,1026000,2627,1512000,2630,1026000,2624,53,2627,50,2629,45,2632,14,
2730,3,2729,255,2730,1203083,45333,2730,200000,2731,20,2723,1026000,2725,1026000,2727,1512000,2729,0,2724,41,2726,30,2728,27,2730,0,
2833,3,2832,255,2833,799734,0,2834,200000,2835,20,2824,1026000,2828,1026000,2830,0,2832,0,2827,0,2830,11,2831,0,2833,0,
2932,3,2931,255,2932,1087638,0,2933,320000,2934,0,2924,1026000,2928,1026000,2930,0,2931,0,2927,44,2929,46,2931,0,2932,0,
3062,3,3057,255,3061,1032680,0,3065,320000,3067,0,3026,1026000,3040,1026000,3055,0,3059,0,3038,69,3049,70,3056,0,3060,0,
3131,3,3130,255,3131,1600041,442291,3132,320000,3132,0,3125,1512000,3127,1512000,3129,0,3130,0,3127,100,3128,57,3129,0,3131,0,
3236,3,3231,255,3235,1235932,78182,3238,320000,3240,0,3225,1512000,3228,1026000,3230,0,3233,0,3227,75,3229,54,3231,0,3235,0,
3331,3,3330,255,3331,1299068,141318,3331,320000,3332,0,3326,1512000,3328,1512000,3329,0,3330,0,3327,58,3329,55,3330,0,3331,0,
3433,3,3431,255,3432,899975,0,3433,320000,3434,0,3426,1512000,3429,1026000,3430,0,3432,0,3428,44,3430,20,3431,0,3432,0,
3533,3,3532,255,3533,645091,0,3533,320000,3534,0,3527,1512000,3529,1026000,3531,0,3532,0,3529,11,3531,12,3532,0,3533,0,
3636,3,3634,255,3635,626802,0,3636,320000,3637,0,3627,810000,3631,1026000,3633,0,3635,0,3630,11,3633,20,3634,0,3635,0,
3750,3,3745,255,3749,568790,0,3751,320000,3754,0,3730,384000,3736,384000,3743,0,3746,0,3735,27,3741,22,3744,0,3748,0,
3839,3,3837,255,3839,846143,0,3840,320000,3841,0,3829,918000,3832,1026000,3836,0,3838,0,3832,45,3835,50,3837,0,3839,0,
3938,3,3937,255,3938,679178,0,3939,320000,3940,0,3929,1026000,3933,1026000,3936,0,3937,0,3932,12,3935,30,3937,0,3938,0,
4050,3,4047,255,4050,569661,0,4054,320000,4056,0,4031,384000,4037,384000,4045,0,4048,0,4036,50,4043,0,4046,0,4049,0,
4140,3,4138,255,4139,809394,0,4140,320000,4141,0,4131,918000,4134,1026000,4137,0,4139,0,4134,33,4136,50,4138,0,4139,0,
4243,3,4241,255,4242,666892,0,4243,320000,4244,0,4232,1026000,4236,384000,4239,0,4241,0,4235,36,4238,11,4240,0,4242,0,
4340,3,4339,255,4340,697400,0,4341,320000,4342,0,4332,1026000,4335,1026000,4338,0,4340,0,4335,33,4337,14,4338,0,4340,0,
4443,3,4440,255,4443,608583,0,4445,320000,4446,0,4433,1026000,4436,384000,4439,0,4441,0,4436,20,4438,11,4439,0,4443,0,
4541,3,4540,255,4541,773931,0,4542,320000,4543,0,4533,1026000,4536,1026000,4539,0,4541,0,4536,28,4538,40,4540,0,4541,0,
4643,3,4641,255,4643,628157,0,4643,320000,4644,0,4634,1026000,4637,1026000,4640,0,4642,0,4637,18,4639,10,4641,0,4642,0,
4744,3,4742,255,4743,792153,0,4744,320000,4745,0,4735,1026000,4738,1026000,4741,0,4743,0,4737,40,4740,33,4742,0,4743,0,
4846,3,4844,255,4845,655959,0,4847,320000,4848,0,4836,384000,4839,1026000,4843,0,4845,0,4839,11,4842,33,4844,0,4845,0,
4945,3,4944,255,4945,808689,0,4946,320000,4947,0,4936,918000,4940,1026000,4943,0,4944,0,4939,53,4942,33,4943,0,4945,0,
5053,3,5049,255,5053,638194,0,5054,320000,5055,0,5037,384000,5042,1026000,5047,0,5050,0,5041,45,5046,20,5048,0,5051,0,
5146,3,5144,255,5146,826329,0,5146,320000,5147,0,5137,918000,5141,1026000,5143,0,5145,0,5140,54,5143,37,5144,0,5145,0,
5252,3,5249,255,5251,562559,0,5255,320000,5256,0,5238,1026000,5242,1026000,5247,0,5249,0,5241,0,5246,10,5248,0,5251,0,
5345,3,5343,255,5345,817386,0,5345,320000,5346,0,5338,1026000,5340,1512000,5343,0,5344,0,5340,33,5342,25,5343,0,5344,0,
5445,3,5444,255,5445,842000,0,5445,320000,5446,0,5439,1026000,5441,1512000,5443,0,5444,0,5441,36,5443,27,5443,0,5445,0,
5548,3,5547,255,5548,726555,0,5549,320000,5550,0,5539,1026000,5543,1026000,5546,0,5547,0,5542,25,5545,30,5546,0,5548,0,
5657,3,5655,255,5656,572849,0,5658,320000,5660,0,5641,384000,5648,1026000,5654,0,5655,0,5646,16,5653,9,5654,0,5656,0,
5754,3,5753,255,5754,760627,0,5755,320000,5756,0,5741,918000,5746,486000,5751,0,5753,0,5745,55,5750,55,5752,0,5754,0,
5850,3,5848,255,5849,727320,0,5850,320000,5851,0,5842,918000,5845,1026000,5847,0,5849,0,5844,30,5847,30,5848,0,5849,0,
5958,3,5956,255,5957,560081,0,5959,320000,5960,0,5943,384000,5950,384000,5955,0,5957,0,5948,12,5954,27,5956,0,5957,0,
6060,3,6056,255,6060,901390,0,6062,320000,6065,0,6043,918000,6046,1026000,6049,0,6057,0,6045,44,6048,66,6051,0,6059,0,
6150,3,6148,255,6149,1120992,0,6150,320000,6152,0,6143,1512000,6145,1026000,6147,0,6149,0,6145,55,6147,60,6148,0,6149,0,
6250,3,6249,255,6250,987440,0,6251,320000,6252,0,6244,1512000,6247,1026000,6248,0,6250,0,6246,44,6248,44,6249,0,6250,0,
6350,3,6349,255,6350,771412,0,6350,320000,6351,0,6344,1512000,6346,1026000,6348,0,6349,0,6346,30,6348,11,6349,0,6350,0,
6454,3,6452,255,6453,642019,0,6454,320000,6455,0,6445,810000,6448,1026000,6451,0,6453,0,6448,30,6450,11,6451,0,6453,0,
6561,3,6559,255,6560,729865,0,6562,320000,6563,0,6546,384000,6554,918000,6557,0,6559,0,6553,30,6556,58,6558,0,6560,0,
6656,3,6654,255,6655,663926,0,6656,320000,6657,0,6647,918000,6650,918000,6653,0,6655,0,6649,33,6653,12,6654,0,6655,0,
6760,3,6759,255,6760,568500,0,6761,320000,6762,0,6748,384000,6754,594000,6757,0,6759,0,6754,12,6757,20,6758,0,6760,0,
6858,3,6856,255,6857,825747,0,6858,320000,6859,0,6848,918000,6852,1026000,6855,0,6857,0,6851,55,6854,36,6856,0,6857,0,
6962,3,6960,255,6962,632419,0,6963,320000,6964,0,6949,384000,6955,1026000,6959,0,6961,0,6955,30,6957,22,6959,0,6961,0,
7057,3,7056,255,7057,727320,0,7058,320000,7059,0,7049,918000,7053,1026000,7055,0,7057,0,7052,30,7055,30,7056,0,7057,0,
7169,3,7167,255,7169,645026,0,7171,320000,7173,0,7150,384000,7158,1026000,7164,0,7168,0,7157,11,7163,30,7165,0,7169,0,
7260,3,7259,255,7260,824859,0,7261,320000,7261,0,7251,918000,7255,1026000,7257,0,7259,0,7254,44,7257,45,7258,0,7259,0,
7368,3,7365,255,7367,675534,0,7369,320000,7371,0,7351,1026000,7357,1026000,7363,0,7365,0,7356,30,7361,11,7364,0,7366,0,
7462,3,7460,255,7462,1306129,148379,7462,320000,7464,0,7453,1026000,7457,1512000,7459,0,7461,0,7456,62,7459,81,7460,0,7462,0,
7558,3,7557,255,7557,738164,0,7558,320000,7559,0,7552,1512000,7554,1512000,7556,0,7557,0,7554,20,7556,11,7556,0,7557,0,
