App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 01:21:16 AM","17 sec","Trepn_2018.10.20_012114.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
39,3,38,255,39,2236188,940791,40,320000,40,0,8,1512000,35,1512000,37,1512000,39,0,35,50,36,100,38,100,39,0,
122,3,114,255,122,2578202,1282805,122,320000,123,0,108,1512000,110,1512000,112,1512000,114,0,110,100,111,100,113,100,122,0,
216,3,214,255,216,2591882,1296485,216,320000,217,0,209,1512000,211,1512000,212,1512000,215,1512000,210,83,212,100,214,62,216,57,
317,3,315,255,317,2024139,728742,317,320000,318,0,309,1512000,311,1512000,313,1512000,315,1512000,311,25,312,100,314,44,316,50,
418,3,415,255,418,2024139,728742,419,320000,419,0,409,1512000,411,1512000,413,1512000,416,1512000,411,33,413,100,415,50,418,36,
517,3,515,255,517,2078861,783464,518,320000,518,0,510,1512000,512,1512000,513,1512000,515,1512000,511,33,513,100,515,44,517,50,
617,3,616,255,617,1661603,366206,617,320000,618,0,610,1512000,612,1512000,614,1512000,616,0,612,36,613,100,615,30,617,0,
732,3,730,255,732,1403572,108175,732,320000,737,0,711,1026000,713,1512000,720,1026000,731,0,713,50,717,75,723,50,731,0,
821,3,818,255,821,2436961,1141564,822,320000,822,0,811,1026000,814,1512000,816,1512000,819,1512000,813,87,816,83,818,90,820,60,
923,3,920,255,923,2334414,1039017,924,320000,925,0,911,1026000,914,1512000,915,1512000,921,1512000,913,72,915,55,920,90,923,81,
1020,3,1018,255,1020,1978099,682702,1021,320000,1022,0,1012,1026000,1014,1512000,1016,1512000,1018,1026000,1013,55,1015,81,1017,70,1020,60,
1121,3,1118,255,1121,1309154,13757,1122,320000,1122,0,1112,1026000,1114,1512000,1116,1512000,1119,1026000,1114,44,1116,22,1118,36,1120,62,
1221,3,1219,255,1221,914104,0,1222,320000,1224,0,1213,1026000,1215,1512000,1217,1512000,1220,1026000,1215,11,1217,25,1219,20,1221,11,
1325,3,1323,255,1325,1087346,0,1326,320000,1328,0,1313,1026000,1317,1026000,1319,1026000,1324,0,1316,44,1319,66,1322,44,1325,0,
1423,3,1421,255,1423,1928375,632978,1424,200000,1424,0,1414,1512000,1416,1512000,1418,1512000,1422,0,1415,100,1418,50,1420,55,1423,0,
1555,3,1530,255,1555,2614303,1318906,1555,128000,1556,0,1514,1512000,1516,1512000,1518,1512000,1533,1026000,1516,90,1517,72,1529,90,1555,100,
1657,3,1652,255,1657,3262231,1966834,1658,128000,1659,0,1615,1512000,1618,1512000,1639,1512000,1653,1512000,1617,100,1619,100,1652,100,1657,100,
1725,3,1722,255,1725,2920216,1624819,1726,128000,1736,21,1715,1512000,1717,1512000,1720,1512000,1722,1512000,1717,100,1719,80,1721,85,1724,85,
1831,3,1825,255,1831,2849503,1554106,1832,200000,1833,21,1818,1512000,1820,1512000,1823,1512000,1827,1512000,1820,90,1822,66,1825,75,1831,90,
1928,3,1925,255,1927,3028619,1733222,1928,200000,1929,21,1919,1512000,1921,1512000,1923,1512000,1926,1512000,1920,88,1923,72,1924,70,1927,100,
2038,3,2036,255,2038,2987577,1692180,2039,200000,2040,21,2019,1512000,2022,1512000,2026,1512000,2036,1512000,2021,54,2024,80,2035,90,2038,100,
2130,3,2127,255,2129,3042299,1746902,2131,200000,2132,21,2120,1512000,2122,1512000,2125,1512000,2127,1512000,2121,100,2124,100,2126,66,2129,66,
2232,3,2228,255,2232,3309070,2013673,2233,320000,2234,21,2220,1512000,2223,1512000,2226,1512000,2229,1512000,2223,81,2225,100,2228,100,2232,90,
2330,3,2327,255,2330,3017284,1721887,2332,320000,2333,21,2321,1512000,2323,1512000,2325,1512000,2328,1512000,2323,75,2325,42,2327,72,2329,100,
2429,3,2427,255,2429,2586346,1290949,2430,320000,2430,21,2421,1512000,2424,1512000,2426,1512000,2428,1512000,2423,40,2425,100,2427,45,2429,41,
2534,3,2530,255,2533,1970549,675152,2534,320000,2535,21,2522,1026000,2525,1512000,2528,1026000,2531,1512000,2524,20,2527,90,2529,25,2533,22,
2630,3,2628,255,2630,2932730,1637333,2631,320000,2631,21,2622,1512000,2624,1512000,2626,1026000,2628,1512000,2624,100,2626,100,2627,50,2630,50,
2761,3,2756,255,2761,2953251,1657854,2762,320000,2762,18,2726,1512000,2738,1512000,2746,1026000,2758,1512000,2733,100,2743,100,2755,50,2761,53,
2832,3,2830,255,2832,2567593,1272196,2832,320000,2833,18,2824,1512000,2826,1512000,2828,1512000,2830,1512000,2826,44,2828,100,2829,62,2832,28,
2934,3,2931,255,2933,1972317,676920,2934,320000,2935,18,2925,1512000,2927,1512000,2929,1512000,2932,1026000,2927,30,2929,66,2931,27,2933,45,
3032,3,3030,255,3031,1028528,0,3032,320000,3032,0,3025,1512000,3027,1512000,3029,1512000,3031,0,3027,9,3028,0,3030,0,3031,0,
3136,3,3134,255,3135,635446,0,3136,320000,3137,0,3126,1026000,3130,1026000,3133,0,3135,0,3129,12,3132,18,3134,0,3135,0,
3243,3,3240,255,3242,609132,0,3244,320000,3245,0,3228,384000,3234,1026000,3238,0,3241,0,3233,20,3238,18,3239,0,3242,0,
3337,3,3335,255,3337,752737,0,3337,320000,3338,0,3327,918000,3331,918000,3334,0,3336,0,3331,37,3334,37,3335,0,3336,0,
3441,3,3439,255,3441,607712,0,3442,320000,3443,0,3428,1026000,3432,384000,3437,0,3439,0,3431,20,3437,10,3438,0,3440,0,
3537,3,3536,255,3537,868685,0,3538,320000,3539,0,3529,1026000,3532,1026000,3535,0,3536,0,3531,40,3534,54,3535,0,3537,0,
3638,3,3636,255,3638,679178,0,3638,320000,3639,0,3629,1026000,3633,1026000,3635,0,3637,0,3632,30,3635,12,3636,0,3637,0,
3749,3,3746,255,3749,569806,0,3751,320000,3753,0,3730,384000,3738,594000,3744,0,3747,0,3737,30,3742,11,3745,0,3748,0,
