App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:48:00 AM","17 sec","Trepn_2018.10.20_034759.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
11,3,0,255,9,1894173,598596,18,320000,22,0,50,1512000,52,1512000,54,1026000,5,0,51,100,53,100,60,45,8,0,
63,3,60,255,63,2251320,955743,64,320000,65,0,150,1512000,152,1512000,154,1512000,61,1026000,152,72,153,100,156,100,62,53,
159,3,156,255,159,2728688,1433111,159,320000,160,0,250,1512000,252,1512000,254,1512000,157,1512000,252,77,254,100,256,100,158,50,
259,3,256,255,259,2831293,1535716,260,320000,260,0,351,1512000,353,1512000,355,1512000,257,1512000,352,70,354,100,356,33,258,60,
358,3,356,255,358,2065180,769603,359,320000,359,0,451,1512000,453,1512000,455,1512000,357,1512000,453,54,454,100,456,62,358,22,
458,3,456,255,458,2277229,981652,459,320000,459,0,552,1512000,554,1512000,555,1512000,457,1512000,553,37,555,100,557,44,458,40,
558,3,557,255,558,1764208,468631,559,320000,560,0,652,1512000,654,1512000,656,1512000,558,0,654,40,655,100,657,30,558,0,
658,3,657,255,658,1688964,393387,659,320000,659,0,753,1026000,755,1512000,758,1026000,658,0,755,45,757,90,761,44,658,0,
763,3,761,255,763,1466089,170512,764,320000,765,0,854,1512000,857,1512000,860,1512000,762,0,856,90,859,90,863,100,763,0,
868,3,864,255,868,2927057,1631480,869,320000,869,0,954,1512000,956,1512000,958,1512000,865,1512000,956,62,958,70,960,90,868,71,
963,3,960,255,963,2523480,1227903,963,400000,964,0,1055,1512000,1057,1512000,1060,1512000,961,1512000,1056,66,1059,90,1061,77,963,70,
1063,3,1061,255,1063,2735529,1439952,1064,400000,1064,0,1155,1512000,1157,1512000,1159,1512000,1062,1512000,1157,44,1158,44,1160,50,1063,90,
1162,3,1160,255,1162,1683721,388144,1163,400000,1164,0,1255,1512000,1258,1512000,1260,1512000,1161,1134000,1257,25,1259,9,1261,9,1162,50,
1264,3,1262,255,1264,871269,0,1264,400000,1265,0,1356,1026000,1366,594000,1399,0,1262,1026000,1359,22,1396,53,1430,0,1263,14,
1433,3,1431,255,1433,690915,0,1433,320000,1434,0,1457,1512000,1459,1512000,1460,1026000,1432,0,1458,90,1460,60,1462,30,1432,0,
1464,3,1462,255,1464,1738021,442444,1464,320000,1465,0,1557,1512000,1560,1512000,1562,1026000,1462,1026000,1559,12,1562,40,1564,11,1463,21,
1567,3,1564,255,1567,1042162,0,1567,200000,1568,0,1658,1512000,1660,1512000,1662,1026000,1565,1026000,1660,41,1662,100,1664,54,1566,33,
1666,3,1664,255,1666,1869609,574032,1667,128000,1667,0,1758,1512000,1761,1512000,1766,1026000,1665,1026000,1761,87,1765,75,1767,90,1666,50,
1770,3,1768,255,1770,2557339,1261762,1770,128000,1771,18,1809,1512000,1811,1512000,1814,1512000,1768,1512000,1810,100,1813,100,1816,66,1770,87,
1819,3,1816,255,1819,3139079,1843502,1820,128000,1820,18,1909,1512000,1911,1512000,1914,1512000,1817,1512000,1911,80,1913,100,1916,80,1819,100,
1919,3,1916,255,1919,3029634,1734057,1920,400000,1921,18,2010,1512000,2011,1512000,2015,1512000,1917,1512000,2011,36,2014,70,2017,44,1919,90,
2019,3,2017,255,2019,2498172,1202595,2020,400000,2020,18,2110,1026000,2113,1512000,2115,1026000,2017,1512000,2112,30,2114,100,2117,27,2019,45,
2119,3,2117,255,2119,2240760,945183,2120,400000,2120,18,2211,1026000,2213,1512000,2216,1026000,2117,1512000,2213,33,2215,100,2218,14,2119,27,
2221,3,2219,255,2221,2019629,724052,2221,400000,2222,18,2311,1026000,2313,1512000,2316,1026000,2220,0,2313,27,2316,100,2320,27,2221,0,
2322,3,2320,255,2322,2045139,749562,2322,400000,2323,18,2412,1026000,2414,1512000,2418,1026000,2321,0,2414,45,2417,100,2422,53,2321,0,
2424,3,2423,255,2424,2205491,909914,2425,400000,2425,18,2512,1026000,2514,1512000,2517,1026000,2423,0,2514,25,2516,90,2519,12,2424,0,
2522,3,2520,255,2521,1914782,619205,2522,400000,2523,18,2613,1026000,2615,1512000,2618,1026000,2521,0,2614,45,2617,100,2619,33,2521,0,
2623,3,2622,255,2623,2132604,837027,2624,400000,2625,18,2715,1026000,2743,1512000,2749,1026000,2622,0,2743,72,2749,100,2756,66,2623,0,
2759,3,2757,255,2758,2351265,1055688,2759,320000,2760,11,2813,1512000,2815,1512000,2817,1512000,2758,0,2815,62,2817,100,2818,71,2758,0,
2821,3,2819,255,2821,2731325,1435748,2821,200000,2822,11,2914,1512000,2916,1512000,2918,1026000,2819,1512000,2916,22,2917,0,2919,20,2821,50,
2922,3,2919,255,2921,1006118,0,2922,128000,2923,11,3014,1512000,3017,1512000,3019,1026000,2920,1134000,3016,33,3018,0,3020,33,2921,30,
3023,3,3021,255,3023,1037373,0,3023,128000,3024,11,3125,1026000,3176,1026000,3188,0,3021,1026000,3167,46,3183,53,3191,0,3023,27,
3206,3,3197,255,3206,953773,0,3210,320000,3213,0,3224,1512000,3227,1512000,3230,0,3205,0,3226,100,3229,100,3230,0,3205,0,
3235,3,3233,255,3235,1894173,598596,3236,320000,3238,0,3324,1512000,3326,1512000,3328,1026000,3234,0,3326,80,3328,90,3330,20,3235,0,
3332,3,3330,255,3332,1761852,466275,3333,320000,3333,0,3427,1512000,3432,1512000,3434,1512000,3331,1026000,3431,44,3434,60,3436,77,3332,0,
3447,3,3444,255,3447,1961003,665426,3448,320000,3448,0,3525,1512000,3527,1512000,3528,1512000,3445,1026000,3526,44,3528,33,3530,20,3447,54,
3531,3,3530,255,3531,1269799,0,3532,320000,3532,0,3625,1512000,3627,1512000,3629,1512000,3530,1026000,3627,11,3628,10,3630,10,3531,22,
3632,3,3630,255,3632,778252,0,3633,320000,3633,0,3727,1026000,3732,384000,3739,0,3631,1026000,3731,11,3737,11,3740,0,3632,11,
3746,3,3741,255,3745,575783,0,3747,320000,3749,0,3827,1026000,3830,1512000,3833,0,3743,0,3829,80,3833,100,3834,0,3744,0,
3846,3,3844,255,3846,1501692,206115,3847,320000,3848,0,3927,1026000,3930,1512000,3932,1026000,3845,0,3930,22,3932,33,3934,17,3846,0,
3936,3,3935,255,3936,893975,0,3936,200000,3937,0,4028,1026000,4030,1512000,4032,1026000,3935,0,4029,66,4031,50,4033,55,3935,0,
4035,3,4034,255,4035,1309096,13519,4036,128000,4036,0,4128,1026000,4130,1512000,4132,1026000,4034,0,4130,36,4132,20,4134,22,4035,0,
4136,3,4134,255,4136,874294,0,4136,128000,4137,0,4228,1026000,4231,1512000,4233,1026000,4135,0,4230,30,4232,11,4234,38,4135,0,
4238,3,4234,255,4238,849175,0,4238,320000,4239,0,4329,810000,4333,702000,4336,0,4235,0,4332,12,4335,30,4337,0,4237,0,
4341,3,4338,255,4340,617600,0,4342,320000,4343,0,4430,918000,4433,1026000,4437,0,4339,0,4432,55,4436,50,4437,0,4340,0,
