App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 06:02:45 AM","17 sec","Trepn_2018.10.20_060244.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
19,3,11,255,16,1832611,554524,20,320000,21,0,58,1512000,61,1512000,9,0,13,0,60,100,62,100,9,0,14,0,
68,3,65,255,67,2134700,856613,69,320000,70,0,159,1512000,161,1512000,62,1026000,65,1026000,160,66,162,100,64,27,67,39,
167,3,165,255,167,2776570,1498483,167,320000,168,0,259,1512000,261,1512000,162,1512000,165,1512000,261,72,262,100,164,63,166,100,
267,3,265,255,267,2687647,1409560,267,320000,268,0,360,1512000,362,1512000,263,1512000,265,1512000,361,50,363,100,264,44,266,100,
368,3,366,255,368,2195146,917059,369,320000,370,0,460,1512000,462,1512000,364,1512000,367,1512000,462,53,463,62,366,50,368,44,
468,3,465,255,467,2222507,944420,468,320000,469,0,560,1512000,562,1512000,464,1512000,466,1512000,562,50,564,33,465,100,467,33,
567,3,566,255,567,1777888,499801,568,320000,569,0,661,1512000,663,1512000,564,1512000,567,0,662,27,664,12,566,100,567,0,
668,3,667,255,668,1408513,130426,669,320000,670,0,711,1026000,714,1026000,665,1512000,667,0,713,50,719,50,666,90,668,0,
728,3,726,255,728,1574580,296493,729,320000,729,0,815,1512000,819,1026000,719,1512000,727,0,819,90,822,81,725,100,728,0,
839,3,836,255,838,1963636,685549,839,320000,840,0,914,1512000,916,1512000,824,1512000,837,0,915,77,917,100,835,77,838,0,
923,3,920,255,923,2762890,1484803,924,320000,925,0,1014,1512000,1016,1512000,917,1512000,921,1512000,1015,80,1017,62,919,100,923,50,
1022,3,1020,255,1022,2306604,1028517,1023,320000,1023,0,1114,1512000,1116,1512000,1018,1512000,1020,1026000,1116,72,1117,45,1019,81,1021,70,
1121,3,1119,255,1121,1862997,584910,1122,320000,1122,0,1215,1512000,1217,1512000,1118,1512000,1120,1026000,1216,20,1218,10,1119,55,1121,44,
1222,3,1220,255,1222,799727,0,1222,320000,1223,0,1316,1026000,1319,1026000,1218,1512000,1220,1026000,1318,22,1321,27,1220,10,1221,0,
1331,3,1325,255,1331,704689,0,1332,320000,1333,0,1418,1512000,1420,1026000,1322,1026000,1327,0,1419,100,1421,90,1323,0,1328,0,
1431,3,1428,255,1431,1538136,260049,1434,128000,1436,0,1518,1512000,1520,1512000,1421,0,1430,0,1520,44,1521,50,1427,0,1431,0,
1525,3,1523,255,1525,1575704,297617,1526,128000,1526,0,1618,1512000,1620,1512000,1522,1026000,1524,1512000,1620,50,1622,11,1523,44,1525,36,
1627,3,1624,255,1627,1406042,127955,1627,128000,1628,0,1719,1026000,1721,1026000,1622,1026000,1625,1512000,1721,41,1723,25,1624,50,1627,41,
1730,3,1728,255,1730,1731123,453036,1731,128000,1732,19,1819,1026000,1822,1026000,1726,1512000,1729,1512000,1822,55,1823,11,1728,100,1730,41,
1827,3,1826,255,1827,1258356,0,1828,128000,1828,19,1921,486000,1947,384000,1824,1512000,1826,0,1935,30,1957,46,1825,55,1827,0,
1986,3,1975,255,1985,717716,0,1991,128000,1992,19,2022,1512000,2024,1512000,1974,0,1985,0,2024,87,2026,85,1975,0,1985,0,
