Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.414,20.414,screen bright,18.423104236
0,20.414,20.414,wifi running,0.2751276436
0,20.414,20.414,phone_scanning,10.6812213028
0.0,23.463198,23.463198,core 0 cpu_idle start,0.350246888145
23.463198,24.057253,0.594055000001,core 0 cpu_idle,0.00886775601252
24.057253,24.057283,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.057283,24.207247,0.149963999997,core 0 cpu_idle,0.00223858760995
24.207247,24.207277,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.207277,24.257235,0.049957999996,core 0 cpu_idle,0.00074574804494
24.257235,24.257357,0.000122000004922,core 0 cpu_frequency,4.81825599437e-05
24.257357,24.307558,0.0502009999982,core 0 cpu_idle,0.000749375427473
24.307558,24.308504,0.000946000000113,core 0 cpu_frequency,0.000537017239064
24.308504,24.407289,0.098785000002,core 0 cpu_idle,0.00147461308753
24.407289,24.40735,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.40735,24.457247,0.0498969999971,core 0 cpu_idle,0.000744837467457
24.457247,24.457308,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
24.457308,24.657534,0.200226000001,core 0 cpu_idle,0.00298887361501
24.657534,24.657564,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.657564,24.807192,0.149627999999,core 0 cpu_idle,0.00223357196999
24.807192,24.807222,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.807222,24.857241,0.0500189999948,core 0 cpu_idle,0.000746658622422
24.857241,24.857332,9.10000017029e-05,core 0 cpu_frequency,3.59394496726e-05
24.857332,24.908327,0.0509949999978,core 0 cpu_idle,0.000761227862467
24.908327,24.910616,0.00228900000366,core 0 cpu_frequency,0.00129940006558
24.910616,25.007326,0.096709999998,core 0 cpu_idle,0.00144363852497
25.007326,25.007387,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.007387,25.057161,0.0497740000064,core 0 cpu_idle,0.000743001385096
25.057161,25.057192,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
25.057192,25.107271,0.0500790000006,core 0 cpu_idle,0.000747554272508
25.107271,25.11249,0.00521899999876,core 0 cpu_frequency,0.00385749076458
25.11249,25.307222,0.194732000004,core 0 cpu_idle,0.00290686193005
25.307222,25.307253,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
25.307253,25.35718,0.049927,core 0 cpu_idle,0.0007452852925
25.35718,25.35721,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
25.35721,25.457186,0.0999759999977,core 0 cpu_idle,0.00149239173997
25.457186,25.457216,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
25.457216,25.507235,0.0500189999948,core 0 cpu_idle,0.000746658622422
25.507235,25.507326,9.10000017029e-05,core 0 cpu_frequency,3.59394496726e-05
25.507326,25.607515,0.100189000004,core 0 cpu_idle,0.00149557129756
25.607515,25.608126,0.000610999995843,core 0 cpu_frequency,0.00034684728414
25.608126,25.707338,0.099212000001,core 0 cpu_idle,0.00148098713001
25.707338,25.707369,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.707369,25.757173,0.0498039999948,core 0 cpu_idle,0.000743449209922
25.757173,25.757235,6.19999991613e-05,core 0 cpu_frequency,4.58257183801e-05
25.757235,25.917177,0.159942000006,core 0 cpu_idle,0.00238753420508
25.917177,25.917238,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.917238,25.957186,0.0399479999978,core 0 cpu_idle,0.000596323769967
25.957186,25.957247,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.957247,26.157167,0.199919999999,core 0 cpu_idle,0.00298430579999
26.157167,26.157228,6.10000060988e-05,core 0 cpu_frequency,4.50865990077e-05
26.157228,26.207308,0.0500799999936,core 0 cpu_idle,0.000747569199905
26.207308,26.20743,0.000122000004922,core 0 cpu_frequency,6.62380116721e-05
26.20743,26.257326,0.0498959999968,core 0 cpu_idle,0.000744822539952
26.257326,26.257387,6.09999988228e-05,core 0 cpu_frequency,3.46279608317e-05
26.257387,26.307314,0.049927,core 0 cpu_idle,0.0007452852925
26.307314,26.307344,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
26.307344,26.367159,0.0598150000005,core 0 cpu_idle,0.000892888412508
26.367159,26.36722,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.36722,26.507204,0.139984000001,core 0 cpu_idle,0.00208961116002
26.507204,26.507448,0.000244000002567,core 0 cpu_frequency,0.000180346379897
26.507448,26.557711,0.0502629999974,core 0 cpu_idle,0.000750300932461
26.557711,26.557894,0.000182999996468,core 0 cpu_frequency,0.00013525978089
26.557894,26.60721,0.0493160000042,core 0 cpu_idle,0.000736164590062
26.60721,26.607271,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.607271,26.707216,0.0999450000018,core 0 cpu_idle,0.00149192898753
26.707216,26.707827,0.000610999995843,core 0 cpu_frequency,0.000451605066427
26.707827,26.757204,0.049377000003,core 0 cpu_idle,0.000737075167545
