App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:03:03 AM","17 sec","Trepn_2018.10.20_040302.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
65,3,61,255,65,2284070,956772,66,320000,67,0,53,1512000,56,1512000,59,1512000,61,1512000,55,100,58,77,60,39,65,41,
161,3,159,255,161,2632924,1305626,162,320000,162,0,153,1512000,156,1512000,157,1512000,159,1512000,155,100,157,42,159,100,161,66,
261,3,259,255,261,2756049,1428751,262,320000,262,0,254,1512000,256,1512000,258,1512000,260,1512000,256,100,257,66,259,100,261,60,
362,3,360,255,362,2290910,963612,362,320000,363,0,354,1512000,356,1512000,358,1512000,360,1512000,356,77,358,37,359,100,361,44,
412,3,410,255,412,2270389,943091,413,320000,413,0,405,1512000,407,1512000,408,1512000,411,1512000,406,25,408,80,410,100,412,50,
512,3,510,255,512,2077083,749785,512,320000,513,0,505,1512000,507,1512000,509,1512000,510,1134000,506,33,508,75,510,100,512,30,
613,3,612,255,613,1784728,457430,614,320000,614,0,605,1512000,608,1512000,610,1512000,613,0,607,50,609,72,611,62,613,0,
720,3,714,255,716,1969416,642118,720,320000,721,0,706,1512000,708,1512000,712,1512000,715,0,708,60,711,88,713,63,716,0,
818,3,814,255,818,2858654,1531356,819,320000,820,0,807,1512000,808,1512000,811,1512000,815,1512000,808,90,810,81,813,80,816,90,
914,3,912,255,914,2379834,1052536,914,400000,915,0,907,1512000,909,1512000,910,1512000,912,1512000,908,90,910,70,912,66,914,45,
1015,3,1013,255,1015,1661603,334305,1015,400000,1016,0,1007,1512000,1009,1512000,1011,1512000,1013,1512000,1009,44,1011,50,1012,60,1015,12,
1120,3,1116,255,1120,1333269,5971,1121,400000,1121,0,1109,1512000,1111,1512000,1113,1512000,1116,1026000,1111,33,1113,40,1115,45,1120,0,
1215,3,1214,255,1215,1066498,0,1215,400000,1216,0,1209,1512000,1210,1512000,1212,1512000,1214,0,1210,27,1212,30,1213,22,1215,0,
1317,3,1315,255,1316,1541016,213718,1317,400000,1318,0,1309,1134000,1311,1026000,1313,1512000,1315,0,1311,54,1312,50,1314,88,1315,0,
1428,3,1427,255,1428,1743907,416609,1429,200000,1430,0,1410,1026000,1413,1512000,1423,1512000,1427,0,1413,62,1422,100,1426,45,1428,0,
1528,3,1516,255,1528,2475818,1148520,1529,128000,1530,0,1510,1512000,1512,1512000,1514,1512000,1516,1026000,1512,77,1514,75,1515,100,1528,62,
1620,3,1617,255,1620,1964704,637406,1621,200000,1621,0,1610,1512000,1613,1512000,1614,1512000,1618,1026000,1612,44,1614,55,1617,90,1620,40,
1721,3,1718,255,1721,2035349,708051,1721,200000,1722,23,1711,1512000,1713,1512000,1715,1512000,1718,1026000,1713,63,1715,50,1717,81,1720,50,
1821,3,1818,255,1820,2144341,817043,1821,200000,1822,23,1811,1512000,1814,1512000,1816,1512000,1818,1026000,1813,40,1815,36,1817,100,1820,40,
1920,3,1918,255,1920,1988865,661567,1921,200000,1922,23,1912,1512000,1914,1512000,1915,1512000,1918,1026000,1913,46,1915,11,1917,100,1919,33,
2028,3,2026,255,2028,2272179,944881,2028,200000,2029,23,2017,1512000,2021,1512000,2024,1512000,2027,0,2020,62,2023,77,2026,77,2027,0,
2127,3,2125,255,2127,2922006,1594708,2128,200000,2129,23,2119,1512000,2121,1512000,2123,1512000,2126,1512000,2121,66,2123,72,2125,83,2127,90,
2227,3,2225,255,2227,3065652,1738354,2228,320000,2228,23,2220,1512000,2222,1512000,2223,1512000,2226,1512000,2221,75,2223,77,2225,80,2227,100,
2332,3,2328,255,2331,1997405,670107,2332,320000,2333,23,2320,1512000,2323,1026000,2325,1134000,2329,1512000,2322,87,2324,0,2327,30,2331,27,
2429,3,2427,255,2428,1847009,519711,2429,320000,2430,23,2421,1512000,2423,1026000,2425,1026000,2427,1512000,2422,36,2424,46,2426,38,2428,30,
2533,3,2531,255,2533,1323347,0,2534,320000,2535,23,2521,702000,2525,1026000,2528,1026000,2532,0,2524,20,2527,20,2530,33,2532,0,
2631,3,2630,255,2631,1322663,0,2631,320000,2632,23,2622,1026000,2626,1026000,2628,0,2630,0,2625,37,2627,27,2629,0,2630,0,
2736,3,2734,255,2736,1313010,0,2737,200000,2737,15,2723,918000,2727,810000,2733,0,2735,0,2726,40,2732,40,2734,0,2735,0,
2837,3,2836,255,2837,841947,0,2838,128000,2839,15,2824,1026000,2832,384000,2835,0,2836,0,2831,30,2834,36,2835,0,2837,0,
2936,3,2934,255,2935,989081,0,2936,128000,2937,15,2924,1026000,2928,918000,2933,0,2935,0,2927,60,2931,50,2934,0,2935,0,
3035,3,3033,255,3035,810448,0,3036,128000,3037,15,3025,1026000,3029,1026000,3032,0,3034,0,3028,33,3031,20,3033,0,3035,0,
3136,3,3135,255,3136,1029109,0,3137,128000,3138,15,3126,1026000,3129,1026000,3133,0,3135,0,3128,60,3132,53,3134,0,3136,0,
3253,3,3248,255,3252,669552,0,3256,128000,3262,15,3227,384000,3236,384000,3245,0,3249,0,3234,27,3242,33,3247,0,3251,0,
3341,3,3339,255,3340,1091063,0,3341,128000,3343,15,3330,1026000,3334,1026000,3338,0,3340,0,3332,70,3337,60,3338,0,3340,0,
3436,3,3434,255,3436,843247,0,3437,128000,3437,15,3428,1026000,3430,1026000,3432,0,3435,0,3430,40,3432,22,3434,0,3435,0,
3540,3,3537,255,3539,919104,0,3540,128000,3541,15,3528,918000,3533,1026000,3536,0,3538,0,3531,45,3536,45,3537,0,3539,0,
3640,3,3637,255,3639,806804,0,3640,128000,3642,15,3629,1026000,3632,1026000,3635,0,3638,0,3631,30,3634,22,3636,0,3638,0,
3742,3,3740,255,3742,974228,0,3743,128000,3744,17,3730,918000,3734,1026000,3737,0,3741,0,3733,63,3735,45,3737,0,3742,0,
3839,3,3837,255,3838,877271,0,3840,128000,3841,17,3831,1026000,3833,1026000,3835,0,3837,0,3833,14,3835,54,3836,0,3838,0,
3942,3,3941,255,3942,785427,0,3943,128000,3944,17,3932,1026000,3936,384000,3939,0,3941,0,3934,33,3939,41,3940,0,3942,0,
4040,3,4039,255,4040,924648,0,4041,128000,4042,17,4032,1026000,4035,1026000,4037,0,4039,0,4034,37,4036,44,4038,0,4040,0,
4147,3,4145,255,4147,848117,0,4148,128000,4149,17,4133,1026000,4136,1026000,4140,0,4146,0,4135,30,4140,30,4144,0,4146,0,
4245,3,4243,255,4245,1012172,0,4246,128000,4248,17,4233,918000,4237,1026000,4242,0,4244,0,4237,50,4241,63,4242,0,4244,0,
4339,3,4338,255,4339,1375047,47749,4339,128000,4340,17,4334,1512000,4336,1512000,4337,0,4338,0,4335,55,4337,54,4338,0,4339,0,
4440,3,4439,255,4440,814143,0,4441,128000,4441,17,4434,1512000,4436,1512000,4438,0,4439,0,4436,0,4437,27,4438,0,4440,0,
4544,3,4542,255,4544,782518,0,4545,128000,4545,17,4535,1026000,4538,1026000,4540,0,4543,0,4537,12,4540,30,4541,0,4544,0,
4651,3,4646,255,4650,815196,0,4652,128000,4653,17,4636,918000,4640,702000,4643,0,4648,0,4639,50,4642,16,4645,0,4649,0,
4748,3,4746,255,4747,902782,0,4748,128000,4750,16,4737,1026000,4741,1026000,4744,0,4746,0,4740,45,4744,30,4745,0,4747,0,
4846,3,4845,255,4846,1002389,0,4847,128000,4848,16,4838,1026000,4841,1026000,4844,0,4845,0,4841,54,4843,50,4844,0,4846,0,
4977,3,4974,255,4976,776253,0,4978,128000,4982,16,4945,1026000,4956,384000,4970,0,4975,0,4955,30,4966,50,4973,0,4976,0,
5045,3,5044,255,5045,1614264,286966,5046,128000,5046,16,5038,1512000,5041,1512000,5042,1026000,5045,0,5040,77,5042,62,5044,11,5045,0,
5150,3,5148,255,5150,787372,0,5151,128000,5152,16,5139,1026000,5143,1026000,5145,1026000,5149,0,5142,27,5144,0,5148,18,5150,0,
5250,3,5249,255,5250,1002389,0,5251,128000,5252,16,5240,1026000,5244,1026000,5246,1026000,5249,0,5243,46,5245,36,5248,22,5250,0,
5373,3,5361,255,5372,758218,0,5389,128000,5407,16,5340,1026000,5351,0,5358,0,5362,0,5344,37,5355,0,5360,0,5366,0,
5445,3,5444,255,5445,1307405,0,5445,128000,5445,16,5441,1512000,5443,0,5443,0,5444,0,5442,100,5443,0,5444,0,5444,0,
5548,3,5546,255,5548,1041922,0,5549,128000,5550,16,5541,1512000,5544,1026000,5546,0,5547,0,5543,50,5545,21,5546,0,5547,0,
5647,3,5646,255,5647,790177,0,5647,128000,5649,16,5641,1512000,5644,1026000,5645,0,5646,0,5643,10,5645,27,5646,0,5647,0,
5748,3,5747,255,5748,751564,0,5749,128000,5750,18,5742,1134000,5745,1026000,5746,0,5748,0,5744,30,5746,0,5747,0,5748,0,
