Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.568,20.568,screen bright,18.562085232
0,20.568,20.568,wifi running,0.2772031632
0,20.568,20.568,phone_scanning,10.7617987536
0.0,23.559228,23.559228,core 0 cpu_idle start,0.35168037597
23.559228,23.793145,0.233916999998,core 0 cpu_idle,0.00349179601747
23.793145,23.793176,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
23.793176,23.845361,0.0521849999932,core 0 cpu_idle,0.000778991587398
23.845361,23.849633,0.00427200000559,core 0 cpu_frequency,0.00436735318171
23.849633,25.593133,1.7435,core 0 cpu_idle,0.02602609625
25.593133,25.593194,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.593194,25.693047,0.0998529999997,core 0 cpu_idle,0.0014905556575
25.693047,25.693078,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.693078,25.751763,0.0586849999963,core 0 cpu_idle,0.000876020337445
25.751763,25.751824,6.10000060988e-05,core 0 cpu_frequency,4.50865990077e-05
25.751824,25.793206,0.0413819999958,core 0 cpu_idle,0.000617729804937
25.793206,25.793237,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.793237,25.89367,0.100433,core 0 cpu_idle,0.00149921360749
25.89367,25.893701,3.09999959427e-05,core 0 cpu_frequency,3.16919313521e-05
25.893701,26.19317,0.299469000005,core 0 cpu_idle,0.00447032349758
26.19317,26.1932,2.99999956042e-05,core 0 cpu_frequency,2.21737317509e-05
26.1932,26.243096,0.0498960000041,core 0 cpu_idle,0.000744822540061
26.243096,26.244561,0.00146500000119,core 0 cpu_frequency,0.00108281739338
26.244561,26.293237,0.0486759999985,core 0 cpu_idle,0.000726610989978
26.293237,26.300897,0.00765999999567,core 0 cpu_frequency,0.00783097502557
26.300897,27.393243,1.092346,core 0 cpu_idle,0.0163059949151
27.393243,27.393304,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
27.393304,27.493218,0.0999139999985,core 0 cpu_idle,0.00149146623498
27.493218,27.64663,0.153412,core 0 cpu_frequency,0.156836232546
27.64663,27.793145,0.146515,core 0 cpu_idle,0.00218710266251
27.793145,27.793176,3.10000032187e-05,core 0 cpu_frequency,2.76990453759e-05
27.793176,27.843163,0.0499869999985,core 0 cpu_idle,0.000746180942478
27.843163,27.843194,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
27.843194,27.943261,0.100066999999,core 0 cpu_idle,0.00149375014249
27.943261,28.355157,0.411896000005,core 0 cpu_frequency,0.421089724673
28.355157,28.793145,0.437987999998,core 0 cpu_idle,0.00653806586997
28.793145,28.793176,3.10000032187e-05,core 0 cpu_frequency,2.76990453759e-05
28.793176,28.94317,0.149993999999,core 0 cpu_idle,0.00223903543499
28.94317,28.943231,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
28.943231,28.993035,0.049804000002,core 0 cpu_idle,0.00074344921003
28.993035,28.993066,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
28.993066,29.193231,0.200165000002,core 0 cpu_idle,0.00298796303753
29.193231,29.194665,0.00143399999797,core 0 cpu_frequency,0.00146600759493
29.194665,29.393243,0.198578000003,core 0 cpu_idle,0.00296427309505
29.393243,29.393334,9.0999994427e-05,core 0 cpu_frequency,6.72603253808e-05
29.393334,29.493035,0.0997010000065,core 0 cpu_idle,0.0014882866776
29.493035,29.493066,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
29.493066,29.543115,0.0500489999977,core 0 cpu_idle,0.000747106447465
29.543115,29.543328,0.000212999999349,core 0 cpu_frequency,0.000157433518018
29.543328,29.595696,0.0523680000042,core 0 cpu_idle,0.000781723320063
29.595696,29.595757,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
29.595757,29.643151,0.0473940000011,core 0 cpu_idle,0.000707473935016
29.643151,29.643212,6.09999988228e-05,core 0 cpu_frequency,2.40912785351e-05
