App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:54:40 AM","17 sec","Trepn_2018.10.20_055439.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
26,3,25,255,26,2085701,342742,27,320000,28,0,0,1512000,21,1512000,23,1512000,25,0,20,100,22,100,24,28,26,0,
107,3,106,255,107,2578202,835243,107,320000,108,0,100,1512000,102,1512000,104,1512000,106,0,102,100,104,100,106,100,107,0,
210,3,208,255,210,2372993,630034,211,320000,212,0,201,1512000,204,1512000,206,1512000,208,0,204,100,205,100,207,70,209,0,
309,3,307,255,308,2243028,500069,309,320000,310,0,301,1512000,303,1512000,305,1512000,307,1512000,303,66,304,80,306,54,308,51,
410,3,408,255,410,2051500,308541,410,320000,411,0,402,1512000,404,1512000,406,1512000,408,1512000,403,14,405,54,407,55,409,100,
511,3,508,255,511,2085701,342742,511,320000,512,0,502,1512000,504,1512000,506,1512000,508,1512000,503,40,505,25,507,63,510,100,
610,3,608,255,610,2030979,288020,610,320000,611,0,602,1512000,604,1512000,606,1512000,608,1512000,604,25,606,40,607,55,609,100,
712,3,708,255,711,1613721,0,713,320000,714,0,703,1512000,705,1512000,707,1512000,709,1512000,704,27,706,40,708,12,711,80,
820,3,816,255,819,2004815,261856,822,320000,823,0,803,1134000,809,1134000,813,1134000,817,1512000,808,88,812,72,816,66,819,75,
915,3,912,255,914,2291481,548522,915,320000,916,0,904,1134000,906,1512000,908,1134000,913,1512000,906,70,907,100,912,55,914,80,
1023,3,1019,255,1022,1936547,193588,1023,320000,1024,0,1009,1134000,1013,1512000,1016,1026000,1020,1512000,1012,66,1015,70,1019,60,1022,63,
1118,3,1116,255,1118,1569300,0,1118,320000,1119,0,1110,1134000,1112,1512000,1114,1026000,1116,1026000,1112,66,1114,58,1115,50,1117,50,
1221,3,1218,255,1221,630962,0,1222,320000,1223,0,1210,1026000,1213,1512000,1215,1026000,1219,1026000,1212,10,1215,10,1218,0,1221,0,
1322,3,1320,255,1322,992593,0,1323,320000,1324,0,1311,1026000,1315,1026000,1318,1026000,1321,0,1313,55,1317,33,1319,40,1322,0,
1425,3,1423,255,1424,726073,0,1425,320000,1426,0,1412,1026000,1417,1026000,1420,384000,1424,0,1415,22,1419,30,1422,12,1424,0,
1537,3,1534,255,1537,1192815,0,1538,200000,1540,0,1512,1026000,1516,1026000,1528,918000,1535,0,1515,55,1527,75,1533,63,1536,0,
1620,3,1619,255,1620,2331952,588993,1620,128000,1621,0,1612,1512000,1614,1512000,1617,1512000,1619,0,1614,87,1617,77,1619,100,1620,0,
1726,3,1724,255,1726,2160944,417985,1726,128000,1727,21,1715,1512000,1720,1512000,1722,1512000,1725,0,1719,88,1722,70,1724,81,1725,0,
1823,3,1821,255,1823,2651135,908176,1823,320000,1824,0,1815,1512000,1817,1512000,1819,1512000,1821,1512000,1817,55,1819,100,1820,100,1823,37,
1930,3,1927,255,1929,2769730,1026771,1932,320000,1933,0,1916,1512000,1919,1512000,1923,1512000,1928,1512000,1917,88,1923,80,1926,90,1929,70,
2024,3,2022,255,2024,2085701,342742,2024,320000,2025,0,2016,1512000,2018,1512000,2020,1512000,2022,1512000,2018,53,2020,45,2022,30,2024,100,
2130,3,2126,255,2129,2448236,705277,2131,320000,2133,0,2117,1512000,2119,1512000,2122,1512000,2126,1512000,2119,77,2121,54,2125,50,2129,100,
2226,3,2224,255,2226,2133275,390316,2227,400000,2227,0,2217,1512000,2220,1134000,2222,1134000,2224,1512000,2219,50,2221,66,2223,70,2226,100,
2327,3,2324,255,2326,1534940,0,2327,400000,2328,0,2318,1512000,2320,1026000,2322,1026000,2325,1512000,2320,45,2322,55,2324,36,2326,54,
