App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:35:16 AM","17 sec","Trepn_2018.10.20_043515.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
63,3,61,255,63,1839451,621307,64,320000,66,0,8,1512000,50,1512000,56,0,62,0,47,100,54,92,57,0,63,0,
120,3,116,255,117,2145633,927489,121,320000,122,0,109,1512000,111,1512000,113,1026000,116,0,110,100,112,100,115,69,117,0,
216,3,214,255,216,2769730,1551586,217,320000,218,0,209,1512000,211,1512000,212,1512000,215,1512000,210,88,212,100,214,100,216,40,
317,3,315,255,316,2735529,1517385,317,320000,318,0,309,1512000,311,1512000,313,1512000,315,1512000,311,60,313,100,314,100,316,63,
417,3,415,255,417,2345632,1127488,417,320000,418,0,410,1512000,412,1512000,413,1512000,415,1512000,411,66,413,50,415,100,417,50,
518,3,516,255,517,2030979,812835,518,320000,519,0,510,1512000,512,1512000,514,1512000,516,1512000,512,30,513,50,515,100,517,40,
620,3,618,255,620,2236188,1018044,620,320000,621,0,611,1512000,613,1512000,614,1512000,619,0,612,80,614,70,618,100,620,0,
718,3,717,255,717,1668444,450300,718,320000,719,0,711,1512000,713,1512000,715,1512000,717,0,713,40,714,50,716,77,717,0,
829,3,827,255,828,1859972,641828,830,320000,830,0,813,1512000,816,1512000,824,1512000,828,0,814,63,824,72,827,60,828,0,
922,3,920,255,921,2277229,1059085,922,400000,923,0,913,1512000,915,1512000,918,1512000,920,1512000,915,88,917,80,919,80,921,8,
1020,3,1018,255,1020,2735529,1517385,1020,400000,1021,0,1013,1512000,1015,1512000,1017,1512000,1019,1512000,1015,77,1016,66,1018,80,1020,100,
1124,3,1121,255,1124,1582153,364009,1125,400000,1125,0,1114,1512000,1117,1512000,1119,1512000,1122,1026000,1116,50,1118,30,1121,60,1124,27,
1221,3,1219,255,1221,1271479,53335,1221,400000,1222,0,1214,1512000,1216,1026000,1218,1512000,1219,1026000,1216,50,1217,27,1219,27,1221,33,
1328,3,1325,255,1327,748421,0,1328,400000,1330,0,1316,1026000,1318,1026000,1322,1026000,1326,0,1318,12,1320,22,1324,27,1327,0,
1429,3,1428,255,1429,1734931,516787,1430,400000,1430,0,1422,1026000,1424,1026000,1426,1512000,1428,0,1424,72,1426,72,1428,100,1429,0,
1530,3,1529,255,1530,1592801,374657,1531,400000,1531,0,1523,1026000,1525,1026000,1527,1512000,1530,0,1524,55,1527,50,1529,100,1530,0,
1631,3,1629,255,1631,2769730,1551586,1632,320000,1632,0,1623,1512000,1625,1512000,1627,1512000,1630,1512000,1624,90,1627,75,1629,88,1631,75,
1731,3,1729,255,1731,1669975,451831,1731,320000,1732,0,1723,1512000,1725,1134000,1727,1512000,1729,1026000,1725,70,1727,40,1728,44,1731,53,
1830,3,1828,255,1830,1785481,567337,1830,320000,1831,20,1824,1512000,1825,1134000,1827,1512000,1829,1512000,1825,44,1826,45,1828,40,1830,72,
1935,3,1932,255,1934,2019639,801495,1935,200000,1936,20,1925,1512000,1928,1134000,1929,1512000,1933,0,1927,58,1929,54,1931,55,1934,0,
2034,3,2032,255,2034,2729649,1511505,2035,200000,2035,20,2026,1512000,2028,1512000,2030,1512000,2033,1512000,2028,77,2030,71,2032,90,2034,50,
2135,3,2133,255,2135,2414996,1196852,2135,200000,2136,20,2126,1512000,2129,1512000,2131,1512000,2133,1512000,2128,45,2130,50,2132,60,2134,87,
2236,3,2234,255,2236,2695448,1477304,2237,320000,2238,20,2227,1512000,2229,1512000,2232,1512000,2234,1512000,2229,77,2232,77,2234,66,2236,63,
2335,3,2333,255,2335,1524907,306763,2336,400000,2336,20,2327,1134000,2330,1512000,2332,1512000,2334,1026000,2329,36,2331,12,2333,25,2335,28,
2435,3,2434,255,2435,1746284,528140,2436,400000,2436,20,2428,1026000,2430,1512000,2432,1512000,2434,1026000,2430,25,2432,33,2433,22,2435,12,
2538,3,2536,255,2538,1958465,740321,2539,320000,2544,20,2529,1512000,2531,1134000,2535,0,2537,0,2530,72,2534,54,2536,0,2538,0,
2635,3,2634,255,2635,2377167,1159023,2636,200000,2636,20,2629,1512000,2631,1512000,2633,1512000,2635,0,2630,100,2632,66,2634,33,2635,0,
2737,3,2735,255,2737,1683085,464941,2737,128000,2738,20,2729,1512000,2731,1512000,2734,1026000,2736,0,2731,90,2733,45,2735,0,2736,0,
2837,3,2836,255,2837,1390813,172669,2838,200000,2838,36,2830,1512000,2832,1512000,2834,1026000,2837,0,2831,37,2834,45,2836,50,2837,0,
2940,3,2939,255,2940,1412080,193936,2940,200000,2941,36,2930,1134000,2933,1026000,2936,1026000,2939,0,2932,45,2935,50,2938,25,2940,0,
3044,3,3043,255,3044,1434816,216672,3045,200000,3045,36,3031,1026000,3035,1026000,3038,1026000,3043,0,3033,54,3037,50,3042,30,3044,0,
3145,3,3143,255,3144,1562368,344224,3145,200000,3146,36,3132,1026000,3134,1026000,3140,1026000,3144,0,3134,55,3139,60,3142,54,3144,0,
3243,3,3242,255,3243,1551435,333291,3247,200000,3247,36,3232,1026000,3235,1026000,3239,1026000,3242,0,3234,50,3238,66,3241,50,3243,0,
3345,3,3343,255,3345,1485837,267693,3346,200000,3347,36,3333,1026000,3336,1026000,3338,1026000,3344,0,3335,50,3337,44,3341,54,3345,0,
3445,3,3443,255,3445,1587878,369734,3446,200000,3450,36,3434,1026000,3437,1026000,3439,1026000,3444,0,3436,55,3438,66,3442,55,3445,0,
3554,3,3552,255,3554,1405661,187517,3555,200000,3556,36,3534,1026000,3538,1026000,3542,1026000,3553,0,3538,28,3540,40,3552,58,3554,0,
3646,3,3643,255,3646,1573301,355157,3646,200000,3647,36,3635,1026000,3638,1026000,3640,1026000,3644,0,3637,60,3639,70,3642,42,3645,0,
3749,3,3746,255,3749,1452186,234042,3751,200000,3752,36,3736,1026000,3739,702000,3742,1026000,3747,0,3738,50,3741,55,3744,58,3748,0,
3849,3,3844,255,3848,1566012,347868,3852,200000,3853,53,3836,1026000,3839,1026000,3842,1026000,3844,0,3838,50,3841,70,3843,50,3846,0,
3951,3,3945,255,3951,1706205,488061,3952,200000,3953,53,3937,1026000,3940,1026000,3943,1026000,3948,0,3939,50,3942,50,3945,54,3950,0,
4046,3,4045,255,4046,1775447,557303,4047,200000,4047,53,4037,1026000,4040,1026000,4042,1026000,4045,0,4039,50,4042,63,4044,60,4046,0,
4157,3,4154,255,4156,1603821,385677,4158,200000,4159,53,4138,1026000,4145,1026000,4147,594000,4155,0,4144,50,4147,54,4153,50,4156,0,
4248,3,4247,255,4248,1826468,608324,4249,200000,4250,53,4238,1026000,4242,1026000,4244,1026000,4247,0,4241,55,4243,70,4246,62,4248,0,
4351,3,4349,255,4351,1564075,345931,4351,200000,4353,53,4339,1026000,4342,1026000,4346,1026000,4350,0,4341,33,4344,42,4348,40,4350,0,
