App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:38:18 AM","17 sec","Trepn_2018.10.20_043817.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
2,3,0,255,2,1964199,720975,3,320000,4,0,54,1026000,56,1512000,57,1512000,1,0,55,100,57,100,0,82,1,0,
66,3,63,255,66,2433537,1190313,68,320000,68,0,154,1512000,157,1512000,160,1512000,64,1026000,156,100,159,69,61,100,65,48,
165,3,162,255,164,2858654,1615430,165,320000,166,0,255,1512000,257,1512000,259,1512000,163,1512000,256,71,258,60,161,100,164,72,
263,3,261,255,263,2721848,1478624,263,320000,265,0,355,1512000,358,1512000,359,1512000,261,1512000,357,44,359,40,261,100,263,90,
363,3,361,255,363,2010458,767234,363,320000,364,0,456,1512000,458,1512000,460,1512000,361,1512000,458,55,459,60,361,100,363,33,
463,3,461,255,463,2167785,924561,464,320000,464,0,556,1512000,559,1512000,561,1512000,462,1512000,559,60,561,63,461,100,463,25,
565,3,563,255,564,2051500,808276,565,320000,566,0,657,1512000,659,1512000,661,1512000,564,0,658,63,660,44,563,100,564,0,
669,3,663,255,669,1812090,568866,670,320000,671,0,760,1512000,762,1512000,765,1512000,665,0,761,77,764,87,663,81,669,0,
769,3,767,255,769,2721848,1478624,770,320000,770,0,810,1512000,812,1512000,814,1512000,767,1512000,811,80,813,75,766,80,769,77,
817,3,815,255,817,2680806,1437582,818,320000,818,0,910,1512000,912,1512000,914,1512000,816,1512000,912,50,914,90,815,60,817,100,
918,3,916,255,918,2325111,1081887,918,400000,919,0,1011,1512000,1013,1512000,1014,1512000,916,1512000,1012,33,1014,40,915,63,917,60,
1017,3,1016,255,1017,1593200,349976,1018,400000,1018,0,1111,1026000,1114,1026000,1116,1026000,1016,1512000,1113,22,1116,22,1015,50,1017,33,
1120,3,1118,255,1120,752065,0,1121,400000,1122,0,1221,702000,1230,384000,1236,0,1119,0,1229,53,1234,45,1118,18,1120,0,
1243,3,1239,255,1242,673353,0,1244,400000,1246,0,1313,1512000,1315,918000,1316,0,1240,0,1314,62,1316,37,1238,0,1241,0,
1318,3,1317,255,1318,1063524,0,1319,400000,1319,0,1413,1512000,1415,918000,1419,0,1318,0,1415,40,1419,75,1317,0,1318,0,
1421,3,1420,255,1421,1029411,0,1422,400000,1422,0,1513,1512000,1515,1026000,1517,0,1420,0,1515,54,1517,44,1419,0,1420,0,
1519,3,1518,255,1519,1055843,0,1519,320000,1520,0,1617,1512000,1619,1026000,1621,0,1518,0,1619,55,1620,45,1518,0,1519,0,
1622,3,1622,255,1622,1066327,0,1623,320000,1623,0,1714,1512000,1716,1512000,1718,1026000,1622,0,1716,77,1718,100,1621,0,1622,0,
1724,3,1721,255,1724,2042809,799585,1725,128000,1725,15,1815,1512000,1817,1512000,1820,1026000,1722,1512000,1817,45,1818,91,1721,7,1724,41,
1826,3,1823,255,1826,1922725,679501,1827,128000,1828,15,1915,1512000,1917,1512000,1923,1026000,1824,1512000,1917,75,1922,77,1822,41,1826,33,
1929,3,1927,255,1929,2239381,996157,1930,128000,1931,15,2016,1512000,2019,1512000,2020,1512000,1927,1134000,2018,80,2020,70,1925,66,1929,80,
2024,3,2022,255,2024,2860912,1617688,2025,128000,2025,15,2116,1512000,2118,1512000,2123,1512000,2023,1512000,2118,25,2122,25,2022,88,2024,90,
2127,3,2125,255,2127,1793827,550603,2127,128000,2128,15,2217,1512000,2220,1512000,2222,1512000,2125,1512000,2219,66,2222,70,2124,22,2126,100,
2229,3,2226,255,2228,2847231,1604007,2229,128000,2231,15,2317,1134000,2320,1512000,2321,1512000,2226,1512000,2319,75,2321,81,2225,100,2228,90,
2325,3,2323,255,2325,2606796,1363572,2326,128000,2326,15,2418,1134000,2420,1512000,2422,1512000,2323,1512000,2420,66,2422,63,2323,100,2325,63,
2431,3,2424,255,2431,2356291,1113067,2432,400000,2434,15,2519,1134000,2522,1512000,2523,1512000,2428,1512000,2521,75,2523,60,2424,100,2430,50,
2530,3,2525,255,2530,2903802,1660578,2531,400000,2531,15,2620,1134000,2623,1512000,2625,1512000,2526,1512000,2622,37,2624,58,2525,100,2529,63,
2631,3,2627,255,2631,2638827,1395603,2631,400000,2632,33,2722,1512000,2724,1512000,2729,1512000,2628,1512000,2723,66,2728,60,2626,100,2630,50,
2735,3,2732,255,2735,3618270,2375046,2736,400000,2736,33,2822,1512000,2824,1512000,2827,1512000,2733,1512000,2824,77,2826,50,2732,100,2735,55,
