App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:53:23 AM","17 sec","Trepn_2018.10.20_045322.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
52,3,44,255,51,1832611,660507,53,320000,56,0,4,1512000,31,1512000,40,0,46,0,28,91,37,100,43,0,49,0,
135,3,130,255,134,2579294,1407190,137,320000,138,0,104,1512000,106,1512000,116,918000,130,1512000,106,100,116,100,130,83,133,63,
213,3,210,255,213,2940737,1768633,214,320000,214,0,205,1512000,206,1512000,208,1512000,211,1512000,206,87,208,66,209,100,213,100,
314,3,311,255,314,2728688,1556584,314,320000,315,0,305,1512000,307,1512000,309,1512000,312,1512000,307,62,309,60,311,100,313,100,
413,3,411,255,413,2229347,1057243,414,320000,414,0,405,1512000,407,1512000,409,1512000,411,1512000,407,63,409,44,411,100,413,42,
514,3,512,255,514,2092541,920437,514,320000,515,0,506,1512000,508,1512000,510,1512000,512,1512000,507,44,509,30,511,100,514,55,
612,3,611,255,612,1798409,626305,613,320000,613,0,606,1512000,608,1512000,610,1512000,612,0,608,44,609,42,611,100,612,0,
713,3,712,255,713,1435874,263770,713,320000,714,0,707,1512000,709,1512000,711,1512000,712,0,709,22,710,11,712,100,713,0,
824,3,819,255,824,1647923,475819,825,320000,826,0,808,1512000,812,1512000,815,1512000,820,0,810,38,814,36,819,90,824,0,
924,3,920,255,924,2324321,1152217,925,320000,926,0,909,1026000,912,1512000,915,1512000,921,1512000,912,88,914,80,919,70,924,66,
1020,3,1014,255,1016,2319388,1147284,1031,320000,1032,0,1009,1026000,1011,1512000,1013,1512000,1015,1512000,1011,66,1012,88,1014,77,1016,62,
1116,3,1114,255,1116,2284070,1111966,1116,320000,1117,0,1110,1512000,1111,1512000,1113,1512000,1114,1512000,1111,70,1112,70,1114,77,1115,40,
1219,3,1216,255,1219,1440806,268702,1219,320000,1220,0,1210,1512000,1212,1512000,1214,1512000,1217,1026000,1212,66,1214,20,1216,36,1219,22,
1321,3,1319,255,1321,785093,0,1322,320000,1325,0,1310,1512000,1313,1026000,1315,1512000,1319,0,1312,22,1314,11,1316,10,1320,0,
1421,3,1419,255,1421,1016146,0,1422,320000,1423,0,1411,1512000,1415,1026000,1418,0,1420,0,1414,45,1417,50,1418,0,1420,0,
1520,3,1519,255,1520,755710,0,1520,320000,1521,0,1512,1026000,1515,1026000,1517,0,1519,0,1514,33,1517,30,1518,0,1519,0,
1624,3,1623,255,1624,712007,0,1625,320000,1626,0,1613,1026000,1618,918000,1621,0,1623,0,1617,30,1620,25,1622,0,1624,0,
1724,3,1722,255,1724,970726,0,1725,320000,1727,0,1713,1026000,1717,1026000,1720,0,1723,0,1716,60,1720,62,1721,0,1724,0,
1826,3,1824,255,1825,890551,0,1826,200000,1828,17,1814,1026000,1819,1026000,1823,0,1825,0,1817,50,1821,50,1824,0,1825,0,
1923,3,1921,255,1922,1085408,0,1923,128000,1924,17,1914,1026000,1918,1026000,1920,0,1922,0,1917,44,1920,55,1921,0,1922,0,
2044,3,2043,255,2044,1499232,327128,2045,128000,2045,17,2017,1026000,2041,1512000,2043,0,2044,0,2032,81,2042,84,2043,0,2044,0,
2138,3,2134,255,2138,1901749,729645,2140,128000,2141,17,2117,1512000,2122,1512000,2124,1512000,2137,0,2121,81,2124,100,2126,5,2138,0,
2223,3,2222,255,2223,1636429,464325,2224,128000,2224,17,2217,1512000,2219,1512000,2220,1026000,2222,1026000,2218,45,2220,50,2221,60,2223,38,
2325,3,2323,255,2325,1006903,0,2325,128000,2326,17,2317,1512000,2320,1512000,2322,1026000,2323,1026000,2320,25,2321,11,2323,22,2325,14,
2437,3,2430,255,2435,830963,0,2438,128000,2439,17,2418,1512000,2423,1026000,2428,0,2431,0,2422,22,2427,14,2429,0,2435,0,
2524,3,2523,255,2524,1607617,435513,2525,128000,2525,17,2518,1512000,2520,1512000,2522,0,2523,0,2520,77,2522,66,2523,0,2523,0,
2681,3,2677,255,2680,1039702,0,2683,128000,2686,17,2620,1512000,2639,1026000,2667,0,2678,0,2623,36,2658,45,2675,0,2680,0,
2742,3,2739,255,2741,2076230,904126,2743,128000,2744,17,2719,1512000,2734,1512000,2737,1026000,2739,1026000,2734,100,2736,87,2739,10,2741,36,
2826,3,2825,255,2826,1965269,793165,2827,128000,2827,17,2820,1512000,2822,1512000,2823,1026000,2825,1026000,2821,100,2823,50,2824,40,2826,45,
2927,3,2925,255,2927,1705509,533405,2928,128000,2928,19,2920,1512000,2922,1512000,2924,1026000,2926,1026000,2922,100,2923,36,2925,20,2927,20,
3032,3,3030,255,3032,1330125,158021,3033,128000,3034,19,3023,1512000,3026,1026000,3028,0,3031,0,3025,90,3027,20,3029,0,3032,0,
3128,3,3128,255,3128,1626614,454510,3129,128000,3129,19,3124,1512000,3126,1512000,3127,0,3128,0,3125,44,3127,100,3127,0,3128,0,
3231,3,3231,255,3231,1482968,310864,3232,128000,3232,19,3224,1512000,3228,1512000,3230,0,3231,0,3227,63,3230,60,3230,0,3231,0,
3330,3,3329,255,3330,1619774,447670,3330,128000,3331,19,3325,1512000,3327,1512000,3329,0,3329,0,3326,71,3328,72,3329,0,3330,0,
3437,3,3435,255,3437,1667656,495552,3437,128000,3438,19,3431,1512000,3433,1512000,3435,0,3436,0,3432,100,3434,50,3435,0,3436,0,
3533,3,3532,255,3533,1667656,495552,3533,128000,3534,19,3527,1512000,3530,1512000,3531,0,3532,0,3529,100,3531,50,3532,0,3533,0,
3649,3,3643,255,3648,1434972,262868,3651,128000,3651,19,3627,1512000,3635,1026000,3640,0,3645,0,3633,100,3638,30,3641,0,3646,0,
3734,3,3732,255,3734,1715538,543434,3734,128000,3735,19,3727,1512000,3729,1512000,3731,0,3733,0,3729,87,3731,70,3732,0,3733,0,
3837,3,3835,255,3836,1423846,251742,3838,128000,3838,19,3828,1512000,3830,1134000,3834,0,3835,0,3829,80,3833,55,3835,0,3836,0,
3936,3,3934,255,3936,1599253,427149,3937,128000,3938,17,3928,1512000,3930,1512000,3933,0,3935,0,3930,100,3933,40,3934,0,3936,0,
4037,3,4032,255,4037,1621297,449193,4038,128000,4039,17,4029,1512000,4030,1512000,4032,0,4036,0,4030,90,4031,55,4032,0,4037,0,
4136,3,4135,255,4136,1689700,517596,4137,128000,4138,17,4129,1512000,4131,1512000,4132,0,4135,0,4130,100,4132,55,4133,0,4136,0,
4239,3,4234,255,4239,1587096,414992,4240,128000,4240,17,4229,1512000,4231,1512000,4233,0,4238,0,4231,100,4233,40,4234,0,4238,0,
4338,3,4336,255,4338,1518693,346589,4338,128000,4339,17,4330,1512000,4332,1512000,4334,0,4337,0,4331,100,4334,30,4335,0,4337,0,
4441,3,4436,255,4441,1569859,397755,4442,128000,4443,17,4430,1512000,4432,1134000,4434,0,4440,0,4432,100,4434,60,4435,0,4440,0,
4538,3,4535,255,4537,1655499,483395,4538,128000,4539,17,4531,1512000,4533,1512000,4534,0,4536,0,4532,100,4534,50,4535,0,4536,0,
4643,3,4642,255,4643,1455262,283158,4644,128000,4644,17,4631,1512000,4637,1134000,4641,0,4642,0,4633,77,4640,70,4641,0,4643,0,
4755,3,4752,255,4753,1559735,387631,4760,128000,4760,17,4733,1512000,4738,1512000,4748,0,4753,0,4737,36,4745,100,4750,0,4753,0,
4840,3,4839,255,4840,2035693,863589,4841,128000,4842,17,4833,1512000,4835,1512000,4837,1026000,4839,0,4834,88,4836,100,4838,33,4840,0,
4940,3,4939,255,4940,1393212,221108,4941,128000,4949,15,4933,1512000,4935,1512000,4937,1026000,4939,0,4935,90,4936,11,4938,20,4940,0,
5040,3,5039,255,5040,1780146,608042,5040,128000,5041,15,5034,1512000,5036,1512000,5037,1512000,5039,0,5035,50,5037,30,5038,90,5039,0,
5139,3,5139,255,5139,1725424,553320,5141,128000,5142,15,5134,1512000,5136,1512000,5137,1512000,5139,0,5135,50,5137,12,5138,100,5139,0,
5242,3,5241,255,5242,1541854,369750,5243,128000,5243,15,5235,1026000,5237,1026000,5239,1512000,5241,0,5237,30,5239,36,5240,100,5242,0,
5352,3,5343,255,5352,1603808,431704,5353,128000,5354,15,5335,1026000,5338,1026000,5340,1512000,5344,0,5337,50,5340,33,5343,100,5352,0,
5444,3,5442,255,5444,1538209,366105,5445,128000,5447,15,5435,1026000,5438,1026000,5440,1512000,5443,0,5437,25,5440,40,5442,100,5443,0,
5544,3,5543,255,5544,1600163,428059,5544,128000,5545,15,5536,1026000,5538,1026000,5540,1512000,5543,0,5538,45,5540,37,5542,100,5543,0,
5649,3,5645,255,5649,1468347,296243,5650,128000,5651,15,5636,1026000,5640,1026000,5642,1512000,5647,0,5639,44,5641,45,5644,77,5649,0,
5742,3,5741,255,5742,1771676,599572,5743,128000,5743,15,5737,1512000,5739,1026000,5740,1512000,5742,0,5738,55,5740,69,5741,77,5742,0,
5851,3,5848,255,5850,1479900,307796,5852,128000,5853,15,5837,1026000,5840,1512000,5842,1026000,5849,0,5839,22,5841,100,5846,27,5850,0,
