Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.617,20.617,screen bright,18.606306458
0,20.617,20.617,wifi running,0.2778635558
0,20.617,20.617,phone_scanning,10.7874370334
0.0,23.553061,23.553061,core 0 cpu_idle start,0.351588318077
23.553061,23.599173,0.0461120000036,core 0 cpu_idle,0.000688336880054
23.599173,23.599204,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
23.599204,23.649069,0.0498650000009,core 0 cpu_idle,0.000744359787513
23.649069,23.649283,0.000213999999687,core 0 cpu_frequency,0.000158172642769
23.649283,23.706229,0.0569460000042,core 0 cpu_idle,0.000850061415063
23.706229,23.70687,0.000640999998723,core 0 cpu_frequency,0.000655307439194
23.70687,24.199149,0.492278999998,core 0 cpu_idle,0.00734849477247
24.199149,24.199179,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
24.199179,24.249076,0.0498969999971,core 0 cpu_idle,0.000744837467457
24.249076,24.24932,0.000244000002567,core 0 cpu_frequency,0.000180346379897
24.24932,24.349295,0.0999749999974,core 0 cpu_idle,0.00149237681246
24.349295,24.394492,0.0451969999995,core 0 cpu_frequency,0.0462058196379
24.394492,24.799246,0.404754000003,core 0 cpu_idle,0.00604196533504
24.799246,24.799277,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
24.799277,24.899222,0.0999450000018,core 0 cpu_idle,0.00149192898753
24.899222,24.899314,9.20000020415e-05,core 0 cpu_frequency,4.99499751084e-05
24.899314,24.95922,0.0599060000022,core 0 cpu_idle,0.000894246815033
24.95922,24.961966,0.0027459999983,core 0 cpu_frequency,0.00155882593803
24.961966,25.053275,0.0913089999958,core 0 cpu_idle,0.00136301509744
25.053275,25.060202,0.00692700000218,core 0 cpu_frequency,0.00708161410573
25.060202,25.199179,0.138977000002,core 0 cpu_idle,0.00207457916753
25.199179,25.19921,3.09999959427e-05,core 0 cpu_frequency,2.76990388747e-05
25.19921,25.299155,0.0999450000018,core 0 cpu_idle,0.00149192898753
25.299155,25.299185,3.00000028801e-05,core 0 cpu_frequency,2.21737371288e-05
25.299185,25.349082,0.0498969999971,core 0 cpu_idle,0.000744837467457
25.349082,25.349143,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.349143,25.399161,0.0500180000017,core 0 cpu_idle,0.000746643695026
25.399161,25.399192,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
25.399192,25.449088,0.0498959999968,core 0 cpu_idle,0.000744822539952
25.449088,25.449149,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.449149,25.499198,0.0500490000049,core 0 cpu_idle,0.000747106447574
25.499198,25.499228,2.99999956042e-05,core 0 cpu_frequency,2.21737317509e-05
25.499228,25.549094,0.0498660000012,core 0 cpu_idle,0.000744374715018
25.549094,25.549582,0.000487999997858,core 0 cpu_frequency,0.000360692754417
25.549582,25.799155,0.249573000001,core 0 cpu_idle,0.00372550095751
25.799155,25.799246,9.10000017029e-05,core 0 cpu_frequency,3.59394496726e-05
25.799246,25.850272,0.051026000001,core 0 cpu_idle,0.000761690615015
25.850272,25.853171,0.00289899999916,core 0 cpu_frequency,0.00164567967802
25.853171,25.94924,0.0960689999993,core 0 cpu_idle,0.00143406999749
25.94924,25.949301,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.949301,25.999076,0.0497749999995,core 0 cpu_idle,0.000743016312493
25.999076,25.999137,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
25.999137,26.1491,0.149963000003,core 0 cpu_idle,0.00223857268255
26.1491,26.149131,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.149131,26.199057,0.049926000007,core 0 cpu_idle,0.000745270365104
26.199057,26.199088,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.199088,26.349295,0.150206999999,core 0 cpu_idle,0.00224221499248
26.349295,26.349326,3.10000032187e-05,core 0 cpu_frequency,2.2912861879e-05
26.349326,26.403372,0.0540459999975,core 0 cpu_idle,0.000806771664962
26.403372,26.403433,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.403433,26.549155,0.145722000001,core 0 cpu_idle,0.00217526515502
26.549155,26.549246,9.10000017029e-05,core 0 cpu_frequency,3.59394496726e-05
26.549246,26.652701,0.103454999997,core 0 cpu_idle,0.00154432451245
26.652701,26.655875,0.00317400000495,core 0 cpu_frequency,0.00234598116666
26.655875,26.749106,0.0932309999989,core 0 cpu_idle,0.00139170575248
26.749106,26.749167,6.09999988228e-05,core 0 cpu_frequency,4.50865936299e-05
26.749167,26.804068,0.0549010000032,core 0 cpu_idle,0.000819534677547
26.804068,26.804099,3.09999959427e-05,core 0 cpu_frequency,2.29128565011e-05
26.804099,26.900534,0.0964349999995,core 0 cpu_idle,0.00143953346249
