App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:08:49 AM","17 sec","Trepn_2018.10.20_030848.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
7,3,64,255,7,1839451,681604,8,320000,9,0,58,1512000,60,1512000,62,1026000,0,0,59,100,62,100,64,83,0,0,
69,3,164,255,67,2196654,1038807,70,320000,75,0,158,1512000,160,1512000,162,1512000,65,0,160,90,162,100,163,90,66,0,
173,3,266,255,173,2756049,1598202,175,320000,176,0,259,1512000,261,1512000,263,1512000,166,1512000,261,72,263,100,265,58,171,46,
269,3,365,255,268,2783411,1625564,269,320000,270,0,359,1512000,361,1512000,363,1512000,267,1512000,361,75,363,60,365,90,268,100,
368,3,465,255,367,2619244,1461397,368,320000,369,0,459,1512000,461,1512000,463,1512000,366,1512000,461,50,463,44,465,100,367,81,
467,3,565,255,467,2154104,996257,467,320000,468,0,560,1512000,561,1512000,563,1512000,465,1512000,561,54,563,66,564,100,467,44,
566,3,667,255,566,2468757,1310910,567,320000,567,0,660,1512000,663,1512000,665,1512000,565,1512000,662,45,664,12,666,100,566,64,
669,3,769,255,669,1760392,602545,670,320000,670,0,761,1512000,764,1512000,766,1512000,667,1026000,763,55,766,66,768,75,669,44,
771,3,869,255,771,2049030,891183,772,320000,773,0,861,1512000,864,1512000,867,1512000,769,1026000,863,100,866,88,868,62,771,50,
871,3,967,255,871,2498581,1340734,872,400000,873,0,962,1512000,963,1512000,965,1512000,869,1026000,963,66,964,83,966,80,871,72,
970,3,1069,255,970,2708167,1550320,971,400000,971,0,1062,1134000,1065,1512000,1067,1512000,967,1512000,1064,33,1066,40,1068,63,970,90,
1071,3,1170,255,1071,1823130,665283,1072,400000,1072,0,1163,1026000,1165,1512000,1167,1512000,1069,1512000,1165,20,1167,25,1169,10,1071,66,
1172,3,1274,255,1172,1043621,0,1173,400000,1173,0,1263,1026000,1267,1026000,1271,1026000,1170,1512000,1267,12,1269,14,1273,33,1172,30,
1276,3,1378,255,1276,741132,0,1277,400000,1278,0,1364,1026000,1370,1026000,1375,1026000,1276,0,1369,30,1372,0,1377,33,1276,0,
1379,3,1471,255,1379,755710,0,1380,400000,1380,0,1464,1026000,1467,1026000,1469,1026000,1378,0,1466,50,1468,45,1471,25,1379,0,
1473,3,1575,255,1473,963438,0,1473,400000,1474,0,1565,384000,1569,1026000,1573,1026000,1472,0,1567,0,1572,11,1575,20,1472,0,
