App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:16:28 AM","17 sec","Trepn_2018.10.20_051627.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
69,3,67,255,69,2049250,576589,70,320000,70,0,43,1026000,63,1512000,65,1026000,68,1512000,62,76,65,100,67,36,69,63,
157,3,154,255,157,2660449,1187788,158,320000,158,0,143,1512000,146,1512000,148,1026000,155,1512000,145,100,148,100,154,77,156,71,
251,3,249,255,251,2858654,1385993,252,320000,252,0,244,1512000,246,1512000,247,1512000,250,1512000,245,100,247,75,249,66,251,100,
352,3,350,255,352,2496118,1023457,352,320000,353,0,344,1512000,346,1512000,348,1512000,350,1512000,345,72,347,62,349,54,351,100,
452,3,450,255,452,2174625,701964,453,320000,453,0,444,1512000,446,1512000,448,1512000,451,1512000,446,45,447,52,449,44,452,100,
553,3,550,255,553,2509799,1037138,553,320000,554,0,545,1512000,547,1512000,548,1512000,551,1512000,546,80,548,66,550,44,552,100,
653,3,651,255,653,1846291,373630,653,320000,654,0,645,1512000,647,1512000,649,1512000,651,1512000,647,45,648,36,650,12,653,100,
754,3,751,255,754,1716326,243665,754,320000,755,0,746,1512000,748,1512000,749,1512000,751,1512000,747,40,749,90,751,22,753,22,
858,3,854,255,857,1962413,489752,858,320000,860,0,846,1512000,849,1512000,851,1134000,855,0,848,75,851,90,853,72,857,0,
963,3,956,255,963,2762890,1290229,963,400000,965,0,948,1512000,950,1512000,953,1512000,957,1512000,950,90,952,90,955,66,962,81,
