App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 05:19:29 AM","17 sec","Trepn_2018.10.20_051927.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
63,3,58,255,63,1894173,436564,64,320000,70,0,13,1512000,51,1512000,57,0,58,0,43,100,53,100,57,0,59,0,
121,3,119,255,121,2193010,735401,121,320000,122,0,113,1512000,115,1512000,117,1026000,119,1026000,115,100,116,100,119,28,121,54,
221,3,219,255,221,2947577,1489968,221,320000,222,0,213,1512000,215,1512000,217,1512000,219,1512000,215,100,217,77,218,77,221,100,
322,3,320,255,322,2619244,1161635,322,320000,323,0,314,1512000,316,1512000,318,1512000,320,1512000,315,100,317,66,319,50,322,90,
422,3,420,255,422,2003618,546009,422,320000,423,0,414,1512000,416,1512000,418,1512000,420,1512000,416,100,418,33,419,50,421,33,
523,3,521,255,523,2331952,874343,523,320000,524,0,515,1512000,517,1512000,519,1512000,521,1512000,516,100,518,54,520,66,523,44,
622,3,620,255,622,2030979,573370,623,320000,623,0,615,1512000,617,1512000,619,1512000,621,1512000,617,100,618,25,620,50,622,45,
722,3,721,255,722,1463235,5626,722,320000,723,0,716,1512000,718,1512000,719,1512000,721,0,717,100,719,27,720,10,721,0,
829,3,825,255,827,1387878,0,830,320000,830,0,816,1512000,819,1512000,822,1026000,826,0,818,22,821,88,824,30,826,0,
929,3,924,255,929,1853295,395686,930,320000,931,0,917,1512000,919,1512000,921,1026000,924,0,918,66,921,87,923,77,925,0,
1025,3,1023,255,1025,2646605,1188996,1028,320000,1029,0,1017,1512000,1019,1512000,1021,1512000,1023,1512000,1019,100,1021,90,1023,90,1025,30,
1125,3,1123,255,1125,2318271,860662,1125,320000,1126,0,1118,1512000,1120,1512000,1121,1512000,1123,1512000,1120,50,1121,77,1123,81,1125,54,
1225,3,1223,255,1225,1640854,183245,1226,320000,1226,0,1218,1512000,1220,1512000,1222,1512000,1224,1026000,1220,44,1221,50,1223,37,1225,60,
1326,3,1325,255,1326,833928,0,1327,320000,1327,0,1319,1512000,1321,1512000,1324,0,1325,0,1321,33,1323,12,1324,0,1325,0,
1428,3,1426,255,1427,708333,0,1428,320000,1429,0,1419,1026000,1423,1026000,1425,0,1427,0,1422,25,1424,25,1426,0,1427,0,
