App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:19:09 AM","17 sec","Trepn_2018.10.20_041907.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
42,3,35,255,41,2119903,832304,42,320000,43,0,98,1512000,26,1512000,32,1512000,40,0,26,100,31,85,34,48,41,0,
108,3,105,255,108,2578202,1290603,109,320000,111,0,199,1512000,101,1512000,103,1512000,107,0,100,100,102,100,104,100,108,0,
207,3,205,255,207,2167785,880186,208,320000,208,0,299,1512000,201,1512000,203,1512000,205,1512000,200,83,202,55,204,100,207,2,
307,3,305,255,307,2694487,1406888,307,320000,308,0,400,1512000,302,1512000,303,1512000,305,1512000,301,70,303,66,304,100,307,81,
408,3,406,255,408,2304590,1016991,408,320000,409,0,500,1512000,402,1512000,404,1512000,406,1512000,402,40,403,66,405,100,408,54,
509,3,506,255,508,2195146,907547,509,320000,510,0,601,1512000,502,1512000,504,1512000,506,1512000,502,44,503,37,505,100,508,63,
608,3,606,255,608,1853131,565532,609,320000,609,0,701,1512000,603,1512000,604,1512000,606,1512000,602,45,604,22,606,37,608,90,
712,3,707,255,712,2343763,1056164,713,320000,715,0,802,1512000,703,1134000,705,1512000,708,1512000,703,81,705,70,707,66,712,75,
826,3,824,255,826,3084383,1796784,827,400000,828,0,902,1512000,806,1512000,822,1512000,824,1512000,806,100,821,91,823,83,826,100,
912,3,910,255,912,2352472,1064873,913,400000,913,0,1004,1512000,904,1512000,908,1512000,911,1512000,903,66,907,33,910,88,912,80,
1011,3,1009,255,1011,2078861,791262,1012,400000,1012,0,1104,1026000,1006,1512000,1008,1512000,1010,1512000,1005,75,1007,55,1009,42,1011,55,
1115,3,1112,255,1115,708333,0,1116,400000,1116,0,1205,1026000,1107,1026000,1110,1026000,1113,1026000,1107,20,1109,0,1112,10,1115,20,
1214,3,1213,255,1214,639090,0,1215,400000,1216,0,1307,384000,1208,1026000,1210,1026000,1213,0,1207,20,1210,11,1212,0,1214,0,
1334,3,1333,255,1334,590563,0,1335,400000,1335,0,1406,1512000,1318,384000,1327,0,1333,0,1316,44,1323,30,1331,0,1334,0,
1411,3,1410,255,1411,953878,0,1412,400000,1412,0,1508,1134000,1408,918000,1410,0,1411,0,1408,50,1409,28,1410,0,1411,0,
1525,3,1515,255,1525,1037722,0,1526,400000,1527,0,1607,1512000,1511,1026000,1514,0,1523,0,1510,66,1513,63,1515,0,1525,0,
1613,3,1611,255,1612,1032297,0,1613,400000,1614,0,1708,1134000,1609,1512000,1611,0,1612,0,1608,37,1610,37,1611,0,1612,0,
1721,3,1719,255,1721,955660,0,1722,320000,1723,17,1809,1512000,1711,1026000,1717,0,1720,0,1710,63,1716,44,1718,0,1720,0,
1814,3,1813,255,1814,1726132,438533,1815,320000,1815,17,1909,1512000,1811,1026000,1812,0,1813,0,1811,81,1812,63,1813,0,1814,0,
1917,3,1917,255,1917,1279834,0,1918,200000,1918,17,2010,1512000,1912,1026000,1914,0,1917,0,1911,36,1914,25,1916,0,1917,0,
2016,3,2014,255,2016,926965,0,2017,200000,2017,17,2111,1026000,2012,1026000,2013,0,2015,0,2011,12,2013,33,2014,0,2015,0,
2121,3,2119,255,2121,1023454,0,2122,128000,2122,17,2211,1026000,2114,1026000,2117,0,2120,0,2114,37,2116,45,2118,0,2120,0,
2225,3,2222,255,2224,866338,0,2227,128000,2229,17,2311,1512000,2215,1026000,2220,0,2223,0,2215,25,2218,40,2221,0,2224,0,
2318,3,2316,255,2317,1723902,436303,2318,128000,2319,17,2412,1512000,2313,1512000,2315,0,2316,0,2313,80,2315,80,2316,0,2317,0,
2418,3,2417,255,2418,1162998,0,2421,128000,2422,17,2512,1134000,2414,1512000,2416,0,2417,0,2413,33,2415,45,2416,0,2418,0,
