App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:26:11 AM","17 sec","Trepn_2018.10.20_042610.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
54,3,50,255,54,1894173,591419,55,320000,56,0,10,1512000,47,1512000,49,0,50,0,45,100,48,100,49,0,51,0,
122,3,120,255,122,2352472,1049718,123,320000,124,0,110,1512000,113,1512000,115,1512000,121,1512000,112,100,115,100,119,26,122,41,
221,3,218,255,221,2810772,1508018,222,320000,224,0,211,1512000,213,1512000,215,1512000,219,1512000,212,80,214,100,217,54,221,100,
321,3,318,255,321,2728688,1425934,322,320000,322,0,311,1512000,313,1512000,316,1512000,319,1512000,313,72,315,100,317,50,320,100,
420,3,418,255,420,2065180,762426,421,320000,422,0,412,1512000,414,1512000,416,1512000,418,1512000,413,77,416,100,418,12,420,36,
522,3,520,255,522,2119903,817149,522,320000,523,0,512,1512000,514,1512000,517,1512000,520,1512000,514,40,516,100,519,30,522,63,
623,3,620,255,623,2427716,1124962,623,320000,624,0,612,1512000,614,1512000,617,1512000,621,1512000,614,60,616,55,620,100,622,63,
730,3,724,255,730,2186618,883864,731,320000,731,0,713,1512000,716,1512000,720,1512000,725,1026000,715,66,719,77,723,55,730,84,
823,3,820,255,823,2749209,1446455,824,400000,825,0,813,1512000,815,1512000,817,1512000,821,1512000,815,88,817,72,818,88,823,77,
923,3,921,255,923,2345632,1042878,925,400000,926,0,914,1512000,916,1512000,918,1512000,921,1512000,916,60,918,81,920,80,923,45,
1021,3,1019,255,1021,2140423,837669,1022,400000,1023,0,1014,1512000,1016,1512000,1018,1512000,1020,1512000,1016,75,1017,66,1019,50,1021,45,
1121,3,1119,255,1121,662921,0,1122,320000,1123,0,1115,1512000,1116,1512000,1118,1512000,1120,1512000,1116,10,1117,0,1119,10,1121,0,
1223,3,1222,255,1223,902331,0,1224,320000,1224,0,1215,1512000,1218,1512000,1220,1512000,1222,0,1217,10,1220,18,1221,27,1223,0,
1326,3,1324,255,1325,775607,0,1326,200000,1328,0,1316,702000,1319,1026000,1322,1026000,1325,0,1319,33,1321,30,1324,20,1325,0,
1457,3,1452,255,1456,611465,0,1459,128000,1461,0,1417,384000,1432,384000,1440,384000,1453,0,1428,27,1438,41,1450,30,1455,0,
1523,3,1522,255,1523,1684195,381441,1523,128000,1524,0,1517,1512000,1519,1512000,1520,1026000,1522,0,1519,70,1520,70,1522,55,1523,0,
1624,3,1623,255,1624,982059,0,1625,128000,1626,19,1618,1512000,1620,1512000,1621,1026000,1623,0,1619,45,1621,11,1623,20,1624,0,
1732,3,1730,255,1732,839024,0,1732,128000,1733,19,1719,384000,1723,1026000,1727,1026000,1731,0,1722,30,1726,11,1729,36,1731,0,
1907,3,1901,255,1904,677654,0,1907,128000,1910,19,1841,486000,1858,0,1862,0,1902,0,1854,30,1860,0,1897,0,1904,0,
1946,3,1943,255,1946,1325641,22887,1948,128000,1949,19,1928,1512000,1938,0,1940,0,1943,0,1934,100,1938,0,1941,0,1944,0,
2033,3,2032,255,2033,1323285,20531,2033,128000,2034,19,2026,1512000,2029,1512000,2030,1026000,2032,0,2028,63,2030,26,2032,20,2033,0,
2133,3,2132,255,2133,764738,0,2133,128000,2134,19,2127,1512000,2129,1512000,2130,1026000,2132,0,2128,18,2130,0,2132,0,2133,0,
2237,3,2236,255,2237,685345,0,2238,128000,2238,19,2228,1026000,2231,1026000,2233,1026000,2236,0,2230,0,2232,12,2235,0,2237,0,
2339,3,2337,255,2338,802488,0,2340,128000,2341,19,2329,918000,2333,384000,2336,0,2337,0,2332,44,2335,30,2336,0,2338,0,
2439,3,2435,255,2436,943113,0,2440,128000,2441,19,2429,1026000,2432,918000,2434,0,2436,0,2431,55,2434,33,2435,0,2436,0,
2539,3,2537,255,2538,727715,0,2540,128000,2542,19,2529,486000,2532,1026000,2535,0,2537,0,2532,11,2534,20,2536,0,2538,0,
2637,3,2636,255,2637,1064141,0,2638,128000,2638,18,2630,918000,2633,1026000,2635,0,2636,0,2632,63,2634,63,2635,0,2637,0,
2746,3,2743,255,2746,651210,0,2747,128000,2748,18,2731,1026000,2738,384000,2741,0,2745,0,2736,0,2740,18,2742,0,2746,0,
2840,3,2839,255,2840,1047711,0,2841,128000,2843,18,2831,1026000,2834,918000,2837,0,2839,0,2834,61,2837,62,2838,0,2840,0,
2940,3,2938,255,2940,781308,0,2941,128000,2942,18,2931,1026000,2934,1026000,2937,0,2939,0,2933,28,2936,12,2937,0,2940,0,
3041,3,3038,255,3040,889228,0,3042,128000,3043,18,3032,1026000,3035,918000,3037,0,3039,0,3035,36,3037,40,3038,0,3040,0,
