App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 04:46:23 AM","17 sec","Trepn_2018.10.20_044622.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
55,3,52,255,54,1894173,558591,56,320000,58,0,17,1512000,44,1512000,49,0,53,0,42,100,47,100,50,0,54,0,
131,3,126,255,128,2366153,1030571,132,320000,133,0,118,1512000,120,1512000,122,1512000,126,1512000,119,100,121,100,124,38,128,31,
231,3,227,255,231,2653445,1317863,231,320000,232,0,218,1512000,222,1512000,224,1512000,228,1512000,220,66,224,55,226,90,230,100,
326,3,324,255,326,1962576,626994,326,320000,327,0,319,1512000,321,1512000,322,1512000,324,1512000,320,30,322,36,323,44,326,100,
426,3,425,255,426,2386674,1051092,427,320000,427,0,419,1512000,421,1512000,423,1512000,425,1512000,421,45,422,50,424,77,426,100,
528,3,527,255,528,963894,0,529,320000,529,0,520,1512000,522,1512000,524,1512000,528,0,521,14,523,0,526,50,528,0,
627,3,626,255,626,1777888,442306,627,320000,628,0,620,1512000,622,1512000,624,1512000,626,0,622,50,623,33,625,100,626,0,
727,3,726,255,727,1723166,387584,727,320000,728,0,721,1512000,723,1512000,724,1512000,726,0,722,40,724,81,725,54,726,0,
885,3,882,255,885,2913376,1577794,885,320000,887,0,872,1512000,875,1512000,879,1512000,883,1512000,875,81,877,87,882,81,884,100,
934,3,927,255,934,2954418,1618836,935,320000,935,0,922,1512000,924,1512000,925,1512000,927,1512000,923,100,925,75,927,100,934,80,
