App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:52:20 AM","17 sec","Trepn_2018.10.21_005219.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
4,3,56,255,1,1832611,676881,7,320000,8,0,49,1512000,51,1512000,54,1026000,56,1512000,51,100,53,100,55,50,58,54,
58,3,152,255,58,2445766,1290036,59,320000,60,0,147,1512000,149,1512000,151,1512000,153,1512000,149,90,150,100,152,100,154,75,
155,3,253,255,155,3022821,1867091,155,320000,156,0,248,1512000,250,1512000,251,1512000,254,1512000,249,100,251,100,253,100,255,83,
256,3,354,255,255,3145946,1990216,256,320000,257,0,348,1512000,351,1512000,352,1512000,355,1512000,350,100,352,100,354,70,356,55,
357,3,455,255,356,2749209,1593479,357,320000,358,0,448,1512000,451,1512000,453,1512000,456,1026000,450,40,453,100,455,45,457,45,
458,3,555,255,458,1955565,799835,459,320000,459,0,549,1512000,551,1512000,553,1512000,555,1026000,550,54,552,100,554,55,557,12,
557,3,655,255,557,1999468,843738,558,320000,558,0,649,1512000,651,1512000,653,1512000,656,0,651,22,653,90,655,54,656,0,
657,3,758,255,656,1661603,505873,657,320000,658,0,750,1512000,752,1512000,756,1512000,759,0,751,88,755,40,758,33,763,0,
763,3,859,255,763,1627402,471672,764,320000,765,0,852,1512000,854,1512000,856,1512000,859,1026000,853,88,855,75,858,80,860,60,
861,3,958,255,860,2406967,1251237,861,320000,862,0,952,1512000,954,1512000,956,1512000,959,1026000,954,77,955,70,958,90,960,72,
960,3,1059,255,960,2409657,1253927,961,400000,962,0,1053,1512000,1055,1512000,1057,1512000,1060,1026000,1054,27,1057,54,1059,50,1062,87,
1062,3,1158,255,1062,1739252,583522,1062,400000,1063,0,1153,1512000,1155,1512000,1157,1512000,1159,1512000,1155,37,1156,58,1158,54,1160,70,
1160,3,1260,255,1160,2024139,868409,1161,400000,1161,0,1253,1512000,1256,1512000,1259,1512000,1261,1512000,1256,44,1258,55,1260,50,1263,63,
1264,3,1361,255,1264,1976257,820527,1264,400000,1266,0,1354,1026000,1356,1512000,1359,1134000,1363,1512000,1356,60,1358,63,1361,80,1365,60,
1365,3,1463,255,1365,1927965,772235,1366,400000,1366,0,1455,1512000,1458,1512000,1460,1512000,1463,1512000,1457,90,1460,70,1462,90,1465,77,
1465,3,1560,255,1465,2762890,1607160,1470,400000,1473,0,1555,1512000,1557,1512000,1558,1512000,1561,1512000,1556,80,1558,70,1560,77,1562,70,
1562,3,1663,255,1562,2557681,1401951,1563,400000,1564,0,1655,1512000,1658,1512000,1660,1512000,1663,1512000,1658,50,1660,50,1662,54,1665,33,
1665,3,1761,255,1665,1805249,649519,1665,400000,1666,0,1756,1512000,1758,1026000,1760,1512000,1762,1512000,1757,14,1759,30,1761,22,1766,50,
1766,3,1861,255,1766,1223711,67981,1767,400000,1767,23,1856,1512000,1858,1026000,1860,1512000,1862,0,1858,12,1859,0,1861,22,1862,0,
1863,3,2073,255,1863,1574163,418433,1863,400000,1864,23,2006,1512000,2042,0,2058,0,2074,0,2029,60,2052,0,2068,0,2079,0,
