App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:15:37 AM","17 sec","Trepn_2018.10.21_011536.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
63,3,60,255,63,2427716,1214291,65,320000,0,0,53,1512000,55,1512000,57,1512000,61,1512000,55,100,57,100,59,46,63,32,
162,3,159,255,162,3057022,1843597,162,320000,66,0,152,1512000,155,1512000,157,1512000,160,1512000,154,90,156,80,159,100,161,100,
264,3,261,255,264,3125425,1912000,264,320000,163,0,252,1512000,254,1512000,256,1512000,262,1512000,254,100,256,100,261,80,263,100,
369,3,366,255,369,2892855,1679430,370,320000,265,0,360,1512000,363,1512000,365,1512000,367,1512000,362,80,364,75,366,91,368,100,
468,3,466,255,467,2284070,1070645,468,320000,371,0,460,1512000,462,1512000,464,1512000,466,1512000,462,58,463,66,465,33,467,100,
569,3,567,255,569,2085701,872276,569,320000,469,0,561,1512000,563,1512000,565,1512000,567,1512000,562,44,564,40,566,44,568,100,
668,3,667,255,668,1415353,201928,669,320000,570,0,661,1512000,663,1512000,665,1512000,667,1512000,663,10,664,11,666,9,668,100,
774,3,771,255,774,1101923,0,775,320000,670,0,762,1026000,765,1026000,768,1026000,771,0,764,50,767,58,770,50,772,0,
878,3,874,255,878,1393471,180046,880,320000,776,0,863,1026000,866,1026000,869,1026000,876,0,865,77,869,80,873,81,877,0,
975,3,972,255,975,2988619,1775194,976,400000,881,0,964,1512000,967,1512000,970,1512000,972,1512000,967,90,969,90,971,90,974,90,
1072,3,1070,255,1072,2585042,1371617,1073,400000,976,0,1065,1512000,1067,1512000,1068,1512000,1070,1512000,1066,54,1068,81,1069,66,1072,100,
1173,3,1171,255,1173,1955736,742311,1173,320000,1074,0,1165,1512000,1167,1512000,1169,1512000,1171,1512000,1167,50,1169,66,1170,40,1173,53,
1273,3,1272,255,1273,874970,0,1274,320000,1174,0,1265,1512000,1268,1512000,1270,1512000,1273,0,1267,20,1269,11,1272,20,1273,0,
1376,3,1374,255,1376,652351,0,1376,320000,1274,0,1366,1026000,1370,594000,1372,1026000,1375,0,1369,14,1371,22,1374,11,1375,0,
1474,3,1473,255,1474,2113062,899637,1475,320000,1377,0,1467,1512000,1469,1512000,1471,1512000,1473,0,1468,80,1470,77,1472,75,1474,0,
1572,3,1571,255,1572,1435874,222449,1573,320000,1477,0,1567,1512000,1569,1512000,1570,1512000,1572,0,1568,55,1570,45,1571,33,1572,0,
1673,3,1673,255,1673,601359,0,1674,320000,1573,0,1667,1512000,1670,1512000,1671,1512000,1673,0,1669,0,1671,0,1672,11,1673,0,
1792,3,1780,255,1792,854107,0,1796,200000,1674,0,1769,1026000,1772,1026000,1774,0,1781,0,1771,50,1774,40,1775,0,1791,0,
1876,3,1875,255,1875,1825770,612345,1876,128000,1797,0,1869,1512000,1872,1512000,1874,0,1875,0,1872,90,1874,100,1874,0,1875,0,
1979,3,1976,255,1978,2286198,1072773,1979,128000,1877,0,1969,1512000,1971,1512000,1973,1512000,1976,1026000,1971,63,1973,100,1975,73,1978,40,
2078,3,2076,255,2078,2339909,1126484,2079,128000,1980,0,2070,1512000,2072,1512000,2074,1512000,2077,1026000,2071,50,2073,100,2076,80,2078,66,
2180,3,2177,255,2180,1904707,691282,2180,128000,2080,0,2170,1512000,2173,1512000,2175,1026000,2178,1026000,2172,44,2174,100,2177,50,2179,58,
2280,3,2277,255,2280,3216607,2003182,2281,128000,2181,15,2271,1512000,2273,1512000,2275,1512000,2277,1512000,2272,90,2274,100,2277,100,2280,90,
2385,3,2382,255,2385,2320529,1107104,2386,128000,2282,15,2371,1512000,2374,1512000,2377,1512000,2383,1512000,2373,42,2376,81,2382,60,2385,66,
2481,3,2479,255,2481,3202926,1989501,2481,400000,2386,15,2472,1512000,2474,1512000,2476,1512000,2479,1512000,2473,100,2476,100,2478,90,2481,88,
2581,3,2579,255,2581,3055314,1841889,2582,400000,2482,15,2572,1512000,2574,1512000,2576,1512000,2579,1512000,2574,100,2576,81,2578,61,2581,50,
2695,3,2687,255,2695,3157918,1944493,2696,400000,2582,15,2672,1512000,2675,1512000,2677,1512000,2688,1512000,2674,66,2676,80,2687,81,2689,80,
2783,3,2780,255,2783,3096355,1882930,2783,400000,2699,15,2773,1512000,2775,1512000,2778,1512000,2781,1512000,2775,57,2777,81,2779,60,2782,100,
2882,3,2880,255,2882,2384965,1171540,2883,400000,2784,15,2873,1512000,2876,1512000,2878,1512000,2880,1512000,2875,50,2877,33,2879,45,2882,66,
2986,3,2983,255,2985,2011995,798570,2986,400000,2884,15,2974,1026000,2978,1512000,2981,1026000,2983,1512000,2977,70,2980,20,2982,36,2985,63,
3083,3,3081,255,3083,2597014,1383589,3083,400000,2988,15,3075,1512000,3077,1512000,3079,1512000,3082,0,3077,90,3079,58,3081,77,3082,0,
3184,3,3182,255,3184,2419167,1205742,3185,400000,3084,15,3175,1512000,3178,1512000,3180,1512000,3183,0,3177,45,3179,90,3182,64,3183,0,
3282,3,3281,255,3282,1898735,685310,3282,400000,3186,20,3276,1512000,3278,1512000,3279,1512000,3281,0,3277,25,3279,50,3280,22,3281,0,
3384,3,3382,255,3383,1376517,163092,3384,400000,3283,20,3376,1026000,3379,1512000,3381,1026000,3383,0,3378,20,3380,10,3382,0,3383,0,
3483,3,3482,255,3483,1315403,101978,3484,400000,3385,20,3477,1026000,3479,1512000,3482,0,3483,0,3479,22,3481,0,3482,0,3483,0,
3585,3,3584,255,3585,1552286,338861,3586,400000,3485,20,3577,1026000,3580,1026000,3582,0,3584,0,3580,37,3582,50,3583,0,3585,0,
3686,3,3684,255,3686,1391935,178510,3688,400000,3587,20,3678,1026000,3681,1026000,3683,0,3685,0,3680,10,3683,33,3684,0,3686,0,
3789,3,3786,255,3788,1508554,295129,3789,400000,3689,20,3778,1026000,3782,1026000,3784,0,3787,0,3781,50,3784,25,3786,0,3788,0,
3887,3,3886,255,3887,1552286,338861,3888,400000,3797,20,3879,1026000,3882,1026000,3884,0,3886,0,3881,37,3884,50,3885,0,3887,0,
4004,3,4002,255,4004,1412904,199479,4004,320000,3889,20,3980,384000,3993,1026000,4000,0,4003,0,3985,45,3999,38,4001,0,4003,0,
4092,3,4090,255,4092,1351290,137865,4093,200000,4006,20,4080,918000,4084,1026000,4088,0,4091,0,4083,50,4087,50,4089,0,4092,0,
4203,3,4200,255,4202,1022040,0,4205,200000,4094,20,4181,1026000,4190,1026000,4199,0,4201,0,4187,50,4198,22,4200,0,4202,0,
4289,3,4288,255,4289,1010960,0,4289,128000,4207,10,4281,1026000,4284,1026000,4287,0,4288,0,4283,61,4286,40,4287,0,4288,0,
4401,3,4399,255,4401,763092,0,4403,128000,4290,10,4382,1026000,4387,384000,4396,0,4400,0,4386,45,4395,14,4399,0,4401,0,
4490,3,4489,255,4490,874714,0,4491,128000,4404,10,4483,1026000,4486,918000,4488,0,4489,0,4485,42,4487,44,4488,0,4490,0,
4602,3,4600,255,4602,756424,0,4603,128000,4491,10,4589,486000,4595,1026000,4598,0,4601,0,4594,41,4597,33,4599,0,4602,0,
4692,3,4691,255,4692,861759,0,4693,128000,4605,10,4684,918000,4687,1026000,4690,0,4691,0,4687,60,4689,25,4690,0,4692,0,
4812,3,4810,255,4812,795248,0,4813,128000,4693,10,4792,384000,4800,1026000,4808,0,4811,0,4799,30,4807,50,4809,0,4812,0,
4893,3,4892,255,4893,1660601,447176,4894,200000,4814,10,4886,1512000,4888,1026000,4890,1512000,4892,1512000,4888,70,4890,60,4891,30,4893,25,
4995,3,4993,255,4995,846964,0,4996,200000,4894,10,4986,1512000,4989,1026000,4991,1026000,4994,1026000,4988,0,4991,12,4993,14,4995,30,
5097,3,5093,255,5097,1151524,0,5098,200000,4996,10,5087,1512000,5089,1026000,5091,1026000,5094,1026000,5089,36,5091,27,5093,20,5097,25,
5202,3,5200,255,5202,823491,0,5203,200000,5099,10,5189,384000,5195,1026000,5199,0,5201,0,5194,40,5198,40,5200,0,5202,0,
5297,3,5296,255,5297,955344,0,5298,200000,5204,10,5288,918000,5292,1026000,5295,0,5297,0,5291,58,5294,37,5296,0,5297,0,
5410,3,5408,255,5410,976225,0,5412,200000,5299,27,5389,1026000,5392,1026000,5395,0,5409,0,5391,25,5394,12,5396,0,5409,0,
5495,3,5494,255,5495,1710100,496675,5496,200000,5419,27,5489,1512000,5491,1512000,5492,0,5494,0,5491,61,5492,66,5493,0,5495,0,
5604,3,5602,255,5604,877091,0,5606,200000,5497,27,5590,1026000,5595,384000,5600,0,5603,0,5594,0,5599,41,5601,0,5604,0,
5700,3,5699,255,5700,1210258,0,5701,128000,5612,27,5691,1026000,5694,918000,5697,0,5699,0,5693,55,5696,55,5698,0,5700,0,
5802,3,5800,255,5802,770419,0,5802,128000,5702,27,5792,1026000,5795,1026000,5798,0,5800,0,5794,12,5797,10,5799,0,5801,0,
5900,3,5899,255,5900,1127566,0,5900,128000,5803,27,5892,1026000,5895,1026000,5898,0,5899,0,5894,50,5897,70,5898,0,5899,0,
6025,3,6019,255,6025,843306,0,6026,128000,5901,27,5992,1026000,5998,1026000,6012,0,6022,0,5995,20,6009,22,6016,0,6024,0,
6099,3,6098,255,6099,1891778,678353,6100,128000,6027,27,6093,1512000,6095,1512000,6097,1026000,6099,0,6094,90,6096,75,6098,20,6099,0,
6201,3,6199,255,6201,1433365,219940,6201,128000,6100,27,6193,1512000,6196,1512000,6198,1026000,6200,0,6195,25,6197,57,6199,50,6200,0,
6303,3,6301,255,6303,1062310,0,6303,128000,6202,27,6294,1512000,6296,1512000,6299,1026000,6302,0,6296,18,6298,30,6301,12,6302,0,
6440,3,6433,255,6440,718036,0,6442,128000,6304,16,6394,1026000,6412,384000,6431,0,6437,0,6403,20,6429,25,6432,0,6438,0,
6501,3,6500,255,6501,1478413,264988,6501,128000,6444,16,6495,1512000,6497,1512000,6499,0,6500,0,6496,75,6498,50,6499,0,6500,0,
6601,3,6600,255,6601,903828,0,6602,128000,6502,16,6595,1512000,6597,1512000,6599,0,6600,0,6597,30,6598,11,6599,0,6600,0,
6702,3,6700,255,6701,803914,0,6702,128000,6603,16,6696,1026000,6698,1512000,6699,0,6701,0,6697,12,6699,20,6700,0,6701,0,
6807,3,6806,255,6807,846750,0,6807,128000,6703,16,6797,1026000,6802,1512000,6805,0,6806,0,6801,20,6804,22,6805,0,6806,0,
6902,3,6901,255,6902,1071469,0,6903,128000,6808,16,6896,1026000,6899,1512000,6900,0,6902,0,6898,46,6900,41,6901,0,6902,0,
7004,3,7003,255,7004,807950,0,7004,128000,6903,16,6997,1026000,6999,1512000,7002,0,7003,0,6999,30,7001,11,7003,0,7004,0,
7110,3,7107,255,7110,769151,0,7111,128000,7005,16,7099,1026000,7103,1026000,7106,0,7108,0,7102,22,7105,18,7107,0,7109,0,
7212,3,7210,255,7212,987812,0,7212,128000,7112,16,7199,1026000,7207,1026000,7209,0,7211,0,7204,50,7209,50,7210,0,7211,0,
7317,3,7314,255,7317,703552,0,7318,128000,7213,16,7300,384000,7306,1026000,7312,0,7315,0,7305,0,7311,22,7313,0,7316,0,
7409,3,7408,255,7409,1043687,0,7409,128000,7322,15,7400,1026000,7403,1026000,7406,0,7408,0,7403,62,7406,55,7407,0,7408,0,
7509,3,7508,255,7509,825026,0,7510,128000,7410,15,7501,1026000,7504,1026000,7506,0,7508,0,7503,27,7505,30,7507,0,7509,0,
7611,3,7610,255,7611,938000,0,7612,128000,7511,15,7601,1026000,7606,1026000,7609,0,7610,0,7606,33,7608,55,7609,0,7611,0,
7734,3,7727,255,7734,941645,0,7741,128000,7612,15,7704,1026000,7715,1026000,7723,0,7730,0,7710,36,7721,53,7724,0,7732,0,
7812,3,7811,255,7812,2170043,956618,7813,128000,7743,15,7802,1512000,7804,1512000,7806,1512000,7811,0,7804,100,7806,100,7810,27,7812,0,
