App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:39:51 PM","17 sec","Trepn_2018.10.20_223950.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
0,3,66,255,0,1894173,816951,1,320000,2,0,58,1512000,60,1512000,62,1026000,66,0,60,100,62,100,64,66,67,0,
68,3,164,255,68,2134700,1057478,71,320000,73,0,158,1512000,160,1512000,162,1512000,164,1512000,160,70,161,63,163,100,165,47,
166,3,266,255,166,2441396,1364174,166,320000,167,0,258,1512000,261,1512000,263,1512000,267,1512000,260,57,262,70,265,100,268,100,
268,3,365,255,268,2762890,1685668,269,320000,270,0,359,1512000,361,1512000,363,1512000,366,1512000,361,77,363,77,365,100,368,100,
368,3,465,255,368,2947577,1870355,369,320000,370,0,459,1512000,461,1512000,463,1512000,465,1512000,461,33,462,60,464,50,466,100,
467,3,566,255,466,2188305,1111083,467,320000,468,0,560,1512000,562,1512000,564,1512000,567,1512000,562,37,564,58,566,22,568,100,
568,3,666,255,568,2010458,933236,569,320000,570,0,661,1512000,663,1512000,665,1512000,667,0,662,60,664,30,666,0,667,0,
667,3,768,255,667,1141741,64519,668,320000,669,0,761,1512000,764,1026000,766,1512000,769,0,763,90,765,63,768,60,770,0,
770,3,821,255,770,1781753,704531,772,320000,774,0,812,1512000,814,1026000,817,1512000,821,0,814,66,816,100,819,100,822,0,
823,3,917,255,822,2026039,948817,823,320000,825,0,912,1512000,914,1512000,916,1512000,918,1512000,914,87,915,80,917,70,919,93,
920,3,1018,255,919,2783411,1706189,921,320000,922,0,1012,1512000,1014,1512000,1016,1512000,1018,1026000,1014,50,1016,80,1017,58,1019,70,
1019,3,1120,255,1019,2067194,989972,1020,320000,1020,0,1113,1026000,1115,1512000,1117,1026000,1120,1026000,1115,44,1117,22,1119,40,1122,60,
1122,3,1221,255,1122,1201389,124167,1123,320000,1124,0,1214,1026000,1216,1512000,1218,1026000,1222,1026000,1215,36,1217,50,1221,45,1223,50,
1224,3,1321,255,1224,1345540,268318,1225,320000,1226,0,1314,1026000,1316,1512000,1319,1026000,1321,1026000,1315,54,1318,33,1320,50,1323,14,
1323,3,1419,255,1323,1181879,104657,1324,320000,1324,0,1414,1026000,1416,1512000,1418,1026000,1419,1026000,1416,25,1417,0,1419,25,1420,12,
1421,3,1520,255,1421,752065,0,1421,320000,1422,0,1516,1026000,1517,1512000,1519,0,1520,0,1517,33,1519,20,1519,0,1521,0,
1521,3,1620,255,1521,783185,0,1521,200000,1522,0,1616,1026000,1618,1512000,1619,0,1620,0,1618,40,1619,77,1620,0,1621,0,
1621,3,1725,255,1621,1198592,121370,1621,128000,1623,0,1717,1512000,1719,1512000,1721,1026000,1726,1026000,1718,100,1720,80,1722,33,1727,42,
