App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:31:13 PM","17 sec","Trepn_2018.10.20_233111.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
64,3,62,255,63,2769730,1694215,64,320000,65,0,52,1512000,54,1512000,60,1512000,62,1512000,54,100,59,87,61,100,63,41,
159,3,157,255,159,2756049,1680534,160,320000,160,0,152,1512000,154,1512000,156,1512000,158,1512000,154,66,155,60,157,100,159,100,
260,3,258,255,260,3125425,2049910,261,320000,262,0,253,1512000,255,1512000,257,1512000,259,1512000,255,90,256,90,258,100,260,100,
363,3,361,255,363,3262231,2186716,364,320000,365,0,354,1512000,356,1512000,359,1512000,361,1512000,356,100,358,100,360,100,363,100,
464,3,461,255,464,2111155,1035640,465,320000,466,0,455,1512000,457,1512000,459,1512000,462,1026000,456,58,458,62,461,100,464,22,
564,3,562,255,564,2147036,1071521,565,320000,565,0,555,1512000,558,1512000,560,1512000,562,1026000,558,50,559,55,561,100,564,60,
665,3,663,255,665,1254716,179201,666,320000,670,0,656,1026000,659,1026000,661,1512000,663,1026000,658,11,660,9,662,90,665,11,
764,3,763,255,764,1539367,463852,765,320000,765,0,757,1026000,759,1026000,760,1512000,763,0,758,60,760,66,762,81,764,0,
875,3,873,255,875,1991267,915752,876,320000,877,0,858,1026000,869,1026000,871,1512000,873,1026000,868,75,870,75,872,81,875,100,
968,3,966,255,967,2817612,1742097,968,320000,969,0,960,1512000,962,1512000,964,1512000,966,1512000,962,75,963,100,965,88,967,72,
1069,3,1067,255,1069,1475885,400370,1070,320000,1071,0,1061,1512000,1063,1512000,1065,1134000,1067,1026000,1063,70,1065,36,1066,27,1069,30,
1168,3,1166,255,1168,1517672,442157,1178,320000,1179,0,1161,1512000,1163,1512000,1164,1026000,1167,1026000,1163,55,1164,50,1166,25,1168,50,
1271,3,1268,255,1270,2167557,1092042,1271,320000,1272,0,1262,1512000,1264,1512000,1266,1512000,1268,1026000,1264,60,1265,58,1268,90,1270,60,
1369,3,1367,255,1369,984244,0,1369,320000,1370,0,1362,1512000,1364,1512000,1365,1512000,1367,1026000,1363,25,1365,0,1366,18,1369,45,
1473,3,1470,255,1472,846818,0,1473,320000,1475,0,1463,1026000,1465,1026000,1468,1026000,1471,0,1465,14,1467,30,1470,44,1472,0,
1571,3,1568,255,1570,2283002,1207487,1571,200000,1572,0,1563,1512000,1565,1512000,1567,1512000,1569,1026000,1564,60,1566,87,1568,88,1570,41,
1675,3,1672,255,1675,1153792,78277,1676,200000,1677,0,1664,1512000,1666,1026000,1670,1026000,1673,1026000,1666,55,1669,27,1672,20,1675,22,
1776,3,1773,255,1776,2186561,1111046,1776,128000,1777,20,1765,1512000,1767,1026000,1771,1026000,1774,1512000,1767,100,1769,44,1773,55,1775,90,
1875,3,1873,255,1875,2124680,1049165,1876,128000,1877,20,1865,1512000,1868,1026000,1871,1026000,1873,1512000,1867,72,1870,75,1872,60,1875,72,
1975,3,1972,255,1975,1664816,589301,1976,128000,1976,20,1966,1512000,1968,1026000,1970,1026000,1973,1512000,1968,80,1970,40,1972,27,1975,33,
2073,3,2072,255,2073,1580661,505146,2075,128000,2076,20,2066,1512000,2068,1512000,2070,1026000,2072,0,2068,40,2069,90,2071,12,2073,0,
2175,3,2173,255,2175,1655847,580332,2175,128000,2176,20,2167,1512000,2169,1512000,2171,1026000,2174,0,2168,33,2170,100,2172,27,2174,0,
2288,3,2286,255,2288,1462917,387402,2289,128000,2290,20,2267,1026000,2270,1512000,2281,0,2287,0,2269,36,2280,100,2285,0,2287,0,
2377,3,2375,255,2377,1594114,518599,2378,128000,2385,20,2368,1026000,2370,1512000,2372,0,2376,0,2370,72,2372,100,2373,0,2377,0,
2479,3,2477,255,2479,1857803,782288,2480,128000,2481,20,2469,1512000,2472,1512000,2474,1026000,2477,0,2471,54,2473,100,2475,43,2478,0,
2577,3,2576,255,2577,1545000,469485,2578,128000,2579,20,2570,1512000,2572,1512000,2574,1026000,2577,0,2572,12,2573,100,2575,36,2577,0,
2629,3,2628,255,2629,1914262,838747,2629,128000,2630,20,2620,1512000,2623,1512000,2625,1026000,2628,0,2622,50,2625,100,2627,66,2628,0,
2729,3,2727,255,2728,1550381,474866,2729,128000,2730,20,2721,1026000,2723,1512000,2725,1026000,2728,0,2723,40,2725,100,2727,20,2728,0,
2831,3,2830,255,2831,1615980,540465,2831,128000,2832,16,2823,1026000,2825,1512000,2827,1026000,2830,0,2825,45,2827,100,2829,33,2830,0,
2966,3,2954,255,2965,1380292,304777,2969,128000,2975,16,2925,1026000,2932,1512000,2951,0,2962,0,2929,20,2936,100,2951,0,2963,0,
3030,3,3029,255,3030,2011841,936326,3030,128000,3031,16,3024,1512000,3026,1512000,3027,1026000,3029,0,3025,87,3027,100,3028,30,3030,0,
3133,3,3132,255,3133,1564980,489465,3133,128000,3134,16,3124,1512000,3127,1512000,3130,1026000,3132,0,3127,27,3129,100,3131,20,3132,0,
3232,3,3231,255,3232,1751462,675947,3232,128000,3233,16,3225,1512000,3227,1512000,3229,1026000,3231,0,3227,50,3229,100,3230,28,3231,0,
3363,3,3341,255,3356,1471401,395886,3365,128000,3369,16,3328,1026000,3331,1512000,3336,0,3346,0,3330,45,3334,100,3338,0,3347,0,
3436,3,3434,255,3436,1854628,779113,3436,128000,3437,16,3428,1512000,3430,1512000,3433,0,3435,0,3430,80,3433,100,3434,0,3435,0,
3538,3,3536,255,3537,1560496,484981,3538,128000,3539,16,3530,1512000,3532,1512000,3535,0,3537,0,3531,37,3534,100,3536,0,3537,0,
3638,3,3636,255,3637,1840948,765433,3638,128000,3639,16,3631,1512000,3633,1512000,3635,0,3637,0,3632,90,3634,88,3636,0,3637,0,
3744,3,3741,255,3744,1553656,478141,3747,128000,3749,16,3731,1512000,3733,1512000,3738,0,3741,0,3733,70,3736,66,3739,0,3743,0,
3839,3,3838,255,3839,1690461,614946,3840,128000,3841,16,3832,1512000,3834,1512000,3837,0,3838,0,3834,90,3836,66,3837,0,3839,0,
3941,3,3939,255,3940,1512614,437099,3941,128000,3942,16,3933,1512000,3936,1512000,3938,0,3939,0,3935,100,3937,30,3938,0,3940,0,
4039,3,4038,255,4039,1799906,724391,4040,128000,4040,16,4034,1512000,4036,1512000,4037,0,4038,0,4035,72,4037,100,4038,0,4039,0,
4140,3,4139,255,4139,1581017,505502,4140,128000,4141,16,4134,1512000,4136,1512000,4138,0,4139,0,4136,50,4137,90,4138,0,4139,0,
4239,3,4239,255,4239,1457892,382377,4240,128000,4240,16,4235,1512000,4237,1512000,4238,0,4239,0,4236,42,4238,80,4238,0,4239,0,
4341,3,4340,255,4341,1464732,389217,4344,128000,4345,16,4335,1512000,4337,1512000,4339,0,4340,0,4337,46,4339,77,4340,0,4341,0,
4447,3,4442,255,4447,1102197,26682,4448,128000,4449,16,4438,1512000,4440,1512000,4442,0,4443,0,4440,40,4441,30,4442,0,4447,0,
4543,3,4541,255,4543,1097427,21912,4544,128000,4545,16,4536,1026000,4538,1512000,4540,0,4542,0,4538,55,4540,40,4541,0,4542,0,
4653,3,4650,255,4653,854039,0,4655,128000,4656,16,4640,1026000,4644,1512000,4648,0,4652,0,4643,22,4647,22,4649,0,4653,0,
4749,3,4747,255,4749,1093498,17983,4750,128000,4751,16,4738,1026000,4742,1026000,4746,0,4748,0,4741,66,4744,63,4746,0,4749,0,
4859,3,4852,255,4856,1272071,196556,4860,128000,4861,15,4839,1026000,4843,1026000,4845,0,4854,0,4842,88,4845,90,4847,0,4856,0,
4947,3,4946,255,4947,1294486,218971,4948,128000,4949,15,4939,1512000,4942,1512000,4944,1026000,4946,0,4941,44,4943,55,4945,0,4947,0,
5048,3,5046,255,5047,943275,0,5048,128000,5049,15,5040,1512000,5042,1512000,5044,1026000,5047,0,5042,10,5044,27,5046,20,5047,0,
5148,3,5147,255,5148,795871,0,5149,320000,5149,0,5140,1026000,5143,1512000,5145,1026000,5147,0,5142,22,5144,0,5147,27,5148,0,
5257,3,5254,255,5256,952505,0,5258,320000,5259,0,5242,1026000,5249,1026000,5253,0,5255,0,5249,63,5252,54,5253,0,5255,0,
5348,3,5346,255,5348,1292228,216713,5350,320000,5351,0,5341,1512000,5343,1512000,5345,0,5347,0,5343,12,5345,100,5346,0,5347,0,
5447,3,5446,255,5447,1757367,681852,5447,320000,5448,0,5442,1512000,5444,1512000,5445,0,5446,0,5443,90,5445,90,5446,0,5447,0,
5550,3,5548,255,5550,1041771,0,5551,320000,5551,0,5542,1512000,5545,1512000,5546,1026000,5549,1512000,5544,20,5546,25,5548,27,5550,16,
5653,3,5651,255,5653,856129,0,5654,320000,5655,0,5643,1512000,5645,1512000,5648,1026000,5651,1026000,5644,10,5646,18,5650,20,5653,18,
5755,3,5753,255,5755,633577,0,5756,320000,5757,0,5743,1026000,5748,918000,5752,0,5754,0,5746,11,5750,22,5752,0,5754,0,
5853,3,5851,255,5853,795798,0,5854,320000,5854,0,5844,1026000,5848,1026000,5850,0,5852,0,5847,44,5850,30,5851,0,5853,0,
5955,3,5953,255,5954,661573,0,5955,320000,5957,0,5945,1026000,5949,384000,5951,0,5954,0,5948,30,5951,30,5953,0,5954,0,
6051,3,6050,255,6051,1490596,415081,6051,320000,6052,0,6045,1512000,6047,1512000,6049,0,6050,0,6047,66,6049,75,6049,0,6051,0,
6151,3,6150,255,6151,1251186,175671,6151,320000,6152,0,6146,1512000,6148,1512000,6149,0,6150,0,6147,66,6149,40,6150,0,6150,0,
6252,3,6251,255,6252,667405,0,6252,320000,6253,0,6246,1512000,6249,1026000,6250,0,6251,0,6248,10,6250,20,6251,0,6252,0,
6367,3,6365,255,6367,703009,0,6368,320000,6373,0,6347,1512000,6349,1026000,6351,0,6366,0,6349,20,6351,11,6363,0,6367,0,
6452,3,6451,255,6452,777298,0,6453,320000,6453,0,6447,1512000,6449,1026000,6451,0,6452,0,6449,25,6450,22,6451,0,6452,0,
6553,3,6552,255,6553,699365,0,6553,320000,6554,0,6548,1512000,6550,1026000,6551,0,6552,0,6549,20,6551,10,6552,0,6553,0,
6660,3,6656,255,6660,662921,0,6662,320000,6664,0,6648,1512000,6652,1026000,6654,0,6658,0,6651,20,6654,0,6655,0,6659,0,
6757,3,6756,255,6757,832241,0,6758,320000,6759,0,6749,1026000,6752,1026000,6755,0,6756,0,6752,40,6754,44,6755,0,6757,0,
