App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:35:12 PM","17 sec","Trepn_2018.10.20_233511.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
10,3,9,255,10,1894173,749905,11,320000,11,0,5,1512000,7,1512000,9,0,10,0,7,100,8,100,9,0,10,0,
113,3,111,255,113,2256708,1112440,114,320000,114,0,106,1512000,108,1512000,109,1512000,112,1512000,107,90,109,100,111,5,113,58,
215,3,211,255,215,2913376,1769108,215,320000,216,0,206,1512000,208,1512000,210,1512000,212,1512000,208,80,209,69,211,100,214,100,
317,3,313,255,316,3091224,1946956,317,320000,318,0,307,1512000,309,1512000,310,1512000,313,1512000,308,87,310,88,312,100,315,100,
415,3,413,255,415,2181465,1037197,415,320000,416,0,407,1512000,409,1512000,411,1512000,413,1512000,409,70,410,22,412,100,415,50,
516,3,513,255,515,2612403,1468135,516,320000,517,0,507,1512000,509,1512000,511,1512000,513,1512000,509,88,511,54,512,100,515,63,
616,3,613,255,616,1873652,729384,616,320000,617,0,608,1512000,610,1512000,611,1512000,614,1512000,609,40,611,45,613,100,615,12,
716,3,713,255,715,1456395,312127,716,320000,717,0,708,1512000,710,1512000,712,1512000,714,1512000,710,0,711,25,713,100,715,11,
838,3,834,255,838,810375,0,839,320000,839,0,809,1026000,813,1026000,825,0,835,0,812,33,816,45,833,0,838,0,
922,3,921,255,922,1825770,681502,923,320000,923,0,917,1512000,919,1512000,921,0,922,0,918,90,920,100,921,0,922,0,
1035,3,1025,255,1035,2504581,1360313,1036,320000,1036,0,1017,1512000,1020,1512000,1022,1512000,1025,1026000,1019,88,1021,80,1024,93,1035,53,
1125,3,1123,255,1124,2209944,1065676,1125,320000,1126,0,1118,1512000,1120,1512000,1121,1512000,1123,1026000,1119,55,1121,90,1122,66,1124,66,
1227,3,1225,255,1227,1156482,12214,1228,320000,1228,0,1218,1512000,1220,1512000,1222,1512000,1225,1026000,1220,9,1222,30,1224,10,1227,81,
1325,3,1323,255,1325,1613721,469453,1325,320000,1326,0,1318,1512000,1320,1512000,1322,1512000,1324,1512000,1320,60,1322,41,1323,22,1325,36,
1437,3,1434,255,1436,1047258,0,1438,320000,1439,0,1419,1026000,1422,1026000,1431,1026000,1435,0,1421,33,1427,44,1433,66,1436,0,
1529,3,1527,255,1528,1351320,207052,1529,320000,1530,0,1519,1026000,1521,1512000,1525,1512000,1528,0,1521,50,1524,54,1527,40,1528,0,
1637,3,1632,255,1637,1521651,377383,1638,320000,1639,0,1620,1026000,1622,1512000,1625,1026000,1632,0,1622,42,1624,88,1631,66,1635,0,
1727,3,1725,255,1727,1733031,588763,1727,200000,1728,0,1720,1026000,1722,1512000,1724,1512000,1726,1512000,1722,44,1723,100,1725,41,1727,12,
1830,3,1828,255,1830,856463,0,1831,200000,1831,0,1821,1026000,1825,1512000,1827,1026000,1829,1026000,1825,27,1826,11,1828,33,1830,10,
1927,3,1926,255,1927,526116,0,1928,128000,1928,0,1921,1026000,1923,1512000,1925,1026000,1927,0,1923,0,1924,0,1926,0,1927,0,
2029,3,2028,255,2029,1023492,0,2030,128000,2030,0,2022,1026000,2026,1512000,2028,0,2029,0,2025,37,2027,53,2028,0,2029,0,
2138,3,2137,255,2138,601359,0,2139,128000,2140,0,2122,1026000,2125,1512000,2134,0,2137,0,2124,0,2132,11,2137,0,2138,0,
2232,3,2230,255,2231,769865,0,2232,128000,2234,0,2223,1026000,2226,810000,2229,0,2231,0,2225,44,2229,33,2230,0,2231,0,
2331,3,2330,255,2331,666799,0,2332,128000,2334,16,2323,384000,2326,1026000,2329,0,2330,0,2325,36,2328,30,2329,0,2331,0,
2433,3,2432,255,2433,927387,0,2434,128000,2434,16,2424,918000,2428,1026000,2431,0,2432,0,2427,60,2430,33,2431,0,2432,0,
2537,3,2534,255,2537,728166,0,2538,128000,2539,16,2525,1026000,2529,384000,2532,0,2535,0,2527,18,2531,45,2533,0,2536,0,
2634,3,2632,255,2634,1007716,0,2635,128000,2636,16,2626,1026000,2629,918000,2631,0,2633,0,2629,50,2631,66,2632,0,2633,0,
2738,3,2736,255,2738,732707,0,2739,128000,2740,16,2726,1026000,2730,1026000,2733,0,2737,0,2729,12,2732,18,2734,0,2737,0,
2835,3,2833,255,2834,1025785,0,2836,128000,2837,16,2827,918000,2830,1026000,2832,0,2833,0,2829,60,2831,60,2832,0,2834,0,
2938,3,2936,255,2938,659820,0,2939,128000,2940,16,2927,1026000,2931,1026000,2934,0,2936,0,2930,0,2933,10,2935,0,2937,0,
3036,3,3035,255,3036,941964,0,3037,128000,3037,16,3028,1026000,3031,918000,3033,0,3035,0,3030,37,3033,60,3034,0,3036,0,
3149,3,3145,255,3148,673915,0,3150,128000,3152,16,3130,384000,3137,1026000,3143,0,3147,0,3135,12,3142,11,3144,0,3148,0,
3248,3,3247,255,3248,1042477,0,3249,128000,3250,19,3229,1026000,3232,1026000,3245,0,3247,0,3232,55,3234,60,3246,0,3248,0,
3344,3,3342,255,3343,845696,0,3344,128000,3346,19,3330,1026000,3336,1026000,3340,0,3342,0,3334,20,3339,36,3341,0,3343,0,
3441,3,3439,255,3440,1062395,0,3441,128000,3442,19,3432,918000,3435,1026000,3438,0,3440,0,3434,66,3437,60,3438,0,3440,0,
3542,3,3541,255,3542,852004,0,3543,128000,3543,19,3533,918000,3537,1026000,3540,0,3541,0,3536,33,3539,30,3540,0,3542,0,
3642,3,3640,255,3642,835442,0,3643,128000,3644,19,3633,486000,3636,1026000,3639,0,3640,0,3635,40,3638,40,3639,0,3641,0,
3744,3,3742,255,3743,928106,0,3744,128000,3745,19,3734,918000,3738,1026000,3741,0,3743,0,3737,40,3740,45,3742,0,3743,0,
3850,3,3845,255,3849,742203,0,3853,128000,3857,19,3834,594000,3839,594000,3843,0,3848,0,3838,41,3842,22,3844,0,3849,0,
3944,3,3943,255,3944,1854472,710204,3945,128000,3946,19,3937,1512000,3939,1512000,3941,1026000,3943,0,3938,90,3940,66,3943,40,3944,0,
4044,3,4043,255,4044,1143139,0,4045,128000,4045,19,4037,1512000,4040,1512000,4041,1026000,4044,0,4039,30,4041,30,4043,25,4044,0,
4145,3,4144,255,4145,789743,0,4146,128000,4147,19,4138,1512000,4140,1512000,4142,1026000,4145,0,4139,11,4141,0,4144,20,4145,0,
4251,3,4249,255,4251,768763,0,4252,128000,4254,19,4238,486000,4243,1026000,4247,0,4250,0,4242,30,4246,25,4248,0,4250,0,
4353,3,4349,255,4351,875187,0,4355,128000,4356,17,4340,918000,4343,1026000,4347,0,4350,0,4342,37,4346,33,4348,0,4351,0,
4449,3,4448,255,4449,1023046,0,4450,128000,4451,17,4440,1026000,4444,1026000,4446,0,4448,0,4443,63,4445,45,4447,0,4449,0,
4559,3,4557,255,4558,778848,0,4559,128000,4560,17,4543,384000,4550,1026000,4554,0,4558,0,4549,46,4552,30,4555,0,4558,0,
4648,3,4647,255,4648,1041267,0,4649,128000,4650,17,4641,1026000,4644,1026000,4646,0,4647,0,4643,50,4646,63,4647,0,4648,0,
4772,3,4769,255,4772,759299,0,4778,128000,4780,17,4742,384000,4746,1026000,4763,0,4770,0,4745,11,4757,33,4767,0,4771,0,
4847,3,4846,255,4847,1257189,112921,4848,128000,4848,17,4842,1512000,4844,1026000,4846,0,4847,0,4844,63,4845,54,4846,0,4847,0,
4950,3,4949,255,4950,824962,0,4951,128000,4951,17,4943,1512000,4946,1026000,4949,0,4950,0,4945,11,4948,33,4949,0,4950,0,
5050,3,5049,255,5050,850780,0,5051,128000,5052,17,5043,918000,5046,1026000,5048,0,5050,0,5046,33,5048,33,5049,0,5050,0,
5166,3,5163,255,5165,748366,0,5167,128000,5168,17,5147,384000,5157,1026000,5159,0,5164,0,5156,11,5159,30,5160,0,5165,0,
5253,3,5252,255,5253,1016551,0,5254,128000,5255,17,5245,918000,5248,1026000,5250,0,5252,0,5247,55,5249,60,5251,0,5253,0,
5355,3,5353,255,5355,884560,0,5355,128000,5356,19,5345,1026000,5348,1026000,5352,0,5354,0,5348,40,5352,30,5353,0,5354,0,
5456,3,5454,255,5455,868098,0,5456,128000,5457,19,5446,918000,5450,702000,5452,0,5454,0,5449,44,5452,45,5453,0,5455,0,
5556,3,5555,255,5556,878495,0,5556,128000,5557,19,5547,1026000,5551,1026000,5553,0,5555,0,5550,25,5553,40,5554,0,5555,0,
5665,3,5661,255,5664,710990,0,5667,128000,5669,19,5648,384000,5653,486000,5659,0,5662,0,5652,30,5657,36,5660,0,5663,0,
5754,3,5753,255,5754,1181824,37556,5755,128000,5755,19,5747,1512000,5751,1026000,5753,0,5754,0,5750,55,5752,45,5753,0,5754,0,
5855,3,5854,255,5854,851305,0,5855,128000,5856,19,5848,1512000,5850,1026000,5853,0,5854,0,5850,20,5852,20,5853,0,5854,0,
5955,3,5954,255,5955,937873,0,5956,128000,5956,19,5948,1512000,5951,1026000,5953,0,5954,0,5950,22,5953,40,5953,0,5955,0,
6058,3,6057,255,6058,893073,0,6059,128000,6059,19,6049,1026000,6053,1026000,6055,0,6057,0,6052,36,6055,33,6056,0,6058,0,
6176,3,6173,255,6176,972956,0,6177,128000,6179,19,6150,1026000,6161,702000,6169,0,6174,0,6157,54,6166,66,6173,0,6175,0,
6258,3,6256,255,6258,2020881,876613,6258,128000,6259,19,6250,1512000,6252,1512000,6254,1026000,6257,0,6252,100,6254,75,6256,50,6257,0,
6358,3,6356,255,6357,883208,0,6358,128000,6359,17,6350,1512000,6352,1512000,6354,1026000,6357,0,6352,10,6354,12,6355,25,6357,0,
6461,3,6460,255,6461,855405,0,6462,128000,6463,17,6451,1026000,6455,1026000,6457,1026000,6460,0,6454,12,6457,30,6459,20,6461,0,
6575,3,6573,255,6575,695671,0,6575,128000,6576,17,6553,384000,6562,1026000,6571,0,6573,0,6561,30,6570,11,6572,0,6574,0,
6657,3,6656,255,6657,960814,0,6658,128000,6658,17,6652,1512000,6654,1026000,6655,0,6656,0,6653,25,6655,44,6656,0,6657,0,
6759,3,6758,255,6759,820030,0,6760,128000,6760,17,6752,1512000,6755,1026000,6756,0,6758,0,6754,22,6756,11,6757,0,6759,0,
6871,3,6870,255,6871,957447,0,6872,128000,6874,17,6854,1026000,6865,1026000,6868,0,6870,0,6864,45,6867,45,6868,0,6871,0,
6964,3,6962,255,6964,1165175,20907,6965,128000,6966,17,6954,1026000,6958,1026000,6961,0,6963,0,6957,72,6960,75,6962,0,6963,0,
7063,3,7062,255,7063,873627,0,7064,128000,7065,17,7055,1026000,7058,1026000,7061,0,7062,0,7058,45,7060,22,7061,0,7063,0,
7174,3,7171,255,7173,773623,0,7176,128000,7177,17,7157,384000,7164,1026000,7169,0,7172,0,7162,40,7168,30,7170,0,7173,0,
7268,3,7267,255,7268,1063133,0,7269,128000,7270,17,7259,1026000,7263,1026000,7266,0,7267,0,7262,44,7265,75,7266,0,7268,0,
7369,3,7367,255,7368,884560,0,7369,128000,7370,18,7359,1026000,7363,1026000,7366,0,7368,0,7363,40,7365,30,7366,0,7368,0,
7466,3,7465,255,7466,1661577,517309,7467,128000,7467,18,7460,1512000,7461,1512000,7464,0,7465,0,7461,62,7463,88,7464,0,7466,0,
7580,3,7574,255,7578,1743660,599392,7590,128000,7594,18,7560,1512000,7562,1512000,7568,0,7576,0,7561,72,7564,90,7572,0,7578,0,
7669,3,7667,255,7669,2102942,958674,7670,128000,7671,18,7660,1512000,7663,1512000,7665,1512000,7667,1026000,7662,75,7664,63,7666,68,7669,16,
7770,3,7767,255,7770,1324829,180561,7771,128000,7771,18,7761,1512000,7763,1512000,7765,1512000,7768,1026000,7762,22,7765,30,7767,20,7770,54,
7874,3,7871,255,7874,1503778,359510,7875,320000,7876,18,7861,1134000,7864,1026000,7866,1026000,7872,1026000,7863,42,7866,62,7868,55,7874,72,
7970,3,7968,255,7969,1667824,523556,7970,400000,7971,18,7962,1134000,7964,1026000,7966,1026000,7969,0,7964,54,7965,54,7967,75,7969,0,
8078,3,8077,255,8078,1576127,431859,8079,400000,8080,18,8063,1026000,8066,1026000,8069,1026000,8077,0,8065,44,8068,33,8076,36,8078,0,
8174,3,8172,255,8174,1497712,353444,8175,400000,8176,18,8163,486000,8166,1026000,8169,1026000,8172,0,8165,50,8168,25,8171,50,8173,0,
8276,3,8272,255,8275,1375688,231420,8277,400000,8278,18,8264,1026000,8267,1026000,8271,0,8273,0,8266,33,8268,25,8271,0,8274,0,
8372,3,8371,255,8372,1689102,544834,8375,400000,8377,18,8364,1026000,8367,1026000,8370,0,8372,0,8366,72,8369,72,8371,0,8372,0,
8470,3,8469,255,8470,2094595,950327,8470,320000,8471,18,8465,1512000,8467,1512000,8468,0,8469,0,8466,70,8468,66,8468,0,8469,0,
8581,3,8573,255,8580,1582591,438323,8581,128000,8584,18,8566,1512000,8568,1512000,8570,0,8575,0,8567,50,8569,40,8572,0,8575,0,
8672,3,8671,255,8672,1523470,379202,8673,128000,8674,18,8666,1512000,8668,1134000,8670,1026000,8672,0,8667,71,8669,66,8671,33,8672,0,
8773,3,8772,255,8773,816911,0,8773,128000,8774,18,8766,1512000,8768,1026000,8770,1026000,8772,0,8768,10,8769,11,8771,20,8772,0,
8877,3,8875,255,8877,770680,0,8878,128000,8879,18,8867,918000,8871,1026000,8873,1026000,8876,0,8870,12,8872,27,8875,0,8877,0,
8979,3,8977,255,8979,804934,0,8980,128000,8981,18,8968,486000,8972,1026000,8976,0,8978,0,8971,50,8974,30,8977,0,8979,0,
9077,3,9076,255,9077,892014,0,9078,128000,9078,18,9069,918000,9072,1026000,9074,0,9076,0,9071,54,9074,25,9075,0,9076,0,
9187,3,9185,255,9187,784055,0,9187,128000,9188,18,9170,1026000,9177,384000,9182,0,9185,0,9175,30,9181,45,9183,0,9186,0,
9278,3,9277,255,9278,945303,0,9279,128000,9279,18,9270,1026000,9273,1026000,9276,0,9277,0,9272,45,9275,40,9276,0,9278,0,
9380,3,9378,255,9379,799529,0,9380,128000,9381,18,9371,1026000,9374,1026000,9377,0,9379,0,9373,33,9376,12,9378,0,9379,0,
9479,3,9478,255,9479,981747,0,9480,128000,9481,18,9471,1026000,9474,1026000,9477,0,9478,0,9474,50,9476,45,9477,0,9479,0,
9587,3,9585,255,9587,798083,0,9588,128000,9588,18,9572,1026000,9577,384000,9582,0,9586,0,9575,36,9581,36,9584,0,9587,0,
9682,3,9681,255,9682,954121,0,9683,128000,9686,18,9672,1026000,9676,918000,9679,0,9681,0,9675,37,9678,60,9680,0,9682,0,
9783,3,9781,255,9783,954121,0,9784,128000,9785,18,9773,1026000,9777,918000,9780,0,9782,0,9776,37,9779,60,9781,0,9782,0,
9882,3,9881,255,9882,959881,0,9883,128000,9883,18,9873,1026000,9877,1026000,9879,0,9881,0,9876,45,9879,44,9880,0,9882,0,
9989,3,9987,255,9988,755704,0,9989,128000,9991,18,9975,384000,9980,1026000,9984,0,9987,0,9977,25,9983,27,9986,0,9988,0,
