App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:28:37 PM","17 sec","Trepn_2018.10.20_222836.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
12,3,3,255,10,1839451,683834,14,320000,16,0,53,1512000,55,1512000,56,0,6,0,54,100,56,100,2,0,8,0,
86,3,57,255,86,1894173,738556,89,320000,95,0,155,1512000,157,1512000,159,1512000,71,0,156,90,158,81,56,0,84,16,
163,3,161,255,163,2844973,1689356,164,320000,165,0,255,1512000,257,1512000,259,1512000,161,1512000,257,100,258,90,160,68,163,100,
268,3,262,255,268,3193828,2038211,269,320000,269,0,356,1512000,359,1512000,360,1512000,262,1512000,358,88,360,100,261,100,267,100,
364,3,362,255,364,3180147,2024530,364,320000,365,0,456,1512000,458,1512000,460,1512000,363,1512000,458,33,460,33,362,100,364,100,
464,3,462,255,464,2113062,957445,465,320000,465,0,556,1512000,559,1512000,561,1512000,463,1512000,558,54,560,42,462,66,464,100,
565,3,562,255,564,2379834,1224217,565,320000,566,0,657,1512000,659,1134000,661,1512000,563,1512000,659,40,661,27,562,75,564,100,
665,3,663,255,665,1804333,648716,665,320000,666,0,757,1512000,760,1026000,762,1512000,663,1512000,759,22,761,27,662,30,665,100,
772,3,768,255,771,1547952,392335,773,320000,774,0,858,1512000,863,1026000,866,1026000,769,1512000,862,66,865,72,768,30,770,83,
873,3,870,255,873,1520583,364966,874,320000,875,0,908,1512000,910,1512000,916,1512000,871,0,910,100,915,100,869,77,872,0,
929,3,926,255,929,2974939,1819322,929,320000,930,0,1008,1512000,1010,1512000,1012,1512000,927,1512000,1010,90,1012,87,919,83,928,75,
1017,3,1015,255,1017,2735529,1579912,1017,320000,1019,0,1109,1512000,1111,1512000,1113,1512000,1015,1512000,1110,55,1112,77,1014,71,1016,75,
