App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:05:20 PM","17 sec","Trepn_2018.10.20_220519.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
78,3,76,255,78,2195146,1034242,79,320000,79,0,48,1512000,72,1512000,74,1512000,77,0,72,69,74,75,76,100,77,0,
175,3,162,255,175,2605563,1444659,176,320000,177,0,148,1512000,152,1512000,154,1512000,163,1512000,150,87,154,100,161,100,170,17,
258,3,255,255,258,3180147,2019243,259,320000,260,0,249,1512000,251,1512000,253,1512000,255,1512000,250,100,252,100,254,100,257,88,
357,3,355,255,357,3111744,1950840,357,320000,358,0,349,1512000,351,1512000,353,1512000,355,1512000,351,100,353,88,354,100,357,90,
457,3,455,255,457,2311431,1150527,458,320000,459,0,450,1512000,452,1512000,454,1512000,456,1512000,451,70,453,50,455,100,457,41,
558,3,556,255,558,2174625,1013721,558,320000,559,0,550,1512000,552,1512000,554,1512000,556,1512000,552,55,553,20,555,100,557,66,
658,3,656,255,658,1736846,575942,659,320000,659,0,650,1512000,652,1512000,654,1512000,656,1512000,652,33,654,72,655,50,658,22,
759,3,756,255,759,2212972,1052068,759,320000,760,0,751,1512000,753,1512000,755,1512000,757,1134000,752,72,754,62,756,77,758,57,
861,3,858,255,861,2401089,1240185,861,320000,862,0,851,1512000,854,1512000,856,1512000,859,1134000,853,100,855,60,858,81,860,53,
960,3,958,255,960,2289041,1128137,961,320000,962,0,952,1512000,954,1512000,956,1512000,959,1134000,954,90,956,54,958,70,960,70,
1058,3,1057,255,1058,1630427,469523,1059,320000,1059,0,1052,1512000,1054,1512000,1055,1512000,1057,1026000,1054,40,1055,40,1056,58,1058,44,
1162,3,1160,255,1162,650023,0,1163,320000,1164,0,1153,1026000,1155,1026000,1158,1026000,1161,0,1155,11,1157,11,1160,12,1162,0,
1262,3,1261,255,1262,737488,0,1263,320000,1264,0,1253,1026000,1257,1026000,1259,0,1261,0,1256,22,1259,36,1260,0,1262,0,
1367,3,1365,255,1367,1178014,17110,1372,320000,1373,0,1354,1026000,1362,1512000,1364,0,1366,0,1356,55,1364,66,1365,0,1366,0,
1462,3,1460,255,1462,1842084,681180,1462,320000,1463,0,1454,1512000,1456,1512000,1458,1026000,1460,1026000,1456,88,1457,90,1459,18,1461,9,
1563,3,1561,255,1563,957217,0,1564,320000,1565,0,1555,1026000,1557,1512000,1559,1026000,1562,1026000,1557,30,1559,22,1561,36,1563,11,
1665,3,1662,255,1664,631802,0,1665,200000,1666,0,1655,1026000,1658,1512000,1660,1026000,1663,1026000,1657,20,1659,0,1662,0,1664,9,
