App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:59:05 PM","17 sec","Trepn_2018.10.20_225903.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
124,3,94,255,124,2338784,830242,129,320000,133,0,43,1026000,77,1026000,86,1512000,97,1512000,75,64,84,58,91,100,123,100,
162,3,160,255,162,3262231,1753689,163,320000,164,0,146,1512000,149,1512000,153,1512000,161,1512000,148,100,150,100,160,100,162,100,
256,3,253,255,256,2660285,1151743,257,320000,258,0,245,1512000,248,1512000,250,1512000,254,1512000,247,60,249,72,253,80,256,100,
353,3,351,255,353,3193828,1685286,354,320000,354,0,345,1512000,347,1512000,349,1512000,351,1512000,347,100,349,90,350,100,353,100,
453,3,451,255,453,2154104,645562,454,320000,455,0,445,1512000,447,1512000,449,1512000,451,1512000,447,14,449,44,451,80,453,100,
554,3,551,255,554,2024139,515597,554,320000,555,0,546,1512000,548,1512000,550,1512000,552,1512000,547,50,549,36,551,33,553,100,
659,3,653,255,659,1798409,289867,659,320000,660,0,646,1512000,648,1512000,651,1512000,653,1512000,648,33,649,33,652,30,659,90,
757,3,755,255,757,1621225,112683,758,400000,759,0,748,1134000,750,1512000,752,1026000,756,0,749,76,751,70,754,80,757,0,
859,3,853,255,858,2851813,1343271,861,400000,862,0,848,1512000,850,1512000,852,1512000,855,1512000,850,100,851,100,853,90,858,50,
957,3,955,255,957,1914694,406152,957,400000,958,0,949,1512000,951,1512000,952,1512000,955,1512000,950,33,952,40,954,60,957,70,
1057,3,1055,255,1057,2366153,857611,1057,400000,1058,0,1049,1512000,1051,1512000,1053,1512000,1055,1512000,1051,66,1053,45,1055,70,1057,88,
1159,3,1156,255,1159,2092762,584220,1159,320000,1160,0,1150,1512000,1152,1026000,1154,1512000,1157,1512000,1152,60,1154,62,1156,58,1158,78,
1258,3,1256,255,1258,1700452,191910,1259,320000,1260,0,1250,1512000,1252,1026000,1254,1512000,1256,1026000,1251,50,1253,42,1255,70,1258,55,
1359,3,1358,255,1359,726555,0,1360,320000,1361,0,1351,1026000,1353,1026000,1355,1026000,1359,0,1353,33,1355,0,1357,22,1359,0,
1461,3,1460,255,1461,832241,0,1462,320000,1462,0,1451,1026000,1454,1026000,1457,1026000,1460,0,1454,40,1456,14,1459,30,1461,0,
1574,3,1570,255,1573,577499,0,1575,320000,1577,0,1553,384000,1558,384000,1564,384000,1572,0,1557,18,1562,11,1569,30,1573,0,
1683,3,1675,255,1680,1436934,0,1683,320000,1687,0,1660,1512000,1667,1026000,1672,0,1677,0,1666,90,1671,81,1674,0,1680,0,
1764,3,1763,255,1764,2034933,526391,1765,320000,1765,0,1756,1512000,1759,1512000,1761,918000,1763,0,1758,87,1760,100,1762,75,1764,0,
1864,3,1863,255,1864,1475975,0,1865,200000,1866,0,1857,1512000,1859,1512000,1861,918000,1863,0,1858,40,1860,72,1862,60,1864,0,
1969,3,1966,255,1969,1675056,166514,1969,128000,1970,0,1957,1512000,1960,1512000,1963,1026000,1967,0,1959,70,1963,66,1965,60,1968,0,
2066,3,2063,255,2066,2232030,723488,2066,128000,2067,0,2057,1512000,2060,1512000,2062,1026000,2064,1026000,2059,90,2061,88,2063,80,2066,54,
2168,3,2165,255,2168,1806252,297710,2168,128000,2170,13,2158,1512000,2160,1512000,2162,1026000,2166,1026000,2160,100,2162,36,2164,66,2167,30,
2267,3,2265,255,2267,1581784,73242,2267,128000,2268,13,2258,1512000,2260,1512000,2263,1026000,2265,1026000,2260,22,2262,100,2264,27,2267,12,
2367,3,2365,255,2367,1442231,0,2368,128000,2368,13,2359,1026000,2361,1512000,2363,1026000,2366,0,2361,22,2363,100,2365,20,2367,0,
2470,3,2466,255,2470,1471386,0,2473,128000,2474,13,2459,1026000,2461,1512000,2465,0,2468,0,2461,50,2463,100,2465,0,2469,0,
2565,3,2564,255,2565,1699586,191044,2565,128000,2566,13,2559,1512000,2561,1512000,2563,0,2564,0,2561,60,2562,100,2563,0,2565,0,
2674,3,2671,255,2674,1542259,33717,2675,128000,2675,13,2660,1512000,2663,1512000,2666,0,2671,0,2662,37,2665,100,2668,0,2672,0,
2765,3,2764,255,2765,1104481,0,2765,128000,2766,13,2760,1512000,2762,1512000,2763,0,2764,0,2762,33,2763,40,2764,0,2765,0,
2866,3,2865,255,2866,680383,0,2866,128000,2867,13,2860,1512000,2863,1512000,2864,0,2865,0,2862,0,2864,11,2864,0,2866,0,
2969,3,2968,255,2969,754558,0,2970,128000,2970,13,2961,1026000,2964,1026000,2967,0,2968,0,2964,11,2966,30,2967,0,2969,0,
3074,3,3072,255,3074,761700,0,3075,128000,3076,13,3062,918000,3067,486000,3071,0,3073,0,3066,37,3070,36,3072,0,3074,0,
3171,3,3169,255,3171,754558,0,3172,128000,3174,13,3163,1026000,3166,1026000,3168,0,3170,0,3165,11,3168,30,3169,0,3170,0,
3272,3,3270,255,3271,946299,0,3272,128000,3273,15,3263,918000,3267,1026000,3269,0,3271,0,3266,40,3269,60,3270,0,3271,0,
3372,3,3371,255,3372,835959,0,3373,128000,3374,15,3364,1026000,3367,1026000,3369,0,3371,0,3366,30,3369,30,3370,0,3372,0,
3473,3,3472,255,3473,923542,0,3474,128000,3475,15,3464,918000,3468,918000,3471,0,3472,0,3467,50,3470,50,3471,0,3473,0,
3576,3,3574,255,3575,755783,0,3577,128000,3587,15,3566,1026000,3569,1026000,3572,0,3574,0,3568,18,3571,20,3573,0,3575,0,
3675,3,3673,255,3674,885264,0,3675,128000,3676,15,3665,1026000,3669,918000,3672,0,3674,0,3669,50,3671,28,3673,0,3674,0,
3780,3,3776,255,3780,825026,0,3782,128000,3784,15,3766,1026000,3772,1026000,3775,0,3776,0,3770,27,3774,30,3775,0,3777,0,
3879,3,3876,255,3878,964887,0,3880,128000,3881,15,3867,1026000,3871,918000,3875,0,3877,0,3870,50,3873,54,3875,0,3877,0,
3975,3,3974,255,3975,872402,0,3976,128000,3976,15,3967,1026000,3970,1026000,3973,0,3974,0,3970,30,3972,40,3973,0,3975,0,
4077,3,4075,255,4076,872537,0,4078,128000,4080,15,4069,1026000,4072,384000,4074,0,4076,0,4072,60,4074,42,4075,0,4076,0,
4174,3,4173,255,4174,1185041,0,4174,128000,4175,15,4168,1512000,4170,1512000,4172,0,4173,0,4170,42,4172,41,4173,0,4174,0,
4273,3,4273,255,4273,1034555,0,4274,128000,4274,15,4269,1512000,4271,1512000,4272,0,4273,0,4270,25,4272,36,4272,0,4273,0,
4374,3,4373,255,4374,862594,0,4374,128000,4375,15,4369,1512000,4371,1026000,4372,0,4373,0,4371,30,4372,11,4373,0,4374,0,
4474,3,4474,255,4474,920904,0,4475,128000,4475,15,4469,1512000,4472,1026000,4473,0,4474,0,4471,30,4473,27,4473,0,4474,0,
4587,3,4585,255,4587,770360,0,4587,128000,4588,15,4571,1026000,4574,1026000,4581,0,4586,0,4574,22,4576,20,4584,0,4586,0,
4680,3,4679,255,4680,880761,0,4680,128000,4681,15,4672,1026000,4675,918000,4677,0,4679,0,4674,37,4676,42,4678,0,4679,0,
4797,3,4791,255,4797,835959,0,4798,128000,4800,15,4773,1026000,4783,1026000,4789,0,4793,0,4775,27,4788,33,4790,0,4796,0,
4880,3,4879,255,4880,1019858,0,4881,128000,4882,15,4873,918000,4876,1026000,4878,0,4879,0,4875,66,4878,55,4879,0,4880,0,
4992,3,4990,255,4992,671159,0,4993,128000,4998,15,4974,1026000,4984,384000,4988,0,4990,0,4981,10,4987,20,4989,0,4991,0,
5082,3,5081,255,5082,1040042,0,5083,128000,5084,15,5074,1026000,5078,1026000,5080,0,5082,0,5077,66,5080,50,5081,0,5082,0,
5189,3,5187,255,5189,669417,0,5190,128000,5191,14,5175,1026000,5183,384000,5185,0,5188,0,5182,10,5185,18,5186,0,5188,0,
5284,3,5283,255,5284,1066763,0,5285,128000,5286,14,5275,1026000,5279,1026000,5282,0,5283,0,5279,70,5281,55,5282,0,5284,0,
5386,3,5385,255,5386,848101,0,5387,128000,5387,14,5376,1026000,5380,1026000,5383,0,5385,0,5378,28,5383,37,5384,0,5386,0,
5484,3,5483,255,5484,791990,0,5485,128000,5486,14,5476,384000,5479,1026000,5482,0,5483,0,5479,36,5481,41,5482,0,5484,0,
5588,3,5587,255,5588,884605,0,5589,128000,5590,14,5577,918000,5582,1026000,5585,0,5587,0,5582,50,5585,33,5586,0,5588,0,
5688,3,5685,255,5688,1095917,0,5690,128000,5693,14,5678,1026000,5680,1026000,5683,0,5685,0,5680,88,5682,45,5684,0,5686,0,
5783,3,5782,255,5783,1637262,128720,5783,128000,5784,14,5778,1512000,5780,1512000,5781,0,5782,0,5780,100,5781,50,5782,0,5783,0,
5883,3,5882,255,5883,1466255,0,5883,128000,5885,14,5878,1512000,5880,1512000,5882,0,5883,0,5880,100,5881,25,5882,0,5883,0,
6009,3,5996,255,6009,1721636,213094,6009,128000,6010,14,5979,1512000,5982,1026000,5984,1026000,5996,0,5981,100,5983,80,5985,37,6009,0,
6086,3,6085,255,6086,2177644,669102,6086,128000,6087,14,6080,1512000,6081,1512000,6083,1512000,6085,0,6081,72,6083,100,6084,57,6085,0,
6186,3,6185,255,6186,1746706,238164,6187,128000,6187,14,6180,1512000,6182,1512000,6184,1512000,6186,0,6182,36,6183,100,6185,30,6186,0,
6286,3,6285,255,6286,1541498,32956,6287,128000,6287,14,6280,1512000,6282,1512000,6284,1512000,6286,0,6282,36,6283,100,6285,0,6286,0,
6390,3,6388,255,6390,1360846,0,6391,128000,6392,14,6381,1026000,6384,1512000,6386,1026000,6389,0,6384,18,6386,100,6388,0,6390,0,
6488,3,6487,255,6488,1612306,103764,6489,128000,6490,14,6482,1026000,6484,1512000,6486,1026000,6488,0,6483,54,6485,100,6487,33,6488,0,
6591,3,6589,255,6591,1659683,151141,6592,128000,6594,14,6582,1026000,6585,1512000,6587,1026000,6590,0,6584,50,6586,100,6588,50,6591,0,
6692,3,6689,255,6691,2578751,1070209,6692,128000,6693,14,6683,1512000,6684,1512000,6686,1512000,6689,1026000,6684,81,6685,100,6688,80,6691,50,
6790,3,6788,255,6790,3073722,1565180,6791,128000,6791,14,6783,1512000,6785,1512000,6786,1512000,6789,1512000,6784,100,6786,100,6788,100,6790,60,
6891,3,6889,255,6891,2341811,833269,6892,128000,6893,14,6883,1512000,6886,1512000,6887,1512000,6890,1512000,6885,100,6887,20,6889,33,6891,100,
6998,3,6990,255,6998,2198165,689623,6999,128000,7000,14,6984,1512000,6986,1026000,6988,1512000,6990,1512000,6985,88,6987,0,6990,44,6992,100,
7092,3,7090,255,7092,2464260,955718,7093,128000,7093,14,7084,1512000,7086,1026000,7088,1512000,7091,1512000,7086,90,7088,58,7090,50,7092,100,
7199,3,7196,255,7198,2330525,821983,7199,128000,7200,14,7185,1512000,7188,1026000,7191,1134000,7196,1512000,7187,100,7191,53,7195,37,7198,100,
