App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:55:50 PM","17 sec","Trepn_2018.10.20_225549.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
60,3,59,255,59,1846291,745084,60,320000,60,0,12,1512000,57,1512000,58,0,59,0,56,93,58,100,58,0,59,0,
127,3,121,255,126,2216506,1115299,128,320000,130,0,113,1512000,116,1512000,118,1512000,124,1026000,115,100,117,100,120,37,126,19,
236,3,230,255,236,3262231,2161024,237,320000,239,0,214,1512000,216,1512000,225,1512000,230,1512000,215,100,223,100,229,100,236,100,
346,3,342,255,346,3193828,2092621,347,320000,350,0,314,1512000,316,1512000,333,1512000,342,1512000,316,90,324,100,338,100,345,100,
423,3,420,255,422,2756049,1654842,423,320000,424,0,415,1512000,416,1512000,418,1512000,420,1512000,416,77,418,83,419,66,422,100,
522,3,520,255,522,2222507,1121300,522,320000,523,0,515,1512000,517,1512000,518,1512000,520,1512000,516,40,518,45,520,63,522,100,
622,3,620,255,622,2243028,1141821,622,320000,623,0,615,1512000,617,1512000,619,1512000,621,1512000,617,53,618,44,620,54,622,100,
723,3,721,255,722,1490596,389389,723,320000,724,0,716,1512000,718,1512000,719,1512000,721,1512000,717,30,719,0,720,11,722,100,
829,3,827,255,829,656446,0,830,320000,832,0,817,1026000,820,1026000,823,594000,828,0,819,27,822,0,826,20,829,0,
923,3,923,255,923,2181465,1080258,924,320000,924,0,917,1512000,919,1512000,921,1512000,923,0,918,77,920,80,922,85,923,0,
1027,3,1026,255,1027,2201986,1100779,1028,320000,1029,0,1017,1512000,1019,1512000,1021,1512000,1026,0,1019,81,1020,83,1025,81,1027,0,
1129,3,1124,255,1129,2865494,1764287,1129,320000,1130,0,1118,1512000,1120,1512000,1121,1512000,1124,1512000,1119,90,1121,80,1124,72,1129,100,
1234,3,1231,255,1234,1955736,854529,1235,200000,1235,0,1218,1512000,1220,1512000,1222,1512000,1232,1512000,1220,62,1222,30,1231,36,1233,81,
1327,3,1324,255,1327,1953266,852059,1327,200000,1328,0,1319,1512000,1321,1512000,1323,1512000,1325,1026000,1320,54,1322,62,1324,66,1326,50,
1432,3,1428,255,1431,1513937,412730,1433,200000,1434,0,1419,1512000,1422,1134000,1424,1026000,1429,1026000,1421,80,1423,40,1428,30,1431,44,
1532,3,1530,255,1532,2582458,1481251,1533,200000,1533,0,1523,1512000,1525,1512000,1528,1512000,1530,1026000,1525,77,1527,100,1530,81,1532,80,
1631,3,1629,255,1631,2366153,1264946,1631,200000,1632,0,1623,1512000,1625,1512000,1627,1512000,1629,1512000,1625,55,1626,100,1628,44,1631,70,
1731,3,1729,255,1731,1312749,211542,1732,200000,1732,0,1724,1512000,1726,1512000,1728,1512000,1730,1512000,1725,81,1727,12,1729,11,1731,11,
1833,3,1832,255,1833,2058340,957133,1834,200000,1834,0,1825,1512000,1827,1512000,1828,1512000,1833,0,1826,100,1828,80,1832,44,1833,0,
1936,3,1934,255,1936,2106222,1005015,1936,200000,1937,24,1925,1512000,1927,1512000,1929,1512000,1935,0,1926,90,1928,100,1930,41,1936,0,
2032,3,2031,255,2032,2030765,929558,2033,128000,2034,24,2025,1512000,2027,1512000,2029,1512000,2031,0,2027,33,2029,46,2030,100,2032,0,
2132,3,2131,255,2132,1814335,713128,2133,128000,2133,24,2126,1512000,2128,1512000,2129,1512000,2132,0,2127,22,2129,45,2131,100,2132,0,
2236,3,2235,255,2236,1581985,480778,2236,128000,2237,24,2226,1026000,2229,1026000,2231,1512000,2235,0,2228,40,2231,22,2234,100,2235,0,
2334,3,2333,255,2334,1501809,400602,2335,128000,2335,24,2327,1026000,2329,1026000,2331,1512000,2333,0,2329,18,2330,22,2333,100,2334,0,
2443,3,2440,255,2443,846935,0,2444,128000,2445,24,2428,1026000,2431,1026000,2439,0,2441,0,2430,12,2433,36,2440,0,2442,0,
2539,3,2534,255,2538,1516387,415180,2539,128000,2540,24,2528,1512000,2530,1026000,2533,0,2535,0,2530,100,2532,44,2534,0,2538,0,
2635,3,2634,255,2635,1490876,389669,2636,128000,2643,24,2629,1512000,2631,1026000,2633,0,2635,0,2630,100,2633,37,2634,0,2635,0,
2736,3,2735,255,2736,1609126,507919,2737,128000,2738,24,2729,1512000,2731,1512000,2734,0,2735,0,2731,37,2732,100,2734,0,2736,0,
2838,3,2836,255,2837,1711730,610523,2839,128000,2841,24,2830,1512000,2832,1512000,2834,0,2836,0,2832,62,2833,90,2835,0,2837,0,
2937,3,2935,255,2936,1527043,425836,2937,128000,2938,16,2930,1512000,2932,1512000,2934,0,2935,0,2932,25,2933,100,2934,0,2936,0,
3037,3,3035,255,3037,1663100,561893,3038,128000,3039,16,3031,1512000,3033,1512000,3034,0,3036,0,3032,80,3034,72,3034,0,3037,0,
3136,3,3135,255,3136,1622059,520852,3137,128000,3137,16,3131,1512000,3133,1512000,3134,0,3135,0,3132,66,3134,80,3134,0,3135,0,
3243,3,3241,255,3242,2511296,1410089,3244,128000,3245,16,3232,1512000,3235,1512000,3239,1512000,3241,0,3235,76,3238,100,3240,100,3242,0,
3338,3,3337,255,3338,1688105,586898,3338,128000,3339,16,3332,1512000,3334,1512000,3335,1026000,3337,0,3333,45,3335,100,3336,20,3337,0,
3440,3,3438,255,3439,1603666,502459,3440,128000,3441,16,3432,1512000,3435,1512000,3436,1026000,3439,0,3434,22,3436,100,3438,40,3439,0,
3539,3,3538,255,3539,1526066,424859,3540,128000,3540,16,3533,1512000,3535,1512000,3536,1026000,3538,0,3534,60,3536,40,3537,60,3539,0,
3653,3,3651,255,3653,2374490,1273283,3654,200000,3655,16,3637,1512000,3643,1512000,3648,1512000,3652,0,3639,90,3645,83,3650,83,3653,0,
3744,3,3740,255,3744,2870151,1768944,3745,200000,3745,16,3734,1512000,3736,1512000,3738,1512000,3741,1026000,3736,85,3738,100,3740,100,3744,57,
3847,3,3844,255,3846,3182284,2081077,3847,200000,3848,16,3837,1512000,3840,1512000,3842,1512000,3845,1512000,3839,90,3841,90,3844,100,3846,81,
3946,3,3944,255,3946,2901833,1800626,3947,200000,3947,16,3938,1512000,3940,1512000,3941,1512000,3944,1512000,3939,70,3941,90,3943,70,3946,90,
4047,3,4045,255,4047,2737666,1636459,4047,320000,4048,16,4039,1512000,4041,1512000,4044,1512000,4046,1512000,4041,60,4043,66,4045,70,4047,100,
