Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.235,20.235,screen bright,18.291533472
0,20.235,20.235,wifi running,0.2731627872
0,20.235,20.235,phone_scanning,10.6049401056
0.0,11.376885,11.376885,core 0 cpu_idle start,0.17010718452
11.376885,12.909447,1.53256199999,core 0 cpu_idle,0.0229148670239
12.909447,12.909508,6.09999988228e-05,core 0 cpu_frequency,5.45940229464e-05
12.909508,12.962395,0.0528870000126,core 0 cpu_idle,0.000790766424188
12.962395,12.962426,3.09999886667e-05,core 0 cpu_frequency,2.29504572096e-05
12.962426,13.00927,0.0468440000113,core 0 cpu_idle,0.000700411488169
13.00927,13.009331,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
13.009331,13.059411,0.0500800000009,core 0 cpu_idle,0.000748796160013
13.059411,13.059502,9.0999994427e-05,core 0 cpu_frequency,4.22184646145e-05
13.059502,13.113427,0.0539250000002,core 0 cpu_idle,0.000806286600002
13.113427,13.162713,0.049285999994,core 0 cpu_frequency,0.0194969107368
13.162713,13.171227,0.00851400000101,core 0 cpu_frequency,0.00871832237864
13.171227,13.359276,0.188049000004,core 0 cpu_idle,0.00281170864806
13.359276,13.359551,0.00027499999851,core 0 cpu_frequency,0.000246120598666
13.359551,13.412194,0.0526430000027,core 0 cpu_idle,0.000787118136041
13.412194,13.412224,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
13.412224,13.459313,0.0470889999997,core 0 cpu_idle,0.000704074727995
13.459313,13.459405,9.20000020415e-05,core 0 cpu_frequency,4.26824073471e-05
13.459405,13.511193,0.051787999997,core 0 cpu_idle,0.000774334175956
13.511193,13.516473,0.00528000001214,core 0 cpu_frequency,0.0020887004208
13.516473,13.562615,0.046141999992,core 0 cpu_idle,0.00068991518388
13.562615,13.567345,0.00473000000056,core 0 cpu_frequency,0.00484351243258
13.567345,13.762566,0.195221000002,core 0 cpu_idle,0.00291894439203
13.762566,13.763695,0.00112899999658,core 0 cpu_frequency,0.000835841147869
13.763695,13.860253,0.0965580000047,core 0 cpu_idle,0.00144373521607
13.860253,13.860375,0.000121999997646,core 0 cpu_frequency,4.82616374686e-05
13.860375,13.962609,0.102234000005,core 0 cpu_idle,0.00152860276808
13.962609,13.970422,0.00781299998926,core 0 cpu_frequency,0.0080004994882
13.970422,14.159722,0.189299999998,core 0 cpu_idle,0.00283041359997
14.159722,14.161584,0.00186200000462,core 0 cpu_frequency,0.00166646021214
14.161584,14.234215,0.0726310000027,core 0 cpu_idle,0.00108597871204
14.234215,14.234276,6.09999988228e-05,core 0 cpu_frequency,3.46847945306e-05
14.234276,14.300408,0.0661320000072,core 0 cpu_idle,0.000988805664108
14.300408,14.304162,0.00375399999029,core 0 cpu_frequency,0.00148503434496
14.304162,14.353753,0.0495910000027,core 0 cpu_idle,0.00074148463204
14.353753,14.36123,0.00747700000647,core 0 cpu_frequency,0.00765643604343
14.36123,14.549706,0.188475999996,core 0 cpu_idle,0.00281809315194
14.549706,14.551934,0.00222799999756,core 0 cpu_frequency,0.00199402434981
14.551934,14.599877,0.0479429999978,core 0 cpu_idle,0.000716843735966
14.599877,14.602227,0.00235000000976,core 0 cpu_frequency,0.00240639624999
14.602227,14.799706,0.197478999995,core 0 cpu_idle,0.00295270600792
14.799706,14.799737,3.10000032187e-05,core 0 cpu_frequency,3.02607151419e-05
14.799737,14.855065,0.0553280000022,core 0 cpu_idle,0.000827264256033
