App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:07:07 PM","17 sec","Trepn_2018.10.20_230706.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
45,3,37,255,44,2126743,975608,46,320000,46,0,11,1512000,33,1512000,34,1512000,38,0,33,100,34,100,36,34,40,0,
122,3,119,255,122,2865494,1714359,123,320000,124,0,114,1512000,116,1512000,117,1512000,119,1512000,115,100,117,100,119,100,122,42,
221,3,219,255,220,3036501,1885366,221,320000,222,0,214,1512000,216,1512000,217,1512000,219,1512000,215,100,217,80,218,100,220,87,
321,3,319,255,321,2742369,1591234,322,320000,322,0,314,1512000,316,1512000,318,1512000,320,1512000,316,100,317,66,319,58,321,100,
422,3,420,255,422,2455077,1303942,422,320000,423,0,414,1512000,416,1512000,418,1512000,420,1512000,416,80,418,58,419,44,422,100,
522,3,520,255,522,2167785,1016650,522,320000,523,0,515,1512000,517,1512000,518,1512000,520,1512000,516,60,518,30,520,50,522,100,
622,3,620,255,622,2140423,989288,623,320000,623,0,615,1512000,617,1512000,619,1512000,621,1512000,617,25,618,45,620,66,622,100,
724,3,722,255,723,1347881,196746,724,320000,725,0,716,1134000,718,1512000,720,1026000,723,0,718,22,720,100,722,12,723,0,
835,3,830,255,835,2428776,1277641,838,320000,839,0,819,1512000,821,1512000,823,1026000,830,1512000,821,75,823,60,828,81,835,100,
931,3,929,255,931,2742369,1591234,931,400000,932,0,921,1512000,923,1512000,926,1512000,929,1512000,922,77,925,90,928,80,930,77,
1029,3,1027,255,1029,1820527,669392,1030,400000,1030,0,1021,1512000,1023,1512000,1025,1512000,1028,1134000,1022,55,1024,53,1027,50,1029,50,
1129,3,1127,255,1129,1863292,712157,1129,400000,1130,0,1121,1512000,1124,1512000,1125,1512000,1127,1134000,1123,58,1125,60,1127,50,1128,44,
1227,3,1226,255,1227,751845,0,1228,400000,1228,0,1222,1512000,1224,1512000,1225,1512000,1227,0,1223,10,1225,11,1226,12,1227,0,
1333,3,1331,255,1333,737488,0,1334,400000,1335,0,1323,1026000,1326,1026000,1328,1026000,1332,0,1325,22,1328,18,1330,18,1333,0,
1433,3,1431,255,1433,1021747,0,1434,400000,1435,0,1423,1026000,1427,1026000,1430,0,1432,0,1426,55,1429,81,1431,0,1433,0,
1534,3,1532,255,1533,1422193,271058,1535,400000,1535,0,1524,1512000,1526,1512000,1529,0,1532,0,1526,54,1528,77,1531,0,1533,0,
