App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 09:54:56 PM","17 sec","Trepn_2018.10.20_215455.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
51,3,47,255,50,2320562,1097900,52,320000,52,0,18,1512000,42,1512000,45,1026000,48,1026000,42,100,44,100,47,75,50,42,
127,3,124,255,127,3070703,1848041,127,320000,129,0,119,1512000,120,1512000,122,1512000,124,1512000,120,100,122,87,123,85,127,100,
226,3,225,255,226,2612403,1389741,227,320000,228,0,219,1512000,221,1512000,223,1512000,225,1512000,221,100,222,50,224,55,226,100,
329,3,325,255,329,2988619,1765957,330,320000,331,0,320,1512000,322,1512000,324,1512000,328,1512000,321,70,323,100,325,90,329,100,
428,3,426,255,428,1928375,705713,428,320000,429,0,420,1512000,422,1512000,424,1512000,426,1512000,422,66,424,27,426,12,428,100,
536,3,534,255,536,2277229,1054567,537,320000,537,0,529,1512000,531,1512000,532,1512000,534,1512000,530,66,532,40,534,50,536,100,
636,3,635,255,636,1682124,459462,637,320000,637,0,629,1512000,631,1512000,633,1512000,635,0,631,25,632,54,634,90,636,0,
736,3,735,255,736,1818930,596268,736,320000,737,0,730,1512000,732,1512000,733,1512000,735,0,731,44,733,45,735,100,736,0,
837,3,836,255,837,1907854,685192,837,320000,838,0,831,1512000,833,1512000,834,1512000,836,0,832,64,834,66,835,72,837,0,
941,3,939,255,941,3043341,1820679,941,400000,942,0,932,1512000,934,1512000,936,1512000,939,1512000,933,90,935,90,938,88,941,100,
1041,3,1039,255,1041,2448236,1225574,1042,400000,1042,0,1032,1512000,1034,1512000,1036,1512000,1040,1512000,1034,88,1035,50,1037,66,1041,77,
1139,3,1138,255,1139,1805249,582587,1140,400000,1140,0,1133,1512000,1134,1512000,1136,1512000,1138,1512000,1134,72,1136,40,1137,25,1139,50,
1240,3,1238,255,1240,1549297,326635,1241,400000,1242,0,1233,1512000,1235,1512000,1237,1512000,1239,1026000,1234,54,1236,33,1238,45,1240,33,
1341,3,1340,255,1341,915784,0,1342,400000,1343,0,1334,1512000,1336,1026000,1338,1026000,1340,0,1335,25,1337,30,1339,30,1341,0,
1443,3,1442,255,1443,989233,0,1444,400000,1444,0,1434,1512000,1437,1026000,1439,1026000,1442,0,1436,40,1438,30,1441,22,1443,0,
1588,3,1579,255,1587,704113,0,1596,320000,1600,0,1535,384000,1549,1026000,1570,0,1584,0,1544,37,1554,40,1574,0,1586,0,
1644,3,1642,255,1644,2062653,839991,1645,320000,1646,0,1635,1512000,1637,1512000,1639,1026000,1642,1026000,1637,90,1639,100,1641,20,1644,45,
1745,3,1742,255,1745,1385685,163023,1746,200000,1746,18,1736,1512000,1738,1512000,1740,1026000,1743,1026000,1737,22,1740,36,1742,87,1744,40,
1848,3,1844,255,1848,2484937,1262275,1848,128000,1849,18,1836,1512000,1839,1512000,1842,1512000,1845,1026000,1838,75,1841,54,1843,100,1847,50,
1946,3,1943,255,1945,1836840,614178,1946,128000,1947,18,1937,1512000,1939,1026000,1941,1512000,1944,1026000,1938,100,1940,40,1943,33,1945,40,
2045,3,2042,255,2044,1618627,395965,2045,128000,2046,18,2037,1512000,2039,1026000,2041,1512000,2043,1026000,2039,72,2040,0,2042,60,2044,22,
2145,3,2143,255,2145,1542936,320274,2146,128000,2147,18,2138,1512000,2140,1026000,2141,1512000,2144,0,2139,22,2141,20,2143,100,2145,0,
2251,3,2249,255,2251,1849289,626627,2252,128000,2253,18,2239,1512000,2244,1026000,2246,1512000,2250,0,2241,54,2246,44,2249,100,2250,0,
2352,3,2348,255,2352,1893918,671256,2353,128000,2354,18,2340,1026000,2342,1512000,2345,1512000,2351,0,2341,60,2345,90,2347,62,2352,0,
2448,3,2447,255,2448,2619217,1396555,2449,128000,2451,18,2440,1512000,2444,1512000,2446,1512000,2448,0,2444,90,2445,100,2447,100,2448,0,
