App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:52:02 PM","17 sec","Trepn_2018.10.20_235200.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
66,3,65,255,66,2578202,1131615,66,320000,67,0,59,1512000,61,1512000,63,1512000,65,0,61,100,63,100,64,100,66,0,
124,3,120,255,124,2596758,1150171,127,320000,128,0,110,1512000,113,1512000,117,1512000,121,1026000,112,83,115,100,119,100,123,37,
219,3,217,255,219,2906536,1459949,220,320000,221,0,210,1512000,213,1512000,215,1512000,217,1512000,212,88,214,100,216,100,219,60,
318,3,316,255,318,2325111,878524,319,320000,319,0,310,1512000,312,1512000,314,1512000,316,1512000,312,33,314,100,316,60,318,70,
431,3,419,255,431,1976257,529670,431,320000,432,0,413,1512000,415,1512000,417,1512000,419,1512000,415,40,417,100,418,12,430,60,
521,3,517,255,521,2345632,899045,521,320000,522,0,511,1512000,514,1512000,516,1512000,518,1512000,513,37,515,100,517,54,520,75,
619,3,617,255,619,1476916,30329,620,320000,621,0,612,1512000,614,1512000,616,1512000,618,1512000,613,27,615,100,617,0,619,12,
722,3,719,255,721,1429474,0,722,320000,730,0,712,1026000,715,1512000,717,1026000,719,1026000,714,30,716,66,718,33,721,61,
829,3,827,255,829,2666841,1220254,830,320000,831,0,821,1512000,823,1512000,825,1026000,827,1512000,822,83,824,100,826,75,829,90,
921,3,919,255,921,2420875,974288,922,320000,922,0,914,1512000,916,1512000,917,1512000,919,1512000,916,70,917,87,919,70,921,50,
1022,3,1020,255,1021,2099382,652795,1022,320000,1023,0,1014,1512000,1016,1512000,1018,1512000,1020,1512000,1016,80,1017,72,1019,33,1021,45,
