App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:24:45 PM","17 sec","Trepn_2018.10.20_232444.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
67,3,59,255,65,1894173,739146,69,320000,75,0,52,1512000,53,1512000,56,0,60,0,53,100,55,100,57,0,62,0,
160,3,158,255,160,2578202,1423175,160,320000,161,0,152,1512000,154,1512000,156,1512000,158,1512000,154,100,156,90,157,56,159,54,
260,3,258,255,260,3262231,2107204,260,320000,261,0,253,1512000,255,1512000,256,1512000,258,1512000,254,100,256,100,258,100,260,100,
362,3,360,255,362,2427716,1272689,362,320000,363,0,354,1512000,356,1512000,358,1512000,360,1512000,355,53,357,75,359,100,362,50,
461,3,459,255,461,1837673,682646,462,320000,462,0,454,1512000,456,1512000,457,1512000,460,1134000,455,28,457,45,459,100,461,30,
561,3,559,255,560,1771048,616021,561,320000,561,0,554,1512000,556,1512000,558,1512000,560,0,556,45,557,37,559,100,560,0,
662,3,661,255,662,1654763,499736,662,320000,663,0,655,1512000,657,1512000,659,1512000,661,0,656,25,658,40,660,100,661,0,
761,3,760,255,761,1408513,253486,762,320000,762,0,755,1512000,757,1512000,759,1512000,761,0,757,22,758,30,760,77,761,0,
880,3,878,255,879,1049792,0,880,320000,881,0,856,1026000,858,1134000,874,0,878,0,858,37,870,91,877,0,879,0,
970,3,967,255,969,2511305,1356278,970,320000,971,0,956,1512000,958,1512000,961,1512000,968,1134000,958,90,961,100,963,44,969,90,
1066,3,1064,255,1066,2851813,1696786,1066,400000,1067,0,1057,1512000,1061,1512000,1062,1512000,1065,1512000,1060,90,1062,72,1064,88,1066,90,
1170,3,1165,255,1170,1593200,438173,1172,400000,1176,0,1157,1512000,1159,1512000,1163,1512000,1166,1512000,1159,33,1163,0,1165,63,1168,60,
1266,3,1263,255,1266,2386674,1231647,1266,400000,1267,0,1257,1512000,1259,1512000,1261,1512000,1263,1512000,1259,66,1261,70,1263,70,1265,66,
1365,3,1363,255,1365,937764,0,1366,320000,1366,0,1358,1512000,1360,1512000,1362,1026000,1364,1512000,1360,11,1361,20,1363,36,1365,10,
1467,3,1465,255,1466,820468,0,1467,320000,1468,0,1458,1026000,1461,1512000,1463,1026000,1465,1026000,1460,33,1462,10,1464,18,1466,11,
1567,3,1565,255,1566,747133,0,1567,200000,1568,0,1559,1026000,1562,1512000,1564,0,1566,0,1561,40,1563,11,1565,0,1566,0,
1674,3,1671,255,1674,609936,0,1674,200000,1676,0,1661,1026000,1666,1026000,1670,0,1672,0,1665,12,1669,11,1671,0,1673,0,
1772,3,1770,255,1772,1036325,0,1773,128000,1776,0,1760,1026000,1763,1026000,1768,0,1770,0,1763,70,1767,70,1768,0,1771,0,
1871,3,1865,255,1871,1483756,328729,1871,128000,1872,20,1861,1512000,1863,1512000,1864,0,1865,0,1862,100,1864,40,1865,0,1868,0,
1969,3,1967,255,1969,1625853,470826,1970,128000,1971,20,1961,1512000,1963,1512000,1964,0,1968,0,1962,53,1964,90,1967,0,1968,0,
