App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 10:47:03 PM","17 sec","Trepn_2018.10.20_224702.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
96,3,93,255,95,2003447,849224,98,320000,99,0,40,1512000,79,1512000,86,1026000,94,0,78,92,85,100,91,45,95,0,
147,3,146,255,146,2578202,1423979,151,320000,158,0,140,1512000,142,1512000,144,1512000,146,0,142,100,143,100,145,100,146,0,
262,3,247,255,261,2879175,1724952,266,320000,269,0,241,1512000,243,1512000,245,1512000,247,1512000,242,100,245,100,247,100,261,44,
349,3,347,255,349,3111744,1957521,350,320000,357,0,341,1512000,343,1512000,345,1512000,347,1512000,343,100,345,90,347,88,349,100,
449,3,447,255,449,2003618,849395,449,320000,450,0,442,1512000,443,1512000,445,1512000,447,1512000,443,40,445,36,446,40,449,100,
549,3,547,255,549,1969416,815193,550,320000,550,0,542,1512000,544,1512000,546,1512000,548,1512000,544,27,545,12,547,72,549,100,
649,3,648,255,649,765526,0,650,320000,650,0,642,1512000,644,1512000,646,1512000,648,0,644,0,646,10,647,25,649,0,
750,3,749,255,749,1278547,124324,750,320000,751,0,743,1512000,745,1512000,747,1512000,749,0,745,30,746,0,748,80,749,0,
858,3,853,255,857,1476916,322693,859,320000,866,0,843,1512000,849,1512000,852,0,854,0,848,77,851,62,852,0,857,0,
956,3,954,255,956,1583890,429667,957,400000,958,0,944,1512000,947,1512000,951,1026000,955,0,946,66,950,62,953,50,956,0,
