Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.482,20.482,screen bright,18.5148104064
0,20.482,20.482,wifi running,0.27649716864
0,20.482,20.482,phone_scanning,10.7343900787
0.0,11.427892,11.427892,core 0 cpu_idle start,0.170869841184
11.427892,11.580571,0.152678999992,core 0 cpu_idle,0.00228285640787
11.580571,11.580724,0.000153000000864,core 0 cpu_frequency,0.00011327165344
11.580724,11.68073,0.100006000008,core 0 cpu_idle,0.00149528971212
11.68073,11.68076,2.99999956042e-05,core 0 cpu_frequency,3.07199474987e-05
11.68076,12.180638,0.499878000002,core 0 cpu_idle,0.00747417585604
12.180638,12.188695,0.0080569999991,core 0 cpu_frequency,0.00596490004253
12.188695,12.281011,0.0923159999948,core 0 cpu_idle,0.00138030883192
12.281011,12.294774,0.0137629999954,core 0 cpu_frequency,0.007137778068
12.294774,12.330693,0.0359190000017,core 0 cpu_idle,0.000537060888026
12.330693,12.330754,6.09999988228e-05,core 0 cpu_frequency,2.83002906539e-05
12.330754,12.383,0.0522460000066,core 0 cpu_idle,0.000781182192098
12.383,12.388646,0.00564600000507,core 0 cpu_frequency,0.00223348533321
12.388646,12.430669,0.0420229999872,core 0 cpu_idle,0.000628327895809
12.430669,12.43073,6.10000133747e-05,core 0 cpu_frequency,3.46848028049e-05
12.43073,12.480657,0.049927,core 0 cpu_idle,0.000746508504
12.480657,12.480718,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
12.480718,12.533422,0.052703999987,core 0 cpu_idle,0.000788030207805
12.533422,12.703618,0.170196000006,core 0 cpu_frequency,0.174280431693
12.703618,12.986486,0.282867999995,core 0 cpu_idle,0.00422944233592
12.986486,12.988866,0.00238000000536,core 0 cpu_frequency,0.00135327561905
12.988866,13.030614,0.0417480000033,core 0 cpu_idle,0.000624216096049
13.030614,13.030675,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
13.030675,13.082189,0.0515139999916,core 0 cpu_idle,0.000770237327874
13.082189,13.08228,9.10000089789e-05,core 0 cpu_frequency,3.59984387519e-05
13.08228,13.134465,0.0521849999932,core 0 cpu_idle,0.000780270119898
13.134465,13.135137,0.000672000009217,core 0 cpu_frequency,0.000688126934238
13.135137,13.38358,0.248442999989,core 0 cpu_idle,0.00371471973584
13.38358,13.383641,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
13.383641,13.430577,0.0469360000134,core 0 cpu_idle,0.0007017870722
13.430577,13.430669,9.19999874895e-05,core 0 cpu_frequency,3.6394017451e-05
13.430669,13.538884,0.108215,core 0 cpu_idle,0.00161803068
13.538884,13.538945,6.10000133747e-05,core 0 cpu_frequency,6.24639160957e-05
13.538945,13.783605,0.244659999997,core 0 cpu_idle,0.00365815631995
13.783605,13.783635,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
13.783635,13.830632,0.0469969999976,core 0 cpu_idle,0.000702699143965
13.830632,13.830693,6.09999988228e-05,core 0 cpu_frequency,2.83002906539e-05
13.830693,13.880651,0.0499580000032,core 0 cpu_idle,0.000746972016049
13.880651,13.880712,6.09999988228e-05,core 0 cpu_frequency,2.41308187343e-05
13.880712,13.933965,0.0532530000055,core 0 cpu_idle,0.000796238856082
13.933965,13.934087,0.000121999997646,core 0 cpu_frequency,0.000124927802389
13.934087,14.180608,0.246520999994,core 0 cpu_idle,0.00368598199191
14.180608,14.180638,3.00000101561e-05,core 0 cpu_frequency,2.22101355189e-05
14.180638,14.280675,0.100036999997,core 0 cpu_idle,0.00149575322395
14.280675,14.280706,3.10000032187e-05,core 0 cpu_frequency,1.76267010301e-05
14.280706,14.330632,0.0499259999924,core 0 cpu_idle,0.000746493551887
14.330632,14.330693,6.09999988228e-05,core 0 cpu_frequency,2.83002906539e-05
14.330693,14.382695,0.0520020000113,core 0 cpu_idle,0.000777533904169
14.382695,14.382756,6.09999988228e-05,core 0 cpu_frequency,2.41308187343e-05
14.382756,14.434117,0.0513609999907,core 0 cpu_idle,0.000767949671861
14.434117,14.434148,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
14.434148,14.580785,0.146636999998,core 0 cpu_idle,0.00219251642397
14.580785,14.580815,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
14.580815,14.630498,0.0496830000047,core 0 cpu_idle,0.000742860216071
14.630498,14.630529,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
14.630529,14.730748,0.100219,core 0 cpu_idle,0.001498474488
14.730748,14.730779,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
14.730779,14.783605,0.0528259999992,core 0 cpu_idle,0.000789854351988
14.783605,14.783635,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
14.783635,14.930516,0.146880999993,core 0 cpu_idle,0.0021961647119
14.930516,14.930547,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
14.930547,14.980901,0.0503540000063,core 0 cpu_idle,0.000752893008095
14.980901,14.983403,0.00250200000301,core 0 cpu_frequency,0.000989759175589
14.983403,15.030797,0.0473939999938,core 0 cpu_idle,0.000708635087907
15.030797,15.030828,3.10000032187e-05,core 0 cpu_frequency,1.76267010301e-05
15.030828,15.130651,0.0998229999968,core 0 cpu_idle,0.00149255349595
15.130651,15.130712,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
