App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:28:47 PM","17 sec","Trepn_2018.10.20_232846.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
6,3,61,255,64,2213609,910110,7,320000,7,0,56,1512000,58,1512000,59,1512000,62,918000,57,83,59,100,61,44,63,44,
64,3,164,255,166,2817612,1514113,65,320000,66,0,156,1512000,159,1512000,162,1512000,164,1512000,158,100,161,75,163,60,166,100,
166,3,263,255,265,2961258,1657759,167,320000,167,0,257,1512000,259,1512000,261,1512000,263,1512000,258,100,260,90,262,66,264,100,
265,3,363,255,365,2051500,748001,265,320000,266,0,357,1512000,359,1512000,361,1512000,363,1512000,359,81,361,54,363,28,365,60,
365,3,463,255,465,2085701,782202,366,320000,366,0,458,1512000,460,1512000,461,1512000,464,1512000,459,37,461,36,463,100,465,55,
465,3,564,255,566,2017298,713799,466,320000,466,0,558,1512000,560,1512000,562,1512000,564,1512000,559,50,561,14,563,100,566,54,
566,3,664,255,666,1565839,262340,566,320000,567,0,659,1512000,661,1512000,662,1512000,664,1512000,660,22,662,18,664,100,666,12,
666,3,766,255,768,1319475,15976,666,320000,667,0,760,1026000,762,1026000,765,1512000,767,0,762,18,764,12,766,100,768,0,
768,3,867,255,868,2133583,830084,768,320000,769,0,860,1512000,862,1512000,864,1512000,867,0,862,88,864,81,866,66,867,0,
868,3,932,255,933,2338792,1035293,868,320000,869,0,915,1512000,917,1512000,919,1512000,933,0,916,100,918,80,932,85,933,0,
933,3,1022,255,1024,2701327,1397828,939,320000,941,0,1015,1512000,1017,1512000,1020,1512000,1023,1512000,1017,77,1019,90,1022,88,1024,63,
1024,3,1122,255,1125,1805078,501579,1025,320000,1025,0,1116,1512000,1118,1512000,1120,1512000,1123,1026000,1117,42,1120,40,1122,81,1125,45,
1126,3,1221,255,1223,1533709,230210,1126,320000,1127,0,1216,1512000,1218,1512000,1220,1512000,1222,1026000,1218,33,1219,30,1221,55,1223,55,
1223,3,1323,255,1326,749489,0,1224,320000,1224,0,1317,1512000,1319,1512000,1321,1512000,1324,1026000,1318,11,1321,11,1323,0,1326,20,
1326,3,1429,255,1431,737376,0,1326,320000,1327,0,1421,702000,1425,1026000,1427,0,1430,0,1424,50,1426,30,1428,0,1431,0,
1431,3,1533,255,1534,647058,0,1432,200000,1433,0,1520,486000,1525,1026000,1531,0,1533,0,1523,40,1527,20,1532,0,1534,0,
1534,3,1629,255,1631,926994,0,1535,200000,1535,0,1622,1026000,1625,1026000,1627,0,1630,0,1624,44,1627,66,1628,0,1631,0,
1632,3,1734,255,1735,1341341,37842,1633,128000,1634,0,1723,1512000,1725,1026000,1732,0,1735,0,1724,100,1730,36,1732,0,1735,0,
1737,3,1830,255,1831,1620562,317063,1738,128000,1740,0,1823,1512000,1825,1512000,1828,0,1830,0,1825,100,1827,60,1829,0,1831,0,
1831,3,1931,255,1932,1000989,0,1832,128000,1832,23,1924,1512000,1927,1026000,1930,0,1932,0,1926,33,1928,30,1931,0,1932,0,
1932,3,2030,255,2031,1019716,0,1933,128000,1934,23,2024,1512000,2027,1026000,2029,0,2031,0,2026,40,2029,22,2030,0,2031,0,
2031,3,2135,255,2136,890590,0,2032,128000,2033,23,2125,1512000,2129,1026000,2134,0,2135,0,2128,11,2133,41,2134,0,2136,0,
2136,3,2245,255,2248,720796,0,2137,128000,2138,23,2228,384000,2236,384000,2242,0,2246,0,2234,33,2241,30,2244,0,2247,0,
2248,3,2331,255,2332,1243089,0,2250,128000,2252,23,2326,1512000,2328,1026000,2330,0,2331,0,2328,62,2330,42,2330,0,2332,0,
2332,3,2433,255,2434,873771,0,2332,128000,2333,23,2427,1512000,2430,1026000,2432,0,2434,0,2429,16,2432,27,2433,0,2434,0,
