App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:12:45 PM","17 sec","Trepn_2018.10.20_231244.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
59,3,57,255,58,1928139,831529,59,320000,60,0,52,1512000,54,1512000,55,384000,57,0,53,100,55,100,57,39,58,0,
163,3,160,255,162,2633707,1537097,163,320000,164,0,152,1512000,154,1512000,158,1512000,160,1026000,154,100,156,100,160,90,162,34,
261,3,259,255,261,3262231,2165621,262,320000,262,0,252,1512000,254,1512000,256,1512000,259,1512000,254,100,256,100,257,100,261,100,
361,3,359,255,361,2947577,1850967,361,320000,362,0,353,1512000,355,1512000,357,1512000,359,1512000,355,88,357,100,358,90,361,76,
461,3,459,255,461,2154104,1057494,462,320000,462,0,453,1512000,456,1512000,457,1512000,459,1512000,455,46,457,100,459,22,461,70,
564,3,562,255,564,2509799,1413189,564,320000,565,0,556,1512000,558,1512000,560,1512000,562,1512000,558,70,560,100,561,66,564,54,
664,3,662,255,664,1723166,626556,664,320000,665,0,657,1512000,659,1512000,660,1512000,662,1512000,658,25,660,100,662,36,664,14,
770,3,767,255,770,1556023,459413,770,320000,771,0,757,1026000,760,1512000,764,1512000,767,1026000,759,30,763,27,766,90,769,33,
893,3,881,255,892,2065180,968570,893,320000,897,0,858,1512000,862,1512000,872,1512000,891,0,860,72,865,72,876,81,892,0,
968,3,967,255,968,2441396,1344786,969,400000,970,0,958,1512000,964,1512000,966,1512000,968,0,960,100,965,90,967,90,968,0,
1066,3,1064,255,1066,1919064,822454,1066,400000,1067,0,1058,1512000,1060,1512000,1062,1512000,1064,1026000,1060,81,1062,36,1063,60,1066,50,
1118,3,1115,255,1118,1615230,518620,1118,400000,1119,0,1109,1512000,1111,1512000,1113,1512000,1116,1026000,1111,40,1113,25,1115,50,1118,83,
1217,3,1215,255,1217,1051750,0,1217,400000,1218,0,1209,1512000,1211,1512000,1213,1512000,1215,1026000,1211,22,1212,22,1214,11,1216,41,
1318,3,1316,255,1318,722911,0,1318,400000,1319,0,1310,1026000,1313,1026000,1315,0,1317,0,1312,44,1314,10,1316,0,1317,0,
1437,3,1428,255,1437,806637,0,1440,320000,1444,0,1412,918000,1416,1026000,1426,0,1429,0,1414,44,1418,40,1427,0,1433,0,
1517,3,1516,255,1517,1091895,0,1518,200000,1518,0,1512,1512000,1514,1026000,1516,0,1517,0,1514,63,1515,37,1516,0,1517,0,
1623,3,1621,255,1622,1030723,0,1623,200000,1624,0,1613,1512000,1616,1026000,1619,0,1622,0,1614,45,1617,54,1620,0,1622,0,
1723,3,1721,255,1723,985304,0,1724,128000,1725,0,1713,1026000,1716,1026000,1719,1026000,1722,0,1716,54,1718,50,1721,22,1722,0,
1824,3,1822,255,1824,740718,0,1825,128000,1826,19,1814,384000,1817,1026000,1820,1026000,1823,0,1816,33,1819,33,1822,18,1824,0,
1923,3,1921,255,1923,1115378,18768,1924,128000,1925,19,1915,1026000,1918,1026000,1920,0,1921,0,1917,58,1919,72,1920,0,1923,0,
2023,3,2021,255,2022,1407497,310887,2024,128000,2024,19,2015,1512000,2018,1026000,2020,0,2021,0,2017,80,2019,60,2020,0,2022,0,
2129,3,2125,255,2129,2076108,979498,2130,128000,2130,19,2116,1512000,2117,1512000,2120,1026000,2127,0,2117,100,2119,90,2123,37,2129,0,
2224,3,2221,255,2222,2365365,1268755,2224,128000,2225,19,2216,1512000,2218,1512000,2219,1512000,2221,0,2217,81,2219,71,2221,100,2222,0,
2324,3,2322,255,2324,2595073,1498463,2325,128000,2325,19,2316,1512000,2318,1512000,2320,1512000,2322,1026000,2318,88,2319,90,2322,90,2324,33,
2425,3,2423,255,2425,999941,0,2426,128000,2426,19,2417,1512000,2419,1512000,2421,1512000,2423,1026000,2419,0,2420,27,2422,11,2425,27,
2526,3,2524,255,2526,1008909,0,2527,128000,2528,19,2517,1026000,2520,1512000,2522,1026000,2524,1026000,2519,12,2521,18,2523,25,2526,30,
2627,3,2624,255,2626,1009415,0,2627,128000,2628,19,2618,1026000,2620,1512000,2623,0,2625,0,2620,54,2622,25,2624,0,2626,0,
2723,3,2722,255,2723,1049560,0,2724,128000,2724,19,2718,1026000,2720,1512000,2722,0,2722,0,2720,50,2721,33,2722,0,2723,0,
2823,3,2822,255,2823,1165845,69235,2824,128000,2824,20,2819,1026000,2820,1512000,2822,0,2823,0,2820,50,2821,50,2822,0,2823,0,
2926,3,2925,255,2926,1536929,440319,2927,128000,2928,20,2919,1512000,2921,1512000,2923,0,2925,0,2921,90,2923,40,2924,0,2926,0,
3025,3,3024,255,3025,1742138,645528,3026,128000,3027,20,3019,1512000,3021,1512000,3023,0,3024,0,3021,100,3022,60,3023,0,3025,0,
3131,3,3130,255,3131,1653214,556604,3135,128000,3135,20,3120,1512000,3128,1512000,3129,0,3130,0,3126,72,3129,75,3130,0,3130,0,
3228,3,3226,255,3227,1880003,783393,3228,128000,3229,20,3220,1512000,3222,1512000,3224,1026000,3226,1026000,3222,62,3223,75,3225,70,3227,11,
3329,3,3327,255,3329,756182,0,3330,128000,3331,20,3320,1512000,3323,1512000,3325,1026000,3327,1026000,3322,10,3324,0,3327,0,3329,11,
3429,3,3427,255,3429,1055304,0,3430,320000,3430,0,3421,1512000,3423,1512000,3425,1026000,3428,1026000,3423,20,3425,30,3427,0,3429,18,
3553,3,3542,255,3553,715622,0,3554,320000,3555,0,3522,1026000,3527,1026000,3533,0,3548,0,3524,30,3530,22,3536,0,3550,0,
3629,3,3628,255,3629,1679654,583044,3630,320000,3631,0,3622,1512000,3624,1512000,3626,1026000,3628,0,3624,62,3626,80,3628,50,3629,0,
3735,3,3733,255,3735,1385073,288463,3739,320000,3740,0,3727,1026000,3730,1512000,3732,1026000,3734,0,3729,18,3731,100,3733,30,3734,0,
3829,3,3828,255,3829,1515487,418877,3829,320000,3830,0,3823,1512000,3825,1512000,3826,1026000,3828,0,3824,55,3826,63,3828,50,3829,0,
3934,3,3932,255,3934,635446,0,3935,320000,3936,0,3924,1026000,3927,1026000,3929,1026000,3933,0,3926,10,3929,20,3931,0,3933,0,
4033,3,4031,255,4032,821308,0,4033,320000,4034,0,4024,1026000,4028,1026000,4030,0,4032,0,4027,40,4029,41,4031,0,4032,0,
4137,3,4135,255,4137,675119,0,4138,320000,4140,0,4126,384000,4131,1026000,4134,0,4136,0,4130,33,4133,33,4135,0,4137,0,
4234,3,4233,255,4234,824859,0,4235,320000,4236,0,4226,918000,4229,1026000,4232,0,4233,0,4228,44,4231,45,4232,0,4234,0,
4337,3,4335,255,4336,566203,0,4338,320000,4339,0,4326,1026000,4330,1026000,4333,0,4335,0,4329,11,4332,0,4334,0,4336,0,
