Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.269,20.269,screen bright,18.3222679488
0,20.269,20.269,wifi running,0.27362177088
0,20.269,20.269,phone_scanning,10.6227591302
0.0,13.228967,13.228967,core 0 cpu_idle start,0.197799514584
13.228967,13.449029,0.220062000008,core 0 cpu_idle,0.00329036702411
13.449029,13.44906,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
13.44906,13.506311,0.0572509999911,core 0 cpu_idle,0.000856016951867
13.506311,13.506341,3.00000101561e-05,core 0 cpu_frequency,2.22101355189e-05
13.506341,13.602838,0.0964969999914,core 0 cpu_idle,0.00144282314387
13.602838,13.608087,0.00524900000892,core 0 cpu_frequency,0.00537496761073
13.608087,13.648889,0.0408019999886,core 0 cpu_idle,0.00061007150383
13.648889,13.649469,0.000580000007176,core 0 cpu_frequency,0.000429395813313
13.649469,13.700433,0.0509639999946,core 0 cpu_idle,0.000762013727919
13.700433,13.700738,0.000305000008666,core 0 cpu_frequency,0.000225802974416
13.700738,13.748773,0.0480349999998,core 0 cpu_idle,0.000718219319997
13.748773,13.748803,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
13.748803,13.851861,0.103057999993,core 0 cpu_idle,0.0015409232159
13.851861,13.851922,6.10000133747e-05,core 0 cpu_frequency,4.51606035018e-05
13.851922,13.999047,0.147124999989,core 0 cpu_idle,0.00219981299983
13.999047,14.023614,0.0245670000004,core 0 cpu_frequency,0.0251565686932
14.023614,16.248956,2.22534200001,core 0 cpu_idle,0.0332733135841
16.248956,16.249017,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
16.249017,16.298822,0.0498050000024,core 0 cpu_idle,0.000744684360036
16.298822,16.29931,0.000488000005134,core 0 cpu_frequency,0.000361284752601
16.29931,16.499108,0.199797999987,core 0 cpu_idle,0.0029873796958
16.499108,16.499139,3.10000032187e-05,core 0 cpu_frequency,3.17439536959e-05
16.499139,17.452539,0.953399999999,core 0 cpu_idle,0.0142552368
17.452539,17.45263,9.10000089789e-05,core 0 cpu_frequency,3.59984387519e-05
17.45263,17.974664,0.522033999994,core 0 cpu_idle,0.00780545236791
17.974664,18.134118,0.159454000008,core 0 cpu_frequency,0.163280640882
18.134118,18.248895,0.114776999995,core 0 cpu_idle,0.00171614570393
18.248895,18.248925,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
18.248925,18.298761,0.0498360000056,core 0 cpu_idle,0.000745147872084
18.298761,18.298822,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
18.298822,18.349755,0.0509329999913,core 0 cpu_idle,0.000761550215871
18.349755,18.349847,9.20000020415e-05,core 0 cpu_frequency,3.63940232076e-05
18.349847,18.703332,0.353485,core 0 cpu_idle,0.00528530771999
18.703332,18.782342,0.0790100000013,core 0 cpu_frequency,0.0809061135853
18.782342,18.902703,0.120361000008,core 0 cpu_idle,0.00179963767213
18.902703,18.902764,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
18.902764,18.972711,0.0699469999963,core 0 cpu_idle,0.00104584754394
18.972711,18.972955,0.000243999995291,core 0 cpu_frequency,9.65232749373e-05
18.972955,20.183038,1.210083,core 0 cpu_idle,0.018093161016
20.183038,20.201532,0.0184940000036,core 0 cpu_frequency,0.0189378264132
20.201532,20.382623,0.181091000006,core 0 cpu_idle,0.00270767263209
20.382623,20.382684,6.09999988228e-05,core 0 cpu_frequency,3.09583290026e-05
20.382684,20.521264,0.138579999999,core 0 cpu_idle,0.00207204815998
20.521264,20.521356,9.20000020415e-05,core 0 cpu_frequency,3.63940232076e-05
20.521356,21.032861,0.511505000002,core 0 cpu_idle,0.00764802276003
21.032861,21.039727,0.00686599999608,core 0 cpu_frequency,0.00703077301039
21.039727,21.23211,0.192383000001,core 0 cpu_idle,0.00287651061602
21.23211,21.232232,0.000121999997646,core 0 cpu_frequency,4.82616374686e-05
21.232232,21.332177,0.0999449999945,core 0 cpu_idle,0.00149437763992
21.332177,21.490777,0.15860000001,core 0 cpu_frequency,0.16240614625
21.490777,21.651849,0.161072000003,core 0 cpu_idle,0.00240834854404
21.651849,21.651879,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
21.651879,21.698785,0.0469060000032,core 0 cpu_idle,0.000701338512048
21.698785,21.698815,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
21.698815,21.748773,0.0499580000032,core 0 cpu_idle,0.000746972016049
21.748773,21.748803,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
21.748803,21.798791,0.0499879999988,core 0 cpu_idle,0.000747420575983
21.798791,21.798822,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
21.798822,21.848809,0.0499869999912,core 0 cpu_idle,0.000747405623869
21.848809,21.84887,6.10000133747e-05,core 0 cpu_frequency,4.51606035018e-05
21.84887,21.898919,0.0500489999977,core 0 cpu_idle,0.000748332647965
21.898919,21.899011,9.20000020415e-05,core 0 cpu_frequency,4.26824073471e-05
21.899011,21.949151,0.0501399999921,core 0 cpu_idle,0.000749693279882
21.949151,22.001763,0.0526119999995,core 0 cpu_frequency,0.0244087691902
22.001763,22.021081,0.019318000006,core 0 cpu_frequency,0.0197816010974
22.021081,22.222222,0.201140999998,core 0 cpu_idle,0.00300746023197
