App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:44:48 PM","17 sec","Trepn_2018.10.20_234447.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
104,3,101,255,103,1894173,686799,105,320000,106,0,42,1512000,84,1512000,94,0,102,0,83,100,91,100,99,0,102,0,
157,3,148,255,156,1894173,686799,158,320000,168,0,142,1512000,144,1512000,147,0,148,0,144,100,146,100,147,0,149,0,
259,3,255,255,259,2585042,1377668,264,320000,271,0,245,1512000,250,1512000,253,1512000,256,1512000,247,100,252,100,254,48,258,53,
355,3,352,255,355,3193828,1986454,356,320000,356,0,346,1512000,349,1512000,350,1512000,353,1512000,348,100,350,100,352,100,355,90,
454,3,452,255,454,2338792,1131418,455,320000,455,0,446,1512000,448,1512000,450,1512000,452,1512000,448,55,450,60,451,100,454,50,
554,3,552,255,554,2126743,919369,555,320000,555,0,547,1512000,549,1512000,550,1512000,553,1512000,548,30,550,50,552,100,554,54,
654,3,652,255,654,2639764,1432390,654,320000,655,0,647,1512000,649,1512000,650,1512000,652,1512000,648,66,650,80,652,100,654,63,
755,3,753,255,755,2044659,837285,755,320000,756,0,748,1512000,749,1512000,751,1512000,753,1512000,749,45,751,22,752,100,755,55,
855,3,853,255,855,1784728,577354,856,320000,856,0,848,1512000,850,1512000,851,1512000,854,1512000,849,0,851,12,853,100,855,72,
955,3,953,255,955,1363264,155890,955,320000,956,0,948,1512000,950,1026000,952,1512000,954,0,950,81,952,27,953,27,955,0,
1069,3,1068,255,1069,2174625,967251,1072,320000,1075,0,1053,1512000,1055,1512000,1060,1512000,1068,0,1054,81,1059,83,1067,77,1069,0,
1163,3,1160,255,1163,2393333,1185959,1164,320000,1165,0,1153,1512000,1155,1512000,1158,1134000,1160,1512000,1155,90,1157,100,1159,80,1162,33,
1260,3,1258,255,1260,2646605,1439231,1261,320000,1261,0,1253,1512000,1255,1512000,1257,1512000,1259,1512000,1255,83,1256,75,1258,75,1260,77,
1361,3,1359,255,1361,1864342,656968,1361,320000,1362,0,1354,1512000,1356,1512000,1357,1512000,1359,1026000,1355,44,1357,44,1359,81,1361,50,
1461,3,1459,255,1461,697123,0,1462,320000,1462,0,1454,1512000,1457,1512000,1458,1512000,1460,1026000,1456,11,1458,0,1459,14,1461,0,
1567,3,1563,255,1566,606291,0,1567,320000,1568,0,1555,1026000,1559,1026000,1562,0,1564,0,1558,12,1560,10,1562,0,1565,0,
1700,3,1698,255,1699,913211,0,1708,320000,1714,0,1657,1026000,1660,918000,1695,0,1699,0,1659,60,1662,55,1695,0,1699,0,
1766,3,1763,255,1766,2083345,875971,1767,320000,1767,0,1756,1512000,1758,1512000,1761,1512000,1764,1026000,1758,90,1760,100,1763,27,1766,20,
1867,3,1863,255,1867,1611814,404440,1868,200000,1868,0,1856,1512000,1859,1512000,1861,1512000,1864,1026000,1858,25,1861,22,1863,100,1866,22,
1967,3,1964,255,1967,1919284,711910,1968,128000,1969,0,1958,1512000,1960,1512000,1962,1026000,1965,1026000,1959,44,1961,100,1964,50,1967,62,
2072,3,2067,255,2071,2838133,1630759,2075,128000,2079,20,2058,1512000,2061,1512000,2064,1512000,2067,1512000,2060,77,2062,80,2066,100,2070,81,
2178,3,2168,255,2178,3233320,2025946,2180,128000,2182,20,2158,1512000,2161,1512000,2166,1512000,2169,1512000,2160,100,2163,88,2168,100,2178,90,
2268,3,2266,255,2268,2699778,1492404,2269,400000,2269,20,2259,1512000,2261,1512000,2264,1512000,2266,1512000,2261,60,2263,80,2265,100,2268,60,
2367,3,2365,255,2367,2411757,1204383,2367,400000,2368,20,2359,1512000,2361,1512000,2363,1512000,2365,1512000,2361,22,2363,20,2364,100,2366,30,
2467,3,2465,255,2467,2186028,978654,2467,400000,2468,20,2460,1512000,2462,1512000,2463,1512000,2465,1512000,2461,11,2463,10,2465,100,2467,18,
2582,3,2573,255,2582,1585085,377711,2583,400000,2584,20,2562,1026000,2567,1026000,2572,0,2574,0,2566,42,2570,54,2572,0,2575,0,
2694,3,2687,255,2691,2065030,857656,2696,400000,2699,20,2663,1026000,2670,1512000,2679,0,2688,0,2669,40,2675,100,2684,0,2691,0,
2771,3,2770,255,2771,2302312,1094938,2772,400000,2773,20,2765,1512000,2767,1512000,2769,0,2770,0,2767,66,2768,90,2769,0,2771,0,
2871,3,2870,255,2871,2192868,985494,2872,400000,2874,20,2865,1512000,2867,1512000,2869,0,2870,0,2867,40,2868,100,2869,0,2871,0,
2974,3,2972,255,2974,3127517,1920143,2975,400000,2976,20,2966,1512000,2968,1512000,2970,1512000,2972,1026000,2968,100,2970,60,2972,90,2974,50,
3074,3,3072,255,3074,2442591,1235217,3075,320000,3075,15,3066,1512000,3069,1512000,3070,1512000,3073,1026000,3068,27,3070,25,3072,100,3074,46,
3180,3,3178,255,3180,1814402,607028,3181,200000,3182,15,3167,1026000,3169,1026000,3171,1512000,3178,1026000,3169,12,3171,33,3176,100,3180,20,
3277,3,3275,255,3277,1859058,651684,3278,200000,3278,15,3268,1026000,3270,1026000,3272,1512000,3275,1026000,3270,45,3272,41,3274,100,3277,44,
3380,3,3378,255,3380,2120840,913466,3381,128000,3382,15,3369,1026000,3371,1026000,3376,1512000,3379,1512000,3371,54,3375,69,3377,42,3380,100,
3481,3,3479,255,3481,2074769,867395,3482,128000,3482,15,3469,1026000,3471,1026000,3476,1026000,3479,1512000,3470,70,3473,81,3478,80,3481,90,
3582,3,3580,255,3582,2213099,1005725,3583,400000,3583,15,3569,1026000,3571,1512000,3574,1512000,3581,1512000,3571,70,3573,62,3576,62,3582,72,
3681,3,3678,255,3681,2494182,1286808,3681,400000,3682,15,3670,1026000,3672,1512000,3675,1512000,3679,1512000,3672,60,3674,45,3677,75,3680,58,
3778,3,3776,255,3777,2284432,1077058,3778,400000,3778,15,3770,1026000,3772,1512000,3774,1512000,3776,1512000,3771,55,3773,50,3775,50,3777,50,
3878,3,3876,255,3878,1787390,580016,3879,400000,3879,15,3870,1026000,3872,1512000,3874,1512000,3877,1512000,3872,50,3873,14,3876,30,3878,36,
