App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:01:38 AM","17 sec","Trepn_2018.10.21_000136.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
45,3,44,255,45,1846291,653968,45,320000,46,0,99,1512000,42,1512000,44,0,44,0,42,93,43,100,44,0,45,0,
107,3,105,255,106,2470885,1278562,107,320000,107,0,200,1512000,101,1512000,103,1512000,105,1026000,101,100,102,100,104,63,106,40,
207,3,205,255,207,2667126,1474803,207,320000,208,0,300,1512000,202,1512000,203,1512000,205,1512000,201,66,203,57,204,100,207,90,
307,3,305,255,307,3111744,1919421,308,320000,308,0,401,1512000,302,1512000,304,1512000,306,1512000,302,88,303,90,305,100,307,100,
408,3,406,255,408,2803931,1611608,409,320000,409,0,501,1512000,403,1512000,405,1512000,407,1512000,402,66,404,90,406,100,408,77,
509,3,507,255,508,1907854,715531,509,320000,510,0,602,1512000,503,1512000,505,1512000,507,1512000,503,22,505,40,506,100,508,40,
609,3,607,255,609,2496118,1303795,609,320000,610,0,702,1512000,604,1512000,606,1512000,607,1512000,603,90,605,44,607,100,609,54,
708,3,707,255,708,1456395,264072,709,320000,709,0,803,1512000,704,1512000,706,1512000,708,0,704,0,705,66,707,70,708,0,
811,3,810,255,810,2017298,824975,811,320000,812,0,903,1512000,805,1512000,807,1512000,810,0,804,66,807,81,809,71,810,0,
911,3,909,255,911,2222507,1030184,912,320000,912,0,1004,1512000,905,1512000,907,1512000,910,0,905,80,907,88,908,80,910,0,
1011,3,1009,255,1011,2605563,1413240,1011,320000,1012,0,1104,1512000,1005,1512000,1007,1512000,1009,1512000,1005,77,1007,70,1008,77,1010,80,
1120,3,1117,255,1119,1456167,263844,1120,320000,1121,0,1204,1512000,1109,1512000,1114,1512000,1117,1026000,1108,44,1111,33,1116,27,1119,60,
1214,3,1211,255,1214,2181465,989142,1215,320000,1216,0,1305,1512000,1206,1512000,1209,1512000,1212,1512000,1206,50,1208,37,1211,55,1214,100,
1328,3,1314,255,1328,1950290,757967,1329,320000,1331,0,1405,1512000,1307,1026000,1310,1026000,1315,1512000,1307,88,1309,63,1312,50,1323,60,
1413,3,1411,255,1413,2892855,1700532,1415,400000,1416,0,1506,1512000,1407,1512000,1409,1512000,1411,1512000,1407,100,1409,80,1411,100,1413,66,
1520,3,1517,255,1520,1942055,749732,1522,400000,1522,0,1606,1512000,1511,1512000,1514,1512000,1517,1512000,1510,100,1513,27,1516,53,1520,27,
1615,3,1612,255,1615,3091224,1898901,1615,400000,1616,0,1707,1512000,1608,1512000,1610,1512000,1613,1512000,1608,100,1610,100,1612,75,1614,100,
1713,3,1712,255,1713,1812090,619767,1714,400000,1714,0,1807,1512000,1708,1512000,1710,1512000,1712,1512000,1708,45,1710,77,1711,54,1713,12,
1814,3,1812,255,1814,1921534,729211,1814,400000,1815,0,1908,1512000,1809,1512000,1811,1512000,1813,1512000,1809,45,1810,55,1812,50,1814,54,
1918,3,1915,255,1918,1840568,648245,1918,400000,1919,0,2009,1512000,1910,1512000,1912,1026000,1915,1026000,1910,77,1912,80,1914,22,1917,44,
2019,3,2017,255,2019,2126287,933964,2020,400000,2058,0,2110,1512000,2012,1512000,2014,1026000,2017,1026000,2012,70,2014,100,2016,50,2019,70,
