App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:08:51 AM","17 sec","Trepn_2018.10.21_000850.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
63,3,59,255,62,2119936,1053131,64,320000,65,0,52,1512000,54,1512000,56,384000,60,1026000,54,100,56,100,59,50,62,50,
160,3,158,255,160,3200668,2133863,160,320000,161,0,153,1512000,155,1512000,157,1512000,159,1512000,155,91,156,100,158,100,160,100,
261,3,258,255,261,3002300,1935495,261,320000,262,0,253,1512000,255,1512000,257,1512000,259,1512000,255,90,256,72,258,100,260,100,
364,3,361,255,364,2687647,1620842,365,320000,365,0,354,1512000,356,1512000,359,1512000,361,1512000,356,70,358,66,360,80,364,100,
462,3,460,255,462,2181465,1114660,462,320000,463,0,454,1512000,456,1512000,458,1512000,460,1512000,456,66,458,40,460,36,462,100,
562,3,560,255,562,2379834,1313029,562,320000,563,0,555,1512000,557,1512000,558,1512000,560,1512000,556,46,558,75,560,50,562,100,
661,3,660,255,661,950213,0,662,320000,663,0,655,1512000,657,1512000,659,1512000,661,0,657,12,658,50,660,0,661,0,
763,3,761,255,763,1340110,273305,764,320000,765,0,756,1512000,758,1512000,760,1512000,762,0,757,9,759,100,761,10,762,0,
868,3,866,255,868,2899695,1832890,869,320000,870,0,857,1512000,859,1512000,862,1512000,866,1512000,859,77,861,80,865,90,868,100,
967,3,965,255,967,2790251,1723446,967,320000,968,0,959,1512000,961,1512000,962,1512000,965,1512000,960,90,962,81,964,80,966,80,
1067,3,1065,255,1066,1814218,747413,1067,320000,1068,0,1059,1512000,1061,1512000,1063,1512000,1065,1026000,1061,40,1062,55,1064,72,1066,40,
1170,3,1166,255,1169,1522890,456085,1170,320000,1171,0,1159,1512000,1162,1512000,1164,1512000,1167,1026000,1161,71,1164,30,1166,33,1169,22,
1218,3,1216,255,1218,854221,0,1218,320000,1219,0,1210,1512000,1212,1026000,1214,1512000,1216,1026000,1211,16,1213,20,1215,0,1217,40,
1318,3,1316,255,1317,706596,0,1318,320000,1319,0,1311,1512000,1313,1026000,1316,0,1317,0,1312,12,1315,27,1316,0,1317,0,
1419,3,1417,255,1419,737488,0,1419,200000,1420,0,1411,1026000,1414,1026000,1416,0,1418,0,1414,44,1416,14,1417,0,1418,0,
1531,3,1527,255,1531,733844,0,1533,200000,1534,0,1512,1026000,1519,1026000,1524,0,1528,0,1518,30,1523,27,1526,0,1530,0,
1621,3,1620,255,1621,900532,0,1622,128000,1623,0,1613,918000,1616,1026000,1619,0,1620,0,1616,58,1618,54,1619,0,1621,0,
1731,3,1728,255,1730,661573,0,1732,128000,1733,0,1715,1026000,1721,384000,1726,0,1729,0,1719,30,1725,30,1727,0,1730,0,
1827,3,1822,255,1827,910302,0,1828,128000,1830,0,1814,1026000,1818,918000,1820,0,1824,0,1817,55,1820,60,1821,0,1827,0,
1923,3,1922,255,1923,988948,0,1924,128000,1925,21,1915,1026000,1918,1026000,1921,0,1922,0,1918,72,1920,55,1921,0,1923,0,
2026,3,2024,255,2026,862416,0,2027,128000,2028,21,2016,918000,2020,1026000,2023,0,2025,0,2019,36,2022,27,2024,0,2026,0,
2122,3,2121,255,2122,1080984,14179,2123,128000,2129,21,2116,918000,2119,1026000,2120,0,2121,0,2118,80,2120,50,2121,0,2122,0,
2226,3,2224,255,2226,1374243,307438,2227,128000,2228,21,2217,1026000,2220,1512000,2223,0,2225,0,2219,10,2222,100,2224,0,2225,0,
2322,3,2321,255,2322,1659293,592488,2322,128000,2323,21,2317,1512000,2319,1512000,2320,0,2321,0,2318,57,2320,90,2321,0,2322,0,
2423,3,2422,255,2423,794612,0,2423,128000,2424,21,2417,1026000,2420,1512000,2421,0,2422,0,2419,18,2421,11,2421,0,2422,0,
2523,3,2522,255,2523,804257,0,2523,128000,2524,21,2518,1026000,2520,1512000,2521,0,2522,0,2520,0,2521,22,2522,0,2523,0,
2630,3,2627,255,2630,779047,0,2631,128000,2633,21,2619,1026000,2623,702000,2626,0,2628,0,2622,12,2625,40,2626,0,2629,0,
2731,3,2729,255,2730,797549,0,2732,128000,2733,21,2720,1026000,2724,384000,2727,0,2729,0,2723,33,2726,27,2728,0,2730,0,
2841,3,2838,255,2841,1070603,3798,2842,128000,2843,21,2820,1026000,2824,918000,2830,0,2838,0,2823,69,2826,54,2833,0,2841,0,
2927,3,2926,255,2927,905231,0,2928,128000,2929,20,2920,1026000,2923,1026000,2925,0,2926,0,2922,44,2925,25,2926,0,2927,0,
3041,3,3033,255,3040,819098,0,3043,128000,3044,20,3021,918000,3025,702000,3029,0,3034,0,3024,36,3027,30,3031,0,3036,0,
3129,3,3127,255,3129,928307,0,3129,128000,3130,20,3122,1026000,3124,1026000,3126,0,3128,0,3124,44,3126,33,3127,0,3128,0,
3239,3,3237,255,3239,835129,0,3240,128000,3241,20,3222,918000,3226,594000,3234,0,3238,0,3225,44,3231,33,3237,0,3238,0,
3330,3,3329,255,3330,1012127,0,3331,128000,3331,20,3323,1026000,3326,1026000,3328,0,3329,0,3325,60,3327,40,3328,0,3330,0,
3438,3,3436,255,3437,810277,0,3438,128000,3439,20,3424,918000,3427,1026000,3432,0,3437,0,3426,40,3429,11,3435,0,3437,0,
3532,3,3530,255,3531,931951,0,3532,128000,3533,20,3524,1026000,3527,1026000,3529,0,3531,0,3527,45,3529,33,3530,0,3531,0,
3639,3,3637,255,3638,867270,0,3640,128000,3641,20,3625,918000,3631,1026000,3636,0,3637,0,3627,36,3635,30,3636,0,3638,0,
3733,3,3732,255,3733,961900,0,3734,128000,3734,20,3725,918000,3728,1026000,3731,0,3732,0,3728,55,3730,40,3731,0,3733,0,
3846,3,3840,255,3845,749319,0,3850,128000,3852,18,3828,384000,3834,1026000,3838,0,3842,0,3833,33,3838,20,3839,0,3844,0,
3933,3,3932,255,3933,1063219,0,3933,128000,3934,18,3926,1512000,3929,1026000,3931,0,3932,0,3928,54,3930,16,3931,0,3932,0,
