App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:28:28 AM","17 sec","Trepn_2018.10.21_012826.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
15,3,11,255,15,2236188,642768,16,320000,16,0,5,1512000,7,1512000,9,1512000,12,0,6,100,8,100,10,50,12,0,
112,3,110,255,112,2550841,957421,112,320000,113,0,105,1512000,107,1512000,109,1512000,111,1512000,107,90,108,100,110,50,112,56,
213,3,211,255,213,2612403,1018983,213,320000,214,0,205,1512000,207,1512000,209,1512000,211,1512000,207,100,209,100,211,50,213,55,
316,3,313,255,315,2694487,1101067,316,320000,317,0,306,1512000,310,1512000,312,1512000,314,1512000,309,100,311,100,313,60,315,57,
418,3,415,255,418,3091224,1497804,419,320000,419,0,409,1512000,411,1512000,413,1512000,416,1512000,411,100,412,100,415,75,418,100,
517,3,515,255,517,2229347,635927,517,320000,518,0,509,1512000,511,1512000,513,1512000,515,1512000,511,37,513,100,514,50,517,62,
620,3,617,255,619,1593086,0,620,320000,621,0,610,1512000,612,1512000,614,1512000,617,1026000,612,30,614,100,616,10,619,30,
728,3,723,255,724,1474274,0,729,320000,729,0,710,1026000,717,1512000,720,1026000,724,0,716,58,719,88,723,37,724,0,
824,3,821,255,824,2118550,525130,825,320000,825,0,811,1512000,813,1512000,816,1026000,822,1026000,812,88,816,83,820,72,824,44,
920,3,918,255,920,2190319,596899,921,400000,921,0,911,1512000,913,1512000,916,1026000,918,1512000,913,72,915,44,917,70,920,90,
1019,3,1017,255,1019,1651901,58481,1020,400000,1020,0,1012,1512000,1014,1512000,1015,1026000,1017,1512000,1013,22,1015,63,1016,33,1018,62,
1121,3,1118,255,1121,1221966,0,1121,400000,1122,0,1112,1026000,1115,1026000,1117,1026000,1119,1512000,1114,44,1116,45,1118,40,1120,33,
1228,3,1225,255,1228,575971,0,1229,400000,1231,0,1213,384000,1218,384000,1221,486000,1226,0,1216,0,1221,20,1224,27,1227,0,
1342,3,1340,255,1341,635850,0,1342,400000,1344,0,1314,384000,1328,384000,1333,384000,1341,0,1326,45,1332,44,1338,37,1341,0,
1424,3,1422,255,1424,1138367,0,1425,400000,1426,0,1415,1026000,1418,1026000,1420,1026000,1423,0,1417,55,1419,50,1422,63,1424,0,
