Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.133,20.133,screen bright,18.1993300416
0,20.133,20.133,wifi running,0.27178583616
0,20.133,20.133,phone_scanning,10.5514830317
0.0,11.467,11.467,core 0 cpu_idle start,0.171454584
11.467,11.972127,0.505126999997,core 0 cpu_idle,0.00755265890395
11.972127,11.973408,0.00128100000438,core 0 cpu_frequency,0.000948372468845
11.973408,12.021931,0.0485229999904,core 0 cpu_idle,0.000725515895856
12.021931,12.021962,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
12.021962,12.07195,0.0499879999988,core 0 cpu_idle,0.000747420575983
12.07195,12.072957,0.00100699999894,core 0 cpu_frequency,0.000745519962412
12.072957,12.12209,0.0491330000077,core 0 cpu_idle,0.000734636616115
12.12209,12.122212,0.000121999997646,core 0 cpu_frequency,6.3271736379e-05
12.122212,12.175191,0.0529790000001,core 0 cpu_idle,0.000792142008001
12.175191,12.233937,0.0587459999952,core 0 cpu_frequency,0.0601558100014
12.233937,12.771992,0.538055000012,core 0 cpu_idle,0.00804499836018
12.771992,12.772053,6.09999988228e-05,core 0 cpu_frequency,5.45940229464e-05
12.772053,12.822133,0.0500800000009,core 0 cpu_idle,0.000748796160013
12.822133,12.83141,0.00927699999011,core 0 cpu_frequency,0.00686811190788
12.83141,12.872761,0.0413510000071,core 0 cpu_idle,0.000618280152107
12.872761,12.874013,0.00125200000184,core 0 cpu_frequency,0.000926902676563
12.874013,13.07195,0.19793699999,core 0 cpu_idle,0.00295955402385
13.07195,13.072224,0.000274000005447,core 0 cpu_frequency,0.000202852506433
13.072224,13.12267,0.0504459999938,core 0 cpu_idle,0.000754268591908
13.12267,13.124043,0.00137300000642,core 0 cpu_frequency,0.00101648352956
13.124043,13.172047,0.0480039999966,core 0 cpu_idle,0.000717755807949
13.172047,13.172078,3.10000032187e-05,core 0 cpu_frequency,2.29504679829e-05
13.172078,13.222432,0.0503540000063,core 0 cpu_idle,0.000752893008095
13.222432,13.222462,2.99999956042e-05,core 0 cpu_frequency,3.07199474987e-05
13.222462,13.772084,0.549621999991,core 0 cpu_idle,0.00821794814387
13.772084,13.772145,6.10000133747e-05,core 0 cpu_frequency,4.51606035018e-05
13.772145,13.874715,0.102569999988,core 0 cpu_idle,0.00153362663982
13.874715,13.885915,0.0112000000081,core 0 cpu_frequency,0.0114687820883
13.885915,14.172017,0.286101999998,core 0 cpu_idle,0.00427779710397
14.172017,14.172047,2.99999956042e-05,core 0 cpu_frequency,2.22101247456e-05
14.172047,14.22231,0.0502629999974,core 0 cpu_idle,0.00075153237596
14.22231,14.22234,3.00000101561e-05,core 0 cpu_frequency,2.22101355189e-05
14.22234,14.272542,0.0502019999985,core 0 cpu_idle,0.000750620303978
14.272542,14.272633,9.0999994427e-05,core 0 cpu_frequency,6.73707174741e-05
14.272633,14.322133,0.0495000000083,core 0 cpu_idle,0.000740124000124
14.322133,14.323231,0.00109799999336,core 0 cpu_frequency,0.000812890679886
14.323231,14.372182,0.0489510000043,core 0 cpu_idle,0.000731915352064
14.372182,14.372273,9.0999994427e-05,core 0 cpu_frequency,6.73707174741e-05
14.372273,14.422017,0.0497440000036,core 0 cpu_idle,0.000743772288053
14.422017,14.422078,6.09999988228e-05,core 0 cpu_frequency,3.16358681895e-05
14.422078,14.478017,0.055938999998,core 0 cpu_idle,0.000836399927971
14.478017,14.479054,0.00103699999454,core 0 cpu_frequency,0.00106188633521
14.479054,14.772084,0.293030000001,core 0 cpu_idle,0.00438138456001
14.772084,14.772114,3.00000101561e-05,core 0 cpu_frequency,2.68495290895e-05
14.772114,14.825001,0.052886999998,core 0 cpu_idle,0.00079076642397
14.825001,14.825062,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
14.825062,14.931172,0.106109999993,core 0 cpu_idle,0.0015865567199
14.931172,14.931203,3.10000032187e-05,core 0 cpu_frequency,3.17439536959e-05
14.931203,15.17632,0.245116999999,core 0 cpu_idle,0.00366498938398
15.17632,15.176381,6.09999988228e-05,core 0 cpu_frequency,4.51605927285e-05
15.176381,15.522481,0.34610000001,core 0 cpu_idle,0.00517488720015
