App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:24:56 AM","17 sec","Trepn_2018.10.21_002455.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
61,3,50,255,51,1909028,724567,67,320000,73,0,14,1512000,47,1512000,48,1026000,50,0,46,91,48,84,50,51,51,0,
128,3,124,255,127,2753131,1568670,128,320000,130,0,115,1512000,117,1512000,119,1512000,125,1026000,117,100,119,100,124,100,127,48,
227,3,225,255,227,3111744,1927283,227,320000,228,0,220,1512000,222,1512000,224,1512000,226,1512000,222,100,223,100,225,90,227,88,
326,3,323,255,325,3262231,2077770,326,320000,327,0,316,1512000,318,1512000,320,1512000,323,1512000,317,100,320,100,322,100,325,100,
424,3,422,255,424,2797091,1612630,425,320000,425,0,416,1512000,418,1512000,420,1512000,423,1512000,418,90,419,100,421,72,424,70,
525,3,523,255,525,1962576,778115,526,320000,527,0,517,1512000,519,1512000,521,1512000,523,1512000,518,66,521,100,523,33,525,11,
626,3,623,255,625,2530320,1345859,626,320000,627,0,617,1512000,619,1512000,622,1512000,624,1512000,619,63,621,100,623,72,625,58,
724,3,723,255,724,1429034,244573,724,320000,725,0,718,1512000,720,1512000,721,1512000,723,0,719,55,721,55,722,22,724,0,
831,3,830,255,831,1810221,625760,832,320000,834,0,818,1512000,821,1512000,827,1134000,830,0,821,100,826,44,829,70,831,0,
928,3,925,255,928,2803931,1619470,929,320000,930,0,919,1512000,922,1512000,923,1512000,926,1512000,921,100,923,90,925,80,927,63,
1031,3,1025,255,1031,2318271,1133810,1032,320000,1032,0,1020,1512000,1021,1512000,1023,1512000,1029,1512000,1021,80,1023,37,1024,45,1031,100,
1127,3,1125,255,1127,1866812,682351,1127,320000,1128,0,1120,1512000,1122,1512000,1123,1512000,1125,1512000,1121,30,1123,40,1124,60,1126,66,
1232,3,1229,255,1232,824952,0,1233,320000,1234,0,1221,1026000,1224,1026000,1226,1026000,1230,1026000,1223,27,1226,18,1228,10,1232,27,
1425,3,1383,255,1392,605394,0,1425,320000,1431,0,1325,1026000,1334,384000,1374,0,1391,0,1332,11,1357,45,1377,0,1392,0,
1447,3,1445,255,1447,2062824,878363,1448,320000,1448,0,1434,1512000,1437,1512000,1442,1512000,1445,1026000,1436,100,1442,100,1444,14,1447,20,
1534,3,1531,255,1534,1916765,732304,1534,320000,1535,0,1525,1512000,1527,1512000,1529,1512000,1532,1026000,1527,44,1529,30,1531,100,1533,55,
1641,3,1634,255,1641,2124910,940449,1642,200000,1643,0,1625,1512000,1629,1134000,1632,1512000,1636,1512000,1628,44,1631,54,1634,90,1641,66,
1734,3,1732,255,1733,3022821,1838360,1734,200000,1735,0,1726,1512000,1728,1512000,1730,1512000,1732,1512000,1727,88,1729,100,1731,90,1733,87,
1836,3,1834,255,1836,2906536,1722075,1836,200000,1837,22,1826,1512000,1829,1512000,1832,1512000,1835,1512000,1828,88,1831,90,1834,80,1836,90,
1935,3,1933,255,1935,2260503,1076042,1936,200000,1936,22,1927,1512000,1929,1512000,1931,1512000,1934,1512000,1929,37,1931,66,1933,50,1935,63,
2037,3,2035,255,2037,1694098,509637,2038,200000,2038,22,2028,1134000,2031,1512000,2033,1026000,2035,1512000,2030,33,2033,70,2035,33,2037,25,
2136,3,2134,255,2136,2343924,1159463,2136,200000,2137,22,2128,1026000,2130,1512000,2132,1026000,2134,1512000,2130,58,2132,90,2133,70,2135,70,
2238,3,2236,255,2238,2184632,1000171,2239,320000,2240,22,2229,1026000,2232,1512000,2234,1026000,2236,1512000,2231,77,2233,72,2235,88,2238,45,
2338,3,2336,255,2338,1923328,738867,2339,320000,2339,22,2329,1026000,2332,1512000,2334,1026000,2336,1512000,2331,36,2334,40,2336,40,2338,45,
2441,3,2439,255,2441,1290882,106421,2441,320000,2442,22,2429,1026000,2435,1512000,2437,1026000,2439,1026000,2434,20,2437,0,2439,30,2441,12,
2539,3,2538,255,2539,2057891,873430,2540,200000,2540,22,2530,1512000,2533,1512000,2535,1026000,2538,0,2532,66,2534,44,2537,66,2539,0,
2674,3,2669,255,2674,1713280,528819,2675,128000,2675,22,2632,1512000,2644,1512000,2665,0,2672,0,2642,66,2664,70,2668,0,2674,0,
2744,3,2740,255,2743,2335720,1151259,2744,128000,2745,22,2731,1512000,2733,1512000,2738,1512000,2741,0,2732,100,2738,88,2740,57,2741,0,
2838,3,2837,255,2838,1453323,268862,2838,128000,2839,39,2831,1512000,2833,1512000,2835,1512000,2837,0,2833,37,2834,54,2836,25,2838,0,
2938,3,2936,255,2937,1324093,139632,2939,128000,2940,39,2932,1512000,2934,1512000,2935,1512000,2937,0,2933,27,2935,25,2936,30,2937,0,
3090,3,3088,255,3089,968077,0,3090,200000,3093,39,3033,1026000,3061,594000,3080,0,3088,0,3058,33,3074,53,3086,0,3089,0,
3139,3,3138,255,3138,2324327,1139866,3139,200000,3141,39,3133,1512000,3135,1512000,3136,1026000,3138,0,3134,100,3136,75,3137,40,3138,0,
3239,3,3238,255,3239,1680443,495982,3239,200000,3240,39,3233,1512000,3235,1512000,3236,1026000,3238,0,3235,50,3236,33,3237,36,3238,0,
3340,3,3338,255,3340,1567860,383399,3340,200000,3341,39,3334,1512000,3336,1512000,3337,1026000,3339,0,3335,33,3337,41,3338,22,3339,0,
3441,3,3440,255,3441,1572173,387712,3442,200000,3442,39,3434,1026000,3436,1512000,3438,1026000,3440,0,3436,54,3438,40,3439,33,3441,0,
3540,3,3540,255,3540,1597683,413222,3541,200000,3541,39,3535,1026000,3537,1512000,3538,1026000,3540,0,3536,44,3538,40,3539,50,3540,0,
3659,3,3653,255,3655,1208569,24108,3663,200000,3669,39,3636,702000,3641,1026000,3651,0,3654,0,3639,22,3645,50,3652,0,3655,0,
3744,3,3743,255,3744,2253796,1069335,3745,200000,3745,39,3736,1512000,3741,1512000,3742,1512000,3744,0,3740,90,3742,81,3743,15,3744,0,
3844,3,3843,255,3844,2130671,946210,3844,200000,3845,52,3836,1512000,3839,1512000,3841,1512000,3843,0,3838,50,3841,63,3843,55,3844,0,
3946,3,3945,255,3946,1967814,783353,3946,200000,3947,52,3937,1512000,3939,1512000,3943,1512000,3945,0,3938,37,3940,45,3945,40,3946,0,
4060,3,4057,255,4060,1494089,309628,4061,200000,4062,52,4039,1026000,4048,1026000,4051,1026000,4058,0,4047,36,4051,33,4054,30,4059,0,
4148,3,4145,255,4147,2201094,1016633,4148,400000,4149,52,4138,1026000,4141,1026000,4143,1026000,4146,1026000,4140,90,4143,75,4145,71,4147,57,
4248,3,4246,255,4248,2939393,1754932,4249,400000,4249,52,4239,1512000,4242,1026000,4244,1026000,4246,1026000,4241,22,4244,30,4246,40,4248,45,
4349,3,4347,255,4349,3042446,1857985,4349,400000,4350,52,4339,1512000,4342,1026000,4344,1026000,4347,1026000,4342,36,4344,46,4346,30,4348,41,
4458,3,4456,255,4458,2770685,1586224,4459,200000,4460,52,4440,1026000,4444,1026000,4448,1026000,4457,0,4443,40,4446,25,4451,45,4457,0,
4556,3,4554,255,4556,1865813,681352,4558,200000,4559,52,4541,1026000,4545,1026000,4549,1026000,4555,0,4543,63,4548,66,4553,72,4555,0,
4656,3,4654,255,4655,1694529,510068,4656,200000,4657,52,4641,1026000,4647,1026000,4651,1026000,4655,0,4644,62,4650,42,4653,50,4655,0,
4759,3,4756,255,4758,1683596,499135,4760,200000,4761,52,4745,1026000,4749,1026000,4752,1026000,4757,0,4748,66,4751,40,4755,45,4758,0,
4856,3,4855,255,4856,1767416,582955,4857,200000,4858,50,4846,1026000,4849,1026000,4852,1026000,4855,0,4848,44,4851,80,4854,50,4856,0,
4957,3,4956,255,4957,1609221,424760,4958,200000,4959,50,4946,1026000,4950,1026000,4953,1026000,4956,0,4949,50,4953,50,4955,37,4957,0,
5060,3,5058,255,5060,1784150,599689,5061,200000,5062,50,5048,1026000,5052,1026000,5055,1026000,5059,0,5050,63,5054,72,5058,50,5060,0,
5164,3,5159,255,5164,1638376,453915,5165,200000,5166,50,5148,1026000,5151,1026000,5155,1026000,5160,0,5150,55,5153,50,5157,40,5163,0,
5260,3,5258,255,5260,1827882,643421,5261,200000,5262,50,5249,1026000,5252,1026000,5254,1026000,5258,0,5251,75,5254,50,5257,72,5259,0,
5362,3,5360,255,5362,1631087,446626,5363,200000,5363,50,5350,1026000,5353,1026000,5356,1026000,5361,0,5353,44,5356,45,5359,54,5361,0,
5465,3,5463,255,5464,1791438,606977,5465,200000,5466,50,5450,1026000,5453,1026000,5459,1026000,5463,0,5453,55,5455,60,5462,72,5464,0,
5566,3,5563,255,5565,1576422,391961,5567,200000,5568,50,5552,1026000,5555,1026000,5560,1026000,5564,0,5554,40,5556,63,5562,25,5565,0,
5665,3,5661,255,5665,1729484,545023,5667,200000,5668,50,5651,1026000,5654,1026000,5657,1026000,5662,0,5654,50,5657,60,5660,60,5665,0,
