App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:30:38 AM","17 sec","Trepn_2018.10.21_003037.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
89,3,87,255,89,2475598,1310447,90,320000,90,0,42,1512000,84,1512000,86,1512000,88,1512000,84,100,85,100,87,59,89,26,
151,3,148,255,151,3262231,2097080,151,320000,153,0,142,1512000,144,1512000,146,1512000,149,1512000,144,100,145,100,148,100,151,100,
250,3,248,255,250,3132265,1967114,250,320000,251,0,243,1512000,245,1512000,246,1512000,248,1512000,244,100,246,81,248,100,250,100,
351,3,349,255,351,2530320,1365169,351,320000,352,0,343,1512000,345,1512000,347,1512000,349,1512000,345,60,346,63,348,70,351,100,
451,3,449,255,451,2167785,1002634,451,320000,452,0,443,1512000,446,1512000,447,1512000,449,1512000,445,41,447,33,449,66,451,100,
551,3,549,255,551,2172865,1007714,552,320000,552,0,544,1512000,546,1134000,548,1512000,550,1512000,546,50,547,22,549,77,551,100,
652,3,650,255,652,1956489,791338,653,320000,653,0,644,1512000,646,1134000,648,1512000,651,1512000,646,45,648,45,650,36,652,100,
756,3,753,255,756,1790194,625043,756,320000,757,0,745,1134000,748,1026000,750,1512000,753,1512000,747,55,750,44,752,50,756,77,
856,3,853,255,856,2309527,1144376,856,400000,857,0,846,1134000,848,1026000,850,1512000,853,1512000,848,77,849,80,852,90,855,80,
954,3,952,255,954,2653445,1488294,954,400000,955,0,946,1512000,948,1512000,950,1512000,953,1512000,947,62,950,77,951,100,954,72,
1053,3,1051,255,1053,1983097,817946,1054,400000,1054,0,1046,1512000,1048,1512000,1050,1512000,1052,1512000,1048,45,1050,60,1051,50,1053,58,
1156,3,1154,255,1156,1082307,0,1157,400000,1158,0,1147,1026000,1150,1512000,1152,1512000,1154,1026000,1149,22,1151,33,1153,27,1156,18,
1255,3,1254,255,1255,624513,0,1256,400000,1256,0,1247,1026000,1250,1512000,1252,1512000,1254,0,1249,27,1251,0,1253,0,1255,0,
1356,3,1354,255,1355,1253086,87935,1356,400000,1357,0,1348,1026000,1350,1026000,1352,1512000,1355,0,1350,70,1352,30,1354,53,1355,0,
1462,3,1461,255,1462,981439,0,1463,400000,1464,0,1448,1026000,1452,1026000,1459,1512000,1461,0,1450,30,1455,33,1460,33,1462,0,
1562,3,1560,255,1562,1686183,521032,1563,400000,1563,0,1549,1512000,1552,1026000,1555,1134000,1561,0,1551,100,1553,72,1559,50,1561,0,
1666,3,1662,255,1666,1680266,515115,1667,320000,1670,0,1650,1512000,1656,1026000,1660,1026000,1663,0,1655,100,1659,63,1661,66,1666,0,
1773,3,1761,255,1767,2830502,1665351,1778,200000,1779,19,1750,1512000,1752,1512000,1758,1512000,1762,1026000,1751,100,1754,90,1761,100,1764,88,
1884,3,1865,255,1875,3196794,2031643,1887,200000,1888,19,1856,1512000,1858,1512000,1860,1512000,1868,1512000,1858,91,1859,87,1863,90,1875,90,
1964,3,1962,255,1964,2676932,1511781,1965,200000,1965,19,1957,1512000,1959,1512000,1960,1512000,1963,1512000,1959,66,1960,66,1962,100,1964,50,
2065,3,2063,255,2065,3018946,1853795,2066,128000,2067,19,2058,1512000,2060,1512000,2062,1512000,2064,1512000,2060,77,2061,80,2063,100,2065,75,
