App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 12:38:42 AM","17 sec","Trepn_2018.10.21_003841.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
99,3,96,255,98,2273186,1198388,1,320000,5,0,61,1512000,64,1512000,94,1026000,96,1026000,63,100,93,100,95,48,98,56,
171,3,168,255,170,2605563,1530765,99,320000,100,0,161,1512000,164,1512000,166,1512000,168,1512000,163,100,166,42,168,100,170,62,
269,3,267,255,269,2776570,1701772,171,320000,172,0,261,1512000,263,1512000,265,1512000,267,1512000,263,100,265,63,266,100,269,66,
370,3,367,255,369,2687647,1612849,269,320000,270,0,362,1512000,364,1512000,366,1512000,368,1512000,363,100,365,61,367,100,369,55,
470,3,468,255,470,1962576,887778,370,320000,371,0,462,1512000,464,1512000,466,1512000,468,1512000,464,40,466,45,467,100,470,25,
571,3,568,255,571,2188305,1113507,470,320000,471,0,563,1512000,565,1512000,567,1512000,569,1512000,564,40,566,40,568,100,571,63,
671,3,669,255,671,1928375,853577,572,320000,572,0,663,1512000,665,1512000,667,1512000,669,1512000,665,22,667,33,669,100,671,50,
770,3,769,255,770,1456395,381597,672,320000,673,0,764,1512000,766,1512000,767,1512000,770,0,765,14,767,22,769,100,770,0,
872,3,870,255,872,2509799,1435001,771,320000,771,0,864,1512000,866,1512000,868,1512000,870,1512000,865,100,867,100,869,90,871,0,
977,3,973,255,975,2913376,1838578,872,320000,873,0,967,1512000,969,1512000,971,1512000,973,1512000,969,91,971,75,973,100,975,83,
1073,3,1071,255,1073,2318090,1243292,977,400000,983,0,1065,1512000,1067,1512000,1069,1512000,1071,1134000,1067,62,1068,90,1070,60,1072,80,
1178,3,1175,255,1178,1928375,853577,1073,400000,1074,0,1168,1512000,1171,1512000,1173,1512000,1176,1512000,1170,41,1173,40,1175,44,1178,80,
1224,3,1221,255,1224,1476479,401681,1178,400000,1179,0,1216,1026000,1218,1512000,1220,1134000,1223,1512000,1217,25,1219,60,1221,25,1224,50,
1325,3,1322,255,1325,1261443,186645,1225,400000,1225,0,1316,1026000,1318,1512000,1320,1026000,1323,1512000,1318,50,1320,30,1322,11,1325,45,
1433,3,1429,255,1432,671890,0,1326,400000,1327,0,1419,1026000,1424,1026000,1428,0,1431,0,1423,20,1426,20,1428,0,1431,0,
1529,3,1528,255,1529,879618,0,1433,400000,1434,0,1517,1026000,1520,1026000,1522,0,1528,0,1519,60,1522,37,1527,0,1529,0,
1628,3,1624,255,1627,868685,0,1530,400000,1531,0,1618,1026000,1621,1026000,1623,0,1625,0,1620,44,1623,50,1624,0,1626,0,
1731,3,1726,255,1730,1007170,0,1629,400000,1630,0,1719,1026000,1722,1026000,1725,0,1727,0,1722,70,1724,62,1726,0,1729,0,
1841,3,1835,255,1838,1098279,23481,1733,320000,1735,0,1820,1026000,1823,1026000,1831,0,1837,0,1822,80,1825,77,1833,0,1838,0,
1926,3,1924,255,1925,1697942,623144,1844,200000,1848,16,1920,1512000,1922,1512000,1924,0,1925,0,1921,44,1923,100,1924,0,1925,0,
2027,3,2025,255,2026,772681,0,1926,320000,1927,0,2020,1026000,2023,1134000,2025,0,2026,0,2022,36,2024,27,2025,0,2026,0,
2132,3,2130,255,2132,737488,0,2027,320000,2028,0,2121,1026000,2126,1026000,2129,0,2131,0,2125,22,2128,36,2130,0,2131,0,
2229,3,2228,255,2229,718285,0,2132,320000,2133,0,2222,1026000,2224,918000,2227,0,2228,0,2224,25,2226,33,2227,0,2229,0,
2327,3,2326,255,2327,1161308,86510,2230,320000,2231,0,2322,1026000,2324,1512000,2325,0,2326,0,2323,11,2325,87,2326,0,2327,0,
2429,3,2427,255,2428,1627402,552604,2327,320000,2328,0,2422,1512000,2424,1512000,2426,0,2427,0,2424,100,2426,61,2426,0,2428,0,
2529,3,2528,255,2528,1387992,313194,2429,320000,2430,0,2523,1512000,2525,1512000,2527,0,2528,0,2524,90,2526,36,2527,0,2528,0,
2628,3,2628,255,2628,775056,0,2529,320000,2530,0,2623,1512000,2625,1026000,2627,0,2628,0,2625,30,2627,12,2627,0,2628,0,
2729,3,2728,255,2729,772252,0,2629,200000,2629,0,2724,1512000,2726,1026000,2727,0,2728,0,2725,20,2727,30,2727,0,2729,0,
2838,3,2836,255,2838,597686,0,2729,200000,2730,0,2825,594000,2830,1026000,2834,0,2837,0,2829,22,2833,10,2835,0,2837,0,
2931,3,2930,255,2931,1086848,12050,2839,128000,2841,0,2925,1512000,2927,1026000,2929,0,2930,0,2927,58,2929,45,2929,0,2931,0,
3038,3,3036,255,3038,730816,0,2931,128000,2932,12,3026,702000,3030,1026000,3034,0,3037,0,3029,11,3033,30,3035,0,3038,0,
3138,3,3136,255,3137,1041862,0,3039,128000,3040,12,3126,918000,3129,1026000,3134,0,3137,0,3128,72,3134,61,3135,0,3137,0,
3236,3,3235,255,3236,799500,0,3138,128000,3139,12,3227,1026000,3230,1026000,3234,0,3235,0,3230,33,3233,22,3234,0,3236,0,
3336,3,3334,255,3336,927052,0,3237,128000,3238,12,3328,1026000,3331,1026000,3333,0,3335,0,3330,44,3333,46,3334,0,3335,0,
3451,3,3445,255,3450,703300,0,3337,128000,3337,12,3429,384000,3434,1026000,3443,0,3447,0,3433,36,3440,20,3444,0,3449,0,
3534,3,3534,255,3534,986992,0,3453,128000,3458,12,3528,1512000,3530,1026000,3533,0,3534,0,3530,37,3532,37,3533,0,3534,0,
3641,3,3639,255,3641,760096,0,3535,128000,3535,12,3630,702000,3634,1026000,3637,0,3640,0,3633,20,3636,33,3638,0,3640,0,
3738,3,3736,255,3738,916179,0,3642,128000,3643,12,3730,918000,3733,1026000,3735,0,3737,0,3732,50,3735,45,3736,0,3737,0,
3841,3,3838,255,3840,736649,0,3739,128000,3739,12,3831,1026000,3834,384000,3837,0,3839,0,3833,27,3836,45,3837,0,3839,0,
3940,3,3938,255,3939,952346,0,3842,128000,3843,12,3931,1026000,3935,918000,3937,0,3939,0,3934,44,3937,63,3938,0,3939,0,
4043,3,4041,255,4043,658308,0,3940,128000,3941,12,4033,384000,4036,1026000,4039,0,4041,0,4036,22,4038,11,4040,0,4042,0,
4143,3,4141,255,4143,986233,0,4044,128000,4045,17,4134,918000,4137,1026000,4140,0,4142,0,4137,57,4139,50,4141,0,4143,0,
4252,3,4246,255,4249,888204,0,4144,128000,4145,17,4234,1026000,4239,1026000,4244,0,4247,0,4238,41,4243,30,4245,0,4248,0,
4341,3,4339,255,4340,1460995,386197,4254,128000,4255,17,4334,1512000,4337,1026000,4338,0,4340,0,4336,88,4338,63,4339,0,4340,0,
4445,3,4440,255,4444,907551,0,4341,128000,4342,17,4435,1512000,4437,1026000,4439,0,4440,0,4437,30,4438,20,4439,0,4442,0,
4540,3,4539,255,4540,875592,0,4445,128000,4446,17,4535,1512000,4537,1026000,4539,0,4539,0,4537,20,4538,30,4539,0,4540,0,
4658,3,4656,255,4658,721503,0,4540,128000,4541,17,4637,594000,4648,1026000,4653,0,4656,0,4640,12,4652,20,4654,0,4657,0,
4744,3,4743,255,4744,983017,0,4658,128000,4659,17,4737,918000,4740,1026000,4742,0,4743,0,4739,50,4741,55,4742,0,4744,0,
4854,3,4853,255,4854,719761,0,4745,128000,4745,17,4841,1026000,4847,384000,4852,0,4853,0,4844,20,4851,20,4852,0,4854,0,
4946,3,4944,255,4946,946421,0,4858,128000,4860,17,4938,1026000,4941,918000,4943,0,4945,0,4941,50,4943,44,4944,0,4945,0,
5052,3,5050,255,5051,782518,0,4946,128000,4947,17,5040,1026000,5047,1026000,5049,0,5051,0,5046,22,5049,20,5050,0,5051,0,
5148,3,5147,255,5148,970399,0,5052,128000,5053,19,5140,918000,5144,1026000,5146,0,5147,0,5143,55,5145,44,5146,0,5148,0,
5250,3,5249,255,5250,955027,0,5149,128000,5150,19,5241,1026000,5245,1026000,5248,0,5249,0,5244,41,5247,45,5248,0,5250,0,
5358,3,5354,255,5357,798226,0,5251,128000,5251,19,5342,384000,5348,1026000,5353,0,5356,0,5346,25,5351,37,5354,0,5357,0,
5456,3,5454,255,5455,907557,0,5358,128000,5360,19,5442,918000,5450,1026000,5452,0,5454,0,5449,44,5452,36,5453,0,5454,0,
5559,3,5558,255,5559,794489,0,5456,128000,5457,19,5543,384000,5550,1026000,5556,0,5558,0,5548,50,5556,30,5557,0,5559,0,
5652,3,5651,255,5652,909579,0,5560,128000,5561,19,5643,918000,5646,1026000,5649,0,5651,0,5646,28,5649,50,5650,0,5652,0,
5759,3,5757,255,5759,786650,0,5653,128000,5653,19,5745,1026000,5751,384000,5756,0,5758,0,5750,30,5755,41,5757,0,5759,0,
5856,3,5854,255,5855,914999,0,5760,128000,5761,19,5845,1026000,5848,918000,5853,0,5854,0,5847,33,5852,50,5853,0,5855,0,
5960,3,5958,255,5959,760108,0,5856,128000,5858,19,5946,1026000,5952,384000,5957,0,5959,0,5950,22,5956,44,5958,0,5959,0,
6063,3,6061,255,6062,1195554,120756,5960,128000,5961,19,6046,1026000,6049,1026000,6056,0,6061,0,6048,72,6054,80,6060,0,6062,0,
6156,3,6153,255,6156,1536409,461611,6063,128000,6064,17,6146,1512000,6148,1512000,6150,1026000,6155,0,6148,63,6149,60,6153,18,6156,0,
6254,3,6252,255,6254,1491161,416363,6158,128000,6159,17,6247,1512000,6249,1512000,6250,1026000,6253,0,6248,58,6250,44,6252,45,6253,0,
6354,3,6353,255,6354,709631,0,6254,128000,6255,17,6347,1512000,6349,1512000,6351,1026000,6353,0,6349,0,6351,0,6353,22,6354,0,
6458,3,6456,255,6458,811673,0,6355,128000,6355,17,6448,1026000,6451,1026000,6454,0,6457,0,6450,25,6453,25,6455,0,6458,0,
6562,3,6559,255,6561,715831,0,6459,128000,6460,17,6549,384000,6553,486000,6557,0,6560,0,6552,44,6556,40,6558,0,6561,0,
6660,3,6657,255,6659,996890,0,6562,128000,6564,17,6649,918000,6652,1026000,6655,0,6658,0,6652,70,6654,42,6656,0,6659,0,
6759,3,6758,255,6759,899138,0,6661,128000,6662,17,6750,1026000,6753,1026000,6757,0,6758,0,6753,41,6756,33,6757,0,6759,0,
6861,3,6860,255,6861,1041267,0,6760,128000,6761,17,6851,1026000,6854,1026000,6859,0,6860,0,6853,42,6857,71,6859,0,6861,0,
7008,3,7003,255,7006,1552894,478096,6862,128000,6863,17,6962,1512000,6984,1512000,7000,0,7003,0,6976,63,6988,72,7001,0,7006,0,
7059,3,7057,255,7059,1965497,890699,7011,128000,7014,17,7051,1512000,7053,1512000,7055,1026000,7058,1512000,7053,75,7054,71,7056,25,7059,36,
7162,3,7159,255,7162,1916034,841236,7061,128000,7062,19,7152,1512000,7154,1512000,7157,1026000,7160,1512000,7153,41,7156,64,7159,40,7161,60,
7261,3,7259,255,7261,1247928,173130,7162,128000,7163,19,7252,1026000,7254,1512000,7257,1026000,7259,1512000,7254,30,7256,40,7258,20,7261,22,
7358,3,7357,255,7358,924864,0,7262,200000,7262,19,7352,1026000,7354,1512000,7356,1026000,7358,0,7354,0,7355,20,7357,11,7358,0,
7470,3,7469,255,7470,937477,0,7359,200000,7359,19,7453,1026000,7457,1026000,7467,0,7469,0,7456,25,7466,27,7468,0,7470,0,
7563,3,7561,255,7562,901972,0,7470,200000,7472,19,7554,384000,7557,1026000,7560,0,7562,0,7557,22,7559,37,7560,0,7562,0,
7664,3,7662,255,7664,1064936,0,7563,200000,7564,19,7655,918000,7658,1026000,7660,0,7663,0,7657,44,7660,50,7661,0,7664,0,
7765,3,7763,255,7765,953866,0,7665,200000,7665,19,7756,918000,7759,810000,7762,0,7764,0,7759,40,7761,33,7763,0,7765,0,
7868,3,7866,255,7867,1021297,0,7766,200000,7768,19,7856,1026000,7860,1026000,7865,0,7867,0,7859,25,7864,50,7866,0,7867,0,
7967,3,7964,255,7966,968866,0,7868,200000,7869,19,7957,918000,7960,1026000,7962,0,7964,0,7959,40,7962,27,7963,0,7966,0,
8063,3,8062,255,8063,1609847,535049,7967,200000,7968,19,8057,1512000,8059,1512000,8061,0,8062,0,8058,66,8061,60,8062,0,8063,0,
8163,3,8161,255,8162,792099,0,8063,128000,8064,19,8157,1512000,8159,1512000,8161,0,8162,0,8159,22,8160,0,8161,0,8162,0,
8263,3,8262,255,8263,866181,0,8163,128000,8164,15,8258,1026000,8260,1512000,8261,0,8262,0,8259,27,8261,22,8262,0,8263,0,
8364,3,8363,255,8364,834279,0,8263,128000,8264,15,8358,1026000,8360,1512000,8362,0,8363,0,8360,22,8362,20,8362,0,8364,0,
8477,3,8472,255,8476,709345,0,8364,128000,8365,15,8460,594000,8467,1026000,8470,0,8473,0,8465,12,8469,20,8471,0,8476,0,
8567,3,8566,255,8567,930771,0,8478,128000,8479,15,8559,918000,8562,1026000,8564,0,8566,0,8561,50,8564,44,8565,0,8567,0,
8673,3,8671,255,8673,744114,0,8568,128000,8569,15,8662,1026000,8667,384000,8670,0,8671,0,8666,25,8669,41,8670,0,8672,0,
8770,3,8769,255,8770,1043687,0,8674,128000,8679,15,8762,1026000,8766,1026000,8768,0,8769,0,8765,63,8768,54,8769,0,8770,0,
8887,3,8884,255,8886,707603,0,8771,128000,8772,15,8864,1026000,8870,384000,8882,0,8885,0,8869,20,8876,20,8883,0,8886,0,
8973,3,8972,255,8973,934263,0,8888,128000,8890,15,8964,1026000,8968,918000,8970,0,8972,0,8967,50,8970,44,8971,0,8972,0,
9085,3,9083,255,9085,690480,0,8974,128000,8974,15,9068,1026000,9075,384000,9081,0,9083,0,9073,11,9080,38,9082,0,9084,0,
9177,3,9175,255,9176,1033979,0,9086,128000,9088,17,9168,1026000,9172,1026000,9174,0,9176,0,9171,54,9173,57,9174,0,9176,0,
