App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 01:31:41 AM","17 sec","Trepn_2018.10.21_013139.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,32,255,35,2059322,883164,36,320000,37,0,6,1134000,28,1512000,30,1026000,34,1512000,27,36,29,91,32,20,35,100,
115,3,113,255,115,2466336,1290178,117,320000,118,0,106,1026000,109,1512000,111,1026000,113,1512000,108,100,110,100,112,57,115,100,
219,3,215,255,219,2776570,1600412,220,320000,220,0,207,1512000,209,1512000,210,1512000,216,1512000,208,100,210,63,212,66,219,100,
320,3,318,255,320,3077543,1901385,321,320000,321,0,313,1512000,315,1512000,317,1512000,319,1512000,315,100,316,90,318,83,320,100,
421,3,419,255,421,2591882,1415724,421,320000,422,0,413,1512000,415,1512000,417,1512000,419,1512000,415,80,416,60,418,62,420,100,
522,3,519,255,522,2106222,930064,522,320000,523,0,514,1512000,515,1512000,518,1512000,520,1512000,515,25,517,40,519,66,521,100,
621,3,619,255,621,2133583,957425,621,320000,622,0,614,1512000,616,1512000,617,1512000,619,1512000,615,37,617,58,619,63,621,77,
726,3,721,255,726,1730006,553848,726,320000,727,0,714,1512000,717,1512000,719,1512000,722,1512000,716,30,719,36,721,88,726,22,
830,3,827,255,830,2196369,1020211,831,400000,831,0,815,1026000,818,1026000,821,1512000,827,1512000,817,70,820,88,826,70,829,90,
923,3,920,255,923,2156118,979960,923,400000,924,0,915,1026000,917,1512000,919,1512000,921,1512000,917,70,918,45,920,66,923,90,
1023,3,1021,255,1023,1581485,405327,1024,400000,1024,0,1016,1026000,1018,1134000,1020,1512000,1022,1512000,1017,40,1019,72,1021,58,1023,30,
1123,3,1121,255,1123,1082869,0,1123,400000,1124,0,1116,1026000,1118,1512000,1120,1512000,1121,1512000,1118,12,1119,0,1121,30,1123,45,
1227,3,1225,255,1226,599003,0,1227,400000,1228,0,1217,1026000,1220,1026000,1223,1026000,1226,0,1219,0,1222,10,1224,10,1226,0,
